#        q              total               1              \delta U         \delta U^2    

     0.001185        1.285453e+04      1.290792e+04     -5.684562e+01      3.449749e+00   
     0.006239        5.952395e+03      6.005846e+03     -5.690058e+01      3.449714e+00   
     0.015318        5.001012e+03      5.054446e+03     -5.688299e+01      3.449514e+00   
     0.028399        3.998942e+03      4.052378e+03     -5.688466e+01      3.448985e+00   
     0.045447        3.008649e+03      3.062073e+03     -5.687113e+01      3.447810e+00   
     0.066417        2.300689e+03      2.354058e+03     -5.681462e+01      3.445719e+00   
     0.091251        1.895258e+03      1.948567e+03     -5.675131e+01      3.442268e+00   
     0.119882        1.623886e+03      1.677083e+03     -5.663418e+01      3.437006e+00   
     0.152235        1.379043e+03      1.432064e+03     -5.645013e+01      3.429922e+00   
     0.188220        1.159399e+03      1.212152e+03     -5.617412e+01      3.420714e+00   
     0.227742        1.026406e+03      1.078823e+03     -5.582664e+01      3.409688e+00   
     0.270694        8.459287e+02      8.977415e+02     -5.521036e+01      3.397519e+00   
     0.316959        7.379136e+02      7.890424e+02     -5.451402e+01      3.385215e+00   
     0.366414        6.392886e+02      6.894916e+02     -5.357807e+01      3.375038e+00   
     0.418925        5.936413e+02      6.430212e+02     -5.274923e+01      3.369317e+00   
     0.474351        5.085481e+02      5.564389e+02     -5.126240e+01      3.371575e+00   
     0.532541        4.320507e+02      4.779996e+02     -4.933391e+01      3.385038e+00   
     0.593339        3.972988e+02      4.417079e+02     -4.782277e+01      3.413630e+00   
     0.656582        3.331384e+02      3.747292e+02     -4.505155e+01      3.460798e+00   
     0.722098        3.044370e+02      3.439416e+02     -4.303323e+01      3.528675e+00   
     0.789711        2.517572e+02      2.875186e+02     -3.937829e+01      3.616932e+00   
     0.859239        2.285841e+02      2.617826e+02     -3.692347e+01      3.724969e+00   
     0.930495        1.862799e+02      2.150106e+02     -3.257877e+01      3.848051e+00   
     1.003286        1.501819e+02      1.741699e+02     -2.796597e+01      3.978018e+00   
     1.077416        1.196732e+02      1.388584e+02     -2.328880e+01      4.103562e+00   
     1.152685        9.412854e+01      1.086740e+02     -1.875991e+01      4.214480e+00   
     1.228890        6.356392e+01      7.213097e+01     -1.286417e+01      4.297127e+00   
     1.305826        4.338667e+00      0.000000e+00      0.000000e+00      4.338667e+00   
     1.383286        4.330347e+00      0.000000e+00      0.000000e+00      4.330347e+00   
     1.461060        4.267497e+00      0.000000e+00      0.000000e+00      4.267497e+00   
     1.538940        4.148750e+00      0.000000e+00      0.000000e+00      4.148750e+00   
     1.616714        3.977534e+00      0.000000e+00      0.000000e+00      3.977534e+00   
     1.694174        3.760833e+00      0.000000e+00      0.000000e+00      3.760833e+00   
     1.771110        3.508304e+00      0.000000e+00      0.000000e+00      3.508304e+00   
     1.847315        3.231771e+00      0.000000e+00      0.000000e+00      3.231771e+00   
     1.922584        2.944520e+00      0.000000e+00      0.000000e+00      2.944520e+00   
     1.996714        2.658158e+00      0.000000e+00      0.000000e+00      2.658158e+00   
     2.069505        2.381937e+00      0.000000e+00      0.000000e+00      2.381937e+00   
