#        q              total               1              \delta U         \delta U^2    

     0.001185        4.318302e+04      4.375356e+04     -6.420933e+02      7.154458e+01   
     0.006239        3.215915e+04      3.273075e+04     -6.431366e+02      7.154517e+01   
     0.015318        2.470454e+04      2.527650e+04     -6.435081e+02      7.154455e+01   
     0.028399        1.762032e+04      1.819372e+04     -6.449329e+02      7.153838e+01   
     0.045447        1.482520e+04      1.539996e+04     -6.462864e+02      7.152210e+01   
     0.066417        1.301361e+04      1.359015e+04     -6.480394e+02      7.149576e+01   
     0.091251        1.134938e+04      1.192800e+04     -6.500705e+02      7.145045e+01   
     0.119882        9.828075e+03      1.040722e+04     -6.505256e+02      7.138332e+01   
     0.152235        8.708794e+03      9.288156e+03     -6.506483e+02      7.128598e+01   
     0.188220        7.674014e+03      8.252336e+03     -6.494835e+02      7.116182e+01   
     0.227742        6.720143e+03      7.296537e+03     -6.473972e+02      7.100233e+01   
     0.270694        6.273607e+03      6.847642e+03     -6.448497e+02      7.081494e+01   
     0.316959        5.639339e+03      6.209421e+03     -6.406881e+02      7.060624e+01   
     0.366414        5.241732e+03      5.806769e+03     -6.354289e+02      7.039140e+01   
     0.418925        4.863180e+03      5.421911e+03     -6.289228e+02      7.019148e+01   
     0.474351        4.503715e+03      5.054446e+03     -6.207663e+02      7.003607e+01   
     0.532541        4.163653e+03      4.703970e+03     -6.102761e+02      6.995988e+01   
     0.593339        3.842629e+03      4.370081e+03     -5.974582e+02      7.000652e+01   
     0.656582        3.694403e+03      4.209232e+03     -5.850380e+02      7.020925e+01   
     0.722098        3.402594e+03      3.899470e+03     -5.674897e+02      7.061341e+01   
     0.789711        3.129937e+03      3.605292e+03     -5.465805e+02      7.122575e+01   
     0.859239        3.007614e+03      3.463920e+03     -5.283817e+02      7.207568e+01   
     0.930495        2.763360e+03      3.192361e+03     -5.021256e+02      7.312513e+01   
     1.003286        2.537095e+03      2.935379e+03     -4.726104e+02      7.432726e+01   
     1.077416        2.327858e+03      2.692571e+03     -4.402723e+02      7.555936e+01   
     1.152685        2.036211e+03      2.354058e+03     -3.945821e+02      7.673480e+01   
     1.228890        1.777352e+03      2.045177e+03     -3.455189e+02      7.769381e+01   
     1.305826        1.472391e+03      1.677083e+03     -2.829280e+02      7.823664e+01   
     1.383286        8.732421e+02      9.533603e+02     -1.583377e+02      7.821956e+01   
     1.461060        7.753145e+01      0.000000e+00      0.000000e+00      7.753145e+01   
     1.538940        7.607405e+01      0.000000e+00      0.000000e+00      7.607405e+01   
     1.616714        7.382190e+01      0.000000e+00      0.000000e+00      7.382190e+01   
     1.694174        7.079711e+01      0.000000e+00      0.000000e+00      7.079711e+01   
     1.771110        6.706992e+01      0.000000e+00      0.000000e+00      6.706992e+01   
     1.847315        6.276834e+01      0.000000e+00      0.000000e+00      6.276834e+01   
     1.922584        5.807842e+01      0.000000e+00      0.000000e+00      5.807842e+01   
     1.996714        5.318755e+01      0.000000e+00      0.000000e+00      5.318755e+01   
     2.069505        4.826857e+01      0.000000e+00      0.000000e+00      4.826857e+01   
     2.140761        4.347371e+01      0.000000e+00      0.000000e+00      4.347371e+01   
     2.210289        3.892657e+01      0.000000e+00      0.000000e+00      3.892657e+01   
     2.277902        3.471767e+01      0.000000e+00      0.000000e+00      3.471767e+01   
     2.343418        3.089930e+01      0.000000e+00      0.000000e+00      3.089930e+01   
     2.406661        2.749953e+01      0.000000e+00      0.000000e+00      2.749953e+01   
     2.467459        2.451043e+01      0.000000e+00      0.000000e+00      2.451043e+01   
     2.525649        2.190582e+01      0.000000e+00      0.000000e+00      2.190582e+01   
     2.581075        1.965412e+01      0.000000e+00      0.000000e+00      1.965412e+01   
     2.633586        1.771809e+01      0.000000e+00      0.000000e+00      1.771809e+01   
     2.683041        1.606259e+01      0.000000e+00      0.000000e+00      1.606259e+01   
     2.729306        1.465028e+01      0.000000e+00      0.000000e+00      1.465028e+01   
     2.772258        1.344758e+01      0.000000e+00      0.000000e+00      1.344758e+01   
     2.811780        1.242706e+01      0.000000e+00      0.000000e+00      1.242706e+01   
     2.847765        1.156503e+01      0.000000e+00      0.000000e+00      1.156503e+01   
     2.880118        1.083992e+01      0.000000e+00      0.000000e+00      1.083992e+01   
     2.908749        1.023568e+01      0.000000e+00      0.000000e+00      1.023568e+01   
     2.933583        9.738072e+00      0.000000e+00      0.000000e+00      9.738072e+00   
     2.954553        9.336648e+00      0.000000e+00      0.000000e+00      9.336648e+00   
     2.971601        9.021963e+00      0.000000e+00      0.000000e+00      9.021963e+00   
     2.984682        8.787440e+00      0.000000e+00      0.000000e+00      8.787440e+00   
     2.993761        8.628276e+00      0.000000e+00      0.000000e+00      8.628276e+00   
     2.998815        8.540854e+00      0.000000e+00      0.000000e+00      8.540854e+00   
     3.004739        8.439405e+00      0.000000e+00      0.000000e+00      8.439405e+00   
     3.024957        8.101679e+00      0.000000e+00      0.000000e+00      8.101679e+00   
     3.061273        7.527160e+00      0.000000e+00      0.000000e+00      7.527160e+00   
     3.113597        6.766020e+00      0.000000e+00      0.000000e+00      6.766020e+00   
     3.181789        5.880832e+00      0.000000e+00      0.000000e+00      5.880832e+00   
     3.265666        4.937251e+00      0.000000e+00      0.000000e+00      4.937251e+00   
     3.365002        3.996487e+00      0.000000e+00      0.000000e+00      3.996487e+00   
     3.479529        3.110595e+00      0.000000e+00      0.000000e+00      3.110595e+00   
     3.608938        2.319595e+00      0.000000e+00      0.000000e+00      2.319595e+00   
     3.752880        1.650526e+00      0.000000e+00      0.000000e+00      1.650526e+00   
     3.910968        1.115988e+00      0.000000e+00      0.000000e+00      1.115988e+00   
     4.082775        7.148156e-01      0.000000e+00      0.000000e+00      7.148156e-01   
     4.267838        4.343998e-01      0.000000e+00      0.000000e+00      4.343998e-01   
     4.465657        2.541598e-01      0.000000e+00      0.000000e+00      2.541598e-01   
     4.675701        1.492145e-01      0.000000e+00      0.000000e+00      1.492145e-01   
     4.897402        9.473573e-02      0.000000e+00      0.000000e+00      9.473573e-02   
     5.130163        6.931915e-02      0.000000e+00      0.000000e+00      6.931915e-02   
     5.373356        5.727145e-02      0.000000e+00      0.000000e+00      5.727145e-02   
     5.626327        4.906617e-02      0.000000e+00      0.000000e+00      4.906617e-02   
     5.888392        4.045933e-02      0.000000e+00      0.000000e+00      4.045933e-02   
     6.158845        3.079639e-02      0.000000e+00      0.000000e+00      3.079639e-02   
     6.436958        2.116167e-02      0.000000e+00      0.000000e+00      2.116167e-02   
     6.721980        1.291413e-02      0.000000e+00      0.000000e+00      1.291413e-02   
     7.013143        6.872010e-03      0.000000e+00      0.000000e+00      6.872010e-03   
     7.309662        3.113657e-03      0.000000e+00      0.000000e+00      3.113657e-03   
     7.610739        1.179929e-03      0.000000e+00      0.000000e+00      1.179929e-03   
     7.915560        4.098572e-04      0.000000e+00      0.000000e+00      4.098572e-04   
     8.223305        2.149617e-04      0.000000e+00      0.000000e+00      2.149617e-04   
     8.533144        2.099606e-04      0.000000e+00      0.000000e+00      2.099606e-04   
     8.844241        2.129822e-04      0.000000e+00      0.000000e+00      2.129822e-04   
     9.155759        1.784747e-04      0.000000e+00      0.000000e+00      1.784747e-04   
     9.466856        1.217878e-04      0.000000e+00      0.000000e+00      1.217878e-04   
     9.776695        6.809673e-05      0.000000e+00      0.000000e+00      6.809673e-05   
    10.084440        3.112661e-05      0.000000e+00      0.000000e+00      3.112661e-05   
    10.389261        1.181818e-05      0.000000e+00      0.000000e+00      1.181818e-05   
    10.690338        4.580482e-06      0.000000e+00      0.000000e+00      4.580482e-06   
    10.986857        3.148651e-06      0.000000e+00      0.000000e+00      3.148651e-06   
    11.278020        3.356570e-06      0.000000e+00      0.000000e+00      3.356570e-06   
    11.563042        3.381164e-06      0.000000e+00      0.000000e+00      3.381164e-06   
    11.841155        2.883242e-06      0.000000e+00      0.000000e+00      2.883242e-06   
    12.111608        2.107284e-06      0.000000e+00      0.000000e+00      2.107284e-06   
    12.373673        1.348532e-06      0.000000e+00      0.000000e+00      1.348532e-06   
    12.626644        7.667825e-07      0.000000e+00      0.000000e+00      7.667825e-07   
    12.869837        3.909175e-07      0.000000e+00      0.000000e+00      3.909175e-07   
    13.102598        1.806155e-07      0.000000e+00      0.000000e+00      1.806155e-07   
    13.324299        7.822580e-08      0.000000e+00      0.000000e+00      7.822580e-08   
    13.534343        3.584424e-08      0.000000e+00      0.000000e+00      3.584424e-08   
    13.732162        2.204170e-08      0.000000e+00      0.000000e+00      2.204170e-08   
    13.917225        1.958641e-08      0.000000e+00      0.000000e+00      1.958641e-08   
    14.089032        2.039561e-08      0.000000e+00      0.000000e+00      2.039561e-08   
    14.247120        2.136952e-08      0.000000e+00      0.000000e+00      2.136952e-08   
    14.391062        2.173041e-08      0.000000e+00      0.000000e+00      2.173041e-08   
    14.520471        2.152398e-08      0.000000e+00      0.000000e+00      2.152398e-08   
    14.634998        2.100777e-08      0.000000e+00      0.000000e+00      2.100777e-08   
    14.734334        2.041375e-08      0.000000e+00      0.000000e+00      2.041375e-08   
    14.818211        1.985386e-08      0.000000e+00      0.000000e+00      1.985386e-08   
    14.886403        1.936923e-08      0.000000e+00      0.000000e+00      1.936923e-08   
    14.938727        1.897899e-08      0.000000e+00      0.000000e+00      1.897899e-08   
    14.975043        1.871241e-08      0.000000e+00      0.000000e+00      1.871241e-08   
    14.995261        1.859462e-08      0.000000e+00      0.000000e+00      1.859462e-08   
