#        q              total               1              \delta U         \delta U^2    

     0.001185        6.069530e+04      6.069580e+04     -5.002563e-01      2.472989e-04   
     0.006239        3.729121e+04      3.729171e+04     -5.032162e-01      2.465431e-04   
     0.015318        2.634014e+04      2.634065e+04     -5.076663e-01      2.424324e-04   
     0.028399        2.038302e+04      2.038353e+04     -5.148242e-01      2.327536e-04   
     0.045447        1.655881e+04      1.655933e+04     -5.241122e-01      2.199615e-04   
     0.066417        1.393957e+04      1.394010e+04     -5.360458e-01      2.062198e-04   
     0.091251        1.192745e+04      1.192800e+04     -5.494978e-01      1.873593e-04   
     0.119882        1.040666e+04      1.040722e+04     -5.589635e-01      1.710569e-04   
     0.152235        9.287591e+03      9.288156e+03     -5.655529e-01      1.504203e-04   
     0.188220        8.251766e+03      8.252336e+03     -5.698635e-01      1.305174e-04   
     0.227742        7.527588e+03      7.528161e+03     -5.728773e-01      1.125307e-04   
     0.270694        6.847067e+03      6.847642e+03     -5.749023e-01      9.488385e-05   
     0.316959        6.416969e+03      6.417545e+03     -5.761087e-01      8.241324e-05   
     0.366414        6.005269e+03      6.005846e+03     -5.765780e-01      6.966891e-05   
     0.418925        5.421336e+03      5.421911e+03     -5.757176e-01      6.131120e-05   
     0.474351        5.053871e+03      5.054446e+03     -5.744098e-01      5.304997e-05   
     0.532541        4.876536e+03      4.877109e+03     -5.733770e-01      4.810413e-05   
     0.593339        4.534407e+03      4.534977e+03     -5.700516e-01      4.316201e-05   
     0.656582        4.208666e+03      4.209232e+03     -5.650699e-01      4.043159e-05   
     0.722098        3.898913e+03      3.899470e+03     -5.579815e-01      3.809269e-05   
     0.789711        3.749905e+03      3.750458e+03     -5.531850e-01      3.742077e-05   
     0.859239        3.463378e+03      3.463920e+03     -5.418750e-01      3.749646e-05   
     0.930495        3.191834e+03      3.192361e+03     -5.273189e-01      3.917718e-05   
     1.003286        2.934869e+03      2.935379e+03     -5.092756e-01      4.196164e-05   
     1.077416        2.692083e+03      2.692571e+03     -4.877957e-01      4.657974e-05   
     1.152685        2.463073e+03      2.463536e+03     -4.631160e-01      5.290754e-05   
     1.228890        2.044769e+03      2.045177e+03     -4.074169e-01      6.146984e-05   
     1.305826        1.676736e+03      1.677083e+03     -3.463032e-01      7.230240e-05   
     1.383286        8.369175e+02      8.370962e+02     -1.788472e-01      8.565281e-05   
     1.461060        1.016077e-04      0.000000e+00      0.000000e+00      1.016077e-04   
     1.538940        1.202741e-04      0.000000e+00      0.000000e+00      1.202741e-04   
     1.616714        1.417510e-04      0.000000e+00      0.000000e+00      1.417510e-04   
     1.694174        1.661325e-04      0.000000e+00      0.000000e+00      1.661325e-04   
     1.771110        1.934884e-04      0.000000e+00      0.000000e+00      1.934884e-04   
     1.847315        2.238543e-04      0.000000e+00      0.000000e+00      2.238543e-04   
     1.922584        2.572225e-04      0.000000e+00      0.000000e+00      2.572225e-04   
     1.996714        2.935228e-04      0.000000e+00      0.000000e+00      2.935228e-04   
     2.069505        3.326519e-04      0.000000e+00      0.000000e+00      3.326519e-04   
     2.140761        3.744679e-04      0.000000e+00      0.000000e+00      3.744679e-04   
     2.210289        4.187494e-04      0.000000e+00      0.000000e+00      4.187494e-04   
     2.277902        4.652134e-04      0.000000e+00      0.000000e+00      4.652134e-04   
     2.343418        5.134934e-04      0.000000e+00      0.000000e+00      5.134934e-04   
     2.406661        5.633163e-04      0.000000e+00      0.000000e+00      5.633163e-04   
     2.467459        6.142551e-04      0.000000e+00      0.000000e+00      6.142551e-04   
     2.525649        6.659000e-04      0.000000e+00      0.000000e+00      6.659000e-04   
     2.581075        7.176840e-04      0.000000e+00      0.000000e+00      7.176840e-04   
     2.633586        7.691096e-04      0.000000e+00      0.000000e+00      7.691096e-04   
     2.683041        8.196290e-04      0.000000e+00      0.000000e+00      8.196290e-04   
     2.729306        8.686140e-04      0.000000e+00      0.000000e+00      8.686140e-04   
     2.772258        9.154502e-04      0.000000e+00      0.000000e+00      9.154502e-04   
     2.811780        9.597877e-04      0.000000e+00      0.000000e+00      9.597877e-04   
     2.847765        1.001161e-03      0.000000e+00      0.000000e+00      1.001161e-03   
     2.880118        1.039259e-03      0.000000e+00      0.000000e+00      1.039259e-03   
     2.908749        1.073761e-03      0.000000e+00      0.000000e+00      1.073761e-03   
     2.933583        1.104356e-03      0.000000e+00      0.000000e+00      1.104356e-03   
     2.954553        1.130720e-03      0.000000e+00      0.000000e+00      1.130720e-03   
     2.971601        1.152529e-03      0.000000e+00      0.000000e+00      1.152529e-03   
     2.984682        1.169494e-03      0.000000e+00      0.000000e+00      1.169494e-03   
     2.993761        1.181385e-03      0.000000e+00      0.000000e+00      1.181385e-03   
     2.998815        1.188032e-03      0.000000e+00      0.000000e+00      1.188032e-03   
     3.004739        1.195812e-03      0.000000e+00      0.000000e+00      1.195812e-03   
     3.024957        1.222284e-03      0.000000e+00      0.000000e+00      1.222284e-03   
     3.061273        1.269862e-03      0.000000e+00      0.000000e+00      1.269862e-03   
     3.113597        1.338964e-03      0.000000e+00      0.000000e+00      1.338964e-03   
     3.181789        1.430863e-03      0.000000e+00      0.000000e+00      1.430863e-03   
     3.265666        1.548767e-03      0.000000e+00      0.000000e+00      1.548767e-03   
     3.365002        1.692510e-03      0.000000e+00      0.000000e+00      1.692510e-03   
