#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.709939e+09      1.709981e+09     -1.653833e+05      1.235547e+05   
     0.001185          0.009274        8.519932e+08      8.519977e+08     -1.176491e+05      1.131350e+05   
     0.001185          0.022740        4.378553e+08      4.378438e+08     -8.630027e+04      9.779255e+04   
     0.001185          0.042083        2.656575e+08      2.656423e+08     -6.780250e+04      8.301333e+04   
     0.001185          0.067187        1.772649e+08      1.772495e+08     -5.543662e+04      7.083504e+04   
     0.001185          0.097901        1.264470e+08      1.264328e+08     -4.698566e+04      6.119815e+04   
     0.001185          0.134040        9.465174e+07      9.463863e+07     -4.046480e+04      5.357000e+04   
     0.001185          0.175388        7.383733e+07      7.382573e+07     -3.589162e+04      4.749099e+04   
     0.001185          0.221694        5.818120e+07      5.817049e+07     -3.186043e+04      4.257361e+04   
     0.001185          0.272682        4.839331e+07      4.838408e+07     -2.928999e+04      3.852185e+04   
     0.001185          0.328043        4.070225e+07      4.069394e+07     -2.686166e+04      3.517310e+04   
     0.001185          0.387446        3.405828e+07      3.405052e+07     -2.457140e+04      3.233011e+04   
     0.001185          0.450533        2.834407e+07      2.833660e+07     -2.241516e+04      2.988328e+04   
     0.001185          0.516924        2.499747e+07      2.499043e+07     -2.105013e+04      2.808422e+04   
     0.001185          0.586221        2.198677e+07      2.198023e+07     -1.974168e+04      2.627926e+04   
     0.001185          0.658006        1.928472e+07      1.927845e+07     -1.848860e+04      2.475359e+04   
     0.001185          0.731848        1.804054e+07      1.803509e+07     -1.788246e+04      2.333386e+04   
     0.001185          0.807302        1.575397e+07      1.574806e+07     -1.671020e+04      2.261188e+04   
     0.001185          0.883916        1.470393e+07      1.469856e+07     -1.614379e+04      2.151201e+04   
     0.001185          0.961228        1.277956e+07      1.277371e+07     -1.504965e+04      2.090445e+04   
     0.001185          1.038772        1.189901e+07      1.189310e+07     -1.452163e+04      2.043381e+04   
     0.001185          1.116084        1.106952e+07      1.106366e+07     -1.400611e+04      1.986607e+04   
     0.001185          1.192698        1.028892e+07      1.028301e+07     -1.350293e+04      1.941822e+04   
     0.001185          1.268152        9.554755e+06      9.548804e+06     -1.301195e+04      1.896314e+04   
     0.001185          1.341994        8.864810e+06      8.858815e+06     -1.253302e+04      1.852766e+04   
     0.001185          1.413779        8.216922e+06      8.210884e+06     -1.206599e+04      1.810424e+04   
     0.001185          1.483076        7.608917e+06      7.602935e+06     -1.161071e+04      1.759259e+04   
     0.001185          1.549467        7.038777e+06      7.032969e+06     -1.116702e+04      1.697441e+04   
     0.001185          1.612554        6.504677e+06      6.499064e+06     -1.073479e+04      1.634775e+04   
     0.001185          1.671957        6.504289e+06      6.499064e+06     -1.073479e+04      1.595911e+04   
     0.001185          1.727318        6.004675e+06      5.999371e+06     -1.031385e+04      1.561738e+04   
     0.001185          1.778306        5.537159e+06      5.532113e+06     -9.904066e+03      1.494996e+04   
     0.001185          1.824612        5.536913e+06      5.532113e+06     -9.904066e+03      1.470443e+04   
