#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.709981e+09      1.709981e+09     -5.366324e+02      2.859643e+02   
     0.001185          0.009274        8.519976e+08      8.519977e+08     -3.817454e+02      2.618116e+02   
     0.001185          0.022740        4.378438e+08      4.378438e+08     -2.800254e+02      2.262547e+02   
     0.001185          0.042083        2.656423e+08      2.656423e+08     -2.200042e+02      1.920151e+02   
     0.001185          0.067187        1.772495e+08      1.772495e+08     -1.798797e+02      1.638129e+02   
     0.001185          0.097901        1.264328e+08      1.264328e+08     -1.524581e+02      1.415044e+02   
     0.001185          0.134040        9.463862e+07      9.463863e+07     -1.312994e+02      1.238522e+02   
     0.001185          0.175388        7.382573e+07      7.382573e+07     -1.164604e+02      1.097881e+02   
     0.001185          0.221694        5.817049e+07      5.817049e+07     -1.033801e+02      9.841310e+01   
     0.001185          0.272682        4.838407e+07      4.838408e+07     -9.503958e+01      8.904161e+01   
     0.001185          0.328043        4.069393e+07      4.069394e+07     -8.716018e+01      8.129724e+01   
     0.001185          0.387446        3.405052e+07      3.405052e+07     -7.972879e+01      7.472261e+01   
     0.001185          0.450533        2.833660e+07      2.833660e+07     -7.273227e+01      6.906490e+01   
     0.001185          0.516924        2.499043e+07      2.499043e+07     -6.830306e+01      6.490732e+01   
     0.001185          0.586221        2.198023e+07      2.198023e+07     -6.405741e+01      6.073427e+01   
     0.001185          0.658006        1.927845e+07      1.927845e+07     -5.999145e+01      5.720760e+01   
     0.001185          0.731848        1.803509e+07      1.803509e+07     -5.802464e+01      5.392538e+01   
     0.001185          0.807302        1.574806e+07      1.574806e+07     -5.422092e+01      5.225943e+01   
     0.001185          0.883916        1.469856e+07      1.469856e+07     -5.238304e+01      4.971729e+01   
     0.001185          0.961228        1.277371e+07      1.277371e+07     -4.883282e+01      4.831510e+01   
     0.001185          1.038772        1.189310e+07      1.189310e+07     -4.711951e+01      4.723034e+01   
     0.001185          1.116084        1.106367e+07      1.106366e+07     -4.544674e+01      4.592031e+01   
     0.001185          1.192698        1.028301e+07      1.028301e+07     -4.381405e+01      4.488826e+01   
     0.001185          1.268152        9.548806e+06      9.548804e+06     -4.222093e+01      4.383887e+01   
     0.001185          1.341994        8.858817e+06      8.858815e+06     -4.066690e+01      4.283439e+01   
     0.001185          1.413779        8.210887e+06      8.210884e+06     -3.915148e+01      4.185746e+01   
     0.001185          1.483076        7.602938e+06      7.602935e+06     -3.767419e+01      4.067567e+01   
     0.001185          1.549467        7.032972e+06      7.032969e+06     -3.623453e+01      3.924708e+01   
     0.001185          1.612554        6.499067e+06      6.499064e+06     -3.483202e+01      3.779858e+01   
     0.001185          1.671957        6.499066e+06      6.499064e+06     -3.483202e+01      3.690200e+01   
     0.001185          1.727318        5.999374e+06      5.999371e+06     -3.346618e+01      3.611307e+01   
     0.001185          1.778306        5.532116e+06      5.532113e+06     -3.213652e+01      3.456889e+01   
     0.001185          1.824612        5.532115e+06      5.532113e+06     -3.213652e+01      3.400326e+01   
     0.001185          1.865960        5.095586e+06      5.095584e+06     -3.084255e+01      3.282824e+01   
     0.001185          1.902099        5.095585e+06      5.095584e+06     -3.084255e+01      3.214725e+01   
     0.001185          1.932813        4.688146e+06      4.688144e+06     -2.958379e+01      3.098959e+01   
     0.001185          1.957917        4.688146e+06      4.688144e+06     -2.958379e+01      3.072980e+01   
     0.001185          1.977260        4.688145e+06      4.688144e+06     -2.958379e+01      3.021055e+01   
