#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.928459e+08      8.929301e+08     -1.563984e+05      7.216723e+04   
     0.001185          0.009274        5.705180e+08      5.705810e+08     -1.272451e+05      6.419237e+04   
     0.001185          0.022740        3.610571e+08      3.611064e+08     -1.010242e+05      5.172026e+04   
     0.001185          0.042083        1.494936e+08      1.495172e+08     -5.457960e+04      3.105453e+04   
     0.001185          0.067187        1.076358e+08      1.076571e+08     -4.941336e+04      2.803511e+04   
     0.001185          0.097901        8.490018e+07      8.491934e+07     -4.393562e+04      2.477509e+04   
     0.001185          0.134040        6.682686e+07      6.684371e+07     -3.823723e+04      2.138777e+04   
     0.001185          0.175388        5.260544e+07      5.262007e+07     -3.339672e+04      1.876815e+04   
     0.001185          0.221694        4.268835e+07      4.270148e+07     -3.018153e+04      1.705375e+04   
     0.001185          0.272682        3.548013e+07      3.549228e+07     -2.804903e+04      1.590261e+04   
     0.001185          0.328043        2.917743e+07      2.918833e+07     -2.577219e+04      1.487223e+04   
     0.001185          0.387446        2.512980e+07      2.514008e+07     -2.441186e+04      1.412515e+04   
     0.001185          0.450533        2.259667e+07      2.260649e+07     -2.334502e+04      1.353308e+04   
     0.001185          0.516924        1.920601e+07      1.921497e+07     -2.181468e+04      1.285981e+04   
     0.001185          0.586221        1.738915e+07      1.739768e+07     -2.107524e+04      1.254619e+04   
     0.001185          0.658006        1.568485e+07      1.569259e+07     -1.964688e+04      1.190293e+04   
     0.001185          0.731848        1.415277e+07      1.416012e+07     -1.895757e+04      1.160146e+04   
     0.001185          0.807302        1.314667e+07      1.315359e+07     -1.828457e+04      1.135741e+04   
     0.001185          0.883916        1.186610e+07      1.187264e+07     -1.762768e+04      1.108619e+04   
     0.001185          0.961228        1.067341e+07      1.067913e+07     -1.642527e+04      1.070297e+04   
     0.001185          1.038772        9.876571e+06      9.881945e+06     -1.575180e+04      1.037805e+04   
     0.001185          1.116084        8.973428e+06      8.978452e+06     -1.515744e+04      1.013346e+04   
     0.001185          1.192698        8.190244e+06      8.194904e+06     -1.457822e+04      9.918895e+03   
     0.001185          1.268152        7.583412e+06      7.587754e+06     -1.401395e+04      9.671728e+03   
     0.001185          1.341994        7.014479e+06      7.018557e+06     -1.346443e+04      9.386917e+03   
     0.001185          1.413779        6.481538e+06      6.485391e+06     -1.292947e+04      9.076793e+03   
     0.001185          1.483076        6.205715e+06      6.209353e+06     -1.240887e+04      8.771447e+03   
     0.001185          1.549467        5.823933e+06      5.827458e+06     -1.207939e+04      8.554695e+03   
     0.001185          1.612554        5.516259e+06      5.519833e+06     -1.190243e+04      8.328511e+03   
     0.001185          1.671957        5.080488e+06      5.083958e+06     -1.140996e+04      7.940086e+03   
     0.001185          1.727318        4.673769e+06      4.677148e+06     -1.093127e+04      7.552459e+03   
     0.001185          1.778306        4.474811e+06      4.478140e+06     -1.046616e+04      7.136920e+03   
     0.001185          1.824612        4.294356e+06      4.297829e+06     -1.046616e+04      6.992845e+03   
     0.001185          1.865960        4.108917e+06      4.112331e+06     -1.001443e+04      6.600288e+03   
     0.001185          1.902099        3.940856e+06      3.944497e+06     -1.001443e+04      6.374233e+03   
     0.001185          1.932813        3.768279e+06      3.771764e+06     -9.575890e+03      6.090825e+03   
     0.001185          1.957917        3.612110e+06      3.615706e+06     -9.575890e+03      5.980111e+03   
