#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.926595e+08      8.929301e+08     -2.781394e+05      7.551500e+03   
     0.001185          0.009274        5.703619e+08      5.705810e+08     -2.262932e+05      7.166290e+03   
     0.001185          0.022740        3.609331e+08      3.611064e+08     -1.796618e+05      6.352970e+03   
     0.001185          0.042083        1.494255e+08      1.495172e+08     -9.706458e+04      5.359019e+03   
     0.001185          0.067187        1.075744e+08      1.076571e+08     -8.787691e+04      5.134883e+03   
     0.001185          0.097901        8.484611e+07      8.491934e+07     -7.813527e+04      4.900332e+03   
     0.001185          0.134040        6.678037e+07      6.684371e+07     -6.800123e+04      4.658399e+03   
     0.001185          0.175388        5.256514e+07      5.262007e+07     -5.939286e+04      4.457276e+03   
     0.001185          0.221694        4.265209e+07      4.270148e+07     -5.367494e+04      4.287007e+03   
     0.001185          0.272682        3.544652e+07      3.549228e+07     -4.988250e+04      4.122750e+03   
     0.001185          0.328043        2.914644e+07      2.918833e+07     -4.583336e+04      3.948328e+03   
     0.001185          0.387446        2.510044e+07      2.514008e+07     -4.341414e+04      3.772430e+03   
     0.001185          0.450533        2.256856e+07      2.260649e+07     -4.151688e+04      3.594670e+03   
     0.001185          0.516924        1.917957e+07      1.921497e+07     -3.879530e+04      3.401263e+03   
     0.001185          0.586221        1.736342e+07      1.739768e+07     -3.748029e+04      3.218182e+03   
     0.001185          0.658006        1.566067e+07      1.569259e+07     -3.494010e+04      3.021167e+03   
     0.001185          0.731848        1.412924e+07      1.416012e+07     -3.371421e+04      2.831626e+03   
     0.001185          0.807302        1.312373e+07      1.315359e+07     -3.251734e+04      2.648121e+03   
     0.001185          0.883916        1.184375e+07      1.187264e+07     -3.134914e+04      2.463156e+03   
     0.001185          0.961228        1.065220e+07      1.067913e+07     -2.921076e+04      2.277305e+03   
     0.001185          1.038772        9.856033e+06      9.881945e+06     -2.801306e+04      2.101009e+03   
     0.001185          1.116084        8.953432e+06      8.978452e+06     -2.695605e+04      1.935396e+03   
     0.001185          1.192698        8.170755e+06      8.194904e+06     -2.592596e+04      1.777598e+03   
     0.001185          1.268152        7.564461e+06      7.587754e+06     -2.492246e+04      1.629339e+03   
     0.001185          1.341994        6.996102e+06      7.018557e+06     -2.394520e+04      1.490784e+03   
     0.001185          1.413779        6.463759e+06      6.485391e+06     -2.299382e+04      1.361423e+03   
     0.001185          1.483076        6.188527e+06      6.209353e+06     -2.206798e+04      1.242620e+03   
     0.001185          1.549467        5.807114e+06      5.827458e+06     -2.148203e+04      1.137751e+03   
     0.001185          1.612554        5.499710e+06      5.519833e+06     -2.116733e+04      1.044391e+03   
     0.001185          1.671957        5.064621e+06      5.083958e+06     -2.029152e+04      9.545737e+02   
     0.001185          1.727318        4.658578e+06      4.677148e+06     -1.944022e+04      8.710184e+02   
     0.001185          1.778306        4.460326e+06      4.478140e+06     -1.861306e+04      7.982907e+02   
     0.001185          1.824612        4.279962e+06      4.297829e+06     -1.861306e+04      7.455233e+02   
     0.001185          1.865960        4.095208e+06      4.112331e+06     -1.780970e+04      6.871683e+02   
     0.001185          1.902099        3.927333e+06      3.944497e+06     -1.780970e+04      6.464313e+02   
     0.001185          1.932813        3.755341e+06      3.771764e+06     -1.702980e+04      6.068224e+02   
     0.001185          1.957917        3.599259e+06      3.615706e+06     -1.702980e+04      5.832700e+02   
     0.001185          1.977260        3.439308e+06      3.455026e+06     -1.627301e+04      5.552095e+02   
     0.001185          1.990726        3.439293e+06      3.455026e+06     -1.627301e+04      5.405343e+02   
     0.001185          1.998238        3.439287e+06      3.455026e+06     -1.627301e+04      5.338592e+02   
     0.006239          0.001762        5.025514e+08      5.027595e+08     -2.118556e+05      3.734693e+03   
     0.006239          0.009274        4.738259e+08      4.740179e+08     -1.956905e+05      3.707594e+03   
     0.006239          0.022740        3.203234e+08      3.204741e+08     -1.543444e+05      3.652849e+03   
     0.006239          0.042083        1.544978e+08      1.545912e+08     -9.698014e+04      3.578955e+03   
     0.006239          0.067187        1.073096e+08      1.073931e+08     -8.704658e+04      3.542130e+03   
     0.006239          0.097901        8.446422e+07      8.453777e+07     -7.705621e+04      3.501086e+03   
     0.006239          0.134040        6.623805e+07      6.630165e+07     -6.705267e+04      3.458149e+03   
     0.006239          0.175388        5.260352e+07      5.265920e+07     -5.909399e+04      3.413359e+03   
     0.006239          0.221694        4.277319e+07      4.282339e+07     -5.354656e+04      3.344651e+03   
     0.006239          0.272682        3.528920e+07      3.533524e+07     -4.928891e+04      3.252484e+03   
     0.006239          0.328043        2.969240e+07      2.973524e+07     -4.597788e+04      3.136941e+03   
     0.006239          0.387446        2.544990e+07      2.549014e+07     -4.324476e+04      3.005965e+03   
     0.006239          0.450533        2.230020e+07      2.233845e+07     -4.111967e+04      2.862558e+03   
     0.006239          0.516924        1.940358e+07      1.943936e+07     -3.848912e+04      2.707035e+03   
     0.006239          0.586221        1.756807e+07      1.760271e+07     -3.718449e+04      2.544864e+03   
     0.006239          0.658006        1.565167e+07      1.568426e+07     -3.496858e+04      2.377315e+03   
     0.006239          0.731848        1.412888e+07      1.416012e+07     -3.344813e+04      2.206455e+03   
     0.006239          0.807302        1.297780e+07      1.300803e+07     -3.226071e+04      2.035918e+03   
     0.006239          0.883916        1.177270e+07      1.180175e+07     -3.091603e+04      1.867969e+03   
     0.006239          0.961228        1.078129e+07      1.080892e+07     -2.933244e+04      1.701939e+03   
     0.006239          1.038772        9.849085e+06      9.875433e+06     -2.789065e+04      1.542486e+03   
     0.006239          1.116084        8.975136e+06      9.000488e+06     -2.674330e+04      1.390678e+03   
     0.006239          1.192698        8.235951e+06      8.260426e+06     -2.572135e+04      1.246791e+03   
     0.006239          1.268152        7.588155e+06      7.611768e+06     -2.472577e+04      1.112974e+03   
     0.006239          1.341994        7.022576e+06      7.045343e+06     -2.375622e+04      9.888309e+02   
     0.006239          1.413779        6.530467e+06      6.552403e+06     -2.281234e+04      8.755105e+02   
     0.006239          1.483076        6.131068e+06      6.152290e+06     -2.199507e+04      7.731296e+02   
     0.006239          1.549467        5.836050e+06      5.856788e+06     -2.141976e+04      6.820018e+02   
     0.006239          1.612554        5.484144e+06      5.504484e+06     -2.094188e+04      6.013272e+02   
     0.006239          1.671957        5.064357e+06      5.083958e+06     -2.013138e+04      5.301218e+02   
     0.006239          1.727318        4.701591e+06      4.720410e+06     -1.928679e+04      4.685386e+02   
     0.006239          1.778306        4.481168e+06      4.499305e+06     -1.855344e+04      4.159165e+02   
     0.006239          1.824612        4.279735e+06      4.297829e+06     -1.846616e+04      3.718127e+02   
     0.006239          1.865960        4.076825e+06      4.094159e+06     -1.766914e+04      3.346335e+02   
     0.006239          1.902099        3.862823e+06      3.879898e+06     -1.737978e+04      3.046142e+02   
     0.006239          1.932813        3.755149e+06      3.771764e+06     -1.689540e+04      2.804908e+02   
     0.006239          1.957917        3.630896e+06      3.647502e+06     -1.686879e+04      2.619465e+02   
     0.006239          1.977260        3.469315e+06      3.485353e+06     -1.628629e+04      2.479885e+02   
     0.006239          1.990726        3.439120e+06      3.455026e+06     -1.614457e+04      2.388316e+02   
     0.006239          1.998238        3.439115e+06      3.455026e+06     -1.614457e+04      2.339382e+02   
     0.015318          0.001762        2.570434e+08      2.571805e+08     -1.403925e+05      3.360994e+03   
     0.015318          0.009274        2.374282e+08      2.375528e+08     -1.279050e+05      3.355011e+03   
     0.015318          0.022740        2.058483e+08      2.059535e+08     -1.085363e+05      3.340156e+03   
     0.015318          0.042083        1.538924e+08      1.539837e+08     -9.456874e+04      3.323374e+03   
     0.015318          0.067187        1.058733e+08      1.059557e+08     -8.567117e+04      3.309378e+03   
     0.015318          0.097901        8.320230e+07      8.327531e+07     -7.629769e+04      3.294136e+03   
     0.015318          0.134040        6.573036e+07      6.579388e+07     -6.680123e+04      3.278137e+03   
     0.015318          0.175388        5.234348e+07      5.239915e+07     -5.892036e+04      3.255253e+03   
     0.015318          0.221694        4.264046e+07      4.269065e+07     -5.338987e+04      3.201762e+03   
     0.015318          0.272682        3.524049e+07      3.528657e+07     -4.920703e+04      3.120057e+03   
     0.015318          0.328043        2.964638e+07      2.968924e+07     -4.587661e+04      3.013147e+03   
     0.015318          0.387446        2.542149e+07      2.546176e+07     -4.316607e+04      2.889088e+03   
     0.015318          0.450533        2.213807e+07      2.217603e+07     -4.071229e+04      2.751500e+03   
     0.015318          0.516924        1.962558e+07      1.966177e+07     -3.878570e+04      2.601035e+03   
     0.015318          0.586221        1.742787e+07      1.746216e+07     -3.673026e+04      2.443259e+03   
     0.015318          0.658006        1.565524e+07      1.568804e+07     -3.507426e+04      2.280296e+03   
     0.015318          0.731848        1.419535e+07      1.422673e+07     -3.349832e+04      2.112960e+03   
     0.015318          0.807302        1.287507e+07      1.290512e+07     -3.199956e+04      1.945825e+03   
     0.015318          0.883916        1.175447e+07      1.178331e+07     -3.062083e+04      1.780502e+03   
     0.015318          0.961228        1.074616e+07      1.077386e+07     -2.931726e+04      1.617573e+03   
     0.015318          1.038772        9.853605e+06      9.880231e+06     -2.808751e+04      1.461190e+03   
     0.015318          1.116084        9.056474e+06      9.082092e+06     -2.693011e+04      1.311944e+03   
     0.015318          1.192698        8.342434e+06      8.367106e+06     -2.584337e+04      1.170521e+03   
     0.015318          1.268152        7.704172e+06      7.727958e+06     -2.482530e+04      1.039283e+03   
     0.015318          1.341994        7.134671e+06      7.157627e+06     -2.387359e+04      9.178350e+02   
     0.015318          1.413779        6.627202e+06      6.649380e+06     -2.298562e+04      8.074133e+02   
     0.015318          1.483076        6.175331e+06      6.196781e+06     -2.215847e+04      7.077713e+02   
     0.015318          1.549467        5.774876e+06      5.795646e+06     -2.138897e+04      6.189202e+02   
     0.015318          1.612554        5.420076e+06      5.440209e+06     -2.067372e+04      5.406463e+02   
     0.015318          1.671957        5.045505e+06      5.065042e+06     -2.000919e+04      4.723124e+02   
     0.015318          1.727318        4.732828e+06      4.751664e+06     -1.924893e+04      4.133363e+02   
     0.015318          1.778306        4.494358e+06      4.512699e+06     -1.870411e+04      3.631797e+02   
     0.015318          1.824612        4.240284e+06      4.258167e+06     -1.820415e+04      3.212201e+02   
     0.015318          1.865960        4.045298e+06      4.062681e+06     -1.766951e+04      2.862235e+02   
     0.015318          1.902099        3.860456e+06      3.877483e+06     -1.728442e+04      2.580288e+02   
     0.015318          1.932813        3.732551e+06      3.749215e+06     -1.689983e+04      2.355705e+02   
     0.015318          1.957917        3.607768e+06      3.624176e+06     -1.662597e+04      2.182823e+02   
     0.015318          1.977260        3.509997e+06      3.526181e+06     -1.638921e+04      2.052999e+02   
     0.015318          1.990726        3.463394e+06      3.479423e+06     -1.622575e+04      1.965746e+02   
     0.015318          1.998238        3.435369e+06      3.451312e+06     -1.613504e+04      1.918087e+02   
     0.028399          0.001762        1.190813e+08      1.191686e+08     -9.052801e+04      3.230643e+03   
     0.028399          0.009274        1.191257e+08      1.192129e+08     -9.041171e+04      3.229774e+03   
     0.028399          0.022740        1.192165e+08      1.193030e+08     -8.967226e+04      3.228275e+03   
     0.028399          0.042083        1.205518e+08      1.206358e+08     -8.723841e+04      3.226171e+03   
     0.028399          0.067187        1.040232e+08      1.041015e+08     -8.156590e+04      3.219012e+03   
     0.028399          0.097901        7.990773e+07      7.997854e+07     -7.402423e+04      3.212032e+03   
     0.028399          0.134040        6.420373e+07      6.426661e+07     -6.608711e+04      3.204705e+03   
     0.028399          0.175388        5.175455e+07      5.181020e+07     -5.883576e+04      3.189480e+03   
     0.028399          0.221694        4.225395e+07      4.230403e+07     -5.322342e+04      3.141623e+03   
     0.028399          0.272682        3.505882e+07      3.510483e+07     -4.907231e+04      3.064124e+03   
     0.028399          0.328043        2.960394e+07      2.964681e+07     -4.582510e+04      2.960689e+03   
     0.028399          0.387446        2.535646e+07      2.539667e+07     -4.305384e+04      2.839387e+03   
     0.028399          0.450533        2.214219e+07      2.218022e+07     -4.073889e+04      2.704217e+03   
     0.028399          0.516924        1.950369e+07      1.953970e+07     -3.856067e+04      2.556081e+03   
     0.028399          0.586221        1.743280e+07      1.746715e+07     -3.675416e+04      2.400253e+03   
     0.028399          0.658006        1.566706e+07      1.569980e+07     -3.498342e+04      2.239163e+03   
     0.028399          0.731848        1.415233e+07      1.418367e+07     -3.340870e+04      2.073586e+03   
     0.028399          0.807302        1.287287e+07      1.290287e+07     -3.191559e+04      1.907920e+03   
     0.028399          0.883916        1.171348e+07      1.174223e+07     -3.050307e+04      1.744196e+03   
     0.028399          0.961228        1.073737e+07      1.076507e+07     -2.928237e+04      1.582870e+03   
     0.028399          1.038772        9.857489e+06      9.884183e+06     -2.812110e+04      1.427812e+03   
     0.028399          1.116084        9.094943e+06      9.120673e+06     -2.700978e+04      1.279892e+03   
     0.028399          1.192698        8.396046e+06      8.420834e+06     -2.592793e+04      1.139889e+03   
     0.028399          1.268152        7.763596e+06      7.787501e+06     -2.491485e+04      1.010028e+03   
     0.028399          1.341994        7.191805e+06      7.214883e+06     -2.396796e+04      8.898277e+02   
     0.028399          1.413779        6.668211e+06      6.690491e+06     -2.306097e+04      7.806377e+02   
     0.028399          1.483076        6.187675e+06      6.209182e+06     -2.218853e+04      6.822716e+02   
     0.028399          1.549467        5.750023e+06      5.770787e+06     -2.135862e+04      5.946488e+02   
     0.028399          1.612554        5.365246e+06      5.385298e+06     -2.056929e+04      5.174747e+02   
     0.028399          1.671957        5.048019e+06      5.067447e+06     -1.987906e+04      4.502700e+02   
     0.028399          1.727318        4.758555e+06      4.777456e+06     -1.929352e+04      3.924877e+02   
     0.028399          1.778306        4.478658e+06      4.497048e+06     -1.873381e+04      3.433404e+02   
     0.028399          1.824612        4.245750e+06      4.263547e+06     -1.809830e+04      3.021404e+02   
     0.028399          1.865960        4.040176e+06      4.057592e+06     -1.768399e+04      2.678500e+02   
     0.028399          1.902099        3.875847e+06      3.892845e+06     -1.723796e+04      2.397705e+02   
     0.028399          1.932813        3.713074e+06      3.729752e+06     -1.689534e+04      2.173839e+02   
     0.028399          1.957917        3.605487e+06      3.621848e+06     -1.656114e+04      2.000072e+02   
