#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.928054e+08      8.929301e+08     -1.328290e+05      8.127617e+03   
     0.001185          0.009274        5.704803e+08      5.705810e+08     -1.080691e+05      7.399882e+03   
     0.001185          0.022740        3.610269e+08      3.611064e+08     -8.579971e+04      6.269880e+03   
     0.001185          0.042083        1.494752e+08      1.495172e+08     -4.635440e+04      4.384558e+03   
     0.001185          0.067187        1.076193e+08      1.076571e+08     -4.196671e+04      4.109403e+03   
     0.001185          0.097901        8.488584e+07      8.491934e+07     -3.731447e+04      3.813409e+03   
     0.001185          0.134040        6.681475e+07      6.684371e+07     -3.247484e+04      3.506304e+03   
     0.001185          0.175388        5.259497e+07      5.262007e+07     -2.836380e+04      3.264636e+03   
     0.001185          0.221694        4.267893e+07      4.270148e+07     -2.563314e+04      3.086652e+03   
     0.001185          0.272682        3.547140e+07      3.549228e+07     -2.382201e+04      2.943122e+03   
     0.001185          0.328043        2.916923e+07      2.918833e+07     -2.188829e+04      2.795715e+03   
     0.001185          0.387446        2.512202e+07      2.514008e+07     -2.073296e+04      2.664224e+03   
     0.001185          0.450533        2.258920e+07      2.260649e+07     -1.982690e+04      2.539124e+03   
     0.001185          0.516924        1.919884e+07      1.921497e+07     -1.852718e+04      2.399613e+03   
     0.001185          0.586221        1.738207e+07      1.739768e+07     -1.789918e+04      2.288989e+03   
     0.001185          0.658006        1.567805e+07      1.569259e+07     -1.668608e+04      2.145462e+03   
     0.001185          0.731848        1.414605e+07      1.416012e+07     -1.610064e+04      2.031279e+03   
     0.001185          0.807302        1.313999e+07      1.315359e+07     -1.552906e+04      1.922687e+03   
     0.001185          0.883916        1.185948e+07      1.187264e+07     -1.497117e+04      1.813229e+03   
     0.001185          0.961228        1.066688e+07      1.067913e+07     -1.394996e+04      1.695371e+03   
     0.001185          1.038772        9.870153e+06      9.881945e+06     -1.337799e+04      1.586742e+03   
     0.001185          1.116084        8.967069e+06      8.978452e+06     -1.287320e+04      1.489827e+03   
     0.001185          1.192698        8.183923e+06      8.194904e+06     -1.238127e+04      1.400467e+03   
     0.001185          1.268152        7.577166e+06      7.587754e+06     -1.190203e+04      1.313919e+03   
     0.001185          1.341994        7.008351e+06      7.018557e+06     -1.143533e+04      1.229451e+03   
     0.001185          1.413779        6.475559e+06      6.485391e+06     -1.098098e+04      1.148771e+03   
     0.001185          1.483076        6.199888e+06      6.209353e+06     -1.053884e+04      1.074409e+03   
     0.001185          1.549467        5.818213e+06      5.827458e+06     -1.025901e+04      1.013917e+03   
     0.001185          1.612554        5.510682e+06      5.519833e+06     -1.010872e+04      9.579707e+02   
     0.001185          1.671957        5.075160e+06      5.083958e+06     -9.690470e+03      8.922669e+02   
     0.001185          1.727318        4.668695e+06      4.677148e+06     -9.283918e+03      8.313991e+02   
     0.001185          1.778306        4.470024e+06      4.478140e+06     -8.888898e+03      7.720784e+02   
     0.001185          1.824612        4.289682e+06      4.297829e+06     -8.888898e+03      7.413318e+02   
     0.001185          1.865960        4.104517e+06      4.112331e+06     -8.505245e+03      6.912008e+02   
     0.001185          1.902099        3.936650e+06      3.944497e+06     -8.505245e+03      6.590371e+02   
     0.001185          1.932813        3.764255e+06      3.771764e+06     -8.132793e+03      6.241986e+02   
     0.001185          1.957917        3.608180e+06      3.615706e+06     -8.132793e+03      6.071882e+02   
     0.001185          1.977260        3.447827e+06      3.455026e+06     -7.771376e+03      5.726362e+02   
     0.001185          1.990726        3.447818e+06      3.455026e+06     -7.771376e+03      5.639125e+02   
     0.001185          1.998238        3.447814e+06      3.455026e+06     -7.771376e+03      5.593146e+02   
     0.006239          0.001762        5.026603e+08      5.027595e+08     -1.009953e+05      1.756997e+03   
     0.006239          0.009274        4.739264e+08      4.740179e+08     -9.328909e+04      1.756612e+03   
     0.006239          0.022740        3.204023e+08      3.204741e+08     -7.357869e+04      1.756794e+03   
     0.006239          0.042083        1.545467e+08      1.545912e+08     -4.623214e+04      1.756406e+03   
     0.006239          0.067187        1.073534e+08      1.073931e+08     -4.149664e+04      1.753490e+03   
     0.006239          0.097901        8.450279e+07      8.453777e+07     -3.673405e+04      1.751704e+03   
     0.006239          0.134040        6.627143e+07      6.630165e+07     -3.196519e+04      1.750387e+03   
     0.006239          0.175388        5.263277e+07      5.265920e+07     -2.817115e+04      1.744496e+03   
     0.006239          0.221694        4.279959e+07      4.282339e+07     -2.552659e+04      1.718536e+03   
     0.006239          0.272682        3.531342e+07      3.533524e+07     -2.349689e+04      1.674226e+03   
     0.006239          0.328043        2.971493e+07      2.973524e+07     -2.191847e+04      1.613831e+03   
     0.006239          0.387446        2.547106e+07      2.549014e+07     -2.061554e+04      1.542566e+03   
     0.006239          0.450533        2.232031e+07      2.233845e+07     -1.960247e+04      1.462907e+03   
     0.006239          0.516924        1.942239e+07      1.943936e+07     -1.834844e+04      1.375553e+03   
     0.006239          0.586221        1.758627e+07      1.760271e+07     -1.772650e+04      1.283873e+03   
     0.006239          0.658006        1.566878e+07      1.568426e+07     -1.667014e+04      1.189344e+03   
     0.006239          0.731848        1.414527e+07      1.416012e+07     -1.594531e+04      1.092611e+03   
     0.006239          0.807302        1.299364e+07      1.300803e+07     -1.537925e+04      9.963959e+02   
     0.006239          0.883916        1.178791e+07      1.180175e+07     -1.473822e+04      9.019037e+02   
     0.006239          0.961228        1.079575e+07      1.080892e+07     -1.398329e+04      8.094987e+02   
     0.006239          1.038772        9.862859e+06      9.875433e+06     -1.329596e+04      7.214480e+02   
     0.006239          1.116084        8.988378e+06      9.000488e+06     -1.274900e+04      6.382530e+02   
     0.006239          1.192698        8.248724e+06      8.260426e+06     -1.226182e+04      5.603382e+02   
     0.006239          1.268152        7.600469e+06      7.611768e+06     -1.178721e+04      4.888775e+02   
     0.006239          1.341994        7.034442e+06      7.045343e+06     -1.132501e+04      4.236011e+02   
     0.006239          1.413779        6.541893e+06      6.552403e+06     -1.087505e+04      3.650661e+02   
     0.006239          1.483076        6.142118e+06      6.152290e+06     -1.048544e+04      3.130460e+02   
     0.006239          1.549467        5.846844e+06      5.856788e+06     -1.021118e+04      2.674154e+02   
     0.006239          1.612554        5.494729e+06      5.504484e+06     -9.983362e+03      2.278460e+02   
     0.006239          1.671957        5.074555e+06      5.083958e+06     -9.596983e+03      1.939314e+02   
     0.006239          1.727318        4.711381e+06      4.720410e+06     -9.194352e+03      1.651996e+02   
     0.006239          1.778306        4.490602e+06      4.499305e+06     -8.844750e+03      1.411613e+02   
     0.006239          1.824612        4.289147e+06      4.297829e+06     -8.803144e+03      1.213196e+02   
     0.006239          1.865960        4.085841e+06      4.094159e+06     -8.423192e+03      1.051194e+02   
     0.006239          1.902099        3.871705e+06      3.879898e+06     -8.285247e+03      9.214084e+01   
     0.006239          1.932813        3.763791e+06      3.771764e+06     -8.054333e+03      8.195042e+01   
     0.006239          1.957917        3.639535e+06      3.647502e+06     -8.041648e+03      7.417622e+01   
     0.006239          1.977260        3.477658e+06      3.485353e+06     -7.763960e+03      6.851235e+01   
     0.006239          1.990726        3.447394e+06      3.455026e+06     -7.696403e+03      6.474093e+01   
     0.006239          1.998238        3.447392e+06      3.455026e+06     -7.696403e+03      6.269941e+01   
     0.015318          0.001762        2.571152e+08      2.571805e+08     -6.703889e+04      1.749111e+03   
     0.015318          0.009274        2.374934e+08      2.375528e+08     -6.107600e+04      1.749098e+03   
     0.015318          0.022740        2.059034e+08      2.059535e+08     -5.182723e+04      1.749975e+03   
     0.015318          0.042083        1.539403e+08      1.539837e+08     -4.515756e+04      1.750594e+03   
