#        q              total               1              \delta U         \delta U^2    

     0.001185        1.070907e+09      1.070929e+09     -2.428163e+04      2.555388e+03   
     0.006239        3.972632e+08      3.972766e+08     -1.384404e+04      3.507564e+02   
     0.015318        2.129096e+08      2.129198e+08     -1.037536e+04      1.368896e+02   
     0.028399        1.315464e+08      1.315546e+08     -8.235083e+03      6.635277e+01   
     0.045447        9.106083e+07      9.106779e+07     -6.994619e+03      3.700577e+01   
     0.066417        6.662758e+07      6.663363e+07     -6.068756e+03      2.459362e+01   
     0.091251        5.071047e+07      5.071584e+07     -5.392056e+03      1.896522e+01   
     0.119882        4.039922e+07      4.040412e+07     -4.918778e+03      1.585910e+01   
     0.152235        3.282785e+07      3.283231e+07     -4.474386e+03      1.376730e+01   
     0.188220        2.647582e+07      2.647987e+07     -4.057671e+03      1.226625e+01   
     0.227742        2.260270e+07      2.260649e+07     -3.793349e+03      1.119031e+01   
     0.270694        1.921144e+07      1.921497e+07     -3.540474e+03      1.043450e+01   
     0.316959        1.679794e+07      1.680123e+07     -3.298667e+03      9.901093e+00   
     0.366414        1.464252e+07      1.464558e+07     -3.067590e+03      9.530576e+00   
     0.418925        1.229128e+07      1.229412e+07     -2.846950e+03      9.268787e+00   
     0.474351        1.104144e+07      1.104417e+07     -2.737248e+03      9.072804e+00   
     0.532541        9.879422e+06      9.881945e+06     -2.531537e+03      8.911209e+00   
     0.593339        8.501794e+06      8.504121e+06     -2.335716e+03      8.762160e+00   
     0.656582        7.585525e+06      7.587754e+06     -2.237341e+03      8.624882e+00   
     0.722098        6.483344e+06      6.485391e+06     -2.055833e+03      8.485312e+00   
     0.789711        5.740213e+06      5.742088e+06     -1.883841e+03      8.337014e+00   
     0.859239        5.082170e+06      5.083958e+06     -1.796585e+03      8.178675e+00   
     0.930495        4.110771e+06      4.112331e+06     -1.567791e+03      8.006807e+00   
     1.003286        3.453610e+06      3.455026e+06     -1.423422e+03      7.821072e+00   
     1.077416        2.752172e+06      2.753392e+06     -1.228039e+03      7.617883e+00   
     1.152685        2.064785e+06      2.065777e+06     -9.993756e+02      7.395001e+00   
     1.228890        3.422677e+05      3.424585e+05     -1.979266e+02      7.179494e+00   
     1.305826        1.165288e+03      1.159116e+03     -8.097629e-01      6.981410e+00   
     1.383286        6.767016e+00      0.000000e+00      0.000000e+00      6.767016e+00   
     1.461060        6.525929e+00      0.000000e+00      0.000000e+00      6.525929e+00   
     1.538940        6.267193e+00      0.000000e+00      0.000000e+00      6.267193e+00   
     1.616714        5.994969e+00      0.000000e+00      0.000000e+00      5.994969e+00   
     1.694174        5.712247e+00      0.000000e+00      0.000000e+00      5.712247e+00   
     1.771110        5.421799e+00      0.000000e+00      0.000000e+00      5.421799e+00   
     1.847315        5.126232e+00      0.000000e+00      0.000000e+00      5.126232e+00   
     1.922584        4.828169e+00      0.000000e+00      0.000000e+00      4.828169e+00   
     1.996714        4.530241e+00      0.000000e+00      0.000000e+00      4.530241e+00   
     2.069505        4.234998e+00      0.000000e+00      0.000000e+00      4.234998e+00   
     2.140761        3.944970e+00      0.000000e+00      0.000000e+00      3.944970e+00   
     2.210289        3.662509e+00      0.000000e+00      0.000000e+00      3.662509e+00   
     2.277902        3.389700e+00      0.000000e+00      0.000000e+00      3.389700e+00   
     2.343418        3.128424e+00      0.000000e+00      0.000000e+00      3.128424e+00   
     2.406661        2.880211e+00      0.000000e+00      0.000000e+00      2.880211e+00   
     2.467459        2.646218e+00      0.000000e+00      0.000000e+00      2.646218e+00   
     2.525649        2.427240e+00      0.000000e+00      0.000000e+00      2.427240e+00   
     2.581075        2.223656e+00      0.000000e+00      0.000000e+00      2.223656e+00   
     2.633586        2.035475e+00      0.000000e+00      0.000000e+00      2.035475e+00   
     2.683041        1.862405e+00      0.000000e+00      0.000000e+00      1.862405e+00   
     2.729306        1.703955e+00      0.000000e+00      0.000000e+00      1.703955e+00   
     2.772258        1.559599e+00      0.000000e+00      0.000000e+00      1.559599e+00   
     2.811780        1.428960e+00      0.000000e+00      0.000000e+00      1.428960e+00   
     2.847765        1.311914e+00      0.000000e+00      0.000000e+00      1.311914e+00   
     2.880118        1.208549e+00      0.000000e+00      0.000000e+00      1.208549e+00   
     2.908749        1.119061e+00      0.000000e+00      0.000000e+00      1.119061e+00   
     2.933583        1.043568e+00      0.000000e+00      0.000000e+00      1.043568e+00   
