#        q              total               1              \delta U         \delta U^2    

     0.001185        1.070784e+09      1.070929e+09     -1.479410e+05      2.720923e+03   
     0.006239        3.971899e+08      3.972766e+08     -8.902489e+04      2.249379e+03   
     0.015318        2.128545e+08      2.129198e+08     -6.747389e+04      2.152579e+03   
     0.028399        1.315029e+08      1.315546e+08     -5.381521e+04      2.117641e+03   
     0.045447        9.102411e+07      9.106779e+07     -4.578101e+04      2.096339e+03   
     0.066417        6.659602e+07      6.663363e+07     -3.968391e+04      2.075224e+03   
     0.091251        5.068274e+07      5.071584e+07     -3.514849e+04      2.047799e+03   
     0.119882        4.037424e+07      4.040412e+07     -3.189095e+04      2.010523e+03   
     0.152235        3.280549e+07      3.283231e+07     -2.877895e+04      1.961145e+03   
     0.188220        2.645595e+07      2.647987e+07     -2.581150e+04      1.897914e+03   
     0.227742        2.258453e+07      2.260649e+07     -2.377801e+04      1.819144e+03   
     0.270694        1.919491e+07      1.921497e+07     -2.177657e+04      1.723239e+03   
     0.316959        1.678302e+07      1.680123e+07     -1.981204e+04      1.609085e+03   
     0.366414        1.462917e+07      1.464558e+07     -1.789252e+04      1.476680e+03   
     0.418925        1.227942e+07      1.229412e+07     -1.602911e+04      1.327425e+03   
     0.474351        1.103055e+07      1.104417e+07     -1.477940e+04      1.164446e+03   
     0.532541        9.869920e+06      9.881945e+06     -1.301784e+04      9.929069e+02   
     0.593339        8.493583e+06      8.504121e+06     -1.135805e+04      8.200036e+02   
     0.656582        7.578192e+06      7.587754e+06     -1.021619e+04      6.548701e+02   
     0.722098        6.477142e+06      6.485391e+06     -8.756381e+03      5.078560e+02   
     0.789711        5.735037e+06      5.742088e+06     -7.440373e+03      3.896808e+02   
     0.859239        5.077720e+06      5.083958e+06     -6.548531e+03      3.098972e+02   
     0.930495        4.107350e+06      4.112331e+06     -5.256629e+03      2.751120e+02   
     1.003286        3.450930e+06      3.455026e+06     -4.383017e+03      2.871315e+02   
     1.077416        2.750261e+06      2.753392e+06     -3.472537e+03      3.416484e+02   
     1.152685        2.063607e+06      2.065777e+06     -2.597940e+03      4.280347e+02   
     1.228890        3.425155e+05      3.424585e+05     -4.737538e+02      5.307193e+02   
     1.305826        1.789193e+03      1.159116e+03     -1.787155e+00      6.318639e+02   
     1.383286        7.150195e+02      0.000000e+00      0.000000e+00      7.150195e+02   
     1.461060        7.685075e+02      0.000000e+00      0.000000e+00      7.685075e+02   
     1.538940        7.872887e+02      0.000000e+00      0.000000e+00      7.872887e+02   
     1.616714        7.729485e+02      0.000000e+00      0.000000e+00      7.729485e+02   
     1.694174        7.320435e+02      0.000000e+00      0.000000e+00      7.320435e+02   
     1.771110        6.735984e+02      0.000000e+00      0.000000e+00      6.735984e+02   
     1.847315        6.066907e+02      0.000000e+00      0.000000e+00      6.066907e+02   
     1.922584        5.387700e+02      0.000000e+00      0.000000e+00      5.387700e+02   
     1.996714        4.749154e+02      0.000000e+00      0.000000e+00      4.749154e+02   
     2.069505        4.178767e+02      0.000000e+00      0.000000e+00      4.178767e+02   
     2.140761        3.685795e+02      0.000000e+00      0.000000e+00      3.685795e+02   
     2.210289        3.267741e+02      0.000000e+00      0.000000e+00      3.267741e+02   
     2.277902        2.916126e+02      0.000000e+00      0.000000e+00      2.916126e+02   
     2.343418        2.620563e+02      0.000000e+00      0.000000e+00      2.620563e+02   
     2.406661        2.371090e+02      0.000000e+00      0.000000e+00      2.371090e+02   
     2.467459        2.159182e+02      0.000000e+00      0.000000e+00      2.159182e+02   
     2.525649        1.977978e+02      0.000000e+00      0.000000e+00      1.977978e+02   
     2.581075        1.822112e+02      0.000000e+00      0.000000e+00      1.822112e+02   
     2.633586        1.687430e+02      0.000000e+00      0.000000e+00      1.687430e+02   
     2.683041        1.570710e+02      0.000000e+00      0.000000e+00      1.570710e+02   
     2.729306        1.469422e+02      0.000000e+00      0.000000e+00      1.469422e+02   
     2.772258        1.381561e+02      0.000000e+00      0.000000e+00      1.381561e+02   
     2.811780        1.305512e+02      0.000000e+00      0.000000e+00      1.305512e+02   
     2.847765        1.239966e+02      0.000000e+00      0.000000e+00      1.239966e+02   
     2.880118        1.183848e+02      0.000000e+00      0.000000e+00      1.183848e+02   
     2.908749        1.136277e+02      0.000000e+00      0.000000e+00      1.136277e+02   
     2.933583        1.096531e+02      0.000000e+00      0.000000e+00      1.096531e+02   
     2.954553        1.064020e+02      0.000000e+00      0.000000e+00      1.064020e+02   
     2.971601        1.038274e+02      0.000000e+00      0.000000e+00      1.038274e+02   
     2.984682        1.018924e+02      0.000000e+00      0.000000e+00      1.018924e+02   
     2.993761        1.005697e+02      0.000000e+00      0.000000e+00      1.005697e+02   
     2.998815        9.984043e+01      0.000000e+00      0.000000e+00      9.984043e+01   
     3.004739        9.899205e+01      0.000000e+00      0.000000e+00      9.899205e+01   
     3.024957        9.614783e+01      0.000000e+00      0.000000e+00      9.614783e+01   
     3.061273        9.123128e+01      0.000000e+00      0.000000e+00      9.123128e+01   
     3.113597        8.455946e+01      0.000000e+00      0.000000e+00      8.455946e+01   
     3.181789        7.654194e+01      0.000000e+00      0.000000e+00      7.654194e+01   
     3.265666        6.763849e+01      0.000000e+00      0.000000e+00      6.763849e+01   
     3.365002        5.831840e+01      0.000000e+00      0.000000e+00      5.831840e+01   
     3.479529        4.902456e+01      0.000000e+00      0.000000e+00      4.902456e+01   
     3.608938        4.014397e+01      0.000000e+00      0.000000e+00      4.014397e+01   
     3.752880        3.198570e+01      0.000000e+00      0.000000e+00      3.198570e+01   
     3.910968        2.476737e+01      0.000000e+00      0.000000e+00      2.476737e+01   
     4.082775        1.861118e+01      0.000000e+00      0.000000e+00      1.861118e+01   
     4.267838        1.354944e+01      0.000000e+00      0.000000e+00      1.354944e+01   
     4.465657        9.538332e+00      0.000000e+00      0.000000e+00      9.538332e+00   
     4.675701        6.477235e+00      0.000000e+00      0.000000e+00      6.477235e+00   
     4.897402        4.230265e+00      0.000000e+00      0.000000e+00      4.230265e+00   
     5.130163        2.646734e+00      0.000000e+00      0.000000e+00      2.646734e+00   
     5.373356        1.578114e+00      0.000000e+00      0.000000e+00      1.578114e+00   
     5.626327        8.901596e-01      0.000000e+00      0.000000e+00      8.901596e-01   
     5.888392        4.699292e-01      0.000000e+00      0.000000e+00      4.699292e-01   
