#        q              total               1              \delta U         \delta U^2    

     0.001185        4.159983e+04      4.225784e+04     -7.147129e+02      5.669888e+01   
     0.006239        3.023748e+04      3.089580e+04     -7.150253e+02      5.669971e+01   
     0.015318        1.987073e+04      2.052918e+04     -7.151496e+02      5.670093e+01   
     0.028399        1.258821e+04      1.324611e+04     -7.146006e+02      5.670066e+01   
     0.045447        1.095484e+04      1.161273e+04     -7.145910e+02      5.669723e+01   
     0.066417        9.179942e+03      9.837081e+03     -7.138326e+02      5.669424e+01   
     0.091251        7.847920e+03      8.503663e+03     -7.124306e+02      5.668790e+01   
     0.119882        6.874021e+03      7.528161e+03     -7.108192e+02      5.667985e+01   
     0.152235        6.195953e+03      6.847642e+03     -7.083556e+02      5.666749e+01   
     0.188220        5.769117e+03      6.417545e+03     -7.050867e+02      5.665843e+01   
     0.227742        5.361476e+03      6.005846e+03     -7.010182e+02      5.664909e+01   
     0.270694        4.973130e+03      5.612141e+03     -6.956601e+02      5.664943e+01   
     0.316959        4.604270e+03      5.236030e+03     -6.884265e+02      5.666659e+01   
     0.366414        4.254942e+03      4.877109e+03     -6.788814e+02      5.671458e+01   
     0.418925        3.924923e+03      4.534977e+03     -6.668628e+02      5.680936e+01   
     0.474351        3.770930e+03      4.370081e+03     -6.561227e+02      5.697161e+01   
     0.532541        3.470714e+03      4.052378e+03     -6.388874e+02      5.722315e+01   
     0.593339        3.190057e+03      3.750458e+03     -6.179919e+02      5.759083e+01   
     0.656582        3.062510e+03      3.605292e+03     -6.008708e+02      5.808927e+01   
     0.722098        2.811337e+03      3.326293e+03     -5.736963e+02      5.873982e+01   
     0.789711        2.578739e+03      3.062073e+03     -5.428627e+02      5.952882e+01   
     0.859239        2.363963e+03      2.812228e+03     -5.087254e+02      6.046054e+01   
     0.930495        2.165955e+03      2.576357e+03     -4.718846e+02      6.148263e+01   
     1.003286        1.983446e+03      2.354058e+03     -4.331473e+02      6.253484e+01   
     1.077416        1.729190e+03      2.045177e+03     -3.794835e+02      6.349639e+01   
     1.152685        1.502951e+03      1.764570e+03     -3.259023e+02      6.428382e+01   
     1.228890        4.160785e+02      4.330623e+02     -8.174195e+01      6.475817e+01   
     1.305826        6.590794e+01      1.382301e+00     -2.356517e-01      6.476129e+01   
