#        q              total               1              \delta U         \delta U^2    

     0.001185        3.491892e+04      3.528840e+04     -3.739718e+02      4.491669e+00   
     0.006239        2.093679e+04      2.130643e+04     -3.741376e+02      4.491553e+00   
     0.015318        1.579694e+04      1.616664e+04     -3.741890e+02      4.491001e+00   
     0.028399        1.253851e+04      1.290792e+04     -3.739089e+02      4.489414e+00   
     0.045447        1.062947e+04      1.099897e+04     -3.739867e+02      4.485999e+00   
     0.066417        9.190788e+03      9.559992e+03     -3.736842e+02      4.479719e+00   
     0.091251        8.134906e+03      8.503663e+03     -3.732266e+02      4.469533e+00   
     0.119882        7.396257e+03      7.764635e+03     -3.728317e+02      4.453981e+00   
     0.152235        6.702156e+03      7.069714e+03     -3.719902e+02      4.432178e+00   
     0.188220        6.051324e+03      6.417545e+03     -3.706236e+02      4.403009e+00   
     0.227742        5.640959e+03      6.005846e+03     -3.692526e+02      4.366078e+00   
     0.270694        5.249043e+03      5.612141e+03     -3.674197e+02      4.321706e+00   
     0.316959        4.875475e+03      5.236030e+03     -3.648260e+02      4.271025e+00   
     0.366414        4.519946e+03      4.877109e+03     -3.613799e+02      4.216630e+00   
     0.418925        4.182209e+03      4.534977e+03     -3.569311e+02      4.162646e+00   
     0.474351        4.020829e+03      4.370081e+03     -3.533666e+02      4.114826e+00   
     0.532541        3.709758e+03      4.052378e+03     -3.467011e+02      4.080888e+00   
     0.593339        3.416252e+03      3.750458e+03     -3.382763e+02      4.070091e+00   
     0.656582        3.277374e+03      3.605292e+03     -3.320104e+02      4.092982e+00   
     0.722098        3.010007e+03      3.326293e+03     -3.204479e+02      4.161355e+00   
     0.789711        2.759534e+03      3.062073e+03     -3.068247e+02      4.286238e+00   
     0.859239        2.642209e+03      2.935379e+03     -2.976494e+02      4.479498e+00   
     0.930495        2.307179e+03      2.576357e+03     -2.739279e+02      4.749422e+00   
     1.003286        2.103891e+03      2.354058e+03     -2.552685e+02      5.101639e+00   
     1.077416        1.823354e+03      2.045177e+03     -2.273607e+02      5.537903e+00   
     1.152685        1.492719e+03      1.677083e+03     -1.904197e+02      6.056441e+00   
     1.228890        3.025273e+02      3.348938e+02     -3.901582e+01      6.649381e+00   
     1.305826        8.537933e+00      1.382301e+00     -1.471358e-01      7.302768e+00   
     1.383286        7.998709e+00      0.000000e+00      0.000000e+00      7.998709e+00   
     1.461060        8.717419e+00      0.000000e+00      0.000000e+00      8.717419e+00   
     1.538940        9.434699e+00      0.000000e+00      0.000000e+00      9.434699e+00   
     1.616714        1.012621e+01      0.000000e+00      0.000000e+00      1.012621e+01   
     1.694174        1.076890e+01      0.000000e+00      0.000000e+00      1.076890e+01   
     1.771110        1.134188e+01      0.000000e+00      0.000000e+00      1.134188e+01   
     1.847315        1.182673e+01      0.000000e+00      0.000000e+00      1.182673e+01   
     1.922584        1.220946e+01      0.000000e+00      0.000000e+00      1.220946e+01   
     1.996714        1.248220e+01      0.000000e+00      0.000000e+00      1.248220e+01   
     2.069505        1.264251e+01      0.000000e+00      0.000000e+00      1.264251e+01   
     2.140761        1.269307e+01      0.000000e+00      0.000000e+00      1.269307e+01   
     2.210289        1.264105e+01      0.000000e+00      0.000000e+00      1.264105e+01   
     2.277902        1.249712e+01      0.000000e+00      0.000000e+00      1.249712e+01   
     2.343418        1.227457e+01      0.000000e+00      0.000000e+00      1.227457e+01   
     2.406661        1.198671e+01      0.000000e+00      0.000000e+00      1.198671e+01   
     2.467459        1.164962e+01      0.000000e+00      0.000000e+00      1.164962e+01   
     2.525649        1.127893e+01      0.000000e+00      0.000000e+00      1.127893e+01   
     2.581075        1.088866e+01      0.000000e+00      0.000000e+00      1.088866e+01   
     2.633586        1.049105e+01      0.000000e+00      0.000000e+00      1.049105e+01   
     2.683041        1.009628e+01      0.000000e+00      0.000000e+00      1.009628e+01   
     2.729306        9.713469e+00      0.000000e+00      0.000000e+00      9.713469e+00   
     2.772258        9.349621e+00      0.000000e+00      0.000000e+00      9.349621e+00   
     2.811780        9.009939e+00      0.000000e+00      0.000000e+00      9.009939e+00   
     2.847765        8.698489e+00      0.000000e+00      0.000000e+00      8.698489e+00   
     2.880118        8.417827e+00      0.000000e+00      0.000000e+00      8.417827e+00   
     2.908749        8.169779e+00      0.000000e+00      0.000000e+00      8.169779e+00   
     2.933583        7.955516e+00      0.000000e+00      0.000000e+00      7.955516e+00   
     2.954553        7.775443e+00      0.000000e+00      0.000000e+00      7.775443e+00   
     2.971601        7.629790e+00      0.000000e+00      0.000000e+00      7.629790e+00   
     2.984682        7.518589e+00      0.000000e+00      0.000000e+00      7.518589e+00   
     2.993761        7.441725e+00      0.000000e+00      0.000000e+00      7.441725e+00   
     2.998815        7.399036e+00      0.000000e+00      0.000000e+00      7.399036e+00   
     3.004739        7.349126e+00      0.000000e+00      0.000000e+00      7.349126e+00   
     3.024957        7.179627e+00      0.000000e+00      0.000000e+00      7.179627e+00   
     3.061273        6.879164e+00      0.000000e+00      0.000000e+00      6.879164e+00   
     3.113597        6.456717e+00      0.000000e+00      0.000000e+00      6.456717e+00   
     3.181789        5.927835e+00      0.000000e+00      0.000000e+00      5.927835e+00   
     3.265666        5.315685e+00      0.000000e+00      0.000000e+00      5.315685e+00   
     3.365002        4.649892e+00      0.000000e+00      0.000000e+00      4.649892e+00   
     3.479529        3.964309e+00      0.000000e+00      0.000000e+00      3.964309e+00   
     3.608938        3.292650e+00      0.000000e+00      0.000000e+00      3.292650e+00   
     3.752880        2.663845e+00      0.000000e+00      0.000000e+00      2.663845e+00   
     3.910968        2.098634e+00      0.000000e+00      0.000000e+00      2.098634e+00   
     4.082775        1.608750e+00      0.000000e+00      0.000000e+00      1.608750e+00   
     4.267838        1.198262e+00      0.000000e+00      0.000000e+00      1.198262e+00   
     4.465657        8.656043e-01      0.000000e+00      0.000000e+00      8.656043e-01   
