#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.585554e+08      8.585661e+08     -1.105877e+04      3.617905e+02   
     0.001185          0.009274        5.451717e+08      5.451804e+08     -8.994358e+03      3.529333e+02   
     0.001185          0.022740        3.455962e+08      3.456031e+08     -7.235274e+03      3.353978e+02   
     0.001185          0.042083        1.854930e+08      1.854979e+08     -5.228156e+03      3.068265e+02   
     0.001185          0.067187        7.236687e+07      7.236991e+07     -3.336492e+03      2.929163e+02   
     0.001185          0.097901        5.141489e+07      5.141744e+07     -2.830612e+03      2.822773e+02   
     0.001185          0.134040        4.004892e+07      4.005114e+07     -2.483633e+03      2.718761e+02   
     0.001185          0.175388        3.163423e+07      3.163617e+07     -2.210652e+03      2.609335e+02   
     0.001185          0.221694        2.498870e+07      2.499043e+07     -1.977536e+03      2.495918e+02   
     0.001185          0.272682        1.943432e+07      1.943581e+07     -1.736895e+03      2.377650e+02   
     0.001185          0.328043        1.574672e+07      1.574806e+07     -1.569824e+03      2.257663e+02   
     0.001185          0.387446        1.300944e+07      1.301064e+07     -1.413826e+03      2.132589e+02   
     0.001185          0.450533        1.106255e+07      1.106366e+07     -1.315791e+03      2.005466e+02   
     0.001185          0.516924        9.547769e+06      9.548804e+06     -1.222396e+03      1.876631e+02   
     0.001185          0.586221        8.209925e+06      8.210884e+06     -1.133529e+03      1.746590e+02   
     0.001185          0.658006        7.032081e+06      7.032969e+06     -1.049076e+03      1.613033e+02   
     0.001185          0.731848        6.498204e+06      6.499064e+06     -1.008470e+03      1.484866e+02   
     0.001185          0.807302        5.531318e+06      5.532113e+06     -9.304286e+02      1.355592e+02   
     0.001185          0.883916        5.094814e+06      5.095584e+06     -8.929651e+02      1.232649e+02   
     0.001185          0.961228        4.687399e+06      4.688144e+06     -8.565210e+02      1.114047e+02   
     0.001185          1.038772        4.307502e+06      4.308224e+06     -8.210822e+02      1.000573e+02   
     0.001185          1.116084        3.953616e+06      3.954313e+06     -7.866346e+02      8.920644e+01   
     0.001185          1.192698        3.580845e+06      3.581510e+06     -7.441345e+02      7.916669e+01   
     0.001185          1.268152        3.224622e+06      3.225252e+06     -7.003419e+02      7.001247e+01   
     0.001185          1.341994        3.033879e+06      3.034506e+06     -6.890988e+02      6.177247e+01   
     0.001185          1.413779        2.770191e+06      2.770795e+06     -6.584756e+02      5.441569e+01   
     0.001185          1.483076        2.525884e+06      2.526465e+06     -6.287734e+02      4.785306e+01   
     0.001185          1.549467        2.299801e+06      2.300359e+06     -5.999781e+02      4.195672e+01   
     0.001185          1.612554        2.090839e+06      2.091374e+06     -5.720755e+02      3.675660e+01   
     0.001185          1.671957        1.897943e+06      1.898456e+06     -5.450518e+02      3.222537e+01   
     0.001185          1.727318        1.897939e+06      1.898456e+06     -5.450518e+02      2.862663e+01   
     0.001185          1.778306        1.720107e+06      1.720601e+06     -5.188927e+02      2.537102e+01   
     0.001185          1.824612        1.556382e+06      1.556853e+06     -4.935843e+02      2.256916e+01   
     0.001185          1.865960        1.556380e+06      1.556853e+06     -4.935843e+02      2.048216e+01   
     0.001185          1.902099        1.405853e+06      1.406303e+06     -4.691125e+02      1.856928e+01   
     0.001185          1.932813        1.405851e+06      1.406303e+06     -4.691125e+02      1.725484e+01   
     0.001185          1.957917        1.405850e+06      1.406303e+06     -4.691125e+02      1.621002e+01   
     0.001185          1.977260        1.267655e+06      1.268086e+06     -4.454632e+02      1.522045e+01   
     0.001185          1.990726        1.267655e+06      1.268086e+06     -4.454632e+02      1.470562e+01   
     0.001185          1.998238        1.267655e+06      1.268086e+06     -4.454632e+02      1.444402e+01   
     0.006239          0.001762        4.803490e+08      4.803572e+08     -8.478056e+03      2.837629e+02   
     0.006239          0.009274        4.521088e+08      4.521163e+08     -7.754708e+03      2.803074e+02   
     0.006239          0.022740        3.265177e+08      3.265240e+08     -6.528588e+03      2.745475e+02   
     0.006239          0.042083        1.591976e+08      1.592016e+08     -4.201880e+03      2.676602e+02   
     0.006239          0.067187        7.216457e+07      7.216750e+07     -3.193699e+03      2.613230e+02   
     0.006239          0.097901        5.170705e+07      5.170955e+07     -2.754891e+03      2.548758e+02   
     0.006239          0.134040        3.976902e+07      3.977120e+07     -2.426106e+03      2.476161e+02   
     0.006239          0.175388        3.134131e+07      3.134323e+07     -2.162642e+03      2.393843e+02   
     0.006239          0.221694        2.476945e+07      2.477114e+07     -1.927119e+03      2.303382e+02   
     0.006239          0.272682        1.981604e+07      1.981754e+07     -1.725472e+03      2.205807e+02   
     0.006239          0.328043        1.605204e+07      1.605339e+07     -1.559500e+03      2.102717e+02   
     0.006239          0.387446        1.318213e+07      1.318334e+07     -1.404528e+03      1.992111e+02   
     0.006239          0.450533        1.106255e+07      1.106366e+07     -1.307138e+03      1.875907e+02   
     0.006239          0.516924        9.547765e+06      9.548804e+06     -1.214357e+03      1.756202e+02   
     0.006239          0.586221        8.209921e+06      8.210884e+06     -1.126074e+03      1.634311e+02   
     0.006239          0.658006        7.211681e+06      7.212572e+06     -1.042176e+03      1.509214e+02   
     0.006239          0.731848        6.498201e+06      6.499064e+06     -1.001837e+03      1.384714e+02   
     0.006239          0.807302        5.705218e+06      5.706016e+06     -9.243094e+02      1.262181e+02   
     0.006239          0.883916        5.094811e+06      5.095584e+06     -8.870924e+02      1.141956e+02   
     0.006239          0.961228        4.687396e+06      4.688144e+06     -8.508879e+02      1.026080e+02   
     0.006239          1.038772        4.307499e+06      4.308224e+06     -8.156822e+02      9.159023e+01   
     0.006239          1.116084        3.866117e+06      3.866800e+06     -7.641666e+02      8.117146e+01   
     0.006239          1.192698        3.488533e+06      3.489182e+06     -7.201837e+02      7.152526e+01   
     0.006239          1.268152        3.181994e+06      3.182618e+06     -6.865392e+02      6.263062e+01   
     0.006239          1.341994        2.936745e+06      2.937353e+06     -6.626497e+02      5.459437e+01   
     0.006239          1.413779        2.743644e+06      2.744245e+06     -6.478769e+02      4.737148e+01   
     0.006239          1.483076        2.525881e+06      2.526465e+06     -6.246382e+02      4.097566e+01   
     0.006239          1.549467        2.299799e+06      2.300359e+06     -5.960322e+02      3.534873e+01   
     0.006239          1.612554        2.090836e+06      2.091374e+06     -5.683132e+02      3.044804e+01   
     0.006239          1.671957        1.922589e+06      1.923104e+06     -5.414672e+02      2.624347e+01   
