#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.614777e+08      8.615106e+08     -1.709062e+05      1.379747e+05   
     0.001185          0.009274        5.457571e+08      5.457755e+08     -1.388165e+05      1.204513e+05   
     0.001185          0.022740        3.005715e+08      3.005824e+08     -9.720684e+04      8.634539e+04   
     0.001185          0.042083        9.470244e+07      9.470396e+07     -4.241970e+04      4.090214e+04   
     0.001185          0.067187        5.269575e+07      5.269704e+07     -3.780939e+04      3.651787e+04   
     0.001185          0.097901        3.955223e+07      3.955352e+07     -3.366989e+04      3.237932e+04   
     0.001185          0.134040        3.069317e+07      3.069431e+07     -2.960469e+04      2.846710e+04   
     0.001185          0.175388        2.388607e+07      2.388692e+07     -2.592195e+04      2.506757e+04   
     0.001185          0.221694        1.916470e+07      1.916568e+07     -2.340162e+04      2.242166e+04   
     0.001185          0.272682        1.520310e+07      1.520381e+07     -2.105019e+04      2.033856e+04   
     0.001185          0.328043        1.272479e+07      1.272547e+07     -1.957350e+04      1.890254e+04   
     0.001185          0.387446        1.073584e+07      1.073632e+07     -1.816755e+04      1.769078e+04   
     0.001185          0.450533        9.171312e+06      9.171495e+06     -1.683058e+04      1.664738e+04   
     0.001185          0.516924        7.877737e+06      7.877709e+06     -1.556087e+04      1.558947e+04   
     0.001185          0.586221        7.018643e+06      7.018557e+06     -1.495069e+04      1.503686e+04   
     0.001185          0.658006        6.127315e+06      6.127068e+06     -1.410236e+04      1.434943e+04   
     0.001185          0.731848        5.520324e+06      5.519833e+06     -1.321627e+04      1.370766e+04   
     0.001185          0.807302        4.882686e+06      4.881965e+06     -1.266945e+04      1.339100e+04   
     0.001185          0.883916        4.489739e+06      4.488823e+06     -1.213791e+04      1.305378e+04   
     0.001185          0.961228        4.123524e+06      4.122424e+06     -1.162146e+04      1.272135e+04   
     0.001185          1.038772        3.782534e+06      3.781292e+06     -1.111987e+04      1.236192e+04   
     0.001185          1.116084        3.465299e+06      3.464013e+06     -1.063292e+04      1.191846e+04   
     0.001185          1.192698        3.124215e+06      3.122757e+06     -1.007230e+04      1.152993e+04   
     0.001185          1.268152        2.856372e+06      2.854847e+06     -9.702087e+03      1.122709e+04   
     0.001185          1.341994        2.643691e+06      2.642055e+06     -9.257769e+03      1.089395e+04   
     0.001185          1.413779        2.408901e+06      2.407233e+06     -8.827228e+03      1.049531e+04   
     0.001185          1.483076        2.191773e+06      2.190064e+06     -8.410247e+03      1.011882e+04   
     0.001185          1.549467        1.991175e+06      1.989472e+06     -8.006608e+03      9.708778e+03   
     0.001185          1.612554        1.806056e+06      1.804429e+06     -7.616095e+03      9.243491e+03   
     0.001185          1.671957        1.635494e+06      1.633954e+06     -7.238490e+03      8.778874e+03   
     0.001185          1.727318        1.635330e+06      1.633954e+06     -7.238490e+03      8.615014e+03   
     0.001185          1.778306        1.478371e+06      1.477115e+06     -6.873577e+03      8.129274e+03   
     0.001185          1.824612        1.334163e+06      1.333026e+06     -6.521139e+03      7.657522e+03   
     0.001185          1.865960        1.333995e+06      1.333026e+06     -6.521139e+03      7.489691e+03   
     0.001185          1.902099        1.201673e+06      1.200845e+06     -6.180958e+03      7.009599e+03   
     0.001185          1.932813        1.201557e+06      1.200845e+06     -6.180958e+03      6.893440e+03   
     0.001185          1.957917        1.201349e+06      1.200845e+06     -6.180958e+03      6.685314e+03   
     0.001185          1.977260        1.080274e+06      1.079769e+06     -5.852818e+03      6.358260e+03   
     0.001185          1.990726        1.080233e+06      1.079769e+06     -5.852818e+03      6.316990e+03   
     0.001185          1.998238        1.080202e+06      1.079769e+06     -5.852818e+03      6.286064e+03   
     0.006239          0.001762        4.801317e+08      4.802406e+08     -1.102797e+05      1.398224e+03   
     0.006239          0.009274        4.344384e+08      4.345341e+08     -9.704580e+04      1.378828e+03   
     0.006239          0.022740        2.707235e+08      2.707925e+08     -7.030151e+04      1.341450e+03   
     0.006239          0.042083        9.631057e+07      9.634459e+07     -3.533342e+04      1.304048e+03   
     0.006239          0.067187        5.270720e+07      5.273765e+07     -3.174319e+04      1.291070e+03   
     0.006239          0.097901        3.975127e+07      3.977829e+07     -2.829471e+04      1.277041e+03   
     0.006239          0.134040        3.072042e+07      3.074409e+07     -2.493502e+04      1.257784e+03   
     0.006239          0.175388        2.393207e+07      2.395272e+07     -2.188175e+04      1.226980e+03   
     0.006239          0.221694        1.888536e+07      1.890360e+07     -1.942296e+04      1.187558e+03   
     0.006239          0.272682        1.532198e+07      1.533845e+07     -1.761773e+04      1.141788e+03   
     0.006239          0.328043        1.267683e+07      1.269194e+07     -1.620020e+04      1.091047e+03   
     0.006239          0.387446        1.068813e+07      1.070217e+07     -1.507233e+04      1.036100e+03   
     0.006239          0.450533        9.158374e+06      9.171495e+06     -1.409884e+04      9.778525e+02   
     0.006239          0.516924        7.935253e+06      7.947487e+06     -1.315068e+04      9.169663e+02   
     0.006239          0.586221        7.006887e+06      7.018557e+06     -1.252408e+04      8.543102e+02   
     0.006239          0.658006        6.179143e+06      6.190140e+06     -1.178766e+04      7.909169e+02   
     0.006239          0.731848        5.509489e+06      5.519833e+06     -1.107116e+04      7.273893e+02   
     0.006239          0.807302        4.948749e+06      4.958697e+06     -1.061309e+04      6.642876e+02   
     0.006239          0.883916        4.479258e+06      4.488823e+06     -1.016783e+04      6.027917e+02   
     0.006239          0.961228        4.108669e+06      4.117850e+06     -9.724400e+03      5.436368e+02   
     0.006239          1.038772        3.728377e+06      3.737096e+06     -9.206147e+03      4.869884e+02   
     0.006239          1.116084        3.354635e+06      3.362947e+06     -8.745797e+03      4.337055e+02   
     0.006239          1.192698        3.038436e+06      3.046393e+06     -8.340792e+03      3.841118e+02   
     0.006239          1.268152        2.779056e+06      2.786706e+06     -7.988308e+03      3.384815e+02   
     0.006239          1.341994        2.568554e+06      2.575942e+06     -7.685245e+03      2.969972e+02   
     0.006239          1.413779        2.388564e+06      2.395699e+06     -7.394497e+03      2.594355e+02   
     0.006239          1.483076        2.183245e+06      2.190064e+06     -7.045195e+03      2.260587e+02   
     0.006239          1.549467        1.982962e+06      1.989472e+06     -6.707070e+03      1.966766e+02   
     0.006239          1.612554        1.798220e+06      1.804429e+06     -6.379941e+03      1.711098e+02   
     0.006239          1.671957        1.657310e+06      1.663295e+06     -6.133147e+03      1.489218e+02   
     0.006239          1.727318        1.628020e+06      1.633954e+06     -6.063624e+03      1.301933e+02   
     0.006239          1.778306        1.471472e+06      1.477115e+06     -5.757940e+03      1.143349e+02   
     0.006239          1.824612        1.367740e+06      1.373163e+06     -5.524083e+03      1.009649e+02   
     0.006239          1.865960        1.327654e+06      1.333026e+06     -5.462705e+03      9.025151e+01   
     0.006239          1.902099        1.221298e+06      1.226405e+06     -5.188242e+03      8.135861e+01   
     0.006239          1.932813        1.195741e+06      1.200845e+06     -5.177738e+03      7.454587e+01   
     0.006239          1.957917        1.172120e+06      1.177126e+06     -5.075469e+03      6.919405e+01   
     0.006239          1.977260        1.097191e+06      1.102029e+06     -4.902858e+03      6.523354e+01   
     0.006239          1.990726        1.074929e+06      1.079769e+06     -4.902858e+03      6.271184e+01   
     0.006239          1.998238        1.074927e+06      1.079769e+06     -4.902858e+03      6.131904e+01   
     0.015318          0.001762        2.076261e+08      2.076883e+08     -6.336692e+04      1.235660e+03   
     0.015318          0.009274        1.863322e+08      1.863851e+08     -5.412381e+04      1.231886e+03   
     0.015318          0.022740        1.428017e+08      1.428402e+08     -3.974594e+04      1.222821e+03   
     0.015318          0.042083        9.246839e+07      9.250181e+07     -3.463283e+04      1.213305e+03   
     0.015318          0.067187        5.340467e+07      5.343478e+07     -3.131336e+04      1.208538e+03   
     0.015318          0.097901        3.920120e+07      3.922803e+07     -2.804035e+04      1.203281e+03   
     0.015318          0.134040        3.045042e+07      3.047403e+07     -2.480009e+04      1.192623e+03   
     0.015318          0.175388        2.378260e+07      2.380325e+07     -2.182274e+04      1.169419e+03   
     0.015318          0.221694        1.886255e+07      1.888081e+07     -1.940512e+04      1.136235e+03   
     0.015318          0.272682        1.527804e+07      1.529452e+07     -1.757592e+04      1.095240e+03   
     0.015318          0.328043        1.265291e+07      1.266804e+07     -1.617771e+04      1.048044e+03   
     0.015318          0.387446        1.064837e+07      1.066237e+07     -1.499263e+04      9.961023e+02   
     0.015318          0.450533        9.135430e+06      9.148513e+06     -1.402353e+04      9.403105e+02   
     0.015318          0.516924        7.963073e+06      7.975395e+06     -1.320436e+04      8.815736e+02   
     0.015318          0.586221        6.981730e+06      6.993312e+06     -1.240327e+04      8.207464e+02   
     0.015318          0.658006        6.198558e+06      6.209556e+06     -1.175702e+04      7.589389e+02   
     0.015318          0.731848        5.514962e+06      5.525415e+06     -1.114944e+04      6.968088e+02   
     0.015318          0.807302        4.961167e+06      4.971122e+06     -1.059074e+04      6.350750e+02   
     0.015318          0.883916        4.469076e+06      4.478572e+06     -1.007097e+04      5.748430e+02   
     0.015318          0.961228        4.039813e+06      4.048880e+06     -9.583942e+03      5.167860e+02   
     0.015318          1.038772        3.659700e+06      3.668368e+06     -9.128664e+03      4.611415e+02   
