#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.683376e+08      8.683494e+08     -1.760629e+04      5.722579e+03   
     0.001185          0.009274        5.551780e+08      5.551870e+08     -1.437892e+04      5.351021e+03   
     0.001185          0.022740        3.548388e+08      3.548458e+08     -1.158653e+04      4.616245e+03   
     0.001185          0.042083        1.952516e+08      1.952564e+08     -8.527746e+03      3.689297e+03   
     0.001185          0.067187        1.167196e+08      1.167230e+08     -6.710432e+03      3.296208e+03   
     0.001185          0.097901        9.234312e+07      9.234613e+07     -6.016002e+03      3.011036e+03   
     0.001185          0.134040        7.501533e+07      7.501801e+07     -5.422273e+03      2.747367e+03   
     0.001185          0.175388        6.048626e+07      6.048864e+07     -4.868953e+03      2.493952e+03   
     0.001185          0.221694        4.838198e+07      4.838408e+07     -4.354616e+03      2.255700e+03   
     0.001185          0.272682        3.836733e+07      3.836917e+07     -3.877839e+03      2.042837e+03   
     0.001185          0.328043        3.136731e+07      3.136891e+07     -3.468942e+03      1.861905e+03   
     0.001185          0.387446        2.661822e+07      2.661973e+07     -3.229985e+03      1.716582e+03   
     0.001185          0.450533        2.197889e+07      2.198023e+07     -2.935045e+03      1.596682e+03   
     0.001185          0.516924        1.927720e+07      1.927845e+07     -2.748747e+03      1.495586e+03   
     0.001185          0.586221        1.685812e+07      1.685928e+07     -2.570503e+03      1.402246e+03   
     0.001185          0.658006        1.469747e+07      1.469856e+07     -2.400137e+03      1.311195e+03   
     0.001185          0.731848        1.370694e+07      1.370800e+07     -2.317852e+03      1.254500e+03   
     0.001185          0.807302        1.189212e+07      1.189310e+07     -2.158967e+03      1.184453e+03   
     0.001185          0.883916        1.106272e+07      1.106366e+07     -2.082323e+03      1.141610e+03   
     0.001185          0.961228        1.028209e+07      1.028301e+07     -2.007515e+03      1.092298e+03   
     0.001185          1.038772        9.540074e+06      9.540973e+06     -1.932933e+03      1.033904e+03   
     0.001185          1.116084        8.210084e+06      8.210884e+06     -1.793881e+03      9.935773e+02   
     0.001185          1.192698        7.602164e+06      7.602935e+06     -1.726193e+03      9.553959e+02   
     0.001185          1.268152        7.032225e+06      7.032969e+06     -1.660229e+03      9.164544e+02   
     0.001185          1.341994        6.498347e+06      6.499064e+06     -1.595968e+03      8.786180e+02   
     0.001185          1.413779        5.998680e+06      5.999371e+06     -1.533386e+03      8.421388e+02   
     0.001185          1.483076        5.531447e+06      5.532113e+06     -1.472462e+03      8.063625e+02   
     0.001185          1.549467        5.531425e+06      5.532113e+06     -1.472462e+03      7.840073e+02   
     0.001185          1.612554        5.094931e+06      5.095584e+06     -1.413174e+03      7.602868e+02   
     0.001185          1.671957        4.687513e+06      4.688144e+06     -1.355499e+03      7.242585e+02   
     0.001185          1.727318        4.307613e+06      4.308224e+06     -1.299415e+03      6.884658e+02   
     0.001185          1.778306        4.307599e+06      4.308224e+06     -1.299415e+03      6.745142e+02   
     0.001185          1.824612        3.953713e+06      3.954313e+06     -1.244899e+03      6.441664e+02   
     0.001185          1.865960        3.953688e+06      3.954313e+06     -1.244899e+03      6.198063e+02   
     0.001185          1.902099        3.624380e+06      3.624970e+06     -1.191930e+03      6.023196e+02   
     0.001185          1.932813        3.624367e+06      3.624970e+06     -1.191930e+03      5.898324e+02   
     0.001185          1.957917        3.318233e+06      3.318808e+06     -1.140485e+03      5.651993e+02   
     0.001185          1.977260        3.318229e+06      3.318808e+06     -1.140485e+03      5.613192e+02   
     0.001185          1.990726        3.318223e+06      3.318808e+06     -1.140485e+03      5.554938e+02   
     0.001185          1.998238        3.318222e+06      3.318808e+06     -1.140485e+03      5.538367e+02   
     0.006239          0.001762        4.885363e+08      4.885455e+08     -1.080972e+04      1.656042e+03   
     0.006239          0.009274        4.615496e+08      4.615580e+08     -9.933550e+03      1.565381e+03   
     0.006239          0.022740        3.358921e+08      3.358990e+08     -8.394447e+03      1.425443e+03   
     0.006239          0.042083        1.875936e+08      1.875985e+08     -6.121179e+03      1.280118e+03   
     0.006239          0.067187        1.166046e+08      1.166086e+08     -5.214399e+03      1.188559e+03   
     0.006239          0.097901        9.264026e+07      9.264385e+07     -4.698025e+03      1.113988e+03   
     0.006239          0.134040        7.485609e+07      7.485928e+07     -4.233666e+03      1.039652e+03   
     0.006239          0.175388        6.020600e+07      6.020883e+07     -3.799168e+03      9.651858e+02   
     0.006239          0.221694        4.796983e+07      4.797233e+07     -3.394057e+03      8.930508e+02   
     0.006239          0.272682        3.829934e+07      3.830155e+07     -3.039888e+03      8.275579e+02   
     0.006239          0.328043        3.111670e+07      3.111866e+07     -2.733766e+03      7.682566e+02   
     0.006239          0.387446        2.594721e+07      2.594899e+07     -2.501268e+03      7.177206e+02   
     0.006239          0.450533        2.209557e+07      2.209723e+07     -2.331619e+03      6.725522e+02   
     0.006239          0.516924        1.927690e+07      1.927845e+07     -2.183623e+03      6.317893e+02   
     0.006239          0.586221        1.685783e+07      1.685928e+07     -2.042025e+03      5.927939e+02   
     0.006239          0.658006        1.495649e+07      1.495784e+07     -1.906685e+03      5.556565e+02   
     0.006239          0.731848        1.370668e+07      1.370800e+07     -1.841317e+03      5.221856e+02   
     0.006239          0.807302        1.204618e+07      1.204741e+07     -1.715098e+03      4.892396e+02   
     0.006239          0.883916        1.106247e+07      1.106366e+07     -1.654211e+03      4.609136e+02   
     0.006239          0.961228        1.028185e+07      1.028301e+07     -1.594783e+03      4.322749e+02   
     0.006239          1.038772        9.259475e+06      9.260562e+06     -1.490405e+03      4.039524e+02   
     0.006239          1.116084        8.343882e+06      8.344928e+06     -1.425071e+03      3.789236e+02   
     0.006239          1.192698        7.601920e+06      7.602935e+06     -1.371299e+03      3.564346e+02   
     0.006239          1.268152        7.031985e+06      7.032969e+06     -1.318897e+03      3.345174e+02   
     0.006239          1.341994        6.498110e+06      6.499064e+06     -1.267847e+03      3.136353e+02   
     0.006239          1.413779        6.029290e+06      6.030214e+06     -1.218132e+03      2.939069e+02   
     0.006239          1.483076        5.710113e+06      5.711007e+06     -1.169734e+03      2.757394e+02   
     0.006239          1.549467        5.473698e+06      5.474594e+06     -1.157572e+03      2.609106e+02   
     0.006239          1.612554        5.094708e+06      5.095584e+06     -1.122635e+03      2.468039e+02   
     0.006239          1.671957        4.687300e+06      4.688144e+06     -1.076817e+03      2.322285e+02   
     0.006239          1.727318        4.326984e+06      4.327797e+06     -1.032264e+03      2.191302e+02   
     0.006239          1.778306        4.307400e+06      4.308224e+06     -1.032264e+03      2.088010e+02   
     0.006239          1.824612        3.953523e+06      3.954313e+06     -9.889561e+02      1.984735e+02   
     0.006239          1.865960        3.858632e+06      3.859407e+06     -9.652205e+02      1.895469e+02   
     0.006239          1.902099        3.624205e+06      3.624970e+06     -9.468772e+02      1.826485e+02   
     0.006239          1.932813        3.624199e+06      3.624970e+06     -9.468772e+02      1.766367e+02   
     0.006239          1.957917        3.337502e+06      3.338236e+06     -9.060091e+02      1.712089e+02   
     0.006239          1.977260        3.318070e+06      3.318808e+06     -9.060091e+02      1.679684e+02   
     0.006239          1.990726        3.318068e+06      3.318808e+06     -9.060091e+02      1.657144e+02   
     0.006239          1.998238        3.318067e+06      3.318808e+06     -9.060091e+02      1.644552e+02   
     0.015318          0.001762        2.856830e+08      2.856899e+08     -7.725160e+03      8.205687e+02   
     0.015318          0.009274        2.772302e+08      2.772366e+08     -7.218399e+03      8.022051e+02   
     0.015318          0.022740        2.340215e+08      2.340268e+08     -6.028287e+03      7.686669e+02   
     0.015318          0.042083        1.714529e+08      1.714573e+08     -5.122736e+03      7.249249e+02   
     0.015318          0.067187        1.179970e+08      1.180009e+08     -4.632625e+03      6.944588e+02   
     0.015318          0.097901        9.154758e+07      9.155113e+07     -4.219224e+03      6.644792e+02   
     0.015318          0.134040        7.416657e+07      7.416975e+07     -3.821641e+03      6.330212e+02   
     0.015318          0.175388        5.979847e+07      5.980131e+07     -3.441758e+03      5.997805e+02   
     0.015318          0.221694        4.777417e+07      4.777669e+07     -3.088612e+03      5.666809e+02   
     0.015318          0.272682        3.820270e+07      3.820494e+07     -2.772591e+03      5.343878e+02   
     0.015318          0.328043        3.107909e+07      3.108110e+07     -2.510284e+03      5.042767e+02   
     0.015318          0.387446        2.598532e+07      2.598715e+07     -2.306008e+03      4.751955e+02   
     0.015318          0.450533        2.211748e+07      2.211917e+07     -2.139191e+03      4.475157e+02   
     0.015318          0.516924        1.922514e+07      1.922672e+07     -1.999004e+03      4.204052e+02   
     0.015318          0.586221        1.696187e+07      1.696336e+07     -1.883343e+03      3.941571e+02   
     0.015318          0.658006        1.509840e+07      1.509981e+07     -1.773973e+03      3.677021e+02   
     0.015318          0.731848        1.345723e+07      1.345857e+07     -1.681983e+03      3.428893e+02   
     0.015318          0.807302        1.220413e+07      1.220541e+07     -1.595721e+03      3.182435e+02   
     0.015318          0.883916        1.107738e+07      1.107863e+07     -1.538026e+03      2.947544e+02   
     0.015318          0.961228        1.008429e+07      1.008547e+07     -1.455277e+03      2.717412e+02   
     0.015318          1.038772        9.217638e+06      9.218769e+06     -1.380410e+03      2.496175e+02   
     0.015318          1.116084        8.449113e+06      8.450209e+06     -1.325881e+03      2.293297e+02   
     0.015318          1.192698        7.766523e+06      7.767589e+06     -1.275852e+03      2.102033e+02   
     0.015318          1.268152        7.161336e+06      7.162371e+06     -1.227097e+03      1.921772e+02   
     0.015318          1.341994        6.626147e+06      6.627151e+06     -1.179601e+03      1.755717e+02   
     0.015318          1.413779        6.153868e+06      6.154841e+06     -1.133346e+03      1.602142e+02   
     0.015318          1.483076        5.737727e+06      5.738669e+06     -1.088316e+03      1.462985e+02   
     0.015318          1.549467        5.373904e+06      5.374827e+06     -1.057374e+03      1.342934e+02   
