#        q              total               1              \delta U         \delta U^2    

     0.001185        8.928496e+08      8.928625e+08     -1.870643e+04      5.800055e+03   
     0.006239        4.961036e+08      4.961130e+08     -1.107725e+04      1.676681e+03   
     0.015318        2.816594e+08      2.816664e+08     -7.765637e+03      8.242502e+02   
     0.028399        1.306755e+08      1.306801e+08     -5.101803e+03      5.674328e+02   
     0.045447        9.715937e+07      9.716321e+07     -4.312056e+03      4.686924e+02   
     0.066417        7.501470e+07      7.501801e+07     -3.744136e+03      4.328124e+02   
     0.091251        5.724608e+07      5.724891e+07     -3.241048e+03      4.171145e+02   
     0.119882        4.313255e+07      4.313492e+07     -2.786097e+03      4.066864e+02   
     0.152235        3.404847e+07      3.405052e+07     -2.445164e+03      3.961560e+02   
     0.188220        2.661799e+07      2.661973e+07     -2.127186e+03      3.834191e+02   
     0.227742        2.197871e+07      2.198023e+07     -1.892279e+03      3.675070e+02   
     0.270694        1.803377e+07      1.803509e+07     -1.667841e+03      3.479361e+02   
     0.316959        1.574688e+07      1.574806e+07     -1.505819e+03      3.245583e+02   
     0.366414        1.370695e+07      1.370800e+07     -1.346657e+03      2.975493e+02   
     0.418925        1.189217e+07      1.189310e+07     -1.191916e+03      2.674510e+02   
     0.474351        1.028220e+07      1.028301e+07     -1.043477e+03      2.352029e+02   
     0.532541        8.858114e+06      8.858815e+06     -9.034161e+02      2.021429e+02   
     0.593339        7.602331e+06      7.602935e+06     -7.738435e+02      1.699594e+02   
     0.656582        7.032427e+06      7.032969e+06     -6.831418e+02      1.405647e+02   
     0.722098        5.998911e+06      5.999371e+06     -5.764326e+02      1.158850e+02   
     0.789711        5.095196e+06      5.095584e+06     -4.850413e+02      9.755573e+01   
     0.859239        4.307901e+06      4.308224e+06     -4.091055e+02      8.657244e+01   
     0.930495        3.954033e+06      3.954313e+06     -3.632624e+02      8.294846e+01   
     1.003286        3.318581e+06      3.318808e+06     -3.131229e+02      8.550056e+01   
     1.077416        2.770613e+06      2.770795e+06     -2.738464e+02      9.186927e+01   
     1.152685        2.091242e+06      2.091374e+06     -2.313134e+02      9.887576e+01   
     1.228890        1.556760e+06      1.556853e+06     -1.962141e+02      1.031926e+02   
     1.305826        1.025348e+06      1.025403e+06     -1.574130e+02      1.021855e+02   
     1.383286        1.362311e+05      1.361932e+05     -5.675156e+01      9.464870e+01   
     1.461060        8.113330e+01      0.000000e+00      0.000000e+00      8.113330e+01   
     1.538940        6.371831e+01      0.000000e+00      0.000000e+00      6.371831e+01   
     1.616714        4.528386e+01      0.000000e+00      0.000000e+00      4.528386e+01   
     1.694174        2.858426e+01      0.000000e+00      0.000000e+00      2.858426e+01   
     1.771110        1.550312e+01      0.000000e+00      0.000000e+00      1.550312e+01   
     1.847315        6.745608e+00      0.000000e+00      0.000000e+00      6.745608e+00   
     1.922584        1.988884e+00      0.000000e+00      0.000000e+00      1.988884e+00   
     1.996714        3.059786e-01      0.000000e+00      0.000000e+00      3.059786e-01   
     2.069505        6.157099e-01      0.000000e+00      0.000000e+00      6.157099e-01   
     2.140761        1.988367e+00      0.000000e+00      0.000000e+00      1.988367e+00   
     2.210289        3.767034e+00      0.000000e+00      0.000000e+00      3.767034e+00   
     2.277902        5.556471e+00      0.000000e+00      0.000000e+00      5.556471e+00   
     2.343418        7.154817e+00      0.000000e+00      0.000000e+00      7.154817e+00   
