#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.371784e+08      8.372529e+08     -1.992531e+05      1.248316e+05   
     0.001185          0.009274        5.292748e+08      5.293256e+08     -1.612942e+05      1.104334e+05   
     0.001185          0.022740        3.327869e+08      3.328248e+08     -1.279208e+05      9.005501e+04   
     0.001185          0.042083        1.301692e+08      1.301852e+08     -6.742354e+04      5.138183e+04   
     0.001185          0.067187        9.071624e+07      9.073096e+07     -6.078845e+04      4.607299e+04   
     0.001185          0.097901        7.104891e+07      7.106176e+07     -5.352654e+04      4.067442e+04   
     0.001185          0.134040        5.599013e+07      5.600181e+07     -4.680172e+04      3.512413e+04   
     0.001185          0.175388        4.401885e+07      4.402892e+07     -4.097733e+04      3.091081e+04   
     0.001185          0.221694        3.587898e+07      3.588831e+07     -3.734602e+04      2.801038e+04   
     0.001185          0.272682        2.903261e+07      2.904072e+07     -3.393584e+04      2.582932e+04   
     0.001185          0.328043        2.458555e+07      2.459296e+07     -3.178181e+04      2.437448e+04   
     0.001185          0.387446        2.117791e+07      2.118465e+07     -2.972091e+04      2.297211e+04   
     0.001185          0.450533        1.796818e+07      1.797436e+07     -2.775108e+04      2.156832e+04   
     0.001185          0.516924        1.625049e+07      1.625636e+07     -2.679968e+04      2.093534e+04   
     0.001185          0.586221        1.415513e+07      1.416012e+07     -2.496261e+04      1.996838e+04   
     0.001185          0.658006        1.274766e+07      1.275225e+07     -2.407643e+04      1.948047e+04   
     0.001185          0.731848        1.143710e+07      1.144094e+07     -2.236748e+04      1.853223e+04   
     0.001185          0.807302        1.026090e+07      1.026444e+07     -2.154420e+04      1.800658e+04   
     0.001185          0.883916        9.528003e+06      9.531131e+06     -2.074137e+04      1.761247e+04   
     0.001185          0.961228        8.839289e+06      8.842004e+06     -1.995874e+04      1.724337e+04   
     0.001185          1.038772        8.189182e+06      8.191543e+06     -1.919605e+04      1.683475e+04   
     0.001185          1.116084        7.303027e+06      7.305003e+06     -1.845304e+04      1.647763e+04   
     0.001185          1.192698        6.752100e+06      6.753727e+06     -1.772946e+04      1.610291e+04   
     0.001185          1.268152        6.236210e+06      6.237562e+06     -1.702504e+04      1.567263e+04   
     0.001185          1.341994        5.753591e+06      5.754696e+06     -1.633953e+04      1.523423e+04   
     0.001185          1.413779        5.302499e+06      5.303387e+06     -1.567267e+04      1.478408e+04   
     0.001185          1.483076        4.881220e+06      4.881965e+06     -1.502421e+04      1.427905e+04   
     0.001185          1.549467        4.676459e+06      4.677148e+06     -1.439389e+04      1.370542e+04   
     0.001185          1.612554        4.297109e+06      4.297829e+06     -1.378144e+04      1.306113e+04   
     0.001185          1.671957        3.943761e+06      3.944497e+06     -1.318662e+04      1.245116e+04   
     0.001185          1.727318        3.615006e+06      3.615706e+06     -1.260917e+04      1.190941e+04   
     0.001185          1.778306        3.614646e+06      3.615706e+06     -1.260917e+04      1.154965e+04   
     0.001185          1.824612        3.308920e+06      3.310074e+06     -1.204883e+04      1.089470e+04   
     0.001185          1.865960        3.183105e+06      3.184298e+06     -1.159099e+04      1.039831e+04   
     0.001185          1.902099        3.024781e+06      3.026278e+06     -1.150533e+04      1.000867e+04   
     0.001185          1.932813        2.889163e+06      2.890618e+06     -1.098958e+04      9.534903e+03   
     0.001185          1.957917        2.761311e+06      2.763051e+06     -1.097843e+04      9.238596e+03   
     0.001185          1.977260        2.761165e+06      2.763051e+06     -1.097843e+04      9.092128e+03   
     0.001185          1.990726        2.760967e+06      2.763051e+06     -1.097843e+04      8.894164e+03   
     0.001185          1.998238        2.632687e+06      2.634553e+06     -1.046787e+04      8.601728e+03   
     0.006239          0.001762        4.646423e+08      4.647730e+08     -1.329905e+05      2.278671e+03   
     0.006239          0.009274        4.374018e+08      4.375221e+08     -1.225611e+05      2.262971e+03   
     0.006239          0.022740        3.009323e+08      3.010288e+08     -9.874347e+04      2.233777e+03   
     0.006239          0.042083        1.359752e+08      1.360323e+08     -5.928393e+04      2.194900e+03   
     0.006239          0.067187        9.009867e+07      9.014941e+07     -5.291702e+04      2.176290e+03   
     0.006239          0.097901        7.126894e+07      7.131375e+07     -4.695971e+04      2.156613e+03   
     0.006239          0.134040        5.587781e+07      5.591663e+07     -4.095973e+04      2.136427e+03   
     0.006239          0.175388        4.406104e+07      4.409495e+07     -3.601426e+04      2.107587e+03   
     0.006239          0.221694        3.536701e+07      3.539733e+07     -3.238313e+04      2.059714e+03   
     0.006239          0.272682        2.911516e+07      2.914300e+07     -2.983417e+04      1.993977e+03   
     0.006239          0.328043        2.438325e+07      2.440906e+07     -2.772203e+04      1.915324e+03   
     0.006239          0.387446        2.089357e+07      2.091776e+07     -2.601530e+04      1.827880e+03   
     0.006239          0.450533        1.800442e+07      1.802699e+07     -2.429754e+04      1.731434e+03   
     0.006239          0.516924        1.604962e+07      1.607118e+07     -2.319107e+04      1.628808e+03   
     0.006239          0.586221        1.413979e+07      1.416012e+07     -2.185026e+04      1.522471e+03   
     0.006239          0.658006        1.284506e+07      1.286473e+07     -2.107457e+04      1.413055e+03   
     0.006239          0.731848        1.156578e+07      1.158431e+07     -1.982404e+04      1.302084e+03   
     0.006239          0.807302        1.031337e+07      1.033103e+07     -1.885806e+04      1.192422e+03   
     0.006239          0.883916        9.514061e+06      9.531131e+06     -1.815533e+04      1.084424e+03   
     0.006239          0.961228        8.825514e+06      8.842004e+06     -1.747028e+04      9.794838e+02   
     0.006239          1.038772        8.055294e+06      8.071217e+06     -1.680268e+04      8.793814e+02   
     0.006239          1.116084        7.310656e+06      7.325942e+06     -1.606995e+04      7.843922e+02   
     0.006239          1.192698        6.671469e+06      6.686137e+06     -1.536363e+04      6.956581e+02   
     0.006239          1.268152        6.153515e+06      6.167636e+06     -1.473529e+04      6.135789e+02   
     0.006239          1.341994        5.692285e+06      5.705928e+06     -1.418111e+04      5.385219e+02   
     0.006239          1.413779        5.295049e+06      5.308275e+06     -1.369686e+04      4.707963e+02   
     0.006239          1.483076        4.948159e+06      4.960899e+06     -1.315099e+04      4.103298e+02   
     0.006239          1.549467        4.640590e+06      4.652833e+06     -1.259925e+04      3.568590e+02   
     0.006239          1.612554        4.286076e+06      4.297829e+06     -1.206317e+04      3.100271e+02   
     0.006239          1.671957        3.933224e+06      3.944497e+06     -1.154251e+04      2.694862e+02   
     0.006239          1.727318        3.674835e+06      3.685826e+06     -1.122603e+04      2.350350e+02   
     0.006239          1.778306        3.604875e+06      3.615706e+06     -1.103705e+04      2.060345e+02   
     0.006239          1.824612        3.299709e+06      3.310074e+06     -1.054657e+04      1.815571e+02   
     0.006239          1.865960        3.175634e+06      3.185749e+06     -1.027701e+04      1.616516e+02   
     0.006239          1.902099        3.016353e+06      3.026278e+06     -1.007084e+04      1.455149e+02   
     0.006239          1.932813        2.934499e+06      2.944164e+06     -9.797585e+03      1.327594e+02   
     0.006239          1.957917        2.761652e+06      2.771139e+06     -9.609639e+03      1.229911e+02   
     0.006239          1.977260        2.753558e+06      2.763051e+06     -9.609639e+03      1.159263e+02   
     0.006239          1.990726        2.704334e+06      2.713660e+06     -9.437862e+03      1.112936e+02   
     0.006239          1.998238        2.665807e+06      2.675002e+06     -9.303412e+03      1.086373e+02   
     0.015318          0.001762        2.447106e+08      2.448002e+08     -9.165040e+04      2.088767e+03   
     0.015318          0.009274        2.236790e+08      2.237594e+08     -8.251469e+04      2.085939e+03   
     0.015318          0.022740        1.839171e+08      1.839816e+08     -6.655879e+04      2.078907e+03   
     0.015318          0.042083        1.341467e+08      1.342022e+08     -5.763140e+04      2.070050e+03   
     0.015318          0.067187        8.940257e+07      8.945270e+07     -5.218659e+04      2.062517e+03   
     0.015318          0.097901        7.009019e+07      7.013460e+07     -4.646636e+04      2.055236e+03   
     0.015318          0.134040        5.535750e+07      5.539622e+07     -4.075849e+04      2.047826e+03   
     0.015318          0.175388        4.387869e+07      4.391262e+07     -3.595740e+04      2.029536e+03   
     0.015318          0.221694        3.532704e+07      3.535742e+07     -3.237558e+04      1.989223e+03   
     0.015318          0.272682        2.899244e+07      2.902021e+07     -2.970444e+04      1.929013e+03   
     0.015318          0.328043        2.432204e+07      2.434781e+07     -2.762978e+04      1.854653e+03   
     0.015318          0.387446        2.083048e+07      2.085459e+07     -2.588057e+04      1.770853e+03   
     0.015318          0.450533        1.815426e+07      1.817703e+07     -2.444860e+04      1.677511e+03   
     0.015318          0.516924        1.596339e+07      1.598487e+07     -2.305925e+04      1.577369e+03   
     0.015318          0.586221        1.428268e+07      1.430318e+07     -2.196655e+04      1.473272e+03   
     0.015318          0.658006        1.276747e+07      1.278692e+07     -2.081675e+04      1.366055e+03   
     0.015318          0.731848        1.149688e+07      1.151548e+07     -1.985747e+04      1.257110e+03   
     0.015318          0.807302        1.044803e+07      1.046583e+07     -1.894836e+04      1.149094e+03   
     0.015318          0.883916        9.520613e+06      9.537695e+06     -1.812463e+04      1.042574e+03   
     0.015318          0.961228        8.691805e+06      8.708211e+06     -1.734435e+04      9.392505e+02   
