#        q              total               1              \delta U         \delta U^2    

     0.001185        8.618077e+08      8.619880e+08     -1.838392e+05      3.499678e+03   
     0.006239        4.678182e+08      4.679493e+08     -1.332144e+05      2.146676e+03   
     0.015318        2.422018e+08      2.422912e+08     -9.140633e+04      1.985736e+03   
     0.028399        9.895907e+07      9.901191e+07     -5.476866e+04      1.930183e+03   
     0.045447        7.453623e+07      7.458209e+07     -4.775594e+04      1.902141e+03   
     0.066417        5.684549e+07      5.688494e+07     -4.132909e+04      1.878908e+03   
     0.091251        4.280001e+07      4.283361e+07     -3.545695e+04      1.850902e+03   
     0.119882        3.280303e+07      3.283231e+07     -3.109376e+04      1.814266e+03   
     0.152235        2.645368e+07      2.647987e+07     -2.795247e+04      1.767049e+03   
     0.188220        2.116140e+07      2.118465e+07     -2.496369e+04      1.707846e+03   
     0.227742        1.795308e+07      1.797436e+07     -2.291438e+04      1.635286e+03   
     0.270694        1.515876e+07      1.517811e+07     -2.090022e+04      1.547904e+03   
     0.316959        1.318219e+07      1.319967e+07     -1.892608e+04      1.444552e+03   
     0.366414        1.142526e+07      1.144094e+07     -1.700011e+04      1.325074e+03   
     0.418925        1.024991e+07      1.026444e+07     -1.571932e+04      1.190583e+03   
     0.474351        8.829178e+06      8.842004e+06     -1.387024e+04      1.043782e+03   
     0.532541        7.576533e+06      7.587754e+06     -1.211033e+04      8.892298e+02   
     0.593339        6.743572e+06      6.753727e+06     -1.088871e+04      7.334434e+02   
     0.656582        5.977690e+06      5.986408e+06     -9.302868e+03      5.848453e+02   
     0.722098        5.076557e+06      5.083958e+06     -7.854639e+03      4.531556e+02   
     0.789711        4.291623e+06      4.297829e+06     -6.554632e+03      3.486950e+02   
     0.859239        3.775917e+06      3.781292e+06     -5.656313e+03      2.810359e+02   
     0.930495        3.305706e+06      3.310074e+06     -4.625380e+03      2.572976e+02   
     1.003286        2.631260e+06      2.634553e+06     -3.573252e+03      2.802503e+02   
     1.077416        2.180925e+06      2.183445e+06     -2.867124e+03      3.468000e+02   
     1.152685        1.543399e+06      1.545008e+06     -2.057066e+03      4.473401e+02   
     1.228890        3.502238e+05      3.501312e+05     -4.740764e+02      5.666321e+02   
     1.305826        6.861262e+02      0.000000e+00      0.000000e+00      6.861262e+02   
     1.383286        7.875837e+02      0.000000e+00      0.000000e+00      7.875837e+02   
     1.461060        8.568418e+02      0.000000e+00      0.000000e+00      8.568418e+02   
     1.538940        8.864273e+02      0.000000e+00      0.000000e+00      8.864273e+02   
     1.616714        8.763418e+02      0.000000e+00      0.000000e+00      8.763418e+02   
     1.694174        8.328758e+02      0.000000e+00      0.000000e+00      8.328758e+02   
     1.771110        7.660666e+02      0.000000e+00      0.000000e+00      7.660666e+02   
     1.847315        6.868106e+02      0.000000e+00      0.000000e+00      6.868106e+02   
     1.922584        6.045524e+02      0.000000e+00      0.000000e+00      6.045524e+02   
     1.996714        5.260427e+02      0.000000e+00      0.000000e+00      5.260427e+02   
     2.069505        4.551541e+02      0.000000e+00      0.000000e+00      4.551541e+02   
     2.140761        3.934050e+02      0.000000e+00      0.000000e+00      3.934050e+02   
     2.210289        3.407557e+02      0.000000e+00      0.000000e+00      3.407557e+02   
     2.277902        2.963452e+02      0.000000e+00      0.000000e+00      2.963452e+02   
     2.343418        2.590159e+02      0.000000e+00      0.000000e+00      2.590159e+02   
     2.406661        2.276138e+02      0.000000e+00      0.000000e+00      2.276138e+02   
     2.467459        2.011217e+02      0.000000e+00      0.000000e+00      2.011217e+02   
     2.525649        1.786940e+02      0.000000e+00      0.000000e+00      1.786940e+02   
     2.581075        1.596461e+02      0.000000e+00      0.000000e+00      1.596461e+02   
     2.633586        1.434282e+02      0.000000e+00      0.000000e+00      1.434282e+02   
     2.683041        1.295980e+02      0.000000e+00      0.000000e+00      1.295980e+02   
     2.729306        1.177978e+02      0.000000e+00      0.000000e+00      1.177978e+02   
     2.772258        1.077361e+02      0.000000e+00      0.000000e+00      1.077361e+02   
     2.811780        9.917408e+01      0.000000e+00      0.000000e+00      9.917408e+01   
     2.847765        9.191484e+01      0.000000e+00      0.000000e+00      9.191484e+01   
     2.880118        8.579601e+01      0.000000e+00      0.000000e+00      8.579601e+01   
