#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.072564e+08      8.072655e+08     -9.648938e+03      5.481970e+02   
     0.001185          0.009274        5.046681e+08      5.046753e+08     -7.791311e+03      5.197196e+02   
     0.001185          0.022740        3.121676e+08      3.121734e+08     -6.180926e+03      4.493768e+02   
     0.001185          0.042083        8.675812e+07      8.676102e+07     -3.302319e+03      4.065330e+02   
     0.001185          0.067187        7.052336e+07      7.052595e+07     -2.981015e+03      3.882865e+02   
     0.001185          0.097901        5.467957e+07      5.468183e+07     -2.623538e+03      3.677509e+02   
     0.001185          0.134040        4.179658e+07      4.179850e+07     -2.274221e+03      3.464309e+02   
     0.001185          0.175388        3.204640e+07      3.204809e+07     -2.018222e+03      3.269342e+02   
     0.001185          0.221694        2.661820e+07      2.661973e+07     -1.839372e+03      3.088667e+02   
     0.001185          0.272682        2.197885e+07      2.198023e+07     -1.671413e+03      2.916480e+02   
     0.001185          0.328043        1.927716e+07      1.927845e+07     -1.565322e+03      2.743653e+02   
     0.001185          0.387446        1.685808e+07      1.685928e+07     -1.463819e+03      2.576598e+02   
     0.001185          0.450533        1.469744e+07      1.469856e+07     -1.366801e+03      2.409670e+02   
     0.001185          0.516924        1.370691e+07      1.370800e+07     -1.319942e+03      2.238745e+02   
     0.001185          0.586221        1.189207e+07      1.189310e+07     -1.229462e+03      2.074467e+02   
     0.001185          0.658006        1.106267e+07      1.106366e+07     -1.185816e+03      1.909292e+02   
     0.001185          0.731848        9.547877e+06      9.548804e+06     -1.101646e+03      1.743333e+02   
     0.001185          0.807302        8.857913e+06      8.858815e+06     -1.061098e+03      1.592631e+02   
     0.001185          0.883916        8.210007e+06      8.210884e+06     -1.021557e+03      1.445558e+02   
     0.001185          0.961228        7.602083e+06      7.602935e+06     -9.830110e+02      1.306576e+02   
     0.001185          1.038772        7.032141e+06      7.032969e+06     -9.454468e+02      1.173036e+02   
     0.001185          1.116084        6.498260e+06      6.499064e+06     -9.088520e+02      1.047051e+02   
     0.001185          1.192698        5.998591e+06      5.999371e+06     -8.732138e+02      9.312666e+01   
     0.001185          1.268152        5.531357e+06      5.532113e+06     -8.385197e+02      8.288202e+01   
     0.001185          1.341994        5.094853e+06      5.095584e+06     -8.047569e+02      7.395506e+01   
     0.001185          1.413779        4.687439e+06      4.688144e+06     -7.719128e+02      6.608083e+01   
     0.001185          1.483076        4.307543e+06      4.308224e+06     -7.399747e+02      5.905606e+01   
