#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.415839e+08      2.416626e+08     -8.334292e+04      4.691056e+03   
     0.001185          0.009274        1.515470e+08      1.516102e+08     -6.744355e+04      4.299090e+03   
     0.001185          0.022740        9.464809e+07      9.469818e+07     -5.372068e+04      3.628264e+03   
     0.001185          0.042083        4.518802e+07      4.521997e+07     -3.444047e+04      2.490903e+03   
     0.001185          0.067187        1.671218e+07      1.673176e+07     -2.157609e+04      1.997030e+03   
     0.001185          0.097901        1.199064e+07      1.200755e+07     -1.871909e+04      1.804183e+03   
     0.001185          0.134040        9.166307e+06      9.180948e+06     -1.628169e+04      1.641233e+03   
     0.001185          0.175388        7.016512e+06      7.029364e+06     -1.434699e+04      1.494836e+03   
     0.001185          0.221694        5.517697e+06      5.529041e+06     -1.270376e+04      1.359270e+03   
     0.001185          0.272682        4.295669e+06      4.305623e+06     -1.119105e+04      1.237160e+03   
     0.001185          0.328043        3.478544e+06      3.487423e+06     -1.001370e+04      1.135051e+03   
     0.001185          0.387446        2.760957e+06      2.768858e+06     -8.945239e+03      1.044981e+03   
     0.001185          0.450533        2.291477e+06      2.298648e+06     -8.138627e+03      9.674060e+02   
     0.001185          0.516924        1.985731e+06      1.992582e+06     -7.754174e+03      9.037740e+02   
     0.001185          0.586221        1.701119e+06      1.707306e+06     -7.021972e+03      8.349224e+02   
     0.001185          0.658006        1.473771e+06      1.479665e+06     -6.673824e+03      7.802861e+02   
     0.001185          0.731848        1.261642e+06      1.266935e+06     -6.012433e+03      7.192373e+02   
     0.001185          0.807302        1.076809e+06      1.081838e+06     -5.698789e+03      6.701813e+02   
     0.001185          0.883916        9.661953e+05      9.709656e+05     -5.396247e+03      6.259222e+02   
     0.001185          0.961228        8.652080e+05      8.697283e+05     -5.104607e+03      5.843323e+02   
     0.001185          1.038772        7.731638e+05      7.774440e+05     -4.823668e+03      5.434705e+02   
     0.001185          1.116084        6.894190e+05      6.934681e+05     -4.553231e+03      5.041775e+02   
     0.001185          1.192698        6.133653e+05      6.171909e+05     -4.293094e+03      4.675031e+02   
     0.001185          1.268152        5.444271e+05      5.480372e+05     -4.043060e+03      4.329835e+02   
     0.001185          1.341994        4.820639e+05      4.854646e+05     -3.802927e+03      4.022474e+02   
     0.001185          1.413779        4.257606e+05      4.289622e+05     -3.572495e+03      3.709457e+02   
     0.001185          1.483076        3.810689e+05      3.840800e+05     -3.351564e+03      3.404893e+02   
     0.001185          1.549467        3.513559e+05      3.541781e+05     -3.139935e+03      3.177285e+02   
     0.001185          1.612554        3.294356e+05      3.322749e+05     -3.139935e+03      3.005571e+02   
     0.001185          1.671957        2.885542e+05      2.912153e+05     -2.937407e+03      2.763579e+02   
     0.001185          1.727318        2.695295e+05      2.720191e+05     -2.743780e+03      2.541969e+02   
     0.001185          1.778306        2.519738e+05      2.544736e+05     -2.743780e+03      2.439439e+02   
     0.001185          1.824612        2.322518e+05      2.345870e+05     -2.558854e+03      2.236195e+02   
     0.001185          1.865960        2.193345e+05      2.216789e+05     -2.558854e+03      2.145057e+02   
     0.001185          1.902099        2.042120e+05      2.063948e+05     -2.382430e+03      1.995868e+02   
     0.001185          1.932813        1.902968e+05      1.924842e+05     -2.382430e+03      1.949733e+02   
     0.001185          1.957917        1.768687e+05      1.789010e+05     -2.214307e+03      1.819948e+02   
     0.001185          1.977260        1.768643e+05      1.789010e+05     -2.214307e+03      1.775665e+02   
     0.001185          1.990726        1.724407e+05      1.744798e+05     -2.214307e+03      1.752179e+02   
     0.001185          1.998238        1.645262e+05      1.665664e+05     -2.214307e+03      1.741640e+02   
     0.006239          0.001762        1.327818e+08      1.328429e+08     -6.215171e+04      1.043566e+03   
     0.006239          0.009274        1.248688e+08      1.249246e+08     -5.680528e+04      1.002345e+03   
     0.006239          0.022740        8.911839e+07      8.916495e+07     -4.748041e+04      9.188392e+02   
     0.006239          0.042083        4.082033e+07      4.084838e+07     -2.886795e+04      8.238866e+02   
     0.006239          0.067187        1.681858e+07      1.683874e+07     -2.093035e+04      7.740648e+02   
     0.006239          0.097901        1.195831e+07      1.197575e+07     -1.817844e+04      7.404070e+02   
     0.006239          0.134040        9.166937e+06      9.182176e+06     -1.594421e+04      7.051680e+02   
     0.006239          0.175388        7.118733e+06      7.132106e+06     -1.404166e+04      6.684274e+02   
     0.006239          0.221694        5.541299e+06      5.553017e+06     -1.234898e+04      6.310250e+02   
     0.006239          0.272682        4.360969e+06      4.371326e+06     -1.095103e+04      5.939941e+02   
     0.006239          0.328043        3.458199e+06      3.467414e+06     -9.773351e+03      5.579656e+02   
     0.006239          0.387446        2.806714e+06      2.815014e+06     -8.823302e+03      5.232578e+02   
     0.006239          0.450533        2.323850e+06      2.331412e+06     -8.050538e+03      4.890115e+02   
     0.006239          0.516924        1.963972e+06      1.970986e+06     -7.469459e+03      4.555433e+02   
     0.006239          0.586221        1.676664e+06      1.683090e+06     -6.848357e+03      4.223192e+02   
     0.006239          0.658006        1.465352e+06      1.471434e+06     -6.472613e+03      3.899234e+02   
     0.006239          0.731848        1.262986e+06      1.268548e+06     -5.920354e+03      3.582116e+02   
     0.006239          0.807302        1.086962e+06      1.092192e+06     -5.557889e+03      3.275042e+02   
     0.006239          0.883916        9.660010e+05      9.709656e+05     -5.262827e+03      2.981666e+02   
     0.006239          0.961228        8.650201e+05      8.697283e+05     -4.978398e+03      2.702110e+02   
     0.006239          1.038772        7.729836e+05      7.774440e+05     -4.704405e+03      2.439127e+02   
     0.006239          1.116084        6.892467e+05      6.934681e+05     -4.440654e+03      2.192513e+02   
     0.006239          1.192698        6.132003e+05      6.171909e+05     -4.186950e+03      1.963821e+02   
     0.006239          1.268152        5.442694e+05      5.480372e+05     -3.943097e+03      1.752456e+02   
     0.006239          1.341994        4.819117e+05      4.854646e+05     -3.708901e+03      1.560158e+02   
     0.006239          1.413779        4.256168e+05      4.289622e+05     -3.484166e+03      1.388534e+02   
     0.006239          1.483076        3.858768e+05      3.890223e+05     -3.268698e+03      1.232597e+02   
     0.006239          1.549467        3.596323e+05      3.626585e+05     -3.135625e+03      1.093750e+02   
     0.006239          1.612554        3.293107e+05      3.322749e+05     -3.062301e+03      9.802316e+01   
     0.006239          1.671957        2.884378e+05      2.912153e+05     -2.864781e+03      8.733667e+01   
     0.006239          1.727318        2.694211e+05      2.720191e+05     -2.675941e+03      7.796798e+01   
     0.006239          1.778306        2.518686e+05      2.544736e+05     -2.675941e+03      7.088030e+01   
     0.006239          1.824612        2.280092e+05      2.304408e+05     -2.495588e+03      6.397245e+01   
     0.006239          1.865960        2.144724e+05      2.168547e+05     -2.441279e+03      5.902903e+01   
     0.006239          1.902099        2.014737e+05      2.037430e+05     -2.323525e+03      5.421651e+01   
     0.006239          1.932813        1.902119e+05      1.924842e+05     -2.323525e+03      5.116904e+01   
     0.006239          1.957917        1.774563e+05      1.795757e+05     -2.167704e+03      4.822446e+01   
     0.006239          1.977260        1.767875e+05      1.789010e+05     -2.159559e+03      4.610910e+01   
     0.006239          1.990726        1.709320e+05      1.730466e+05     -2.159559e+03      4.493655e+01   
     0.006239          1.998238        1.672247e+05      1.693400e+05     -2.159559e+03      4.425383e+01   
     0.015318          0.001762        7.507649e+07      7.512245e+07     -4.662718e+04      6.693183e+02   
     0.015318          0.009274        7.262049e+07      7.266319e+07     -4.335822e+04      6.636036e+02   
     0.015318          0.022740        5.491592e+07      5.494792e+07     -3.264663e+04      6.489604e+02   
     0.015318          0.042083        3.245334e+07      3.247569e+07     -2.297157e+04      6.236822e+02   
     0.015318          0.067187        1.789160e+07      1.791077e+07     -1.977445e+04      6.095686e+02   
     0.015318          0.097901        1.182860e+07      1.184548e+07     -1.747780e+04      5.949195e+02   
     0.015318          0.134040        9.071407e+06      9.086347e+06     -1.551612e+04      5.755754e+02   
     0.015318          0.175388        7.053128e+06      7.066333e+06     -1.375776e+04      5.533927e+02   
     0.015318          0.221694        5.512230e+06      5.523891e+06     -1.218935e+04      5.290810e+02   
     0.015318          0.272682        4.337403e+06      4.347747e+06     -1.084727e+04      5.033489e+02   
     0.015318          0.328043        3.458022e+06      3.467216e+06     -9.670996e+03      4.765459e+02   
     0.015318          0.387446        2.809099e+06      2.817434e+06     -8.783986e+03      4.490913e+02   
     0.015318          0.450533        2.340063e+06      2.347687e+06     -8.045282e+03      4.210953e+02   
     0.015318          0.516924        1.969060e+06      1.976037e+06     -7.369080e+03      3.925912e+02   
     0.015318          0.586221        1.686406e+06      1.692908e+06     -6.865856e+03      3.638489e+02   
     0.015318          0.658006        1.452081e+06      1.458101e+06     -6.356166e+03      3.353171e+02   
     0.015318          0.731848        1.261143e+06      1.266779e+06     -5.942928e+03      3.070865e+02   
     0.015318          0.807302        1.104458e+06      1.109739e+06     -5.560138e+03      2.794743e+02   
     0.015318          0.883916        9.734870e+05      9.784663e+05     -5.231976e+03      2.526144e+02   
     0.015318          0.961228        8.604776e+05      8.651737e+05     -4.923296e+03      2.271490e+02   
     0.015318          1.038772        7.663047e+05      7.707381e+05     -4.636487e+03      2.030883e+02   
     0.015318          1.116084        6.828260e+05      6.870191e+05     -4.373568e+03      1.804555e+02   
     0.015318          1.192698        6.088547e+05      6.128281e+05     -4.132982e+03      1.595586e+02   
     0.015318          1.268152        5.433025e+05      5.470754e+05     -3.913103e+03      1.402635e+02   
     0.015318          1.341994        4.823537e+05      4.859178e+05     -3.687159e+03      1.230515e+02   
     0.015318          1.413779        4.313690e+05      4.347252e+05     -3.463742e+03      1.075124e+02   
     0.015318          1.483076        3.904664e+05      3.936567e+05     -3.284062e+03      9.371526e+01   
     0.015318          1.549467        3.569326e+05      3.599849e+05     -3.134001e+03      8.167163e+01   
     0.015318          1.612554        3.243116e+05      3.272386e+05     -2.998206e+03      7.120396e+01   
     0.015318          1.671957        2.926603e+05      2.954461e+05     -2.847987e+03      6.212734e+01   
     0.015318          1.727318        2.686240e+05      2.712737e+05     -2.704130e+03      5.445907e+01   
     0.015318          1.778306        2.470879e+05      2.496497e+05     -2.609825e+03      4.808204e+01   
     0.015318          1.824612        2.273906e+05      2.298289e+05     -2.480959e+03      4.268323e+01   
     0.015318          1.865960        2.127629e+05      2.151322e+05     -2.407691e+03      3.833750e+01   
     0.015318          1.902099        1.988706e+05      2.011457e+05     -2.309905e+03      3.483206e+01   
     0.015318          1.932813        1.880882e+05      1.903208e+05     -2.264795e+03      3.213458e+01   
     0.015318          1.957917        1.809889e+05      1.831568e+05     -2.197972e+03      2.998940e+01   
     0.015318          1.977260        1.734362e+05      1.755549e+05     -2.147062e+03      2.844790e+01   
     0.015318          1.990726        1.703456e+05      1.724608e+05     -2.142570e+03      2.740063e+01   
     0.015318          1.998238        1.672498e+05      1.693462e+05     -2.123310e+03      2.684345e+01   
     0.028399          0.001762        2.073264e+07      2.075441e+07     -2.233522e+04      5.695979e+02   
     0.028399          0.009274        2.125485e+07      2.127666e+07     -2.237849e+04      5.674759e+02   
     0.028399          0.022740        2.260067e+07      2.262154e+07     -2.143147e+04      5.620781e+02   
     0.028399          0.042083        2.181415e+07      2.183344e+07     -1.984624e+04      5.559038e+02   
     0.028399          0.067187        1.748217e+07      1.749973e+07     -1.811448e+04      5.510396e+02   
     0.028399          0.097901        1.177523e+07      1.179107e+07     -1.638211e+04      5.421898e+02   
     0.028399          0.134040        8.848257e+06      8.862453e+06     -1.472456e+04      5.282193e+02   
     0.028399          0.175388        6.939573e+06      6.952243e+06     -1.318130e+04      5.110000e+02   
     0.028399          0.221694        5.442886e+06      5.454149e+06     -1.175433e+04      4.911837e+02   
     0.028399          0.272682        4.302796e+06      4.312876e+06     -1.054850e+04      4.692704e+02   
     0.028399          0.328043        3.441741e+06      3.450789e+06     -9.493237e+03      4.457584e+02   
     0.028399          0.387446        2.805328e+06      2.813559e+06     -8.652100e+03      4.210635e+02   
     0.028399          0.450533        2.331624e+06      2.339159e+06     -7.930515e+03      3.953153e+02   
     0.028399          0.516924        1.966309e+06      1.973243e+06     -7.302035e+03      3.687121e+02   
     0.028399          0.586221        1.678376e+06      1.684814e+06     -6.780135e+03      3.416466e+02   
     0.028399          0.658006        1.449807e+06      1.455800e+06     -6.307819e+03      3.144313e+02   
     0.028399          0.731848        1.262321e+06      1.267959e+06     -5.925592e+03      2.875770e+02   
     0.028399          0.807302        1.106997e+06      1.112278e+06     -5.541643e+03      2.610779e+02   
     0.028399          0.883916        9.721483e+05      9.770794e+05     -5.166566e+03      2.354309e+02   
     0.028399          0.961228        8.566787e+05      8.613213e+05     -4.853516e+03      2.109425e+02   
     0.028399          1.038772        7.577846e+05      7.621738e+05     -4.576926e+03      1.876965e+02   
     0.028399          1.116084        6.730505e+05      6.772023e+05     -4.317764e+03      1.659610e+02   
     0.028399          1.192698        6.005636e+05      6.044929e+05     -4.075112e+03      1.458683e+02   
     0.028399          1.268152        5.385746e+05      5.422951e+05     -3.848012e+03      1.274548e+02   
     0.028399          1.341994        4.857180e+05      4.892607e+05     -3.653634e+03      1.108500e+02   
     0.028399          1.413779        4.379205e+05      4.413034e+05     -3.478915e+03      9.601154e+01   
     0.028399          1.483076        3.942662e+05      3.974884e+05     -3.305052e+03      8.289170e+01   
     0.028399          1.549467        3.540597e+05      3.571165e+05     -3.128231e+03      7.140768e+01   
     0.028399          1.612554        3.209719e+05      3.238735e+05     -2.963162e+03      6.149719e+01   
     0.028399          1.671957        2.942363e+05      2.970152e+05     -2.831938e+03      5.298600e+01   
     0.028399          1.727318        2.688339e+05      2.715051e+05     -2.717031e+03      4.581209e+01   
     0.028399          1.778306        2.466429e+05      2.491853e+05     -2.582163e+03      3.982258e+01   
     0.028399          1.824612        2.288480e+05      2.313062e+05     -2.493045e+03      3.487336e+01   
     0.028399          1.865960        2.125611e+05      2.149234e+05     -2.393167e+03      3.082975e+01   
     0.028399          1.902099        1.994853e+05      2.017792e+05     -2.321406e+03      2.752646e+01   
     0.028399          1.932813        1.888137e+05      1.910285e+05     -2.239738e+03      2.491618e+01   
     0.028399          1.957917        1.802539e+05      1.824348e+05     -2.203825e+03      2.292701e+01   
     0.028399          1.977260        1.732281e+05      1.753631e+05     -2.156397e+03      2.145521e+01   
     0.028399          1.990726        1.687671e+05      1.708655e+05     -2.118847e+03      2.047475e+01   
     0.028399          1.998238        1.662918e+05      1.683699e+05     -2.098012e+03      1.993565e+01   
     0.045447          0.001762        1.277959e+07      1.279774e+07     -1.867381e+04      5.297334e+02   
     0.045447          0.009274        1.273117e+07      1.274913e+07     -1.849886e+04      5.295888e+02   
     0.045447          0.022740        1.266532e+07      1.268295e+07     -1.815640e+04      5.289601e+02   
     0.045447          0.042083        1.261063e+07      1.262747e+07     -1.736231e+04      5.278816e+02   
     0.045447          0.067187        1.288779e+07      1.290352e+07     -1.626343e+04      5.255762e+02   
     0.045447          0.097901        1.141429e+07      1.142877e+07     -1.500512e+04      5.188341e+02   
     0.045447          0.134040        8.496665e+06      8.509844e+06     -1.368587e+04      5.069288e+02   
     0.045447          0.175388        6.672695e+06      6.684593e+06     -1.238966e+04      4.916218e+02   
     0.045447          0.221694        5.299857e+06      5.310552e+06     -1.116905e+04      4.735728e+02   
     0.045447          0.272682        4.225382e+06      4.235010e+06     -1.008083e+04      4.532776e+02   
     0.045447          0.328043        3.404660e+06      3.413403e+06     -9.173988e+03      4.311526e+02   
     0.045447          0.387446        2.787297e+06      2.795289e+06     -8.400071e+03      4.075858e+02   
     0.045447          0.450533        2.317453e+06      2.324807e+06     -7.736139e+03      3.827985e+02   
     0.045447          0.516924        1.957313e+06      1.964112e+06     -7.155972e+03      3.570789e+02   
     0.045447          0.586221        1.674837e+06      1.681163e+06     -6.656432e+03      3.307788e+02   
     0.045447          0.658006        1.443814e+06      1.449719e+06     -6.209739e+03      3.043156e+02   
     0.045447          0.731848        1.255780e+06      1.261313e+06     -5.811067e+03      2.780704e+02   
     0.045447          0.807302        1.100182e+06      1.105373e+06     -5.442761e+03      2.522106e+02   
     0.045447          0.883916        9.677670e+05      9.726434e+05     -5.103501e+03      2.270676e+02   
     0.045447          0.961228        8.568196e+05      8.614311e+05     -4.814600e+03      2.030809e+02   
     0.045447          1.038772        7.609467e+05      7.653094e+05     -4.543036e+03      1.803232e+02   
     0.045447          1.116084        6.769592e+05      6.810862e+05     -4.286029e+03      1.590221e+02   
     0.045447          1.192698        6.034484e+05      6.073519e+05     -4.042945e+03      1.393847e+02   
     0.045447          1.268152        5.391169e+05      5.428087e+05     -3.813124e+03      1.213687e+02   
     0.045447          1.341994        4.828471e+05      4.863443e+05     -3.602425e+03      1.051706e+02   
     0.045447          1.413779        4.338406e+05      4.371769e+05     -3.427030e+03      9.066926e+01   
     0.045447          1.483076        3.913449e+05      3.945354e+05     -3.268427e+03      7.788740e+01   
     0.045447          1.549467        3.542935e+05      3.573345e+05     -3.107677e+03      6.671872e+01   
     0.045447          1.612554        3.221482e+05      3.250341e+05     -2.942990e+03      5.708202e+01   
     0.045447          1.671957        2.926549e+05      2.954061e+05     -2.800068e+03      4.884739e+01   
     0.045447          1.727318        2.677096e+05      2.703590e+05     -2.691279e+03      4.191644e+01   
     0.045447          1.778306        2.470510e+05      2.495808e+05     -2.565869e+03      3.608838e+01   
     0.045447          1.824612        2.278111e+05      2.302512e+05     -2.471383e+03      3.127580e+01   
     0.045447          1.865960        2.122536e+05      2.145997e+05     -2.373449e+03      2.735592e+01   
     0.045447          1.902099        1.991846e+05      2.014655e+05     -2.305111e+03      2.421581e+01   
     0.045447          1.932813        1.883015e+05      1.905013e+05     -2.221584e+03      2.174498e+01   
     0.045447          1.957917        1.790947e+05      1.812520e+05     -2.177122e+03      1.987027e+01   
     0.045447          1.977260        1.734207e+05      1.755455e+05     -2.143255e+03      1.849440e+01   
     0.045447          1.990726        1.689652e+05      1.710569e+05     -2.109307e+03      1.757495e+01   
     0.045447          1.998238        1.664074e+05      1.684797e+05     -2.089365e+03      1.707938e+01   
     0.066417          0.001762        9.353588e+06      9.368862e+06     -1.578803e+04      5.139844e+02   
     0.066417          0.009274        9.221244e+06      9.236505e+06     -1.577479e+04      5.139990e+02   
     0.066417          0.022740        9.197155e+06      9.212243e+06     -1.560160e+04      5.140669e+02   
     0.066417          0.042083        9.063393e+06      9.078004e+06     -1.512490e+04      5.138658e+02   
     0.066417          0.067187        8.810313e+06      8.824192e+06     -1.439145e+04      5.122900e+02   
     0.066417          0.097901        8.573342e+06      8.586323e+06     -1.348746e+04      5.063099e+02   
     0.066417          0.134040        7.957241e+06      7.969221e+06     -1.247557e+04      4.951921e+02   
     0.066417          0.175388        6.281021e+06      6.291984e+06     -1.144405e+04      4.806818e+02   
     0.066417          0.221694        5.061505e+06      5.071502e+06     -1.046072e+04      4.634029e+02   
     0.066417          0.272682        4.105619e+06      4.114733e+06     -9.558240e+03      4.437882e+02   
     0.066417          0.328043        3.340315e+06      3.348645e+06     -8.752835e+03      4.223070e+02   
     0.066417          0.387446        2.751740e+06      2.759410e+06     -8.069096e+03      3.993038e+02   
     0.066417          0.450533        2.296269e+06      2.303369e+06     -7.475840e+03      3.750521e+02   
     0.066417          0.516924        1.940499e+06      1.947099e+06     -6.949958e+03      3.498229e+02   
     0.066417          0.586221        1.663262e+06      1.669411e+06     -6.472905e+03      3.239714e+02   
     0.066417          0.658006        1.437927e+06      1.443700e+06     -6.071221e+03      2.979175e+02   
     0.066417          0.731848        1.252558e+06      1.257976e+06     -5.690330e+03      2.720928e+02   
     0.066417          0.807302        1.095479e+06      1.100562e+06     -5.329231e+03      2.466055e+02   
     0.066417          0.883916        9.643651e+05      9.691517e+05     -5.008519e+03      2.218635e+02   
     0.066417          0.961228        8.525754e+05      8.570992e+05     -4.722016e+03      1.982392e+02   
     0.066417          1.038772        7.557735e+05      7.600529e+05     -4.455251e+03      1.758126e+02   
     0.066417          1.116084        6.719897e+05      6.760420e+05     -4.207109e+03      1.548309e+02   
     0.066417          1.192698        5.995649e+05      6.034059e+05     -3.976438e+03      1.355044e+02   
     0.066417          1.268152        5.369720e+05      5.406162e+05     -3.762050e+03      1.177921e+02   
     0.066417          1.341994        4.820441e+05      4.854985e+05     -3.556253e+03      1.018570e+02   
     0.066417          1.413779        4.340097e+05      4.372997e+05     -3.377617e+03      8.760509e+01   
     0.066417          1.483076        3.907844e+05      3.939146e+05     -3.205201e+03      7.506358e+01   
     0.066417          1.549467        3.528816e+05      3.558626e+05     -3.045111e+03      6.410995e+01   
     0.066417          1.612554        3.201573e+05      3.229993e+05     -2.896670e+03      5.467271e+01   
     0.066417          1.671957        2.917106e+05      2.944191e+05     -2.755154e+03      4.660158e+01   
     0.066417          1.727318        2.671034e+05      2.697027e+05     -2.639162e+03      3.980150e+01   
     0.066417          1.778306        2.454324e+05      2.479215e+05     -2.523220e+03      3.412140e+01   
     0.066417          1.824612        2.270204e+05      2.294131e+05     -2.422127e+03      2.944515e+01   
     0.066417          1.865960        2.111703e+05      2.134784e+05     -2.333762e+03      2.563787e+01   
     0.066417          1.902099        1.979792e+05      2.002111e+05     -2.254546e+03      2.258324e+01   
     0.066417          1.932813        1.872206e+05      1.893849e+05     -2.184503e+03      2.017994e+01   
     0.066417          1.957917        1.786242e+05      1.807459e+05     -2.140020e+03      1.834977e+01   
     0.066417          1.977260        1.720157e+05      1.740920e+05     -2.093310e+03      1.701800e+01   
     0.066417          1.990726        1.675831e+05      1.696280e+05     -2.061067e+03      1.612977e+01   
     0.066417          1.998238        1.651313e+05      1.671589e+05     -2.043179e+03      1.564647e+01   
     0.091251          0.001762        6.958545e+06      6.971637e+06     -1.359496e+04      5.031783e+02   
     0.091251          0.009274        6.807274e+06      6.820233e+06     -1.346188e+04      5.032232e+02   
     0.091251          0.022740        6.798072e+06      6.810961e+06     -1.339231e+04      5.033951e+02   
     0.091251          0.042083        6.741472e+06      6.754041e+06     -1.307269e+04      5.033850e+02   
     0.091251          0.067187        6.608998e+06      6.621084e+06     -1.258851e+04      5.020576e+02   
     0.091251          0.097901        6.366961e+06      6.378398e+06     -1.193404e+04      4.963902e+02   
     0.091251          0.134040        6.032450e+06      6.043156e+06     -1.119177e+04      4.856419e+02   
     0.091251          0.175388        5.688905e+06      5.698856e+06     -1.042242e+04      4.715331e+02   
     0.091251          0.221694        4.733960e+06      4.743163e+06     -9.657356e+03      4.546742e+02   
     0.091251          0.272682        3.899845e+06      3.908343e+06     -8.933536e+03      4.354834e+02   
     0.091251          0.328043        3.235873e+06      3.243743e+06     -8.284853e+03      4.144063e+02   
     0.091251          0.387446        2.693650e+06      2.700958e+06     -7.700158e+03      3.918183e+02   
     0.091251          0.450533        2.260675e+06      2.267478e+06     -7.171017e+03      3.679548e+02   
     0.091251          0.516924        1.916823e+06      1.923169e+06     -6.688355e+03      3.431248e+02   
     0.091251          0.586221        1.643756e+06      1.649699e+06     -6.260817e+03      3.176634e+02   
     0.091251          0.658006        1.423432e+06      1.429018e+06     -5.877236e+03      2.920037e+02   
     0.091251          0.731848        1.242030e+06      1.247282e+06     -5.519310e+03      2.665613e+02   
     0.091251          0.807302        1.088874e+06      1.093822e+06     -5.189080e+03      2.414596e+02   
     0.091251          0.883916        9.596985e+05      9.643742e+05     -4.892755e+03      2.170888e+02   
     0.091251          0.961228        8.483287e+05      8.527505e+05     -4.615695e+03      1.938279e+02   
     0.091251          1.038772        7.524150e+05      7.566002e+05     -4.356915e+03      1.717504e+02   
     0.091251          1.116084        6.698075e+05      6.737718e+05     -4.115393e+03      1.511107e+02   
     0.091251          1.192698        5.975602e+05      6.013153e+05     -3.887179e+03      1.321050e+02   
     0.091251          1.268152        5.340491e+05      5.376064e+05     -3.671969e+03      1.146994e+02   
     0.091251          1.341994        4.783552e+05      4.817262e+05     -3.470004e+03      9.904814e+01   
     0.091251          1.413779        4.297019e+05      4.329046e+05     -3.287702e+03      8.506444e+01   
     0.091251          1.483076        3.877538e+05      3.908090e+05     -3.127950e+03      7.276416e+01   
     0.091251          1.549467        3.511037e+05      3.540171e+05     -2.975492e+03      6.202296e+01   
     0.091251          1.612554        3.189129e+05      3.216873e+05     -2.827160e+03      5.277842e+01   
     0.091251          1.671957        2.896830e+05      2.923226e+05     -2.684529e+03      4.488561e+01   
     0.091251          1.727318        2.651188e+05      2.676547e+05     -2.574136e+03      3.824344e+01   
     0.091251          1.778306        2.437997e+05      2.462237e+05     -2.456676e+03      3.270184e+01   
     0.091251          1.824612        2.251912e+05      2.275218e+05     -2.358751e+03      2.813638e+01   
     0.091251          1.865960        2.095317e+05      2.117762e+05     -2.268930e+03      2.443032e+01   
     0.091251          1.902099        1.965134e+05      1.986874e+05     -2.195385e+03      2.145858e+01   
     0.091251          1.932813        1.854092e+05      1.875127e+05     -2.122590e+03      1.912931e+01   
     0.091251          1.957917        1.772281e+05      1.792890e+05     -2.078255e+03      1.735362e+01   
     0.091251          1.977260        1.706764e+05      1.726964e+05     -2.036008e+03      1.605965e+01   
     0.091251          1.990726        1.660310e+05      1.680169e+05     -2.001081e+03      1.519611e+01   
     0.091251          1.998238        1.635140e+05      1.654810e+05     -1.981705e+03      1.472849e+01   
     0.119882          0.001762        5.081609e+06      5.092676e+06     -1.155886e+04      4.918778e+02   
     0.119882          0.009274        5.063810e+06      5.074790e+06     -1.147200e+04      4.919250e+02   
     0.119882          0.022740        5.051059e+06      5.062058e+06     -1.149093e+04      4.921230e+02   
     0.119882          0.042083        5.022310e+06      5.033104e+06     -1.128643e+04      4.921781e+02   
     0.119882          0.067187        4.964935e+06      4.975379e+06     -1.093488e+04      4.909556e+02   
     0.119882          0.097901        4.847810e+06      4.857812e+06     -1.048756e+04      4.854753e+02   
     0.119882          0.134040        4.679072e+06      4.688573e+06     -9.975597e+03      4.749907e+02   
     0.119882          0.175388        4.437987e+06      4.446944e+06     -9.417669e+03      4.611908e+02   
     0.119882          0.221694        4.194153e+06      4.202549e+06     -8.840605e+03      4.446743e+02   
     0.119882          0.272682        3.649184e+06      3.657048e+06     -8.289875e+03      4.258599e+02   
     0.119882          0.328043        3.076827e+06      3.084181e+06     -7.759314e+03      4.051883e+02   
     0.119882          0.387446        2.602761e+06      2.609647e+06     -7.269362e+03      3.830067e+02   
     0.119882          0.450533        2.205738e+06      2.212187e+06     -6.807943e+03      3.595841e+02   
     0.119882          0.516924        1.880324e+06      1.886377e+06     -6.388448e+03      3.351917e+02   
     0.119882          0.586221        1.617078e+06      1.622769e+06     -6.001651e+03      3.101909e+02   
     0.119882          0.658006        1.402324e+06      1.407678e+06     -5.639439e+03      2.849924e+02   
     0.119882          0.731848        1.224271e+06      1.229322e+06     -5.311362e+03      2.600158e+02   
     0.119882          0.807302        1.074503e+06      1.079277e+06     -5.009360e+03      2.353819e+02   
     0.119882          0.883916        9.475508e+05      9.520653e+05     -4.725999e+03      2.114707e+02   
     0.119882          0.961228        8.381209e+05      8.423927e+05     -4.460513e+03      1.886653e+02   
     0.119882          1.038772        7.437065e+05      7.477515e+05     -4.212072e+03      1.670259e+02   
     0.119882          1.116084        6.623540e+05      6.661870e+05     -3.979783e+03      1.468126e+02   
     0.119882          1.192698        5.912317e+05      5.948661e+05     -3.762693e+03      1.282117e+02   
     0.119882          1.268152        5.290667e+05      5.325153e+05     -3.559802e+03      1.111893e+02   
     0.119882          1.341994        4.747493e+05      4.780235e+05     -3.370080e+03      9.589702e+01   
     0.119882          1.413779        4.272210e+05      4.303307e+05     -3.191906e+03      8.224480e+01   
     0.119882          1.483076        3.848486e+05      3.878083e+05     -3.029899e+03      7.023416e+01   
