#        q              total               1              \delta U         \delta U^2    

     0.001185        2.476124e+08      2.476821e+08     -7.347558e+04      3.813793e+03   
     0.006239        1.338020e+08      1.338544e+08     -5.285551e+04      4.575314e+02   
     0.015318        7.697883e+07      7.701841e+07     -4.003246e+04      4.533549e+02   
     0.028399        2.050759e+07      2.052610e+07     -1.896214e+04      4.514149e+02   
     0.045447        1.275289e+07      1.276834e+07     -1.589930e+04      4.491635e+02   
     0.066417        9.531149e+06      9.544384e+06     -1.368054e+04      4.459237e+02   
     0.091251        7.018145e+06      7.029364e+06     -1.165987e+04      4.409853e+02   
     0.119882        5.083281e+06      5.092676e+06     -9.828671e+03      4.337017e+02   
     0.152235        3.943732e+06      3.951858e+06     -8.549099e+03      4.234657e+02   
     0.188220        3.025494e+06      3.032448e+06     -7.362811e+03      4.097324e+02   
     0.227742        2.292770e+06      2.298648e+06     -6.269820e+03      3.920308e+02   
     0.270694        1.891779e+06      1.896950e+06     -5.541241e+03      3.700308e+02   
     0.316959        1.551030e+06      1.555534e+06     -4.847938e+03      3.436182e+02   
     0.366414        1.263055e+06      1.266935e+06     -4.193675e+03      3.129748e+02   
     0.418925        1.078333e+06      1.081838e+06     -3.783549e+03      2.786692e+02   
     0.474351        8.667749e+05      8.697283e+05     -3.195100e+03      2.417211e+02   
     0.532541        7.314013e+05      7.338569e+05     -2.659209e+03      2.036522e+02   
     0.593339        6.150433e+05      6.171909e+05     -2.314052e+03      1.664823e+02   
     0.656582        4.837264e+05      4.854646e+05     -1.870817e+03      1.326583e+02   
     0.722098        4.274807e+05      4.289622e+05     -1.586374e+03      1.048761e+02   
     0.789711        3.311150e+05      3.322749e+05     -1.245697e+03      8.578604e+01   
     0.859239        2.711326e+05      2.720191e+05     -9.640099e+02      7.755285e+01   
     0.930495        2.209692e+05      2.216789e+05     -7.910161e+02      8.133746e+01   
     1.003286        1.660631e+05      1.665664e+05     -6.000885e+02      9.680026e+01   
     1.077416        1.137151e+05      1.140107e+05     -4.173947e+02      1.217851e+02   
     1.152685        8.260189e+04      8.276042e+04     -3.109149e+02      1.523832e+02   
     1.228890        4.904092e+04      4.904879e+04     -1.913566e+02      1.834822e+02   
     1.305826        3.532285e+03      3.339002e+03     -1.647780e+01      2.097608e+02   
     1.383286        2.268669e+02      0.000000e+00      0.000000e+00      2.268669e+02   
     1.461060        2.323879e+02      0.000000e+00      0.000000e+00      2.323879e+02   
     1.538940        2.262550e+02      0.000000e+00      0.000000e+00      2.262550e+02   
     1.616714        2.104519e+02      0.000000e+00      0.000000e+00      2.104519e+02   
     1.694174        1.881983e+02      0.000000e+00      0.000000e+00      1.881983e+02   
     1.771110        1.629706e+02      0.000000e+00      0.000000e+00      1.629706e+02   
     1.847315        1.377179e+02      0.000000e+00      0.000000e+00      1.377179e+02   
     1.922584        1.144599e+02      0.000000e+00      0.000000e+00      1.144599e+02   
     1.996714        9.425568e+01      0.000000e+00      0.000000e+00      9.425568e+01   
     2.069505        7.740355e+01      0.000000e+00      0.000000e+00      7.740355e+01   
     2.140761        6.371822e+01      0.000000e+00      0.000000e+00      6.371822e+01   
     2.210289        5.277685e+01      0.000000e+00      0.000000e+00      5.277685e+01   
     2.277902        4.409010e+01      0.000000e+00      0.000000e+00      4.409010e+01   
     2.343418        3.719792e+01      0.000000e+00      0.000000e+00      3.719792e+01   
     2.406661        3.171016e+01      0.000000e+00      0.000000e+00      3.171016e+01   
     2.467459        2.731444e+01      0.000000e+00      0.000000e+00      2.731444e+01   
     2.525649        2.376854e+01      0.000000e+00      0.000000e+00      2.376854e+01   
     2.581075        2.088752e+01      0.000000e+00      0.000000e+00      2.088752e+01   
     2.633586        1.853095e+01      0.000000e+00      0.000000e+00      1.853095e+01   
