#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.413046e+08      2.413103e+08     -5.852153e+03      1.332262e+02   
     0.001185          0.009274        1.508379e+08      1.508425e+08     -4.726737e+03      1.284746e+02   
     0.001185          0.022740        9.316337e+07      9.316700e+07     -3.750882e+03      1.180229e+02   
     0.001185          0.042083        3.677486e+07      3.677688e+07     -2.121668e+03      1.016861e+02   
     0.001185          0.067187        1.469714e+07      1.469856e+07     -1.516614e+03      9.677552e+01   
     0.001185          0.097901        1.106244e+07      1.106366e+07     -1.315791e+03      9.247946e+01   
     0.001185          0.134040        8.368251e+06      8.369297e+06     -1.133529e+03      8.815625e+01   
     0.001185          0.175388        6.498139e+06      6.499064e+06     -1.008470e+03      8.371636e+01   
     0.001185          0.221694        5.094770e+06      5.095584e+06     -8.929651e+02      7.910012e+01   
     0.001185          0.272682        3.953601e+06      3.954313e+06     -7.866346e+02      7.443012e+01   
     0.001185          0.328043        3.164040e+06      3.164660e+06     -6.890988e+02      6.974721e+01   
     0.001185          0.387446        2.525901e+06      2.526465e+06     -6.287734e+02      6.515442e+01   
     0.001185          0.450533        2.090863e+06      2.091374e+06     -5.720755e+02      6.052918e+01   
     0.001185          0.516924        1.897967e+06      1.898456e+06     -5.450518e+02      5.588297e+01   
     0.001185          0.586221        1.556411e+06      1.556853e+06     -4.935843e+02      5.134956e+01   
     0.001185          0.658006        1.405881e+06      1.406303e+06     -4.691125e+02      4.682545e+01   
     0.001185          0.731848        1.140999e+06      1.141379e+06     -4.226223e+02      4.235764e+01   
     0.001185          0.807302        1.025041e+06      1.025403e+06     -4.005759e+02      3.817555e+01   
     0.001185          0.883916        9.190731e+05      9.194182e+05     -3.793098e+02      3.417125e+01   
     0.001185          0.961228        8.223953e+05      8.227238e+05     -3.588100e+02      3.036041e+01   
     0.001185          1.038772        7.343441e+05      7.346564e+05     -3.390624e+02      2.675641e+01   
     0.001185          1.116084        6.542925e+05      6.545890e+05     -3.200530e+02      2.351520e+01   
     0.001185          1.192698        5.816482e+05      5.819294e+05     -3.017676e+02      2.054587e+01   
     0.001185          1.268152        5.158526e+05      5.161189e+05     -2.841924e+02      1.785428e+01   
     0.001185          1.341994        4.563791e+05      4.566309e+05     -2.673131e+02      1.545073e+01   
     0.001185          1.413779        4.027321e+05      4.029699e+05     -2.511157e+02      1.329636e+01   
     0.001185          1.483076        3.544459e+05      3.546700e+05     -2.355862e+02      1.143394e+01   
     0.001185          1.549467        3.110831e+05      3.112940e+05     -2.207104e+02      9.814638e+00   
     0.001185          1.612554        3.110818e+05      3.112940e+05     -2.207104e+02      8.584801e+00   
     0.001185          1.671957        2.722326e+05      2.724317e+05     -2.064745e+02      7.407312e+00   
     0.001185          1.727318        2.375129e+05      2.376993e+05     -1.928642e+02      6.402065e+00   
     0.001185          1.778306        2.375122e+05      2.376993e+05     -1.928642e+02      5.690024e+00   
     0.001185          1.824612        2.065633e+05      2.067381e+05     -1.798655e+02      5.019099e+00   
     0.001185          1.865960        2.065627e+05      2.067381e+05     -1.798655e+02      4.467060e+00   
     0.001185          1.902099        1.790497e+05      1.792131e+05     -1.674643e+02      4.084021e+00   
     0.001185          1.932813        1.790494e+05      1.792131e+05     -1.674643e+02      3.779199e+00   
     0.001185          1.957917        1.546599e+05      1.548121e+05     -1.556467e+02      3.467736e+00   
     0.001185          1.977260        1.546598e+05      1.548121e+05     -1.556467e+02      3.337177e+00   
     0.001185          1.990726        1.546597e+05      1.548121e+05     -1.556467e+02      3.231458e+00   
     0.001185          1.998238        1.546597e+05      1.548121e+05     -1.556467e+02      3.183008e+00   
     0.006239          0.001762        1.319315e+08      1.319358e+08     -4.436976e+03      9.222029e+01   
     0.006239          0.009274        1.238498e+08      1.238538e+08     -4.044155e+03      9.049797e+01   
     0.006239          0.022740        8.738456e+07      8.738783e+07     -3.352723e+03      8.770882e+01   
     0.006239          0.042083        3.279991e+07      3.280158e+07     -1.753195e+03      8.449498e+01   
     0.006239          0.067187        1.463706e+07      1.463843e+07     -1.449148e+03      8.211350e+01   
     0.006239          0.097901        1.096059e+07      1.096178e+07     -1.271146e+03      7.956599e+01   
     0.006239          0.134040        8.434037e+06      8.435079e+06     -1.119004e+03      7.673186e+01   
     0.006239          0.175388        6.540259e+06      6.541173e+06     -9.873869e+02      7.358853e+01   
     0.006239          0.221694        5.058876e+06      5.059677e+06     -8.708618e+02      7.014483e+01   
