#        q              total               1              \delta U         \delta U^2    

     0.001185        2.476760e+08      2.476821e+08     -6.225651e+03      1.341279e+02   
     0.006239        1.306757e+08      1.306801e+08     -4.492380e+03      9.251610e+01   
     0.015318        7.501470e+07      7.501801e+07     -3.395626e+03      8.431180e+01   
     0.028399        1.685776e+07      1.685928e+07     -1.606147e+03      8.190787e+01   
     0.045447        1.189183e+07      1.189310e+07     -1.344932e+03      8.064460e+01   
     0.066417        8.857739e+06      8.858815e+06     -1.155511e+03      7.971855e+01   
     0.091251        6.498160e+06      6.499064e+06     -9.829173e+02      7.863099e+01   
     0.119882        4.687395e+06      4.688144e+06     -8.262857e+02      7.714472e+01   
     0.152235        3.624329e+06      3.624970e+06     -7.159400e+02      7.509833e+01   
     0.188220        2.770254e+06      2.770795e+06     -6.132783e+02      7.236556e+01   
     0.227742        2.090925e+06      2.091374e+06     -5.184174e+02      6.885642e+01   
     0.270694        1.720212e+06      1.720601e+06     -4.537194e+02      6.452509e+01   
     0.316959        1.405971e+06      1.406303e+06     -3.919253e+02      5.938486e+01   
     0.366414        1.141099e+06      1.141379e+06     -3.335459e+02      5.352571e+01   
     0.418925        1.025155e+06      1.025403e+06     -2.948008e+02      4.712362e+01   
     0.474351        8.225215e+05      8.227238e+05     -2.426802e+02      4.045218e+01   
     0.532541        6.544271e+05      6.545890e+05     -1.957944e+02      3.387722e+01   
     0.593339        5.817931e+05      5.819294e+05     -1.641769e+02      2.783456e+01   
     0.656582        4.565266e+05      4.566309e+05     -1.271464e+02      2.279276e+01   
     0.722098        4.028863e+05      4.029699e+05     -1.027895e+02      1.918824e+01   
     0.789711        3.112345e+05      3.112940e+05     -7.681131e+01      1.734547e+01   
     0.859239        2.376600e+05      2.376993e+05     -5.677436e+01      1.738565e+01   
     0.930495        2.067122e+05      2.067381e+05     -4.503903e+01      1.915182e+01   
     1.003286        1.548005e+05      1.548121e+05     -3.378218e+01      2.217383e+01   
     1.077416        9.755469e+04      9.755295e+04     -2.395852e+01      2.570561e+01   
     1.152685        7.022103e+04      7.021098e+04     -1.879534e+01      2.884938e+01   
     1.228890        3.428333e+04      3.426507e+04     -1.249131e+01      3.075215e+01   
     1.305826        3.550211e+02      3.253732e+02     -1.175451e+00      3.082336e+01   
     1.383286        2.889612e+01      0.000000e+00      0.000000e+00      2.889612e+01   
     1.461060        2.526337e+01      0.000000e+00      0.000000e+00      2.526337e+01   
     1.538940        2.056578e+01      0.000000e+00      0.000000e+00      2.056578e+01   
     1.616714        1.557650e+01      0.000000e+00      0.000000e+00      1.557650e+01   
     1.694174        1.097380e+01      0.000000e+00      0.000000e+00      1.097380e+01   
     1.771110        7.190271e+00      0.000000e+00      0.000000e+00      7.190271e+00   
     1.847315        4.378276e+00      0.000000e+00      0.000000e+00      4.378276e+00   
     1.922584        2.471148e+00      0.000000e+00      0.000000e+00      2.471148e+00   
     1.996714        1.285052e+00      0.000000e+00      0.000000e+00      1.285052e+00   
     2.069505        6.098466e-01      0.000000e+00      0.000000e+00      6.098466e-01   
     2.140761        2.638120e-01      0.000000e+00      0.000000e+00      2.638120e-01   
     2.210289        1.130926e-01      0.000000e+00      0.000000e+00      1.130926e-01   
     2.277902        6.923733e-02      0.000000e+00      0.000000e+00      6.923733e-02   
     2.343418        7.824565e-02      0.000000e+00      0.000000e+00      7.824565e-02   
     2.406661        1.091847e-01      0.000000e+00      0.000000e+00      1.091847e-01   
     2.467459        1.454303e-01      0.000000e+00      0.000000e+00      1.454303e-01   
     2.525649        1.788013e-01      0.000000e+00      0.000000e+00      1.788013e-01   
     2.581075        2.059018e-01      0.000000e+00      0.000000e+00      2.059018e-01   
     2.633586        2.259240e-01      0.000000e+00      0.000000e+00      2.259240e-01   
     2.683041        2.393573e-01      0.000000e+00      0.000000e+00      2.393573e-01   
     2.729306        2.472503e-01      0.000000e+00      0.000000e+00      2.472503e-01   
     2.772258        2.508055e-01      0.000000e+00      0.000000e+00      2.508055e-01   
     2.811780        2.511714e-01      0.000000e+00      0.000000e+00      2.511714e-01   
     2.847765        2.493502e-01      0.000000e+00      0.000000e+00      2.493502e-01   
     2.880118        2.461686e-01      0.000000e+00      0.000000e+00      2.461686e-01   
     2.908749        2.422824e-01      0.000000e+00      0.000000e+00      2.422824e-01   
     2.933583        2.381965e-01      0.000000e+00      0.000000e+00      2.381965e-01   
     2.954553        2.342891e-01      0.000000e+00      0.000000e+00      2.342891e-01   
     2.971601        2.308370e-01      0.000000e+00      0.000000e+00      2.308370e-01   
     2.984682        2.280365e-01      0.000000e+00      0.000000e+00      2.280365e-01   
     2.993761        2.260215e-01      0.000000e+00      0.000000e+00      2.260215e-01   
     2.998815        2.248757e-01      0.000000e+00      0.000000e+00      2.248757e-01   
     3.004739        2.235120e-01      0.000000e+00      0.000000e+00      2.235120e-01   
     3.024957        2.187007e-01      0.000000e+00      0.000000e+00      2.187007e-01   
     3.061273        2.095346e-01      0.000000e+00      0.000000e+00      2.095346e-01   
     3.113597        1.954637e-01      0.000000e+00      0.000000e+00      1.954637e-01   
     3.181789        1.763024e-01      0.000000e+00      0.000000e+00      1.763024e-01   
     3.265666        1.526108e-01      0.000000e+00      0.000000e+00      1.526108e-01   
     3.365002        1.258430e-01      0.000000e+00      0.000000e+00      1.258430e-01   
     3.479529        9.815740e-02      0.000000e+00      0.000000e+00      9.815740e-02   
     3.608938        7.193739e-02      0.000000e+00      0.000000e+00      7.193739e-02   
     3.752880        4.921127e-02      0.000000e+00      0.000000e+00      4.921127e-02   
     3.910968        3.120699e-02      0.000000e+00      0.000000e+00      3.120699e-02   
     4.082775        1.819964e-02      0.000000e+00      0.000000e+00      1.819964e-02   
     4.267838        9.662358e-03      0.000000e+00      0.000000e+00      9.662358e-03   
     4.465657        4.602896e-03      0.000000e+00      0.000000e+00      4.602896e-03   
     4.675701        1.922841e-03      0.000000e+00      0.000000e+00      1.922841e-03   
     4.897402        6.760513e-04      0.000000e+00      0.000000e+00      6.760513e-04   
     5.130163        1.835004e-04      0.000000e+00      0.000000e+00      1.835004e-04   
     5.373356        3.043008e-05      0.000000e+00      0.000000e+00      3.043008e-05   
     5.626327        1.543040e-06      0.000000e+00      0.000000e+00      1.543040e-06   
     5.888392        4.297512e-06      0.000000e+00      0.000000e+00      4.297512e-06   
     6.158845        8.349990e-06      0.000000e+00      0.000000e+00      8.349990e-06   
     6.436958        8.431469e-06      0.000000e+00      0.000000e+00      8.431469e-06   
     6.721980        6.246610e-06      0.000000e+00      0.000000e+00      6.246610e-06   
     7.013143        3.800961e-06      0.000000e+00      0.000000e+00      3.800961e-06   
     7.309662        1.994528e-06      0.000000e+00      0.000000e+00      1.994528e-06   
     7.610739        9.246884e-07      0.000000e+00      0.000000e+00      9.246884e-07   
     7.915560        3.834022e-07      0.000000e+00      0.000000e+00      3.834022e-07   
     8.223305        1.428509e-07      0.000000e+00      0.000000e+00      1.428509e-07   
     8.533144        4.775765e-08      0.000000e+00      0.000000e+00      4.775765e-08   
     8.844241        1.420044e-08      0.000000e+00      0.000000e+00      1.420044e-08   
     9.155759        3.678822e-09      0.000000e+00      0.000000e+00      3.678822e-09   
     9.466856        7.940620e-10      0.000000e+00      0.000000e+00      7.940620e-10   
     9.776695        1.281561e-10      0.000000e+00      0.000000e+00      1.281561e-10   
    10.084440        1.077062e-11      0.000000e+00      0.000000e+00      1.077062e-11   
    10.389261        1.002691e-13      0.000000e+00      0.000000e+00      1.002691e-13   
    10.690338        1.602546e-12      0.000000e+00      0.000000e+00      1.602546e-12   
    10.986857        1.890820e-12      0.000000e+00      0.000000e+00      1.890820e-12   
    11.278020        1.278704e-12      0.000000e+00      0.000000e+00      1.278704e-12   
    11.563042        6.672707e-13      0.000000e+00      0.000000e+00      6.672707e-13   
    11.841155        2.951819e-13      0.000000e+00      0.000000e+00      2.951819e-13   
    12.111608        1.376786e-13      0.000000e+00      0.000000e+00      1.376786e-13   
    12.373673        5.993538e-14      0.000000e+00      0.000000e+00      5.993538e-14   
    12.626644        1.812926e-14      0.000000e+00      0.000000e+00      1.812926e-14   
    12.869837        4.637900e-15      0.000000e+00      0.000000e+00      4.637900e-15   
    13.102598        8.788151e-16      0.000000e+00      0.000000e+00      8.788151e-16   
    13.324299        1.213239e-16      0.000000e+00      0.000000e+00      1.213239e-16   
