#        q              total               1              \delta U         \delta U^2    

     0.001185        2.213720e+04      2.225678e+04     -1.313581e+02      1.178470e+01   
     0.006239        1.604698e+04      1.616664e+04     -1.314424e+02      1.178491e+01   
     0.015318        1.212929e+04      1.224892e+04     -1.314112e+02      1.178558e+01   
     0.028399        5.687197e+03      5.806769e+03     -1.313584e+02      1.178620e+01   
     0.045447        4.757535e+03      4.877109e+03     -1.313605e+02      1.178700e+01   
     0.066417        4.089812e+03      4.209232e+03     -1.312089e+02      1.178906e+01   
     0.091251        3.486049e+03      3.605292e+03     -1.310355e+02      1.179250e+01   
     0.119882        2.943102e+03      3.062073e+03     -1.307691e+02      1.179836e+01   
     0.152235        2.574102e+03      2.692571e+03     -1.302754e+02      1.180651e+01   
     0.188220        2.236259e+03      2.354058e+03     -1.296194e+02      1.182006e+01   
     0.227742        1.928347e+03      2.045177e+03     -1.286690e+02      1.183887e+01   
     0.270694        1.739422e+03      1.855048e+03     -1.274924e+02      1.186684e+01   
     0.316959        1.563073e+03      1.677083e+03     -1.259168e+02      1.190687e+01   
     0.366414        1.398980e+03      1.510880e+03     -1.238629e+02      1.196297e+01   
     0.418925        1.322163e+03      1.432064e+03     -1.219405e+02      1.204028e+01   
     0.474351        1.176116e+03      1.282750e+03     -1.187782e+02      1.214422e+01   
     0.532541        1.041728e+03      1.144193e+03     -1.147461e+02      1.228058e+01   
     0.593339        9.799072e+02      1.078823e+03     -1.113707e+02      1.245493e+01   
     0.656582        8.625172e+02      9.556474e+02     -1.057990e+02      1.266886e+01   
     0.722098        8.092205e+02      8.977415e+02     -1.014456e+02      1.292457e+01   
     0.789711        7.079453e+02      7.890424e+02     -9.431201e+01      1.321488e+01   
     0.859239        6.167370e+02      6.894916e+02     -8.628988e+01      1.353524e+01   
     0.930495        5.761631e+02      6.430212e+02     -8.072481e+01      1.386672e+01   
     1.003286        4.988109e+02      5.564389e+02     -7.181551e+01      1.418750e+01   
     1.077416        3.969689e+02      4.417079e+02     -5.920259e+01      1.446357e+01   
     1.152685        3.392469e+02      3.747292e+02     -5.015041e+01      1.466818e+01   
     1.228890        2.413173e+02      2.617826e+02     -3.523094e+01      1.476560e+01   
     1.305826        3.678823e+01      2.550973e+01     -3.440483e+00      1.471898e+01   
     1.383286        1.450752e+01      0.000000e+00      0.000000e+00      1.450752e+01   
     1.461060        1.412093e+01      0.000000e+00      0.000000e+00      1.412093e+01   
     1.538940        1.355721e+01      0.000000e+00      0.000000e+00      1.355721e+01   
     1.616714        1.283010e+01      0.000000e+00      0.000000e+00      1.283010e+01   
     1.694174        1.196295e+01      0.000000e+00      0.000000e+00      1.196295e+01   
     1.771110        1.098675e+01      0.000000e+00      0.000000e+00      1.098675e+01   
     1.847315        9.941033e+00      0.000000e+00      0.000000e+00      9.941033e+00   
     1.922584        8.870983e+00      0.000000e+00      0.000000e+00      8.870983e+00   
     1.996714        7.815476e+00      0.000000e+00      0.000000e+00      7.815476e+00   
     2.069505        6.806480e+00      0.000000e+00      0.000000e+00      6.806480e+00   
     2.140761        5.868571e+00      0.000000e+00      0.000000e+00      5.868571e+00   
     2.210289        5.018545e+00      0.000000e+00      0.000000e+00      5.018545e+00   
     2.277902        4.265539e+00      0.000000e+00      0.000000e+00      4.265539e+00   
     2.343418        3.611103e+00      0.000000e+00      0.000000e+00      3.611103e+00   
     2.406661        3.053051e+00      0.000000e+00      0.000000e+00      3.053051e+00   
     2.467459        2.583071e+00      0.000000e+00      0.000000e+00      2.583071e+00   
     2.525649        2.190758e+00      0.000000e+00      0.000000e+00      2.190758e+00   
     2.581075        1.865895e+00      0.000000e+00      0.000000e+00      1.865895e+00   
     2.633586        1.598357e+00      0.000000e+00      0.000000e+00      1.598357e+00   
     2.683041        1.379348e+00      0.000000e+00      0.000000e+00      1.379348e+00   
     2.729306        1.200299e+00      0.000000e+00      0.000000e+00      1.200299e+00   
     2.772258        1.053976e+00      0.000000e+00      0.000000e+00      1.053976e+00   
     2.811780        9.346502e-01      0.000000e+00      0.000000e+00      9.346502e-01   
     2.847765        8.376135e-01      0.000000e+00      0.000000e+00      8.376135e-01   
     2.880118        7.587740e-01      0.000000e+00      0.000000e+00      7.587740e-01   
     2.908749        6.951580e-01      0.000000e+00      0.000000e+00      6.951580e-01   
     2.933583        6.442144e-01      0.000000e+00      0.000000e+00      6.442144e-01   
     2.954553        6.041638e-01      0.000000e+00      0.000000e+00      6.041638e-01   
     2.971601        5.733779e-01      0.000000e+00      0.000000e+00      5.733779e-01   
     2.984682        5.508321e-01      0.000000e+00      0.000000e+00      5.508321e-01   
     2.993761        5.357170e-01      0.000000e+00      0.000000e+00      5.357170e-01   
     2.998815        5.274787e-01      0.000000e+00      0.000000e+00      5.274787e-01   
     3.004739        5.179739e-01      0.000000e+00      0.000000e+00      5.179739e-01   
     3.024957        4.867871e-01      0.000000e+00      0.000000e+00      4.867871e-01   
     3.061273        4.353978e-01      0.000000e+00      0.000000e+00      4.353978e-01   
     3.113597        3.706216e-01      0.000000e+00      0.000000e+00      3.706216e-01   
     3.181789        3.002874e-01      0.000000e+00      0.000000e+00      3.002874e-01   
     3.265666        2.315809e-01      0.000000e+00      0.000000e+00      2.315809e-01   
     3.365002        1.698995e-01      0.000000e+00      0.000000e+00      1.698995e-01   
     3.479529        1.184421e-01      0.000000e+00      0.000000e+00      1.184421e-01   
     3.608938        7.829767e-02      0.000000e+00      0.000000e+00      7.829767e-02   
     3.752880        4.896879e-02      0.000000e+00      0.000000e+00      4.896879e-02   
     3.910968        2.888027e-02      0.000000e+00      0.000000e+00      2.888027e-02   
     4.082775        1.598879e-02      0.000000e+00      0.000000e+00      1.598879e-02   
     4.267838        8.261625e-03      0.000000e+00      0.000000e+00      8.261625e-03   
     4.465657        3.958942e-03      0.000000e+00      0.000000e+00      3.958942e-03   
     4.675701        1.745067e-03      0.000000e+00      0.000000e+00      1.745067e-03   
     4.897402        7.008559e-04      0.000000e+00      0.000000e+00      7.008559e-04   
     5.130163        2.529972e-04      0.000000e+00      0.000000e+00      2.529972e-04   
     5.373356        8.083324e-05      0.000000e+00      0.000000e+00      8.083324e-05   
     5.626327        2.277020e-05      0.000000e+00      0.000000e+00      2.277020e-05   
     5.888392        6.132972e-06      0.000000e+00      0.000000e+00      6.132972e-06   
     6.158845        2.227958e-06      0.000000e+00      0.000000e+00      2.227958e-06   
     6.436958        1.394084e-06      0.000000e+00      0.000000e+00      1.394084e-06   
     6.721980        1.034737e-06      0.000000e+00      0.000000e+00      1.034737e-06   
     7.013143        7.077401e-07      0.000000e+00      0.000000e+00      7.077401e-07   
     7.309662        4.301345e-07      0.000000e+00      0.000000e+00      4.301345e-07   
     7.610739        2.357723e-07      0.000000e+00      0.000000e+00      2.357723e-07   
     7.915560        1.189119e-07      0.000000e+00      0.000000e+00      1.189119e-07   
     8.223305        5.617507e-08      0.000000e+00      0.000000e+00      5.617507e-08   
     8.533144        2.524783e-08      0.000000e+00      0.000000e+00      2.524783e-08   
     8.844241        1.094586e-08      0.000000e+00      0.000000e+00      1.094586e-08   
     9.155759        4.630318e-09      0.000000e+00      0.000000e+00      4.630318e-09   
     9.466856        1.928002e-09      0.000000e+00      0.000000e+00      1.928002e-09   
     9.776695        7.946445e-10      0.000000e+00      0.000000e+00      7.946445e-10   
    10.084440        3.250712e-10      0.000000e+00      0.000000e+00      3.250712e-10   
    10.389261        1.320719e-10      0.000000e+00      0.000000e+00      1.320719e-10   
    10.690338        5.328349e-11      0.000000e+00      0.000000e+00      5.328349e-11   
    10.986857        2.134866e-11      0.000000e+00      0.000000e+00      2.134866e-11   
    11.278020        8.500061e-12      0.000000e+00      0.000000e+00      8.500061e-12   
    11.563042        3.368113e-12      0.000000e+00      0.000000e+00      3.368113e-12   
    11.841155        1.329792e-12      0.000000e+00      0.000000e+00      1.329792e-12   
    12.111608        5.244250e-13      0.000000e+00      0.000000e+00      5.244250e-13   
    12.373673        2.075721e-13      0.000000e+00      0.000000e+00      2.075721e-13   
    12.626644        8.317722e-14      0.000000e+00      0.000000e+00      8.317722e-14   
    12.869837        3.434704e-14      0.000000e+00      0.000000e+00      3.434704e-14   
    13.102598        1.470887e-14      0.000000e+00      0.000000e+00      1.470887e-14   
    13.324299        6.564529e-15      0.000000e+00      0.000000e+00      6.564529e-15   
    13.534343        3.094000e-15      0.000000e+00      0.000000e+00      3.094000e-15   
    13.732162        1.655007e-15      0.000000e+00      0.000000e+00      1.655007e-15   
    13.917225        1.334569e-14      0.000000e+00      0.000000e+00      1.334569e-14   
