#        q              total               1              \delta U         \delta U^2    

     0.001185        1.025072e+09      1.025228e+09     -1.622377e+05      5.916506e+03   
     0.006239        5.775951e+08      5.777123e+08     -1.198761e+05      2.759845e+03   
     0.015318        3.396753e+08      3.397634e+08     -9.049270e+04      2.327598e+03   
     0.028399        1.427742e+08      1.428244e+08     -5.235239e+04      2.189473e+03   
     0.045447        1.065875e+08      1.066302e+08     -4.480507e+04      2.131440e+03   
     0.066417        8.035533e+07      8.039123e+07     -3.799563e+04      2.097802e+03   
     0.091251        6.148522e+07      6.151597e+07     -3.281530e+04      2.064863e+03   
     0.119882        4.788917e+07      4.791609e+07     -2.894159e+04      2.023855e+03   
     0.152235        3.914944e+07      3.917360e+07     -2.613038e+04      1.970775e+03   
     0.188220        3.281001e+07      3.283231e+07     -2.419912e+04      1.903223e+03   
     0.227742        2.733714e+07      2.735760e+07     -2.228387e+04      1.819307e+03   
     0.270694        2.408827e+07      2.410694e+07     -2.038714e+04      1.717353e+03   
     0.316959        2.050918e+07      2.052610e+07     -1.851466e+04      1.596423e+03   
     0.366414        1.858920e+07      1.860500e+07     -1.726086e+04      1.456742e+03   
     0.418925        1.624224e+07      1.625636e+07     -1.541799e+04      1.300105e+03   
     0.474351        1.414762e+07      1.416012e+07     -1.363700e+04      1.130287e+03   
     0.532541        1.274083e+07      1.275225e+07     -1.238082e+04      9.532565e+02   
     0.593339        1.103422e+07      1.104417e+07     -1.072875e+04      7.773403e+02   
     0.656582        9.873362e+06      9.881945e+06     -9.195325e+03      6.127735e+02   
     0.722098        8.496796e+06      8.504121e+06     -7.796748e+03      4.710916e+02   
     0.789711        7.581306e+06      7.587754e+06     -6.812187e+03      3.640630e+02   
     0.859239        6.734325e+06      6.739699e+06     -5.675347e+03      3.018758e+02   
     0.930495        5.737683e+06      5.742088e+06     -4.696368e+03      2.910701e+02   
     1.003286        4.660054e+06      4.663426e+06     -3.704070e+03      3.324745e+02   
     1.077416        3.929628e+06      3.932249e+06     -3.040219e+03      4.196994e+02   
     1.152685        2.874022e+06      2.875752e+06     -2.268711e+03      5.390349e+02   
     1.228890        5.001760e+03      4.334080e+03     -3.518667e+00      6.711985e+02   
     1.305826        7.945912e+02      0.000000e+00      0.000000e+00      7.945912e+02   
     1.383286        8.898716e+02      0.000000e+00      0.000000e+00      8.898716e+02   
     1.461060        9.439487e+02      0.000000e+00      0.000000e+00      9.439487e+02   
     1.538940        9.521855e+02      0.000000e+00      0.000000e+00      9.521855e+02   
     1.616714        9.182585e+02      0.000000e+00      0.000000e+00      9.182585e+02   
     1.694174        8.519140e+02      0.000000e+00      0.000000e+00      8.519140e+02   
     1.771110        7.656488e+02      0.000000e+00      0.000000e+00      7.656488e+02   
     1.847315        6.715431e+02      0.000000e+00      0.000000e+00      6.715431e+02   
     1.922584        5.791231e+02      0.000000e+00      0.000000e+00      5.791231e+02   
     1.996714        4.945238e+02      0.000000e+00      0.000000e+00      4.945238e+02   
     2.069505        4.207169e+02      0.000000e+00      0.000000e+00      4.207169e+02   
     2.140761        3.583204e+02      0.000000e+00      0.000000e+00      3.583204e+02   
     2.210289        3.065356e+02      0.000000e+00      0.000000e+00      3.065356e+02   
     2.277902        2.639213e+02      0.000000e+00      0.000000e+00      2.639213e+02   
     2.343418        2.289030e+02      0.000000e+00      0.000000e+00      2.289030e+02   
     2.406661        2.000406e+02      0.000000e+00      0.000000e+00      2.000406e+02   
     2.467459        1.761285e+02      0.000000e+00      0.000000e+00      1.761285e+02   
     2.525649        1.562027e+02      0.000000e+00      0.000000e+00      1.562027e+02   
     2.581075        1.395085e+02      0.000000e+00      0.000000e+00      1.395085e+02   
     2.633586        1.254585e+02      0.000000e+00      0.000000e+00      1.254585e+02   
     2.683041        1.135935e+02      0.000000e+00      0.000000e+00      1.135935e+02   
     2.729306        1.035525e+02      0.000000e+00      0.000000e+00      1.035525e+02   
     2.772258        9.504851e+01      0.000000e+00      0.000000e+00      9.504851e+01   
     2.811780        8.785172e+01      0.000000e+00      0.000000e+00      8.785172e+01   
     2.847765        8.177698e+01      0.000000e+00      0.000000e+00      8.177698e+01   
     2.880118        7.667444e+01      0.000000e+00      0.000000e+00      7.667444e+01   
     2.908749        7.242270e+01      0.000000e+00      0.000000e+00      7.242270e+01   
     2.933583        6.892368e+01      0.000000e+00      0.000000e+00      6.892368e+01   
     2.954553        6.609871e+01      0.000000e+00      0.000000e+00      6.609871e+01   
     2.971601        6.388566e+01      0.000000e+00      0.000000e+00      6.388566e+01   
     2.984682        6.223670e+01      0.000000e+00      0.000000e+00      6.223670e+01   
     2.993761        6.111663e+01      0.000000e+00      0.000000e+00      6.111663e+01   
     2.998815        6.050158e+01      0.000000e+00      0.000000e+00      6.050158e+01   
     3.004739        5.978834e+01      0.000000e+00      0.000000e+00      5.978834e+01   
     3.024957        5.741498e+01      0.000000e+00      0.000000e+00      5.741498e+01   
     3.061273        5.337834e+01      0.000000e+00      0.000000e+00      5.337834e+01   
     3.113597        4.803849e+01      0.000000e+00      0.000000e+00      4.803849e+01   
     3.181789        4.184131e+01      0.000000e+00      0.000000e+00      4.184131e+01   
     3.265666        3.525687e+01      0.000000e+00      0.000000e+00      3.525687e+01   
     3.365002        2.872384e+01      0.000000e+00      0.000000e+00      2.872384e+01   
     3.479529        2.260696e+01      0.000000e+00      0.000000e+00      2.260696e+01   
     3.608938        1.717102e+01      0.000000e+00      0.000000e+00      1.717102e+01   
     3.752880        1.257156e+01      0.000000e+00      0.000000e+00      1.257156e+01   
     3.910968        8.860628e+00      0.000000e+00      0.000000e+00      8.860628e+00   
     4.082775        6.004089e+00      0.000000e+00      0.000000e+00      6.004089e+00   
     4.267838        3.906287e+00      0.000000e+00      0.000000e+00      3.906287e+00   
     4.465657        2.436990e+00      0.000000e+00      0.000000e+00      2.436990e+00   
     4.675701        1.455978e+00      0.000000e+00      0.000000e+00      1.455978e+00   
     4.897402        8.318978e-01      0.000000e+00      0.000000e+00      8.318978e-01   
     5.130163        4.538189e-01      0.000000e+00      0.000000e+00      4.538189e-01   
     5.373356        2.358362e-01      0.000000e+00      0.000000e+00      2.358362e-01   
     5.626327        1.163505e-01      0.000000e+00      0.000000e+00      1.163505e-01   
     5.888392        5.420247e-02      0.000000e+00      0.000000e+00      5.420247e-02   
     6.158845        2.364530e-02      0.000000e+00      0.000000e+00      2.364530e-02   
     6.436958        9.545057e-03      0.000000e+00      0.000000e+00      9.545057e-03   
     6.721980        3.520962e-03      0.000000e+00      0.000000e+00      3.520962e-03   
     7.013143        1.197278e-03      0.000000e+00      0.000000e+00      1.197278e-03   
     7.309662        4.264600e-04      0.000000e+00      0.000000e+00      4.264600e-04   
     7.610739        2.280292e-04      0.000000e+00      0.000000e+00      2.280292e-04   
     7.915560        1.959790e-04      0.000000e+00      0.000000e+00      1.959790e-04   
     8.223305        1.869193e-04      0.000000e+00      0.000000e+00      1.869193e-04   
     8.533144        1.654508e-04      0.000000e+00      0.000000e+00      1.654508e-04   
     8.844241        1.329234e-04      0.000000e+00      0.000000e+00      1.329234e-04   
     9.155759        9.811577e-05      0.000000e+00      0.000000e+00      9.811577e-05   
     9.466856        6.754392e-05      0.000000e+00      0.000000e+00      6.754392e-05   
     9.776695        4.392229e-05      0.000000e+00      0.000000e+00      4.392229e-05   
    10.084440        2.726586e-05      0.000000e+00      0.000000e+00      2.726586e-05   
    10.389261        1.630484e-05      0.000000e+00      0.000000e+00      1.630484e-05   
    10.690338        9.469000e-06      0.000000e+00      0.000000e+00      9.469000e-06   
    10.986857        5.381254e-06      0.000000e+00      0.000000e+00      5.381254e-06   
    11.278020        3.014626e-06      0.000000e+00      0.000000e+00      3.014626e-06   
    11.563042        1.676679e-06      0.000000e+00      0.000000e+00      1.676679e-06   
    11.841155        9.322487e-07      0.000000e+00      0.000000e+00      9.322487e-07   
    12.111608        5.215789e-07      0.000000e+00      0.000000e+00      5.215789e-07   
    12.373673        2.953931e-07      0.000000e+00      0.000000e+00      2.953931e-07   
    12.626644        1.702157e-07      0.000000e+00      0.000000e+00      1.702157e-07   
    12.869837        1.002074e-07      0.000000e+00      0.000000e+00      1.002074e-07   
    13.102598        6.045134e-08      0.000000e+00      0.000000e+00      6.045134e-08   
    13.324299        3.744308e-08      0.000000e+00      0.000000e+00      3.744308e-08   
    13.534343        2.383904e-08      0.000000e+00      0.000000e+00      2.383904e-08   
    13.732162        1.560987e-08      0.000000e+00      0.000000e+00      1.560987e-08   
    13.917225        1.051524e-08      0.000000e+00      0.000000e+00      1.051524e-08   
    14.089032        7.288404e-09      0.000000e+00      0.000000e+00      7.288404e-09   
    14.247120        5.199493e-09      0.000000e+00      0.000000e+00      5.199493e-09   
    14.391062        3.819441e-09      0.000000e+00      0.000000e+00      3.819441e-09   
    14.520471        2.890837e-09      0.000000e+00      0.000000e+00      2.890837e-09   
    14.634998        2.256210e-09      0.000000e+00      0.000000e+00      2.256210e-09   
    14.734334        1.817460e-09      0.000000e+00      0.000000e+00      1.817460e-09   
    14.818211        1.512503e-09      0.000000e+00      0.000000e+00      1.512503e-09   
    14.886403        1.301629e-09      0.000000e+00      0.000000e+00      1.301629e-09   
    14.938727        1.159345e-09      0.000000e+00      0.000000e+00      1.159345e-09   
    14.975043        1.069496e-09      0.000000e+00      0.000000e+00      1.069496e-09   
    14.995261        1.131667e-09      0.000000e+00      0.000000e+00      1.131667e-09   
