#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        9.904624e+08      9.906605e+08     -2.034624e+05      5.367455e+03   
     0.001185          0.009274        6.438306e+08      6.439924e+08     -1.670353e+05      5.197555e+03   
     0.001185          0.022740        4.194812e+08      4.196114e+08     -1.349662e+05      4.718887e+03   
     0.001185          0.042083        1.809138e+08      1.809839e+08     -7.426200e+04      4.139608e+03   
     0.001185          0.067187        1.278296e+08      1.278922e+08     -6.655038e+04      3.938663e+03   
     0.001185          0.097901        1.006429e+08      1.006976e+08     -5.853154e+04      3.769304e+03   
     0.001185          0.134040        7.883810e+07      7.888503e+07     -5.053527e+04      3.601727e+03   
     0.001185          0.175388        6.307272e+07      6.311373e+07     -4.448466e+04      3.468621e+03   
     0.001185          0.221694        5.204297e+07      5.208034e+07     -4.072741e+04      3.354105e+03   
     0.001185          0.272682        4.399381e+07      4.402892e+07     -3.834395e+04      3.236178e+03   
     0.001185          0.328043        3.699462e+07      3.702756e+07     -3.605534e+04      3.109701e+03   
     0.001185          0.387446        3.185891e+07      3.188980e+07     -3.385966e+04      2.973744e+03   
     0.001185          0.450533        2.791337e+07      2.794229e+07     -3.175498e+04      2.827779e+03   
     0.001185          0.516924        2.488689e+07      2.491495e+07     -3.073616e+04      2.678912e+03   
     0.001185          0.586221        2.188470e+07      2.191094e+07     -2.876437e+04      2.522161e+03   
     0.001185          0.658006        2.043356e+07      2.045901e+07     -2.781092e+04      2.367709e+03   
     0.001185          0.731848        1.858033e+07      1.860500e+07     -2.687877e+04      2.208744e+03   
     0.001185          0.807302        1.635247e+07      1.637549e+07     -2.507742e+04      2.050751e+03   
     0.001185          0.883916        1.515580e+07      1.517811e+07     -2.420774e+04      1.896685e+03   
     0.001185          0.961228        1.413851e+07      1.416012e+07     -2.335841e+04      1.749270e+03   
     0.001185          1.038772        1.317875e+07      1.319967e+07     -2.252917e+04      1.607528e+03   
     0.001185          1.116084        1.192483e+07      1.194508e+07     -2.171980e+04      1.472457e+03   
     0.001185          1.192698        1.102458e+07      1.104417e+07     -2.093005e+04      1.343292e+03   
     0.001185          1.268152        1.024550e+07      1.026444e+07     -2.015968e+04      1.221195e+03   
     0.001185          1.341994        9.512832e+06      9.531131e+06     -1.940844e+04      1.108658e+03   
     0.001185          1.413779        8.824334e+06      8.842004e+06     -1.867611e+04      1.005414e+03   
     0.001185          1.483076        8.487068e+06      8.504121e+06     -1.796243e+04      9.095225e+02   
     0.001185          1.549467        7.861263e+06      7.877709e+06     -1.726717e+04      8.213858e+02   
     0.001185          1.612554        7.274373e+06      7.290221e+06     -1.659009e+04      7.421162e+02   
     0.001185          1.671957        6.724443e+06      6.739699e+06     -1.593094e+04      6.754603e+02   
     0.001185          1.727318        6.470078e+06      6.485391e+06     -1.593094e+04      6.179760e+02   
     0.001185          1.778306        6.209532e+06      6.224258e+06     -1.528948e+04      5.630485e+02   
     0.001185          1.824612        5.727938e+06      5.742088e+06     -1.466548e+04      5.156296e+02   
     0.001185          1.865960        5.727903e+06      5.742088e+06     -1.466548e+04      4.805977e+02   
     0.001185          1.902099        5.277835e+06      5.291448e+06     -1.405869e+04      4.457074e+02   
     0.001185          1.932813        5.277811e+06      5.291448e+06     -1.405869e+04      4.213632e+02   
     0.001185          1.957917        4.857596e+06      4.870667e+06     -1.346887e+04      3.986188e+02   
     0.001185          1.977260        4.857583e+06      4.870667e+06     -1.346887e+04      3.852958e+02   
     0.001185          1.990726        4.857574e+06      4.870667e+06     -1.346887e+04      3.765403e+02   
     0.001185          1.998238        4.857569e+06      4.870667e+06     -1.346887e+04      3.707613e+02   
     0.006239          0.001762        5.700283e+08      5.701818e+08     -1.566187e+05      3.122285e+03   
     0.006239          0.009274        5.394120e+08      5.395539e+08     -1.450222e+05      3.092785e+03   
     0.006239          0.022740        3.913591e+08      3.914777e+08     -1.215780e+05      3.034126e+03   
     0.006239          0.042083        1.927001e+08      1.927736e+08     -7.643104e+04      2.950009e+03   
     0.006239          0.067187        1.272466e+08      1.273094e+08     -6.563209e+04      2.907933e+03   
     0.006239          0.097901        9.973652e+07      9.979139e+07     -5.773226e+04      2.865784e+03   
     0.006239          0.134040        7.848609e+07      7.853332e+07     -5.004847e+04      2.823143e+03   
     0.006239          0.175388        6.309196e+07      6.313356e+07     -4.438991e+04      2.783721e+03   
     0.006239          0.221694        5.210758e+07      5.214549e+07     -4.064024e+04      2.732116e+03   
     0.006239          0.272682        4.344275e+07      4.347774e+07     -3.764505e+04      2.658529e+03   
     0.006239          0.328043        3.699230e+07      3.702510e+07     -3.536810e+04      2.565580e+03   
     0.006239          0.387446        3.205350e+07      3.208457e+07     -3.353289e+04      2.457470e+03   
     0.006239          0.450533        2.777143e+07      2.780055e+07     -3.146068e+04      2.336832e+03   
     0.006239          0.516924        2.488166e+07      2.490970e+07     -3.025186e+04      2.207625e+03   
     0.006239          0.586221        2.202353e+07      2.204996e+07     -2.849778e+04      2.071112e+03   
     0.006239          0.658006        2.022363e+07      2.024925e+07     -2.755317e+04      1.931185e+03   
     0.006239          0.731848        1.839588e+07      1.842046e+07     -2.636552e+04      1.788671e+03   
     0.006239          0.807302        1.654774e+07      1.657106e+07     -2.495719e+04      1.645266e+03   
     0.006239          0.883916        1.515563e+07      1.517811e+07     -2.398338e+04      1.504641e+03   
     0.006239          0.961228        1.413835e+07      1.416012e+07     -2.314192e+04      1.367444e+03   
     0.006239          1.038772        1.309753e+07      1.311861e+07     -2.232037e+04      1.235084e+03   
     0.006239          1.116084        1.203557e+07      1.205598e+07     -2.151850e+04      1.109381e+03   
     0.006239          1.192698        1.109836e+07      1.111810e+07     -2.073607e+04      9.912592e+02   
     0.006239          1.268152        1.027440e+07      1.029349e+07     -1.997284e+04      8.815355e+02   
     0.006239          1.341994        9.552703e+06      9.571151e+06     -1.922857e+04      7.804791e+02   
     0.006239          1.413779        8.922720e+06      8.940534e+06     -1.850302e+04      6.885841e+02   
     0.006239          1.483076        8.374333e+06      8.391524e+06     -1.779596e+04      6.057166e+02   
     0.006239          1.549467        7.861134e+06      7.877709e+06     -1.710714e+04      5.322001e+02   
     0.006239          1.612554        7.274252e+06      7.290221e+06     -1.643633e+04      4.674902e+02   
     0.006239          1.671957        6.775098e+06      6.790589e+06     -1.590246e+04      4.111553e+02   
     0.006239          1.727318        6.515388e+06      6.530721e+06     -1.569609e+04      3.630937e+02   
     0.006239          1.778306        6.209432e+06      6.224258e+06     -1.514778e+04      3.217309e+02   
     0.006239          1.824612        5.727846e+06      5.742088e+06     -1.452956e+04      2.872353e+02   
     0.006239          1.865960        5.693482e+06      5.707666e+06     -1.444246e+04      2.592415e+02   
     0.006239          1.902099        5.277755e+06      5.291448e+06     -1.392839e+04      2.359302e+02   
     0.006239          1.932813        5.231791e+06      5.245381e+06     -1.380713e+04      2.177037e+02   
     0.006239          1.957917        4.930147e+06      4.943287e+06     -1.334404e+04      2.035757e+02   
     0.006239          1.977260        4.857517e+06      4.870667e+06     -1.334404e+04      1.943520e+02   
     0.006239          1.990726        4.850013e+06      4.863148e+06     -1.332345e+04      1.885535e+02   
     0.006239          1.998238        4.787562e+06      4.800529e+06     -1.315189e+04      1.852426e+02   
     0.015318          0.001762        3.383868e+08      3.385026e+08     -1.184834e+05      2.718594e+03   
     0.015318          0.009274        3.037633e+08      3.038655e+08     -1.049354e+05      2.713645e+03   
     0.015318          0.022740        2.519039e+08      2.519869e+08     -8.568463e+04      2.700245e+03   
     0.015318          0.042083        1.859403e+08      1.860100e+08     -7.242216e+04      2.680220e+03   
     0.015318          0.067187        1.260782e+08      1.261401e+08     -6.458326e+04      2.665668e+03   
     0.015318          0.097901        9.827664e+07      9.833109e+07     -5.709720e+04      2.651393e+03   
     0.015318          0.134040        7.793460e+07      7.798182e+07     -4.985383e+04      2.636487e+03   
     0.015318          0.175388        6.279190e+07      6.283355e+07     -4.426607e+04      2.619051e+03   
     0.015318          0.221694        5.187582e+07      5.191368e+07     -4.044413e+04      2.581909e+03   
     0.015318          0.272682        4.346422e+07      4.349930e+07     -3.759927e+04      2.518126e+03   
     0.015318          0.328043        3.689538e+07      3.692819e+07     -3.524240e+04      2.433423e+03   
     0.015318          0.387446        3.179732e+07      3.182823e+07     -3.324736e+04      2.331973e+03   
     0.015318          0.450533        2.801976e+07      2.804918e+07     -3.163398e+04      2.217794e+03   
     0.015318          0.516924        2.478706e+07      2.481495e+07     -2.998334e+04      2.093335e+03   
     0.015318          0.586221        2.233956e+07      2.236627e+07     -2.867982e+04      1.961641e+03   
     0.015318          0.658006        2.007985e+07      2.010535e+07     -2.733001e+04      1.825569e+03   
     0.015318          0.731848        1.826395e+07      1.828844e+07     -2.617523e+04      1.686658e+03   
     0.015318          0.807302        1.668462e+07      1.670815e+07     -2.507663e+04      1.547282e+03   
     0.015318          0.883916        1.529455e+07      1.531717e+07     -2.403363e+04      1.409426e+03   
     0.015318          0.961228        1.405887e+07      1.408067e+07     -2.307891e+04      1.275053e+03   
     0.015318          1.038772        1.299457e+07      1.301566e+07     -2.223319e+04      1.145743e+03   
     0.015318          1.116084        1.199834e+07      1.201869e+07     -2.137068e+04      1.022997e+03   
     0.015318          1.192698        1.110255e+07      1.112220e+07     -2.055752e+04      9.075942e+02   
     0.015318          1.268152        1.029860e+07      1.031759e+07     -1.979224e+04      8.005279e+02   
     0.015318          1.341994        9.578249e+06      9.596620e+06     -1.907316e+04      7.023649e+02   
     0.015318          1.413779        8.933556e+06      8.951341e+06     -1.839841e+04      6.135023e+02   
     0.015318          1.483076        8.348078e+06      8.365292e+06     -1.774750e+04      5.338646e+02   
     0.015318          1.549467        7.788955e+06      7.805553e+06     -1.706056e+04      4.633522e+02   
     0.015318          1.612554        7.313822e+06      7.329902e+06     -1.648079e+04      4.016171e+02   
     0.015318          1.671957        6.837820e+06      6.853450e+06     -1.597923e+04      3.483600e+02   
     0.015318          1.727318        6.481641e+06      6.496853e+06     -1.551473e+04      3.029367e+02   
     0.015318          1.778306        6.170554e+06      6.185374e+06     -1.508456e+04      2.644066e+02   
     0.015318          1.824612        5.805266e+06      5.819651e+06     -1.461726e+04      2.327686e+02   
     0.015318          1.865960        5.577252e+06      5.591319e+06     -1.427489e+04      2.072279e+02   
     0.015318          1.902099        5.315058e+06      5.328795e+06     -1.392304e+04      1.862313e+02   
     0.015318          1.932813        5.162268e+06      5.175765e+06     -1.366659e+04      1.696351e+02   
     0.015318          1.957917        4.989441e+06      5.002713e+06     -1.342849e+04      1.565633e+02   
     0.015318          1.977260        4.863102e+06      4.876210e+06     -1.325531e+04      1.469163e+02   
     0.015318          1.990726        4.792535e+06      4.805524e+06     -1.312973e+04      1.403549e+02   
     0.015318          1.998238        4.765750e+06      4.778673e+06     -1.306005e+04      1.367410e+02   
     0.028399          0.001762        1.421497e+08      1.422155e+08     -6.847030e+04      2.587419e+03   
     0.028399          0.009274        1.420595e+08      1.421252e+08     -6.831430e+04      2.586334e+03   
     0.028399          0.022740        1.433941e+08      1.434593e+08     -6.780536e+04      2.584220e+03   
     0.028399          0.042083        1.446381e+08      1.447014e+08     -6.589488e+04      2.580570e+03   
     0.028399          0.067187        1.241255e+08      1.241843e+08     -6.127618e+04      2.574137e+03   
     0.028399          0.097901        9.472541e+07      9.477832e+07     -5.547978e+04      2.568463e+03   
     0.028399          0.134040        7.636192e+07      7.640879e+07     -4.943573e+04      2.562298e+03   
     0.028399          0.175388        6.217429e+07      6.221594e+07     -4.419700e+04      2.552256e+03   
     0.028399          0.221694        5.148659e+07      5.152441e+07     -4.034080e+04      2.520454e+03   
     0.028399          0.272682        4.318809e+07      4.322307e+07     -3.744507e+04      2.460695e+03   
     0.028399          0.328043        3.674885e+07      3.678160e+07     -3.512788e+04      2.379133e+03   
     0.028399          0.387446        3.177023e+07      3.180114e+07     -3.318305e+04      2.280526e+03   
     0.028399          0.450533        2.788621e+07      2.791551e+07     -3.146399e+04      2.168564e+03   
     0.028399          0.516924        2.483381e+07      2.486177e+07     -3.000606e+04      2.046359e+03   
     0.028399          0.586221        2.220931e+07      2.223594e+07     -2.854519e+04      1.916672e+03   
     0.028399          0.658006        2.010226e+07      2.012778e+07     -2.730008e+04      1.782322e+03   
     0.028399          0.731848        1.825870e+07      1.828317e+07     -2.611391e+04      1.645252e+03   
     0.028399          0.807302        1.670910e+07      1.673266e+07     -2.506514e+04      1.507466e+03   
     0.028399          0.883916        1.529783e+07      1.532048e+07     -2.402542e+04      1.371271e+03   
     0.028399          0.961228        1.404224e+07      1.406404e+07     -2.304194e+04      1.238379e+03   
     0.028399          1.038772        1.291633e+07      1.293734e+07     -2.211390e+04      1.110533e+03   
     0.028399          1.116084        1.194771e+07      1.196796e+07     -2.124039e+04      9.890202e+02   
     0.028399          1.192698        1.106814e+07      1.108768e+07     -2.042030e+04      8.750080e+02   
     0.028399          1.268152        1.027057e+07      1.028946e+07     -1.965226e+04      7.694507e+02   
     0.028399          1.341994        9.548208e+06      9.566470e+06     -1.893466e+04      6.726347e+02   
     0.028399          1.413779        8.894452e+06      8.912133e+06     -1.826561e+04      5.850799e+02   
     0.028399          1.483076        8.302960e+06      8.320096e+06     -1.764300e+04      5.067482e+02   
     0.028399          1.549467        7.767656e+06      7.784283e+06     -1.706450e+04      4.376326e+02   
     0.028399          1.612554        7.305105e+06      7.321255e+06     -1.652762e+04      3.771874e+02   
     0.028399          1.671957        6.892555e+06      6.908215e+06     -1.598564e+04      3.251031e+02   
     0.028399          1.727318        6.469420e+06      6.484579e+06     -1.544038e+04      2.809042e+02   
     0.028399          1.778306        6.107401e+06      6.122160e+06     -1.500216e+04      2.435642e+02   
     0.028399          1.824612        5.855388e+06      5.869810e+06     -1.463444e+04      2.122445e+02   
     0.028399          1.865960        5.538361e+06      5.552381e+06     -1.420635e+04      1.863638e+02   
     0.028399          1.902099        5.349647e+06      5.363400e+06     -1.391853e+04      1.653929e+02   
     0.028399          1.932813        5.119195e+06      5.132653e+06     -1.360726e+04      1.488392e+02   
     0.028399          1.957917        4.997221e+06      5.010501e+06     -1.341577e+04      1.361436e+02   
     0.028399          1.977260        4.880388e+06      4.893481e+06     -1.322022e+04      1.269499e+02   
     0.028399          1.990726        4.785239e+06      4.798204e+06     -1.308520e+04      1.208425e+02   
     0.028399          1.998238        4.735314e+06      4.748214e+06     -1.301675e+04      1.175118e+02   
     0.045447          0.001762        1.058110e+08      1.058678e+08     -5.927271e+04      2.528905e+03   
     0.045447          0.009274        1.052828e+08      1.053394e+08     -5.912101e+04      2.528977e+03   
     0.045447          0.022740        1.042149e+08      1.042712e+08     -5.879293e+04      2.530256e+03   
     0.045447          0.042083        1.017632e+08      1.018185e+08     -5.791706e+04      2.530040e+03   
     0.045447          0.067187        9.910376e+07      9.915672e+07     -5.548464e+04      2.526307e+03   
     0.045447          0.097901        8.995300e+07      9.000223e+07     -5.175625e+04      2.523677e+03   
     0.045447          0.134040        7.305173e+07      7.309680e+07     -4.759052e+04      2.520781e+03   
     0.045447          0.175388        6.063467e+07      6.067575e+07     -4.359349e+04      2.513567e+03   
     0.045447          0.221694        5.059075e+07      5.062838e+07     -4.011316e+04      2.484063e+03   
     0.045447          0.272682        4.275373e+07      4.278862e+07     -3.731414e+04      2.426140e+03   
     0.045447          0.328043        3.649967e+07      3.653231e+07     -3.499051e+04      2.346210e+03   
     0.045447          0.387446        3.167919e+07      3.171003e+07     -3.309145e+04      2.249023e+03   
     0.045447          0.450533        2.779157e+07      2.782079e+07     -3.136332e+04      2.138488e+03   
     0.045447          0.516924        2.470258e+07      2.473042e+07     -2.985832e+04      2.017595e+03   
     0.045447          0.586221        2.220211e+07      2.222873e+07     -2.851412e+04      1.889157e+03   
