#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.649175e+08      1.649250e+08     -1.415370e+04      6.681405e+03   
     0.001185          0.009274        5.608762e+07      5.609049e+07     -8.813098e+03      5.940674e+03   
     0.001185          0.022740        2.403093e+07      2.403197e+07     -5.941981e+03      4.897502e+03   
     0.001185          0.042083        1.261502e+07      1.261543e+07     -4.355818e+03      3.943192e+03   
     0.001185          0.067187        7.467656e+06      7.467832e+06     -3.372422e+03      3.196735e+03   
     0.001185          0.097901        4.736609e+06      4.736673e+06     -2.696115e+03      2.632681e+03   
     0.001185          0.134040        3.287449e+06      3.287498e+06     -2.247048e+03      2.198433e+03   
     0.001185          0.175388        2.300348e+06      2.300359e+06     -1.888582e+03      1.876685e+03   
     0.001185          0.221694        1.712656e+06      1.712670e+06     -1.625816e+03      1.612257e+03   
     0.001185          0.272682        1.268095e+06      1.268086e+06     -1.402207e+03      1.411186e+03   
     0.001185          0.328043        9.194656e+05      9.194182e+05     -1.193973e+03      1.241311e+03   
     0.001185          0.387446        7.346962e+05      7.346564e+05     -1.067284e+03      1.107155e+03   
     0.001185          0.450533        5.819718e+05      5.819294e+05     -9.498896e+02      9.922367e+02   
     0.001185          0.516924        4.566715e+05      4.566309e+05     -8.414351e+02      8.820418e+02   
     0.001185          0.586221        4.029737e+05      4.029699e+05     -7.904497e+02      7.942510e+02   
     0.001185          0.658006        3.113293e+05      3.112940e+05     -6.947416e+02      7.300366e+02   
     0.001185          0.731848        2.724537e+05      2.724317e+05     -6.499303e+02      6.719208e+02   
     0.001185          0.807302        2.067723e+05      2.067381e+05     -5.661718e+02      6.003960e+02   
     0.001185          0.883916        1.792453e+05      1.792131e+05     -5.271362e+02      5.594042e+02   
     0.001185          0.961228        1.548392e+05      1.548121e+05     -4.899372e+02      5.169722e+02   
     0.001185          1.038772        1.332742e+05      1.332449e+05     -4.545307e+02      4.837994e+02   
     0.001185          1.116084        1.142719e+05      1.142418e+05     -4.208724e+02      4.509446e+02   
     0.001185          1.192698        9.758139e+04      9.755295e+04     -3.889181e+02      4.173603e+02   
     0.001185          1.268152        8.297082e+04      8.294714e+04     -3.586234e+02      3.823049e+02   
     0.001185          1.341994        7.023217e+04      7.021098e+04     -3.299442e+02      3.511368e+02   
     0.001185          1.413779        5.916559e+04      5.914790e+04     -3.028361e+02      3.205223e+02   
     0.001185          1.483076        5.914773e+04      5.914790e+04     -3.028361e+02      3.026675e+02   
     0.001185          1.549467        4.959101e+04      4.957726e+04     -2.772549e+02      2.910058e+02   
     0.001185          1.612554        4.134552e+04      4.133346e+04     -2.531564e+02      2.652185e+02   
     0.001185          1.671957        3.427363e+04      3.426507e+04     -2.304962e+02      2.390498e+02   
     0.001185          1.727318        3.427016e+04      3.426507e+04     -2.304962e+02      2.355870e+02   
     0.001185          1.778306        2.823926e+04      2.823402e+04     -2.092302e+02      2.144699e+02   
     0.001185          1.824612        2.822167e+04      2.823402e+04     -2.092302e+02      1.968795e+02   
     0.001185          1.865960        2.311728e+04      2.311478e+04     -1.893140e+02      1.918167e+02   
     0.001185          1.902099        2.310302e+04      2.311478e+04     -1.893140e+02      1.775590e+02   
     0.001185          1.932813        1.879337e+04      1.879356e+04     -1.707035e+02      1.705196e+02   
     0.001185          1.957917        1.879202e+04      1.879356e+04     -1.707035e+02      1.691696e+02   
     0.001185          1.977260        1.878208e+04      1.879356e+04     -1.707035e+02      1.592290e+02   
     0.001185          1.990726        1.516642e+04      1.516758e+04     -1.533543e+02      1.521994e+02   
     0.001185          1.998238        1.516603e+04      1.516758e+04     -1.533543e+02      1.518097e+02   
     0.006239          0.001762        4.295154e+07      4.295421e+07     -3.640523e+03      9.679480e+02   
     0.006239          0.009274        3.927469e+07      3.927696e+07     -3.101540e+03      8.230006e+02   
     0.006239          0.022740        2.280494e+07      2.280668e+07     -2.416455e+03      6.737850e+02   
     0.006239          0.042083        1.241284e+07      1.241415e+07     -1.869672e+03      5.512506e+02   
     0.006239          0.067187        7.421326e+06      7.422351e+06     -1.480643e+03      4.561306e+02   
     0.006239          0.097901        4.774543e+06      4.775369e+06     -1.208476e+03      3.827260e+02   
     0.006239          0.134040        3.233551e+06      3.234228e+06     -1.001319e+03      3.247059e+02   
     0.006239          0.175388        2.272418e+06      2.272983e+06     -8.445669e+02      2.797391e+02   
     0.006239          0.221694        1.648356e+06      1.648834e+06     -7.211300e+02      2.428925e+02   
     0.006239          0.272682        1.233078e+06      1.233492e+06     -6.284035e+02      2.144144e+02   
     0.006239          0.328043        9.499280e+05      9.502888e+05     -5.500893e+02      1.893516e+02   
     0.006239          0.387446        7.357720e+05      7.360942e+05     -4.917210e+02      1.695021e+02   
     0.006239          0.450533        5.816443e+05      5.819294e+05     -4.376348e+02      1.524609e+02   
     0.006239          0.516924        4.650931e+05      4.653437e+05     -3.876674e+02      1.370599e+02   
     0.006239          0.586221        3.896057e+05      3.898332e+05     -3.523053e+02      1.248278e+02   
     0.006239          0.658006        3.110878e+05      3.112940e+05     -3.200826e+02      1.139559e+02   
     0.006239          0.731848        2.722369e+05      2.724317e+05     -2.994370e+02      1.046782e+02   
     0.006239          0.807302        2.164199e+05      2.165866e+05     -2.608477e+02      9.419132e+01   
     0.006239          0.883916        1.790575e+05      1.792131e+05     -2.428631e+02      8.725631e+01   
     0.006239          0.961228        1.546673e+05      1.548121e+05     -2.257247e+02      8.091510e+01   
     0.006239          1.038772        1.331100e+05      1.332449e+05     -2.094122e+02      7.449634e+01   
     0.006239          1.116084        1.141166e+05      1.142418e+05     -1.939051e+02      6.870197e+01   
     0.006239          1.192698        9.743731e+04      9.755295e+04     -1.791830e+02      6.355004e+01   
     0.006239          1.268152        8.284001e+04      8.294714e+04     -1.652256e+02      5.810412e+01   
     0.006239          1.341994        7.011191e+04      7.021098e+04     -1.520125e+02      5.295033e+01   
     0.006239          1.413779        5.996774e+04      6.005850e+04     -1.395232e+02      4.875758e+01   
     0.006239          1.483076        5.652523e+04      5.661293e+04     -1.335435e+02      4.584843e+01   
     0.006239          1.549467        4.949230e+04      4.957726e+04     -1.277374e+02      4.277970e+01   
     0.006239          1.612554        4.125594e+04      4.133346e+04     -1.166346e+02      3.911842e+01   
     0.006239          1.671957        3.452828e+04      3.459854e+04     -1.061946e+02      3.593345e+01   
     0.006239          1.727318        3.419286e+04      3.426507e+04     -1.061946e+02      3.397732e+01   
     0.006239          1.778306        2.816914e+04      2.823402e+04     -9.639690e+01      3.151647e+01   
     0.006239          1.824612        2.599561e+04      2.605549e+04     -8.895892e+01      2.907951e+01   
     0.006239          1.865960        2.305543e+04      2.311478e+04     -8.722110e+01      2.786793e+01   
     0.006239          1.902099        2.159322e+04      2.164868e+04     -8.168893e+01      2.622502e+01   
     0.006239          1.932813        1.874012e+04      1.879356e+04     -7.864682e+01      2.521099e+01   
     0.006239          1.957917        1.873937e+04      1.879356e+04     -7.864682e+01      2.446385e+01   
     0.006239          1.977260        1.770256e+04      1.775337e+04     -7.429388e+01      2.347777e+01   
     0.006239          1.990726        1.576605e+04      1.581417e+04     -7.065368e+01      2.252894e+01   
     0.006239          1.998238        1.511952e+04      1.516758e+04     -7.065368e+01      2.259958e+01   
     0.015318          0.001762        1.769534e+07      1.769722e+07     -2.003010e+03      1.223314e+02   
     0.015318          0.009274        1.742781e+07      1.742957e+07     -1.871092e+03      1.107109e+02   
     0.015318          0.022740        1.598026e+07      1.598180e+07     -1.639354e+03      9.508077e+01   
     0.015318          0.042083        1.139868e+07      1.139998e+07     -1.378113e+03      8.093665e+01   
     0.015318          0.067187        7.151406e+06      7.152479e+06     -1.143011e+03      6.970157e+01   
     0.015318          0.097901        4.674423e+06      4.675316e+06     -9.531469e+02      6.091385e+01   
     0.015318          0.134040        3.187264e+06      3.188014e+06     -8.038938e+02      5.387345e+01   
     0.015318          0.175388        2.259491e+06      2.260130e+06     -6.868021e+02      4.830899e+01   
     0.015318          0.221694        1.648160e+06      1.648707e+06     -5.907481e+02      4.348080e+01   
     0.015318          0.272682        1.236727e+06      1.237205e+06     -5.174559e+02      3.948701e+01   
     0.015318          0.328043        9.449891e+05      9.454077e+05     -4.544627e+02      3.584836e+01   
     0.015318          0.387446        7.387065e+05      7.390775e+05     -4.037097e+02      3.271459e+01   
     0.015318          0.450533        5.872535e+05      5.875850e+05     -3.613223e+02      2.979736e+01   
     0.015318          0.516924        4.762567e+05      4.765565e+05     -3.267332e+02      2.693540e+01   
     0.015318          0.586221        3.820391e+05      3.823059e+05     -2.911959e+02      2.440772e+01   
     0.015318          0.658006        3.189053e+05      3.191529e+05     -2.697714e+02      2.221734e+01   
     0.015318          0.731848        2.614154e+05      2.616376e+05     -2.423717e+02      2.015913e+01   
     0.015318          0.807302        2.191664e+05      2.193683e+05     -2.198472e+02      1.794098e+01   
     0.015318          0.883916        1.842614e+05      1.844498e+05     -2.046894e+02      1.623938e+01   
     0.015318          0.961228        1.552814e+05      1.554571e+05     -1.902449e+02      1.457905e+01   
     0.015318          1.038772        1.330815e+05      1.332449e+05     -1.764964e+02      1.313110e+01   
     0.015318          1.116084        1.140902e+05      1.142418e+05     -1.634268e+02      1.178052e+01   
     0.015318          1.192698        9.741243e+04      9.755295e+04     -1.510187e+02      1.049803e+01   
     0.015318          1.268152        8.281717e+04      8.294714e+04     -1.392552e+02      9.290129e+00   
     0.015318          1.341994        7.151646e+04      7.163634e+04     -1.281189e+02      8.235293e+00   
     0.015318          1.413779        6.249867e+04      6.260899e+04     -1.175927e+02      7.266974e+00   
     0.015318          1.483076        5.500804e+04      5.511105e+04     -1.095670e+02      6.559187e+00   
     0.015318          1.549467        4.878548e+04      4.888565e+04     -1.061575e+02      5.984811e+00   
     0.015318          1.612554        4.124046e+04      4.133346e+04     -9.830180e+01      5.304523e+00   
     0.015318          1.671957        3.628687e+04      3.637170e+04     -8.950276e+01      4.673907e+00   
     0.015318          1.727318        3.281407e+04      3.289560e+04     -8.592560e+01      4.394633e+00   
     0.015318          1.778306        2.815671e+04      2.823402e+04     -8.124507e+01      3.927994e+00   
     0.015318          1.824612        2.566448e+04      2.573499e+04     -7.405395e+01      3.538712e+00   
     0.015318          1.865960        2.304462e+04      2.311478e+04     -7.351153e+01      3.353023e+00   
     0.015318          1.902099        2.109138e+04      2.115559e+04     -6.728075e+01      3.074162e+00   
     0.015318          1.932813        1.901915e+04      1.908252e+04     -6.628498e+01      2.907470e+00   
     0.015318          1.957917        1.837856e+04      1.844077e+04     -6.504069e+01      2.835475e+00   
     0.015318          1.977260        1.716738e+04      1.722547e+04     -6.075431e+01      2.664977e+00   
     0.015318          1.990726        1.637994e+04      1.643694e+04     -5.954821e+01      2.544082e+00   
     0.015318          1.998238        1.596167e+04      1.601870e+04     -5.954821e+01      2.522012e+00   
     0.028399          0.001762        9.049631e+06      9.051010e+06     -1.408164e+03      2.828588e+01   
     0.028399          0.009274        9.007181e+06      9.008510e+06     -1.356714e+03      2.783525e+01   
     0.028399          0.022740        8.763578e+06      8.764809e+06     -1.258602e+03      2.711932e+01   
     0.028399          0.042083        8.094946e+06      8.096046e+06     -1.126427e+03      2.625987e+01   
     0.028399          0.067187        6.435764e+06      6.436722e+06     -9.836737e+02      2.533497e+01   
     0.028399          0.097901        4.436846e+06      4.437672e+06     -8.501053e+02      2.436692e+01   
     0.028399          0.134040        3.095733e+06      3.096443e+06     -7.327339e+02      2.334668e+01   
     0.028399          0.175388        2.215021e+06      2.215635e+06     -6.352855e+02      2.227330e+01   
