#        q                Q               total               1              \delta U         \delta U^2    

     0.000790          0.001762        1.216914e+08      1.217489e+08     -8.042370e+04      2.292066e+04   
     0.000790          0.009274        3.615850e+07      3.618639e+07     -4.770557e+04      1.982112e+04   
     0.000790          0.022740        1.577228e+07      1.578840e+07     -3.190241e+04      1.578197e+04   
     0.000790          0.042083        8.383476e+06      8.394356e+06     -2.334407e+04      1.246420e+04   
     0.000790          0.067187        4.940493e+06      4.948503e+06     -1.800514e+04      9.995962e+03   
     0.000790          0.097901        3.167188e+06      3.173475e+06     -1.448572e+04      8.198683e+03   
     0.000790          0.134040        2.188218e+06      2.193379e+06     -1.202574e+04      6.864978e+03   
     0.000790          0.175388        1.475591e+06      1.479665e+06     -9.861330e+03      5.788097e+03   
     0.000790          0.221694        1.078369e+06      1.081838e+06     -8.420605e+03      4.951977e+03   
     0.000790          0.272682        8.012028e+05      8.042522e+05     -7.373289e+03      4.323927e+03   
     0.000790          0.328043        6.146108e+05      6.171909e+05     -6.343532e+03      3.763426e+03   
     0.000790          0.387446        4.561364e+05      4.584082e+05     -5.619254e+03      3.347369e+03   
     0.000790          0.450533        3.644019e+05      3.663906e+05     -4.952315e+03      2.963632e+03   
     0.000790          0.516924        2.895051e+05      2.912153e+05     -4.340351e+03      2.630135e+03   
     0.000790          0.586221        2.360517e+05      2.376993e+05     -4.054245e+03      2.406567e+03   
     0.000790          0.658006        1.910787e+05      1.924842e+05     -3.520309e+03      2.114764e+03   
     0.000790          0.731848        1.534945e+05      1.548121e+05     -3.271888e+03      1.954268e+03   
     0.000790          0.807302        1.320189e+05      1.332449e+05     -3.035438e+03      1.809410e+03   
     0.000790          0.883916        1.130816e+05      1.142418e+05     -2.810661e+03      1.650412e+03   
     0.000790          0.961228        9.642966e+04      9.755295e+04     -2.597265e+03      1.473979e+03   
     0.000790          1.038772        7.790591e+04      7.885970e+04     -2.276934e+03      1.323140e+03   
     0.000790          1.116084        6.806220e+04      6.900191e+04     -2.165482e+03      1.225777e+03   
     0.000790          1.192698        5.827984e+04      5.914790e+04     -2.022393e+03      1.154333e+03   
     0.000790          1.268152        4.880297e+04      4.957726e+04     -1.851558e+03      1.077270e+03   
     0.000790          1.341994        4.061428e+04      4.133346e+04     -1.690623e+03      9.714400e+02   
     0.000790          1.413779        3.360950e+04      3.426507e+04     -1.539295e+03      8.837190e+02   
     0.000790          1.483076        2.764060e+04      2.823402e+04     -1.397277e+03      8.038545e+02   
     0.000790          1.549467        2.556937e+04      2.612191e+04     -1.292750e+03      7.402085e+02   
     0.000790          1.612554        2.255805e+04      2.311478e+04     -1.264273e+03      7.075424e+02   
     0.000790          1.671957        1.830103e+04      1.879356e+04     -1.139989e+03      6.474648e+02   
     0.000790          1.727318        1.651585e+04      1.696174e+04     -1.028873e+03      5.829822e+02   
     0.000790          1.778306        1.472511e+04      1.516758e+04     -1.024128e+03      5.816659e+02   
