#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.209966e+08      8.210070e+08     -1.081309e+04      4.060781e+02   
     0.001185          0.009274        5.208791e+08      5.208875e+08     -8.795653e+03      3.948007e+02   
     0.001185          0.022740        3.285708e+08      3.285775e+08     -7.046915e+03      3.682075e+02   
     0.001185          0.042083        9.373667e+07      9.374012e+07     -3.801429e+03      3.498075e+02   
     0.001185          0.067187        7.706835e+07      7.707144e+07     -3.428619e+03      3.391078e+02   
     0.001185          0.097901        6.048589e+07      6.048864e+07     -3.076624e+03      3.265428e+02   
     0.001185          0.134040        4.581220e+07      4.581456e+07     -2.674115e+03      3.126929e+02   
     0.001185          0.175388        3.615406e+07      3.615614e+07     -2.378639e+03      2.985513e+02   
     0.001185          0.221694        2.849666e+07      2.849848e+07     -2.105772e+03      2.842984e+02   
     0.001185          0.272682        2.498872e+07      2.499043e+07     -1.977536e+03      2.693240e+02   
     0.001185          0.328043        2.128377e+07      2.128531e+07     -1.795980e+03      2.537795e+02   
     0.001185          0.387446        1.927695e+07      1.927845e+07     -1.736895e+03      2.379690e+02   
     0.001185          0.450533        1.685788e+07      1.685928e+07     -1.624266e+03      2.219495e+02   
     0.001185          0.516924        1.469725e+07      1.469856e+07     -1.516614e+03      2.053637e+02   
     0.001185          0.586221        1.370673e+07      1.370800e+07     -1.464619e+03      1.886754e+02   
     0.001185          0.658006        1.199905e+07      1.200024e+07     -1.364222e+03      1.717087e+02   
     0.001185          0.731848        1.106250e+07      1.106366e+07     -1.315791e+03      1.556780e+02   
     0.001185          0.807302        1.028188e+07      1.028301e+07     -1.268521e+03      1.400615e+02   
     0.001185          0.883916        9.547707e+06      9.548804e+06     -1.222396e+03      1.248298e+02   
     0.001185          0.961228        8.857748e+06      8.858815e+06     -1.177404e+03      1.103957e+02   
     0.001185          1.038772        7.640580e+06      7.641574e+06     -1.090757e+03      9.701353e+01   
     0.001185          1.116084        7.032005e+06      7.032969e+06     -1.049076e+03      8.475343e+01   
     0.001185          1.192698        6.498129e+06      6.499064e+06     -1.008470e+03      7.360922e+01   
     0.001185          1.268152        5.998466e+06      5.999371e+06     -9.689255e+02      6.349902e+01   
     0.001185          1.341994        5.531237e+06      5.532113e+06     -9.304286e+02      5.456520e+01   
     0.001185          1.413779        5.094737e+06      5.095584e+06     -8.929651e+02      4.673956e+01   
     0.001185          1.483076        5.094731e+06      5.095584e+06     -8.929651e+02      4.005101e+01   
     0.001185          1.549467        4.687322e+06      4.688144e+06     -8.565210e+02      3.444936e+01   
     0.001185          1.612554        4.307432e+06      4.308224e+06     -8.210822e+02      2.955947e+01   
     0.001185          1.671957        3.953552e+06      3.954313e+06     -7.866346e+02      2.535466e+01   
     0.001185          1.727318        3.624238e+06      3.624970e+06     -7.531642e+02      2.185147e+01   
     0.001185          1.778306        3.624236e+06      3.624970e+06     -7.531642e+02      1.914306e+01   
     0.001185          1.824612        3.318105e+06      3.318808e+06     -7.206570e+02      1.702676e+01   
     0.001185          1.865960        3.033832e+06      3.034506e+06     -6.890988e+02      1.512527e+01   
     0.001185          1.902099        3.033831e+06      3.034506e+06     -6.890988e+02      1.395384e+01   
     0.001185          1.932813        2.770149e+06      2.770795e+06     -6.584756e+02      1.268404e+01   
     0.001185          1.957917        2.770149e+06      2.770795e+06     -6.584756e+02      1.204493e+01   
     0.001185          1.977260        2.770148e+06      2.770795e+06     -6.584756e+02      1.151495e+01   
     0.001185          1.990726        2.525847e+06      2.526465e+06     -6.287734e+02      1.107825e+01   
     0.001185          1.998238        2.525847e+06      2.526465e+06     -6.287734e+02      1.100665e+01   
     0.006239          0.001762        4.587567e+08      4.587647e+08     -8.284256e+03      3.287581e+02   
     0.006239          0.009274        4.318354e+08      4.318426e+08     -7.578685e+03      3.249543e+02   
     0.006239          0.022740        2.827769e+08      2.827824e+08     -5.810211e+03      3.191509e+02   
     0.006239          0.042083        1.076763e+08      1.076797e+08     -3.701579e+03      3.118007e+02   
     0.006239          0.067187        7.661712e+07      7.662017e+07     -3.358923e+03      3.044184e+02   
     0.006239          0.097901        6.066911e+07      6.067180e+07     -2.990632e+03      2.955593e+02   
     0.006239          0.134040        4.623136e+07      4.623369e+07     -2.614207e+03      2.854479e+02   
     0.006239          0.175388        3.573109e+07      3.573313e+07     -2.309873e+03      2.743745e+02   
