#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.972320e+08      1.972371e+08     -5.286052e+03      1.188708e+02   
     0.001185          0.009274        1.200775e+08      1.200816e+08     -4.209280e+03      1.142587e+02   
     0.001185          0.022740        7.018036e+07      7.018350e+07     -3.245215e+03      1.045052e+02   
     0.001185          0.042083        2.603141e+07      2.603327e+07     -1.948538e+03      9.392251e+01   
     0.001185          0.067187        1.410423e+07      1.410560e+07     -1.464619e+03      8.883147e+01   
     0.001185          0.097901        1.028182e+07      1.028301e+07     -1.268521e+03      8.456371e+01   
     0.001185          0.134040        7.601925e+06      7.602935e+06     -1.090757e+03      8.046939e+01   
     0.001185          0.175388        5.954735e+06      5.955621e+06     -9.618596e+02      7.630124e+01   
     0.001185          0.221694        4.504396e+06      4.505147e+06     -8.230874e+02      7.211281e+01   
     0.001185          0.272682        3.624284e+06      3.624970e+06     -7.531642e+02      6.792128e+01   
     0.001185          0.328043        2.770200e+06      2.770795e+06     -6.584756e+02      6.376306e+01   
     0.001185          0.387446        2.299819e+06      2.300359e+06     -5.999781e+02      5.960088e+01   
     0.001185          0.450533        1.897966e+06      1.898456e+06     -5.450518e+02      5.540481e+01   
     0.001185          0.516924        1.556411e+06      1.556853e+06     -4.935843e+02      5.118020e+01   
     0.001185          0.586221        1.405881e+06      1.406303e+06     -4.691125e+02      4.694879e+01   
     0.001185          0.658006        1.140999e+06      1.141379e+06     -4.226223e+02      4.298351e+01   
     0.001185          0.731848        1.025042e+06      1.025403e+06     -4.005759e+02      3.902349e+01   
     0.001185          0.807302        8.276129e+05      8.279366e+05     -3.588100e+02      3.507378e+01   
     0.001185          0.883916        7.343488e+05      7.346564e+05     -3.390624e+02      3.147333e+01   
     0.001185          0.961228        6.542970e+05      6.545890e+05     -3.200530e+02      2.803436e+01   
     0.001185          1.038772        5.816525e+05      5.819294e+05     -3.017676e+02      2.483596e+01   
     0.001185          1.116084        5.158566e+05      5.161189e+05     -2.841924e+02      2.188967e+01   
     0.001185          1.192698        4.563828e+05      4.566309e+05     -2.673131e+02      1.916585e+01   
     0.001185          1.268152        4.027355e+05      4.029699e+05     -2.511157e+02      1.667839e+01   
     0.001185          1.341994        3.544489e+05      3.546700e+05     -2.355862e+02      1.447189e+01   
     0.001185          1.413779        3.110858e+05      3.112940e+05     -2.207104e+02      1.251067e+01   
     0.001185          1.483076        2.753428e+05      2.755385e+05     -2.064745e+02      1.079427e+01   
     0.001185          1.549467        2.722347e+05      2.724317e+05     -2.064745e+02      9.440657e+00   
     0.001185          1.612554        2.375146e+05      2.376993e+05     -1.928642e+02      8.161942e+00   
     0.001185          1.671957        2.065653e+05      2.067381e+05     -1.798655e+02      7.057664e+00   
     0.001185          1.727318        2.065644e+05      2.067381e+05     -1.798655e+02      6.165133e+00   
     0.001185          1.778306        1.790511e+05      1.792131e+05     -1.674643e+02      5.458738e+00   
     0.001185          1.824612        1.546613e+05      1.548121e+05     -1.556467e+02      4.799087e+00   
     0.001185          1.865960        1.546608e+05      1.548121e+05     -1.556467e+02      4.371868e+00   
     0.001185          1.902099        1.331044e+05      1.332449e+05     -1.443985e+02      3.904247e+00   
     0.001185          1.932813        1.331042e+05      1.332449e+05     -1.443985e+02      3.649758e+00   
     0.001185          1.957917        1.331039e+05      1.332449e+05     -1.443985e+02      3.410878e+00   
     0.001185          1.977260        1.141113e+05      1.142418e+05     -1.337057e+02      3.181223e+00   
     0.001185          1.990726        1.141112e+05      1.142418e+05     -1.337057e+02      3.081146e+00   
     0.001185          1.998238        1.141111e+05      1.142418e+05     -1.337057e+02      3.042040e+00   
     0.006239          0.001762        1.039097e+08      1.039135e+08     -3.928809e+03      8.312155e+01   
     0.006239          0.009274        9.674076e+07      9.674423e+07     -3.548112e+03      8.169215e+01   
     0.006239          0.022740        6.424624e+07      6.424898e+07     -2.819715e+03      7.945536e+01   
     0.006239          0.042083        2.670256e+07      2.670423e+07     -1.750844e+03      7.684786e+01   
     0.006239          0.067187        1.407875e+07      1.408009e+07     -1.413508e+03      7.461649e+01   
     0.006239          0.097901        1.010332e+07      1.010446e+07     -1.216003e+03      7.226015e+01   
     0.006239          0.134040        7.601961e+06      7.602952e+06     -1.060616e+03      6.968268e+01   
     0.006239          0.175388        5.810880e+06      5.811742e+06     -9.289274e+02      6.683859e+01   
     0.006239          0.221694        4.490373e+06      4.491125e+06     -8.156821e+02      6.374777e+01   
     0.006239          0.272682        3.504344e+06      3.505007e+06     -7.234500e+02      6.047589e+01   
     0.006239          0.328043        2.806057e+06      2.806654e+06     -6.541450e+02      5.706583e+01   
     0.006239          0.387446        2.293879e+06      2.294420e+06     -5.944932e+02      5.352112e+01   
     0.006239          0.450533        1.897964e+06      1.898456e+06     -5.414671e+02      4.985149e+01   
     0.006239          0.516924        1.556409e+06      1.556853e+06     -4.903381e+02      4.609747e+01   
     0.006239          0.586221        1.351003e+06      1.351408e+06     -4.478359e+02      4.232131e+01   
     0.006239          0.658006        1.140998e+06      1.141379e+06     -4.198429e+02      3.860223e+01   
     0.006239          0.731848        1.025040e+06      1.025403e+06     -3.979414e+02      3.490773e+01   
     0.006239          0.807302        8.611168e+05      8.614419e+05     -3.564502e+02      3.131309e+01   
     0.006239          0.883916        7.343474e+05      7.346564e+05     -3.368325e+02      2.790540e+01   
     0.006239          0.961228        6.542957e+05      6.545890e+05     -3.179481e+02      2.465970e+01   
     0.006239          1.038772        5.816513e+05      5.819294e+05     -2.997830e+02      2.162463e+01   
