#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        6.579584e+07      6.582832e+07     -3.351405e+04      1.032934e+03   
     0.001185          0.009274        3.471850e+07      3.474231e+07     -2.453171e+04      7.227919e+02   
     0.001185          0.022740        1.084502e+07      1.085858e+07     -1.413797e+04      5.872983e+02   
     0.001185          0.042083        7.815442e+06      7.826933e+06     -1.200722e+04      5.160438e+02   
     0.001185          0.067187        5.121616e+06      5.130852e+06     -9.672057e+03      4.352082e+02   
     0.001185          0.097901        3.103982e+06      3.111125e+06     -7.502429e+03      3.589967e+02   
     0.001185          0.134040        1.986864e+06      1.992582e+06     -6.025404e+03      3.082100e+02   
     0.001185          0.175388        1.433831e+06      1.438744e+06     -5.185915e+03      2.729179e+02   
     0.001185          0.221694        1.059757e+06      1.063940e+06     -4.428261e+03      2.448601e+02   
     0.001185          0.272682        7.844911e+05      7.880711e+05     -3.799481e+03      2.194773e+02   
     0.001185          0.328043        6.103767e+05      6.135154e+05     -3.335962e+03      1.972790e+02   
     0.001185          0.387446        4.538553e+05      4.566309e+05     -2.955076e+03      1.793957e+02   
     0.001185          0.450533        3.522273e+05      3.546700e+05     -2.604343e+03      1.615915e+02   
     0.001185          0.516924        2.890784e+05      2.912153e+05     -2.282521e+03      1.456827e+02   
     0.001185          0.586221        2.357018e+05      2.376993e+05     -2.132063e+03      1.344795e+02   
     0.001185          0.658006        1.774809e+05      1.792131e+05     -1.851274e+03      1.191311e+02   
     0.001185          0.731848        1.532015e+05      1.548121e+05     -1.720634e+03      1.100486e+02   
     0.001185          0.807302        1.317492e+05      1.332449e+05     -1.596288e+03      1.005844e+02   
     0.001185          0.883916        1.042916e+05      1.055681e+05     -1.365860e+03      8.936631e+01   
     0.001185          0.961228        8.456660e+04      8.574557e+04     -1.259467e+03      8.049293e+01   
     0.001185          1.038772        6.912496e+04      7.021098e+04     -1.158747e+03      7.272679e+01   
     0.001185          1.116084        5.815017e+04      5.914790e+04     -1.063544e+03      6.581383e+01   
     0.001185          1.192698        5.122497e+04      5.213910e+04     -9.737046e+02      5.957253e+01   
     0.001185          1.268152        4.626373e+04      4.713409e+04     -9.257203e+02      5.536556e+01   
     0.001185          1.341994        4.049551e+04      4.133346e+04     -8.890718e+02      5.112096e+01   
     0.001185          1.413779        3.350075e+04      3.426507e+04     -8.094905e+02      4.516362e+01   
     0.001185          1.483076        2.753964e+04      2.823402e+04     -7.348054e+02      4.042440e+01   
     0.001185          1.549467        2.248634e+04      2.311478e+04     -6.648609e+02      3.641829e+01   
     0.001185          1.612554        2.248409e+04      2.311478e+04     -6.648609e+02      3.416980e+01   
     0.001185          1.671957        1.822432e+04      1.879356e+04     -5.995017e+02      3.026211e+01   
     0.001185          1.727318        1.465633e+04      1.516758e+04     -5.385723e+02      2.732146e+01   
     0.001185          1.778306        1.465494e+04      1.516758e+04     -5.385723e+02      2.593514e+01   
     0.001185          1.824612        1.168561e+04      1.214432e+04     -4.819173e+02      2.320956e+01   
     0.001185          1.865960        1.168461e+04      1.214432e+04     -4.819173e+02      2.220620e+01   
     0.001185          1.902099        9.231384e+03      9.640827e+03     -4.293813e+02      1.993783e+01   
     0.001185          1.932813        9.230540e+03      9.640827e+03     -4.293813e+02      1.909474e+01   
     0.001185          1.957917        9.230062e+03      9.640827e+03     -4.293813e+02      1.861633e+01   
     0.001185          1.977260        7.219073e+03      7.583014e+03     -3.808087e+02      1.686745e+01   
     0.001185          1.990726        7.218980e+03      7.583014e+03     -3.808087e+02      1.677384e+01   
     0.001185          1.998238        7.218864e+03      7.583014e+03     -3.808087e+02      1.665777e+01   
     0.006239          0.001762        2.123584e+07      2.125333e+07     -1.760043e+04      1.105638e+02   
     0.006239          0.009274        1.793310e+07      1.794783e+07     -1.484051e+04      1.098902e+02   
     0.006239          0.022740        1.102463e+07      1.103787e+07     -1.334522e+04      1.085040e+02   
     0.006239          0.042083        7.657978e+06      7.669310e+06     -1.143801e+04      1.063772e+02   
     0.006239          0.067187        5.052225e+06      5.061372e+06     -9.251011e+03      1.036504e+02   
     0.006239          0.097901        3.074796e+06      3.081964e+06     -7.268423e+03      1.004867e+02   
     0.006239          0.134040        1.994872e+06      2.000702e+06     -5.926849e+03      9.696058e+01   
     0.006239          0.175388        1.416945e+06      1.421916e+06     -5.063916e+03      9.307436e+01   
     0.006239          0.221694        1.047863e+06      1.052139e+06     -4.364615e+03      8.879919e+01   
     0.006239          0.272682        7.900664e+05      7.937784e+05     -3.796193e+03      8.419735e+01   
