#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.000927e+08      2.001494e+08     -5.884050e+04      2.111655e+03   
     0.001185          0.009274        1.230233e+08      1.230684e+08     -4.705495e+04      1.887788e+03   
     0.001185          0.022740        7.379854e+07      7.383354e+07     -3.657623e+04      1.581750e+03   
     0.001185          0.042083        3.321515e+07      3.323634e+07     -2.233002e+04      1.141579e+03   
     0.001185          0.067187        1.622139e+07      1.623688e+07     -1.642579e+04      9.358776e+02   
     0.001185          0.097901        1.119907e+07      1.121225e+07     -1.402316e+04      8.400395e+02   
     0.001185          0.134040        8.195594e+06      8.206887e+06     -1.205804e+04      7.652673e+02   
     0.001185          0.175388        6.345545e+06      6.355515e+06     -1.067216e+04      7.014919e+02   
     0.001185          0.221694        4.783588e+06      4.792228e+06     -9.283815e+03      6.437021e+02   
     0.001185          0.272682        3.778329e+06      3.786062e+06     -8.326033e+03      5.929273e+02   
     0.001185          0.328043        2.914031e+06      2.920766e+06     -7.279275e+03      5.442862e+02   
     0.001185          0.387446        2.404637e+06      2.410763e+06     -6.632600e+03      5.062621e+02   
     0.001185          0.450533        1.987024e+06      1.992582e+06     -6.025404e+03      4.683073e+02   
     0.001185          0.516924        1.631657e+06      1.636680e+06     -5.456445e+03      4.328750e+02   
     0.001185          0.586221        1.401519e+06      1.406303e+06     -5.185915e+03      4.019527e+02   
     0.001185          0.658006        1.198761e+06      1.203065e+06     -4.671979e+03      3.680353e+02   
     0.001185          0.731848        1.021318e+06      1.025403e+06     -4.428261e+03      3.434126e+02   
     0.001185          0.807302        8.688193e+05      8.724836e+05     -3.979117e+03      3.147910e+02   
     0.001185          0.883916        7.739847e+05      7.774440e+05     -3.748246e+03      2.888584e+02   
     0.001185          0.961228        6.901973e+05      6.934681e+05     -3.538102e+03      2.673093e+02   
     0.001185          1.038772        5.788393e+05      5.819294e+05     -3.335962e+03      2.458060e+02   
     0.001185          1.116084        5.132021e+05      5.161189e+05     -3.141672e+03      2.248634e+02   
     0.001185          1.192698        4.538806e+05      4.566309e+05     -2.955076e+03      2.046982e+02   
     0.001185          1.268152        4.003809e+05      4.029699e+05     -2.776018e+03      1.870051e+02   
     0.001185          1.341994        3.557477e+05      3.581808e+05     -2.604343e+03      1.712253e+02   
     0.001185          1.413779        3.299920e+05      3.322749e+05     -2.439896e+03      1.569762e+02   
     0.001185          1.483076        2.907247e+05      2.928758e+05     -2.295536e+03      1.444975e+02   
     0.001185          1.549467        2.702820e+05      2.724317e+05     -2.282521e+03      1.328683e+02   
     0.001185          1.612554        2.356882e+05      2.376993e+05     -2.132063e+03      1.208765e+02   
     0.001185          1.671957        2.048609e+05      2.067381e+05     -1.988366e+03      1.111117e+02   
     0.001185          1.727318        2.048530e+05      2.067381e+05     -1.988366e+03      1.032578e+02   
     0.001185          1.778306        1.774564e+05      1.792131e+05     -1.851274e+03      9.454601e+01   
     0.001185          1.824612        1.649326e+05      1.665664e+05     -1.720634e+03      8.685326e+01   
     0.001185          1.865960        1.531738e+05      1.548121e+05     -1.720634e+03      8.234249e+01   
     0.001185          1.902099        1.421038e+05      1.436243e+05     -1.596288e+03      7.587711e+01   
     0.001185          1.932813        1.317213e+05      1.332449e+05     -1.596288e+03      7.267672e+01   
     0.001185          1.957917        1.317182e+05      1.332449e+05     -1.596288e+03      6.961680e+01   
     0.001185          1.977260        1.218534e+05      1.232656e+05     -1.478082e+03      6.593831e+01   
     0.001185          1.990726        1.128288e+05      1.142418e+05     -1.478082e+03      6.505827e+01   
     0.001185          1.998238        1.128279e+05      1.142418e+05     -1.478082e+03      6.421891e+01   
     0.006239          0.001762        1.069172e+08      1.069608e+08     -4.401748e+04      3.807773e+02   
     0.006239          0.009274        9.992881e+07      9.996840e+07     -3.997004e+04      3.799678e+02   
     0.006239          0.022740        6.852944e+07      6.856157e+07     -3.250676e+04      3.767318e+02   
     0.006239          0.042083        3.264091e+07      3.266182e+07     -2.127685e+04      3.707890e+02   
     0.006239          0.067187        1.626754e+07      1.628344e+07     -1.626222e+04      3.630017e+02   
     0.006239          0.097901        1.109958e+07      1.111304e+07     -1.382136e+04      3.536769e+02   
     0.006239          0.134040        8.223652e+06      8.235298e+06     -1.198869e+04      3.428722e+02   
     0.006239          0.175388        6.258692e+06      6.268841e+06     -1.047952e+04      3.306780e+02   
     0.006239          0.221694        4.823542e+06      4.832437e+06     -9.212373e+03      3.171651e+02   
