#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.958660e+08      2.959381e+08     -7.496778e+04      2.916175e+03   
     0.001185          0.009274        1.827951e+08      1.828527e+08     -6.017473e+04      2.629154e+03   
     0.001185          0.022740        1.102953e+08      1.103401e+08     -4.699982e+04      2.222138e+03   
     0.001185          0.042083        4.400766e+07      4.403135e+07     -2.524794e+04      1.558681e+03   
     0.001185          0.067187        2.533854e+07      2.535724e+07     -2.004276e+04      1.341826e+03   
     0.001185          0.097901        1.797884e+07      1.799501e+07     -1.740741e+04      1.235242e+03   
     0.001185          0.134040        1.348387e+07      1.349796e+07     -1.522559e+04      1.143140e+03   
     0.001185          0.175388        1.054670e+07      1.055920e+07     -1.356040e+04      1.060277e+03   
     0.001185          0.221694        7.985412e+06      7.996273e+06     -1.184508e+04      9.837001e+02   
     0.001185          0.272682        6.467788e+06      6.477627e+06     -1.075351e+04      9.143384e+02   
     0.001185          0.328043        5.075307e+06      5.083958e+06     -9.501099e+03      8.500037e+02   
     0.001185          0.387446        4.289908e+06      4.297829e+06     -8.715191e+03      7.937696e+02   
     0.001185          0.450533        3.478420e+06      3.485654e+06     -7.973862e+03      7.404729e+02   
     0.001185          0.516924        2.889075e+06      2.895661e+06     -7.275811e+03      6.892991e+02   
     0.001185          0.586221        2.635759e+06      2.642055e+06     -6.942607e+03      6.468507e+02   
     0.001185          0.658006        2.184353e+06      2.190064e+06     -6.307031e+03      5.960474e+02   
     0.001185          0.731848        1.921389e+06      1.926838e+06     -6.004334e+03      5.558736e+02   
     0.001185          0.807302        1.713997e+06      1.719191e+06     -5.711479e+03      5.177647e+02   
     0.001185          0.883916        1.550586e+06      1.555534e+06     -5.428305e+03      4.800637e+02   
     0.001185          0.961228        1.354432e+06      1.358976e+06     -4.985547e+03      4.406514e+02   
     0.001185          1.038772        1.136075e+06      1.140307e+06     -4.635238e+03      4.032586e+02   
     0.001185          1.116084        1.020385e+06      1.024405e+06     -4.389159e+03      3.700323e+02   
     0.001185          1.192698        9.146781e+05      9.184898e+05     -4.151947e+03      3.402988e+02   
     0.001185          1.268152        8.182516e+05      8.218616e+05     -3.923439e+03      3.134162e+02   
     0.001185          1.341994        7.707680e+05      7.743842e+05     -3.907997e+03      2.917487e+02   
     0.001185          1.413779        7.040388e+05      7.074715e+05     -3.703472e+03      2.707993e+02   
     0.001185          1.483076        6.506039e+05      6.538487e+05     -3.491885e+03      2.470621e+02   
     0.001185          1.549467        5.781809e+05      5.812450e+05     -3.288514e+03      2.243605e+02   
     0.001185          1.612554        5.126000e+05      5.154871e+05     -3.093196e+03      2.060497e+02   
     0.001185          1.671957        4.747167e+05      4.775668e+05     -3.042874e+03      1.927659e+02   
     0.001185          1.727318        4.533199e+05      4.560487e+05     -2.905769e+03      1.769712e+02   
     0.001185          1.778306        3.998713e+05      4.024342e+05     -2.726070e+03      1.631150e+02   
     0.001185          1.824612        3.754787e+05      3.780494e+05     -2.726070e+03      1.554064e+02   
     0.001185          1.865960        3.517667e+05      3.541781e+05     -2.553936e+03      1.425867e+02   
     0.001185          1.902099        3.298582e+05      3.322749e+05     -2.553936e+03      1.371994e+02   
     0.001185          1.932813        3.085807e+05      3.108430e+05     -2.389206e+03      1.269564e+02   
     0.001185          1.957917        3.085761e+05      3.108430e+05     -2.389206e+03      1.223557e+02   
     0.001185          1.977260        2.889466e+05      2.912153e+05     -2.389206e+03      1.205710e+02   
     0.001185          1.990726        2.699022e+05      2.720191e+05     -2.231715e+03      1.148271e+02   
     0.001185          1.998238        2.698998e+05      2.720191e+05     -2.231715e+03      1.124089e+02   
     0.006239          0.001762        1.592753e+08      1.593310e+08     -5.632327e+04      6.416779e+02   
     0.006239          0.009274        1.488192e+08      1.488696e+08     -5.105759e+04      6.385211e+02   
     0.006239          0.022740        1.019993e+08      1.020401e+08     -4.142353e+04      6.323075e+02   
     0.006239          0.042083        4.585853e+07      4.588349e+07     -2.559028e+04      6.238439e+02   
     0.006239          0.067187        2.525819e+07      2.527739e+07     -1.981020e+04      6.173154e+02   
     0.006239          0.097901        1.790520e+07      1.792178e+07     -1.718688e+04      6.077867e+02   
     0.006239          0.134040        1.344054e+07      1.345505e+07     -1.510488e+04      5.937083e+02   
     0.006239          0.175388        1.033997e+07      1.035271e+07     -1.331532e+04      5.758502e+02   
     0.006239          0.221694        8.089070e+06      8.100308e+06     -1.179299e+04      5.549052e+02   
     0.006239          0.272682        6.397271e+06      6.407240e+06     -1.050010e+04      5.313825e+02   
     0.006239          0.328043        5.161176e+06      5.170147e+06     -9.477041e+03      5.056444e+02   
