#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.924438e+08      8.924558e+08     -1.786676e+04      5.891611e+03   
     0.001185          0.009274        5.765487e+08      5.765578e+08     -1.466162e+04      5.523867e+03   
     0.001185          0.022740        3.740353e+08      3.740424e+08     -1.192902e+04      4.791554e+03   
     0.001185          0.042083        2.104545e+08      2.104595e+08     -8.847811e+03      3.805089e+03   
     0.001185          0.067187        1.233888e+08      1.233923e+08     -6.922971e+03      3.411867e+03   
     0.001185          0.097901        9.889224e+07      9.889527e+07     -6.170958e+03      3.134509e+03   
     0.001185          0.134040        8.102942e+07      8.103211e+07     -5.566900e+03      2.875143e+03   
     0.001185          0.175388        6.598197e+07      6.598439e+07     -5.030641e+03      2.617823e+03   
     0.001185          0.221694        5.299267e+07      5.299480e+07     -4.508326e+03      2.375495e+03   
     0.001185          0.272682        4.313297e+07      4.313492e+07     -4.111650e+03      2.156594e+03   
     0.001185          0.328043        3.404884e+07      3.405052e+07     -3.653117e+03      1.972355e+03   
     0.001185          0.387446        2.833509e+07      2.833660e+07     -3.332541e+03      1.815878e+03   
     0.001185          0.450533        2.498899e+07      2.499043e+07     -3.129598e+03      1.687370e+03   
     0.001185          0.516924        2.197887e+07      2.198023e+07     -2.935065e+03      1.575164e+03   
     0.001185          0.586221        1.927719e+07      1.927845e+07     -2.748766e+03      1.482526e+03   
     0.001185          0.658006        1.685812e+07      1.685928e+07     -2.570521e+03      1.406683e+03   
     0.001185          0.731848        1.498248e+07      1.498356e+07     -2.400154e+03      1.314042e+03   
     0.001185          0.807302        1.370695e+07      1.370800e+07     -2.317868e+03      1.265172e+03   
     0.001185          0.883916        1.277268e+07      1.277371e+07     -2.237485e+03      1.208264e+03   
     0.001185          0.961228        1.106273e+07      1.106366e+07     -2.082338e+03      1.144926e+03   
     0.001185          1.038772        1.028211e+07      1.028301e+07     -2.007529e+03      1.104835e+03   
     0.001185          1.116084        9.547937e+06      9.548804e+06     -1.934533e+03      1.067833e+03   
     0.001185          1.192698        8.857982e+06      8.858815e+06     -1.863329e+03      1.030665e+03   
     0.001185          1.268152        8.210082e+06      8.210884e+06     -1.793893e+03      9.917589e+02   
     0.001185          1.341994        7.602161e+06      7.602935e+06     -1.726205e+03      9.523336e+02   
     0.001185          1.413779        7.032224e+06      7.032969e+06     -1.660241e+03      9.145976e+02   
     0.001185          1.483076        6.498345e+06      6.499064e+06     -1.595979e+03      8.763801e+02   
     0.001185          1.549467        5.998676e+06      5.999371e+06     -1.533397e+03      8.384581e+02   
     0.001185          1.612554        5.998650e+06      5.999371e+06     -1.533397e+03      8.126485e+02   
     0.001185          1.671957        5.531431e+06      5.532113e+06     -1.472472e+03      7.902566e+02   
     0.001185          1.727318        5.094924e+06      5.095584e+06     -1.413184e+03      7.538228e+02   
     0.001185          1.778306        4.884543e+06      4.885181e+06     -1.355508e+03      7.181512e+02   
     0.001185          1.824612        4.687492e+06      4.688144e+06     -1.355508e+03      7.032988e+02   
     0.001185          1.865960        4.307595e+06      4.308224e+06     -1.299424e+03      6.711942e+02   
     0.001185          1.902099        4.307583e+06      4.308224e+06     -1.299424e+03      6.586023e+02   
     0.001185          1.932813        4.160925e+06      4.161548e+06     -1.255184e+03      6.319849e+02   
     0.001185          1.957917        3.953690e+06      3.954313e+06     -1.244908e+03      6.214976e+02   
     0.001185          1.977260        3.953683e+06      3.954313e+06     -1.244908e+03      6.147598e+02   
     0.001185          1.990726        3.953679e+06      3.954313e+06     -1.244908e+03      6.104513e+02   
     0.001185          1.998238        3.953671e+06      3.954313e+06     -1.244908e+03      6.026065e+02   
     0.006239          0.001762        5.093008e+08      5.093101e+08     -1.104840e+04      1.729922e+03   
     0.006239          0.009274        4.823571e+08      4.823657e+08     -1.017864e+04      1.637316e+03   
     0.006239          0.022740        3.550513e+08      3.550585e+08     -8.661838e+03      1.492828e+03   
     0.006239          0.042083        1.992274e+08      1.992323e+08     -6.274044e+03      1.343783e+03   
     0.006239          0.067187        1.229332e+08      1.229373e+08     -5.361065e+03      1.252327e+03   
     0.006239          0.097901        9.898191e+07      9.898558e+07     -4.851980e+03      1.177614e+03   
     0.006239          0.134040        8.097196e+07      8.097526e+07     -4.397067e+03      1.103135e+03   
     0.006239          0.175388        6.577781e+07      6.578075e+07     -3.967505e+03      1.027326e+03   
     0.006239          0.221694        5.278657e+07      5.278918e+07     -3.560222e+03      9.534331e+02   
     0.006239          0.272682        4.220583e+07      4.220813e+07     -3.189745e+03      8.854209e+02   
     0.006239          0.328043        3.465292e+07      3.465500e+07     -2.902039e+03      8.247307e+02   
     0.006239          0.387446        2.885130e+07      2.885317e+07     -2.647374e+03      7.701904e+02   
     0.006239          0.450533        2.470084e+07      2.470257e+07     -2.457518e+03      7.223921e+02   
     0.006239          0.516924        2.151812e+07      2.151973e+07     -2.282770e+03      6.773492e+02   
     0.006239          0.586221        1.911883e+07      1.912036e+07     -2.165715e+03      6.364265e+02   
     0.006239          0.658006        1.685784e+07      1.685928e+07     -2.042024e+03      5.982810e+02   
     0.006239          0.731848        1.516487e+07      1.516622e+07     -1.906684e+03      5.600258e+02   
     0.006239          0.807302        1.370669e+07      1.370800e+07     -1.841317e+03      5.289022e+02   
     0.006239          0.883916        1.275472e+07      1.275600e+07     -1.774995e+03      4.960535e+02   
     0.006239          0.961228        1.134487e+07      1.134606e+07     -1.654211e+03      4.646486e+02   
     0.006239          1.038772        1.028185e+07      1.028301e+07     -1.594782e+03      4.384033e+02   
     0.006239          1.116084        9.547680e+06      9.548804e+06     -1.536795e+03      4.122460e+02   
     0.006239          1.192698        8.857722e+06      8.858815e+06     -1.480230e+03      3.874102e+02   
     0.006239          1.268152        8.209823e+06      8.210884e+06     -1.425070e+03      3.644250e+02   
     0.006239          1.341994        7.601906e+06      7.602935e+06     -1.371299e+03      3.423393e+02   
     0.006239          1.413779        7.031972e+06      7.032969e+06     -1.318897e+03      3.214262e+02   
