#        q                Q               total               1              \delta U         \delta U^2    

     0.000790          0.001762        5.551461e+07      5.551763e+07     -8.991094e+03      5.973589e+03   
     0.000790          0.009274        2.977024e+07      2.977167e+07     -6.829650e+03      5.396701e+03   
     0.000790          0.022740        1.725564e+07      1.725636e+07     -5.246424e+03      4.529967e+03   
     0.000790          0.042083        1.017927e+07      1.017968e+07     -4.056185e+03      3.653580e+03   
     0.000790          0.067187        5.999144e+06      5.999371e+06     -3.129657e+03      2.902810e+03   
     0.000790          0.097901        3.624837e+06      3.624970e+06     -2.432742e+03      2.299813e+03   
     0.000790          0.134040        2.300281e+06      2.300359e+06     -1.937946e+03      1.859748e+03   
     0.000790          0.175388        1.556787e+06      1.556853e+06     -1.594291e+03      1.528222e+03   
     0.000790          0.221694        1.025392e+06      1.025403e+06     -1.293872e+03      1.283033e+03   
     0.000790          0.272682        7.346543e+05      7.346564e+05     -1.095181e+03      1.093095e+03   
     0.000790          0.328043        5.161266e+05      5.161189e+05     -9.179494e+02      9.256074e+02   
     0.000790          0.387446        4.029619e+05      4.029699e+05     -8.111108e+02      8.030863e+02   
     0.000790          0.450533        3.112734e+05      3.112940e+05     -7.129010e+02      6.923606e+02   
     0.000790          0.516924        2.376803e+05      2.376993e+05     -6.229567e+02      6.038852e+02   
     0.000790          0.586221        1.792142e+05      1.792131e+05     -5.409146e+02      5.420749e+02   
     0.000790          0.658006        1.332480e+05      1.332449e+05     -4.664114e+02      4.695186e+02   
     0.000790          0.731848        1.142262e+05      1.142418e+05     -4.318734e+02      4.162891e+02   
     0.000790          0.807302        8.294989e+04      8.294714e+04     -3.679972e+02      3.707478e+02   
     0.000790          0.883916        7.021293e+04      7.021098e+04     -3.385684e+02      3.405175e+02   
     0.000790          0.961228        5.914000e+04      5.914790e+04     -3.107517e+02      3.028481e+02   
     0.000790          1.038772        4.133515e+04      4.133346e+04     -2.597734e+02      2.614670e+02   
     0.000790          1.116084        3.426565e+04      3.426507e+04     -2.365210e+02      2.370931e+02   
     0.000790          1.192698        2.823292e+04      2.823402e+04     -2.146991e+02      2.135935e+02   
     0.000790          1.268152        2.311070e+04      2.311478e+04     -1.942624e+02      1.901795e+02   
     0.000790          1.341994        1.878959e+04      1.879356e+04     -1.751654e+02      1.711967e+02   
     0.000790          1.413779        1.579634e+04      1.579745e+04     -1.573628e+02      1.562568e+02   
     0.000790          1.483076        1.516239e+04      1.516758e+04     -1.573628e+02      1.521807e+02   
     0.000790          1.549467        1.213860e+04      1.214432e+04     -1.408090e+02      1.350938e+02   
     0.000790          1.612554        9.638283e+03      9.640827e+03     -1.254588e+02      1.229150e+02   
     0.000790          1.671957        7.582470e+03      7.583014e+03     -1.112666e+02      1.107218e+02   
     0.000790          1.727318        7.578939e+03      7.583014e+03     -1.112666e+02      1.071915e+02   
     0.000790          1.778306        5.903178e+03      5.905016e+03     -9.818710e+01      9.634919e+01   
     0.000790          1.824612        5.894653e+03      5.905016e+03     -9.818710e+01      8.782414e+01   
     0.000790          1.865960        4.548355e+03      4.548553e+03     -8.617485e+01      8.597676e+01   
     0.000790          1.902099        4.542346e+03      4.548553e+03     -8.617485e+01      7.996717e+01   
     0.000790          1.932813        3.463573e+03      3.462327e+03     -7.518443e+01      7.643068e+01   
     0.000790          1.957917        3.462746e+03      3.462327e+03     -7.518443e+01      7.560336e+01   
     0.000790          1.977260        3.459738e+03      3.462327e+03     -7.518443e+01      7.259565e+01   
     0.000790          1.990726        2.603347e+03      2.601438e+03     -6.517044e+01      6.707960e+01   
     0.000790          1.998238        2.603932e+03      2.601438e+03     -6.517044e+01      6.766383e+01   
     0.004159          0.001762        3.128949e+07      3.129194e+07     -3.997608e+03      1.547484e+03   
     0.004159          0.009274        2.709547e+07      2.709755e+07     -3.493693e+03      1.415921e+03   
     0.004159          0.022740        1.678944e+07      1.679104e+07     -2.820209e+03      1.226110e+03   
     0.004159          0.042083        1.008794e+07      1.008914e+07     -2.223521e+03      1.018953e+03   
     0.004159          0.067187        6.024453e+06      6.025362e+06     -1.735577e+03      8.265214e+02   
     0.004159          0.097901        3.614736e+06      3.615425e+06     -1.357879e+03      6.684841e+02   
     0.004159          0.134040        2.280273e+06      2.280809e+06     -1.083533e+03      5.477232e+02   
     0.004159          0.175388        1.502816e+06      1.503245e+06     -8.847260e+02      4.562151e+02   
     0.004159          0.221694        1.047894e+06      1.048252e+06     -7.436185e+02      3.855200e+02   
     0.004159          0.272682        7.358567e+05      7.361574e+05     -6.294265e+02      3.286494e+02   
     0.004159          0.328043        5.308793e+05      5.311252e+05     -5.275672e+02      2.816045e+02   
     0.004159          0.387446        4.027484e+05      4.029699e+05     -4.661645e+02      2.446597e+02   
     0.004159          0.450533        3.016020e+05      3.017862e+05     -3.972070e+02      2.130300e+02   
     0.004159          0.516924        2.314967e+05      2.316581e+05     -3.489285e+02      1.875073e+02   
     0.004159          0.586221        1.790673e+05      1.792131e+05     -3.108764e+02      1.651043e+02   
     0.004159          0.658006        1.331234e+05      1.332449e+05     -2.680576e+02      1.465719e+02   
     0.004159          0.731848        1.118203e+05      1.119340e+05     -2.431937e+02      1.295431e+02   
     0.004159          0.807302        8.285155e+04      8.294714e+04     -2.114967e+02      1.159095e+02   
     0.004159          0.883916        7.012107e+04      7.021098e+04     -1.945832e+02      1.046747e+02   
     0.004159          0.961228        5.881356e+04      5.889895e+04     -1.778446e+02      9.246007e+01   
     0.004159          1.038772        4.367531e+04      4.374302e+04     -1.492979e+02      8.159726e+01   
     0.004159          1.116084        3.420281e+04      3.426507e+04     -1.359342e+02      7.367449e+01   
     0.004159          1.192698        2.817734e+04      2.823402e+04     -1.233926e+02      6.670944e+01   
     0.004159          1.268152        2.306347e+04      2.311478e+04     -1.116472e+02      6.033762e+01   
     0.004159          1.341994        1.874710e+04      1.879356e+04     -1.006717e+02      5.421784e+01   
     0.004159          1.413779        1.663075e+04      1.667240e+04     -9.044009e+01      4.878754e+01   
     0.004159          1.483076        1.512278e+04      1.516758e+04     -9.044009e+01      4.563950e+01   
     0.004159          1.549467        1.210602e+04      1.214432e+04     -8.092626e+01      4.262756e+01   
     0.004159          1.612554        9.607131e+03      9.640827e+03     -7.210411e+01      3.840798e+01   
     0.004159          1.671957        7.553072e+03      7.583014e+03     -6.394754e+01      3.400467e+01   
     0.004159          1.727318        7.551597e+03      7.583014e+03     -6.394754e+01      3.253033e+01   
     0.004159          1.778306        5.878531e+03      5.905016e+03     -5.643044e+01      2.994548e+01   
     0.004159          1.824612        5.415644e+03      5.440894e+03     -5.199512e+01      2.674571e+01   
     0.004159          1.865960        4.525428e+03      4.548553e+03     -4.952672e+01      2.640110e+01   
     0.004159          1.902099        4.399564e+03      4.423613e+03     -4.816631e+01      2.411759e+01   
     0.004159          1.932813        3.442274e+03      3.462327e+03     -4.321026e+01      2.315771e+01   
     0.004159          1.957917        3.442190e+03      3.462327e+03     -4.321026e+01      2.307365e+01   
     0.004159          1.977260        3.440760e+03      3.462327e+03     -4.321026e+01      2.164324e+01   
     0.004159          1.990726        2.825959e+03      2.843273e+03     -3.745499e+01      2.014104e+01   
     0.004159          1.998238        2.584289e+03      2.601438e+03     -3.745499e+01      2.030592e+01   
     0.010212          0.001762        1.857580e+07      1.857773e+07     -2.501702e+03      5.717295e+02   
     0.010212          0.009274        1.793570e+07      1.793748e+07     -2.314415e+03      5.359223e+02   
     0.010212          0.022740        1.490396e+07      1.490548e+07     -1.998893e+03      4.769699e+02   
     0.010212          0.042083        9.611544e+06      9.612771e+06     -1.634723e+03      4.078226e+02   
     0.010212          0.067187        5.876687e+06      5.877650e+06     -1.302507e+03      3.399648e+02   
     0.010212          0.097901        3.580265e+06      3.581019e+06     -1.035289e+03      2.816283e+02   
     0.010212          0.134040        2.268372e+06      2.268975e+06     -8.392406e+02      2.354748e+02   
     0.010212          0.175388        1.506589e+06      1.507081e+06     -6.905513e+02      1.990626e+02   
     0.010212          0.221694        1.038534e+06      1.038943e+06     -5.792257e+02      1.697615e+02   
     0.010212          0.272682        7.361107e+05      7.364545e+05     -4.900840e+02      1.462581e+02   
     0.010212          0.328043        5.364535e+05      5.367476e+05     -4.204469e+02      1.262811e+02   
     0.010212          0.387446        3.927949e+05      3.930454e+05     -3.609013e+02      1.104647e+02   
     0.010212          0.450533        2.949261e+05      2.951413e+05     -3.116170e+02      9.641184e+01   
     0.010212          0.516924        2.252918e+05      2.254795e+05     -2.724392e+02      8.472220e+01   
     0.010212          0.586221        1.745672e+05      1.747350e+05     -2.431484e+02      7.542024e+01   
     0.010212          0.658006        1.355897e+05      1.357379e+05     -2.150313e+02      6.680859e+01   
     0.010212          0.731848        1.079310e+05      1.080600e+05     -1.883341e+02      5.927749e+01   
     0.010212          0.807302        8.407293e+04      8.418937e+04     -1.696591e+02      5.321612e+01   
     0.010212          0.883916        7.010259e+04      7.021098e+04     -1.560914e+02      4.770656e+01   
     0.010212          0.961228        5.594745e+04      5.604093e+04     -1.357413e+02      4.226239e+01   
     0.010212          1.038772        4.453250e+04      4.461465e+04     -1.197643e+02      3.761116e+01   
     0.010212          1.116084        3.576462e+04      3.583958e+04     -1.090441e+02      3.407958e+01   
     0.010212          1.192698        2.899256e+04      2.906079e+04     -9.898351e+01      3.075794e+01   
     0.010212          1.268152        2.379239e+04      2.385430e+04     -8.956150e+01      2.765213e+01   
     0.010212          1.341994        1.980606e+04      1.986211e+04     -8.075714e+01      2.470261e+01   
     0.010212          1.413779        1.673676e+04      1.678718e+04     -7.254952e+01      2.212974e+01   
     0.010212          1.483076        1.443557e+04      1.448438e+04     -6.928165e+01      2.047159e+01   
     0.010212          1.549467        1.209823e+04      1.214432e+04     -6.491769e+01      1.882788e+01   
     0.010212          1.612554        9.600086e+03      9.640827e+03     -5.784071e+01      1.709973e+01   
     0.010212          1.671957        8.019586e+03      8.055633e+03     -5.129764e+01      1.525055e+01   
     0.010212          1.727318        7.427327e+03      7.463476e+03     -5.048899e+01      1.434061e+01   
     0.010212          1.778306        5.872859e+03      5.905016e+03     -4.526755e+01      1.311075e+01   
     0.010212          1.824612        5.255804e+03      5.284429e+03     -4.051016e+01      1.188559e+01   
     0.010212          1.865960        4.520234e+03      4.548553e+03     -3.972950e+01      1.141032e+01   
     0.010212          1.902099        4.125523e+03      4.151243e+03     -3.625918e+01      1.053976e+01   
     0.010212          1.932813        3.437723e+03      3.462327e+03     -3.466255e+01      1.005804e+01   
     0.010212          1.957917        3.437460e+03      3.462327e+03     -3.466255e+01      9.795092e+00   
     0.010212          1.977260        3.206555e+03      3.229573e+03     -3.233236e+01      9.314582e+00   
     0.010212          1.990726        2.913966e+03      2.935148e+03     -3.004576e+01      8.863799e+00   
     0.010212          1.998238        2.767474e+03      2.788661e+03     -3.004576e+01      8.859102e+00   
     0.018933          0.001762        1.128792e+07      1.128940e+07     -1.724756e+03      2.434617e+02   
     0.018933          0.009274        1.110744e+07      1.110885e+07     -1.635519e+03      2.317133e+02   
     0.018933          0.022740        1.037190e+07      1.037316e+07     -1.473684e+03      2.110963e+02   
     0.018933          0.042083        8.355738e+06      8.356813e+06     -1.259601e+03      1.851134e+02   
     0.018933          0.067187        5.496886e+06      5.497765e+06     -1.038197e+03      1.586811e+02   
     0.018933          0.097901        3.475475e+06      3.476189e+06     -8.487442e+02      1.349149e+02   
     0.018933          0.134040        2.232791e+06      2.233375e+06     -6.992613e+02      1.149946e+02   
     0.018933          0.175388        1.493114e+06      1.493598e+06     -5.835365e+02      9.862213e+01   
     0.018933          0.221694        1.033686e+06      1.034093e+06     -4.926290e+02      8.538404e+01   
     0.018933          0.272682        7.329188e+05      7.332636e+05     -4.190626e+02      7.431987e+01   
     0.018933          0.328043        5.332984e+05      5.335935e+05     -3.601164e+02      6.495841e+01   
     0.018933          0.387446        3.950481e+05      3.953037e+05     -3.126142e+02      5.693403e+01   
     0.018933          0.450533        2.977588e+05      2.979803e+05     -2.715285e+02      5.008413e+01   
     0.018933          0.516924        2.263234e+05      2.265165e+05     -2.375078e+02      4.442125e+01   
     0.018933          0.586221        1.739473e+05      1.741167e+05     -2.090658e+02      3.958369e+01   
     0.018933          0.658006        1.368871e+05      1.370384e+05     -1.864851e+02      3.518991e+01   
     0.018933          0.731848        1.066205e+05      1.067531e+05     -1.637744e+02      3.116103e+01   
     0.018933          0.807302        8.660675e+04      8.672816e+04     -1.493409e+02      2.793178e+01   
     0.018933          0.883916        6.771895e+04      6.782654e+04     -1.325744e+02      2.498311e+01   
     0.018933          0.961228        5.500565e+04      5.510088e+04     -1.174808e+02      2.224642e+01   
     0.018933          1.038772        4.477923e+04      4.486478e+04     -1.054215e+02      1.987024e+01   
     0.018933          1.116084        3.654730e+04      3.662545e+04     -9.598513e+01      1.783703e+01   
     0.018933          1.192698        2.989836e+04      2.996948e+04     -8.712936e+01      1.600052e+01   
     0.018933          1.268152        2.454344e+04      2.460800e+04     -7.883571e+01      1.427308e+01   
     0.018933          1.341994        2.023490e+04      2.029319e+04     -7.108576e+01      1.279408e+01   
     0.018933          1.413779        1.676287e+04      1.681525e+04     -6.386107e+01      1.147660e+01   
     0.018933          1.483076        1.400095e+04      1.404969e+04     -5.915438e+01      1.040618e+01   
     0.018933          1.549467        1.176468e+04      1.181079e+04     -5.557385e+01      9.461201e+00   
     0.018933          1.612554        9.699135e+03      9.741475e+03     -5.091377e+01      8.573215e+00   
     0.018933          1.671957        8.238259e+03      8.275687e+03     -4.515429e+01      7.725830e+00   
     0.018933          1.727318        7.065791e+03      7.101023e+03     -4.228420e+01      7.052451e+00   
     0.018933          1.778306        5.965248e+03      5.998529e+03     -3.984636e+01      6.565545e+00   
     0.018933          1.824612        5.202738e+03      5.232207e+03     -3.530633e+01      5.836641e+00   
     0.018933          1.865960        4.519216e+03      4.548553e+03     -3.497154e+01      5.634760e+00   
     0.018933          1.902099        4.036811e+03      4.062951e+03     -3.123799e+01      5.098699e+00   
     0.018933          1.932813        3.616768e+03      3.642319e+03     -3.051140e+01      4.960928e+00   
     0.018933          1.957917        3.334263e+03      3.359162e+03     -2.960227e+01      4.703173e+00   
     0.018933          1.977260        3.098189e+03      3.121237e+03     -2.750558e+01      4.457346e+00   
     0.018933          1.990726        2.940714e+03      2.962863e+03     -2.644752e+01      4.298356e+00   
     0.018933          1.998238        2.861720e+03      2.883861e+03     -2.644752e+01      4.307067e+00   
     0.030298          0.001762        6.877815e+06      6.878950e+06     -1.240521e+03      1.057319e+02   
     0.030298          0.009274        6.832356e+06      6.833449e+06     -1.194458e+03      1.018753e+02   
     0.030298          0.022740        6.584978e+06      6.585988e+06     -1.104156e+03      9.484995e+01   
     0.030298          0.042083        5.969186e+06      5.970079e+06     -9.787448e+02      8.556363e+01   
     0.030298          0.067187        4.766693e+06      4.767458e+06     -8.406373e+02      7.535126e+01   
     0.030298          0.097901        3.251229e+06      3.251874e+06     -7.109430e+02      6.584981e+01   
     0.030298          0.134040        2.159257e+06      2.159800e+06     -5.996987e+02      5.758504e+01   
     0.030298          0.175388        1.462065e+06      1.462523e+06     -5.087520e+02      5.057973e+01   
     0.030298          0.221694        1.020690e+06      1.021079e+06     -4.338656e+02      4.445954e+01   
     0.030298          0.272682        7.258295e+05      7.261615e+05     -3.712769e+02      3.923568e+01   
     0.030298          0.328043        5.280278e+05      5.283139e+05     -3.209007e+02      3.475633e+01   
     0.030298          0.387446        3.912935e+05      3.915411e+05     -2.785100e+02      3.086453e+01   
     0.030298          0.450533        2.943218e+05      2.945369e+05     -2.425748e+02      2.747684e+01   
     0.030298          0.516924        2.239019e+05      2.240905e+05     -2.129907e+02      2.438872e+01   
     0.030298          0.586221        1.739728e+05      1.741406e+05     -1.895925e+02      2.172959e+01   
     0.030298          0.658006        1.351155e+05      1.352639e+05     -1.677503e+02      1.940303e+01   
     0.030298          0.731848        1.079206e+05      1.080531e+05     -1.497246e+02      1.722170e+01   
     0.030298          0.807302        8.497718e+04      8.509538e+04     -1.336298e+02      1.543210e+01   
     0.030298          0.883916        6.831468e+04      6.842077e+04     -1.198194e+02      1.372768e+01   
     0.030298          0.961228        5.496708e+04      5.506242e+04     -1.074638e+02      1.212404e+01   
     0.030298          1.038772        4.485964e+04      4.494612e+04     -9.723041e+01      1.075313e+01   
     0.030298          1.116084        3.686897e+04      3.694792e+04     -8.852727e+01      9.583408e+00   
     0.030298          1.192698        3.027869e+04      3.035052e+04     -8.035957e+01      8.527607e+00   
     0.030298          1.268152        2.485954e+04      2.492464e+04     -7.271033e+01      7.612486e+00   
     0.030298          1.341994        2.041223e+04      2.047104e+04     -6.556253e+01      6.746871e+00   
     0.030298          1.413779        1.676550e+04      1.681844e+04     -5.889919e+01      5.954572e+00   
     0.030298          1.483076        1.380219e+04      1.385064e+04     -5.378524e+01      5.329621e+00   
     0.030298          1.549467        1.149960e+04      1.154432e+04     -4.957513e+01      4.852236e+00   
     0.030298          1.612554        9.850002e+03      9.891558e+03     -4.591139e+01      4.355677e+00   
     0.030298          1.671957        8.330179e+03      8.367992e+03     -4.164589e+01      3.833335e+00   
     0.030298          1.727318        6.903352e+03      6.937919e+03     -3.810303e+01      3.536048e+00   
     0.030298          1.778306        6.060299e+03      6.092988e+03     -3.588613e+01      3.197540e+00   
     0.030298          1.824612        5.176774e+03      5.206285e+03     -3.240176e+01      2.890981e+00   
     0.030298          1.865960        4.545894e+03      4.574181e+03     -3.100395e+01      2.717556e+00   
     0.030298          1.902099        3.995852e+03      4.021869e+03     -2.851954e+01      2.503260e+00   
     0.030298          1.932813        3.680922e+03      3.706333e+03     -2.776144e+01      2.350467e+00   
