#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        9.180637e+07      9.181056e+07     -4.231740e+03      3.704161e+01   
     0.001185          0.009274        3.314056e+07      3.314323e+07     -2.703936e+03      3.527751e+01   
     0.001185          0.022740        1.469329e+07      1.469511e+07     -1.855133e+03      3.270342e+01   
     0.001185          0.042083        7.879787e+06      7.881123e+06     -1.365856e+03      3.014065e+01   
     0.001185          0.067187        4.705757e+06      4.706802e+06     -1.072543e+03      2.789811e+01   
     0.001185          0.097901        3.033669e+06      3.034506e+06     -8.628956e+02      2.596878e+01   
     0.001185          0.134040        2.090682e+06      2.091374e+06     -7.163581e+02      2.424500e+01   
     0.001185          0.175388        1.405738e+06      1.406303e+06     -5.874268e+02      2.267116e+01   
     0.001185          0.221694        1.024923e+06      1.025403e+06     -5.016047e+02      2.116056e+01   
     0.001185          0.272682        7.824846e+05      7.828925e+05     -4.275524e+02      1.971168e+01   
     0.001185          0.328043        5.815699e+05      5.819294e+05     -3.778761e+02      1.832051e+01   
     0.001185          0.387446        4.563132e+05      4.566309e+05     -3.347318e+02      1.695853e+01   
     0.001185          0.450533        3.543906e+05      3.546700e+05     -2.950031e+02      1.561234e+01   
     0.001185          0.516924        2.721874e+05      2.724317e+05     -2.585491e+02      1.425328e+01   
     0.001185          0.586221        2.374709e+05      2.376993e+05     -2.415062e+02      1.301176e+01   
     0.001185          0.658006        1.790151e+05      1.792131e+05     -2.097003e+02      1.172945e+01   
     0.001185          0.731848        1.546278e+05      1.548121e+05     -1.949022e+02      1.055958e+01   
     0.001185          0.807302        1.330735e+05      1.332449e+05     -1.808171e+02      9.447752e+00   
     0.001185          0.883916        1.140827e+05      1.142418e+05     -1.674275e+02      8.359328e+00   
     0.001185          0.961228        9.740558e+04      9.755295e+04     -1.547157e+02      7.349784e+00   
     0.001185          1.038772        7.523961e+04      7.536444e+04     -1.312553e+02      6.426381e+00   
     0.001185          1.116084        6.655360e+04      6.667265e+04     -1.246406e+02      5.588979e+00   
     0.001185          1.192698        5.903229e+04      5.914790e+04     -1.204714e+02      4.861143e+00   
     0.001185          1.268152        4.947119e+04      4.957726e+04     -1.102949e+02      4.223354e+00   
     0.001185          1.341994        4.123639e+04      4.133346e+04     -1.007083e+02      3.636774e+00   
     0.001185          1.413779        3.417649e+04      3.426507e+04     -9.169383e+01      3.107515e+00   
     0.001185          1.483076        2.815344e+04      2.823402e+04     -8.323398e+01      2.650046e+00   
     0.001185          1.549467        2.454545e+04      2.461851e+04     -7.531113e+01      2.258953e+00   
     0.001185          1.612554        2.304144e+04      2.311478e+04     -7.531113e+01      1.972146e+00   
     0.001185          1.671957        1.872733e+04      1.879356e+04     -6.790766e+01      1.684708e+00   
     0.001185          1.727318        1.577305e+04      1.583261e+04     -6.100598e+01      1.444205e+00   
     0.001185          1.778306        1.510785e+04      1.516758e+04     -6.100598e+01      1.278591e+00   
     0.001185          1.824612        1.209084e+04      1.214432e+04     -5.458846e+01      1.110182e+00   
     0.001185          1.865960        1.209074e+04      1.214432e+04     -5.458846e+01      1.004095e+00   
     0.001185          1.902099        9.593076e+03      9.640827e+03     -4.863752e+01      8.865520e-01   
     0.001185          1.932813        9.593012e+03      9.640827e+03     -4.863752e+01      8.225068e-01   
     0.001185          1.957917        9.592958e+03      9.640827e+03     -4.863752e+01      7.686775e-01   
     0.001185          1.977260        9.115911e+03      9.161422e+03     -4.621894e+01      7.078033e-01   
     0.001185          1.990726        7.540561e+03      7.583014e+03     -4.313554e+01      6.822811e-01   
     0.001185          1.998238        7.540547e+03      7.583014e+03     -4.313554e+01      6.682350e-01   
     0.006239          0.001762        2.569868e+07      2.570108e+07     -2.425017e+03      2.514646e+01   
     0.006239          0.009274        2.353783e+07      2.353988e+07     -2.079669e+03      2.460183e+01   
     0.006239          0.022740        1.394289e+07      1.394450e+07     -1.632706e+03      2.385822e+01   
     0.006239          0.042083        7.739195e+06      7.740444e+06     -1.272652e+03      2.302112e+01   
     0.006239          0.067187        4.676024e+06      4.677015e+06     -1.013293e+03      2.214139e+01   
     0.006239          0.097901        3.018214e+06      3.019019e+06     -8.261785e+02      2.122914e+01   
     0.006239          0.134040        2.049072e+06      2.049738e+06     -6.861596e+02      2.028821e+01   
     0.006239          0.175388        1.441257e+06      1.441817e+06     -5.793319e+02      1.930783e+01   
     0.006239          0.221694        1.053569e+06      1.054050e+06     -4.986632e+02      1.828112e+01   
     0.006239          0.272682        7.770742e+05      7.774800e+05     -4.229920e+02      1.721286e+01   
     0.006239          0.328043        5.915494e+05      5.919098e+05     -3.764481e+02      1.612767e+01   
     0.006239          0.387446        4.563125e+05      4.566309e+05     -3.334668e+02      1.500953e+01   
     0.006239          0.450533        3.543900e+05      3.546700e+05     -2.938883e+02      1.387220e+01   
     0.006239          0.516924        2.856763e+05      2.859211e+05     -2.575721e+02      1.272727e+01   
     0.006239          0.586221        2.374704e+05      2.376993e+05     -2.405936e+02      1.159967e+01   
     0.006239          0.658006        1.861277e+05      1.863261e+05     -2.089079e+02      1.048363e+01   
     0.006239          0.731848        1.546274e+05      1.548121e+05     -1.941657e+02      9.409414e+00   
     0.006239          0.807302        1.330731e+05      1.332449e+05     -1.801338e+02      8.377888e+00   
     0.006239          0.883916        1.116181e+05      1.117739e+05     -1.631916e+02      7.398069e+00   
     0.006239          0.961228        9.121849e+04      9.135635e+04     -1.443406e+02      6.480943e+00   
     0.006239          1.038772        7.597308e+04      7.609820e+04     -1.307593e+02      5.638230e+00   
     0.006239          1.116084        6.471901e+04      6.483489e+04     -1.207470e+02      4.871033e+00   
     0.006239          1.192698        5.653966e+04      5.665042e+04     -1.149485e+02      4.182661e+00   
     0.006239          1.268152        4.947095e+04      4.957726e+04     -1.098781e+02      3.570304e+00   
     0.006239          1.341994        4.123617e+04      4.133346e+04     -1.003277e+02      3.033140e+00   
     0.006239          1.413779        3.417629e+04      3.426507e+04     -9.134732e+01      2.560498e+00   
     0.006239          1.483076        2.815326e+04      2.823402e+04     -8.291944e+01      2.154215e+00   
     0.006239          1.549467        2.528761e+04      2.536083e+04     -7.502653e+01      1.806720e+00   
     0.006239          1.612554        2.304128e+04      2.311478e+04     -7.502653e+01      1.523333e+00   
     0.006239          1.671957        1.872719e+04      1.879356e+04     -6.765104e+01      1.282416e+00   
