#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        3.612232e+08      3.612315e+08     -8.385054e+03      1.080548e+02   
     0.001185          0.009274        1.304941e+08      1.304993e+08     -5.366334e+03      1.044368e+02   
     0.001185          0.022740        5.905840e+07      5.906201e+07     -3.712405e+03      9.909384e+01   
     0.001185          0.042083        3.269722e+07      3.269993e+07     -2.795015e+03      9.367018e+01   
     0.001185          0.067187        2.014171e+07      2.014382e+07     -2.198883e+03      8.873543e+01   
     0.001185          0.097901        1.350565e+07      1.350737e+07     -1.807166e+03      8.422993e+01   
     0.001185          0.134040        9.547353e+06      9.548804e+06     -1.530695e+03      8.000026e+01   
     0.001185          0.175388        7.031731e+06      7.032969e+06     -1.313662e+03      7.589294e+01   
     0.001185          0.221694        5.094537e+06      5.095584e+06     -1.118179e+03      7.177254e+01   
     0.001185          0.272682        3.953396e+06      3.954313e+06     -9.850308e+02      6.763048e+01   
     0.001185          0.328043        3.317970e+06      3.318808e+06     -9.024131e+02      6.344354e+01   
     0.001185          0.387446        2.525737e+06      2.526465e+06     -7.873556e+02      5.928712e+01   
     0.001185          0.450533        2.090713e+06      2.091374e+06     -7.163581e+02      5.504742e+01   
     0.001185          0.516924        1.720002e+06      1.720601e+06     -6.497621e+02      5.074290e+01   
     0.001185          0.586221        1.485320e+06      1.485863e+06     -5.898876e+02      4.645860e+01   
     0.001185          0.658006        1.267570e+06      1.268086e+06     -5.578129e+02      4.240953e+01   
     0.001185          0.731848        1.024940e+06      1.025403e+06     -5.016047e+02      3.824911e+01   
     0.001185          0.807302        9.189777e+05      9.194182e+05     -4.749751e+02      3.441747e+01   
     0.001185          0.883916        8.223052e+05      8.227238e+05     -4.493051e+02      3.072611e+01   
     0.001185          0.961228        7.342590e+05      7.346564e+05     -4.245769e+02      2.717383e+01   
     0.001185          1.038772        6.297384e+05      6.301003e+05     -3.857799e+02      2.385918e+01   
     0.001185          1.116084        5.157839e+05      5.161189e+05     -3.558682e+02      2.085123e+01   
     0.001185          1.192698        4.563143e+05      4.566309e+05     -3.347318e+02      1.810315e+01   
     0.001185          1.268152        4.108618e+05      4.111606e+05     -3.144493e+02      1.564507e+01   
     0.001185          1.341994        4.026690e+05      4.029699e+05     -3.144493e+02      1.349852e+01   
     0.001185          1.413779        3.543867e+05      3.546700e+05     -2.950031e+02      1.164208e+01   
     0.001185          1.483076        3.110276e+05      3.112940e+05     -2.763756e+02      9.989653e+00   
     0.001185          1.549467        2.721817e+05      2.724317e+05     -2.585491e+02      8.525058e+00   
     0.001185          1.612554        2.374651e+05      2.376993e+05     -2.415062e+02      7.272212e+00   
     0.001185          1.671957        2.374641e+05      2.376993e+05     -2.415062e+02      6.243853e+00   
     0.001185          1.727318        2.065183e+05      2.067381e+05     -2.252291e+02      5.453137e+00   
     0.001185          1.778306        1.790081e+05      1.792131e+05     -2.097003e+02      4.704750e+00   
     0.001185          1.824612        1.790075e+05      1.792131e+05     -2.097003e+02      4.140868e+00   
     0.001185          1.865960        1.546209e+05      1.548121e+05     -1.949022e+02      3.686671e+00   
     0.001185          1.902099        1.546205e+05      1.548121e+05     -1.949022e+02      3.299894e+00   
     0.001185          1.932813        1.330671e+05      1.332449e+05     -1.808171e+02      3.020090e+00   
     0.001185          1.957917        1.330669e+05      1.332449e+05     -1.808171e+02      2.830856e+00   
     0.001185          1.977260        1.330667e+05      1.332449e+05     -1.808171e+02      2.624906e+00   
     0.001185          1.990726        1.140769e+05      1.142418e+05     -1.674275e+02      2.521374e+00   
     0.001185          1.998238        1.140769e+05      1.142418e+05     -1.674275e+02      2.470844e+00   
     0.006239          0.001762        1.017446e+08      1.017493e+08     -4.829474e+03      8.422923e+01   
     0.006239          0.009274        9.356684e+07      9.357092e+07     -4.160033e+03      8.296371e+01   
     0.006239          0.022740        5.632789e+07      5.633110e+07     -3.295696e+03      8.117084e+01   
     0.006239          0.042083        3.212380e+07      3.212633e+07     -2.602117e+03      7.906426e+01   
     0.006239          0.067187        2.003772e+07      2.003974e+07     -2.102951e+03      7.672193e+01   
