#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        5.859949e+08      5.860055e+08     -1.097735e+04      3.829324e+02   
     0.001185          0.009274        2.745817e+08      2.745892e+08     -7.900201e+03      3.772584e+02   
     0.001185          0.022740        1.564762e+08      1.564819e+08     -6.096600e+03      3.683067e+02   
     0.001185          0.042083        1.041889e+08      1.041936e+08     -5.007420e+03      3.578909e+02   
     0.001185          0.067187        7.529473e+07      7.529867e+07     -4.290393e+03      3.468415e+02   
     0.001185          0.097901        5.724549e+07      5.724891e+07     -3.747985e+03      3.350760e+02   
     0.001185          0.134040        4.569370e+07      4.569672e+07     -3.348550e+03      3.226153e+02   
     0.001185          0.175388        3.836641e+07      3.836917e+07     -3.068354e+03      3.093999e+02   
     0.001185          0.221694        3.204559e+07      3.204809e+07     -2.804241e+03      2.951527e+02   
     0.001185          0.272682        2.661745e+07      2.661973e+07     -2.555737e+03      2.797931e+02   
     0.001185          0.328043        2.344296e+07      2.344510e+07     -2.398503e+03      2.636003e+02   
     0.001185          0.387446        2.059044e+07      2.059244e+07     -2.247855e+03      2.469039e+02   
     0.001185          0.450533        1.803322e+07      1.803509e+07     -2.103650e+03      2.297660e+02   
     0.001185          0.516924        1.606839e+07      1.607014e+07     -1.965748e+03      2.121780e+02   
     0.001185          0.586221        1.469686e+07      1.469856e+07     -1.899117e+03      1.945162e+02   
     0.001185          0.658006        1.317868e+07      1.318027e+07     -1.770406e+03      1.766252e+02   
     0.001185          0.731848        1.189155e+07      1.189310e+07     -1.708291e+03      1.595877e+02   
     0.001185          0.807302        1.106216e+07      1.106366e+07     -1.647646e+03      1.430390e+02   
     0.001185          0.883916        1.028155e+07      1.028301e+07     -1.588453e+03      1.269198e+02   
     0.001185          0.961228        9.547385e+06      9.548804e+06     -1.530695e+03      1.117431e+02   
     0.001185          1.038772        8.266014e+06      8.267336e+06     -1.419415e+03      9.771433e+01   
     0.001185          1.116084        7.601654e+06      7.602935e+06     -1.365856e+03      8.478717e+01   
     0.001185          1.192698        7.031729e+06      7.032969e+06     -1.313662e+03      7.306272e+01   
     0.001185          1.268152        6.497864e+06      6.499064e+06     -1.262815e+03      6.255967e+01   
     0.001185          1.341994        6.249417e+06      6.250578e+06     -1.214532e+03      5.326827e+01   
     0.001185          1.413779        5.998203e+06      5.999371e+06     -1.213297e+03      4.533131e+01   
     0.001185          1.483076        5.530987e+06      5.532113e+06     -1.165091e+03      3.847466e+01   
     0.001185          1.549467        5.094498e+06      5.095584e+06     -1.118179e+03      3.256057e+01   
     0.001185          1.612554        4.687099e+06      4.688144e+06     -1.072543e+03      2.749722e+01   
     0.001185          1.671957        4.307219e+06      4.308224e+06     -1.028166e+03      2.331369e+01   
     0.001185          1.727318        3.953348e+06      3.954313e+06     -9.850308e+02      1.983607e+01   
     0.001185          1.778306        3.953346e+06      3.954313e+06     -9.850308e+02      1.724926e+01   
     0.001185          1.824612        3.624041e+06      3.624970e+06     -9.431189e+02      1.504340e+01   
     0.001185          1.865960        3.317919e+06      3.318808e+06     -9.024131e+02      1.321852e+01   
     0.001185          1.902099        3.317918e+06      3.318808e+06     -9.024131e+02      1.205770e+01   
     0.001185          1.932813        3.033654e+06      3.034506e+06     -8.628956e+02      1.087589e+01   
     0.001185          1.957917        3.033653e+06      3.034506e+06     -8.628956e+02      1.029904e+01   
     0.001185          1.977260        3.033653e+06      3.034506e+06     -8.628956e+02      9.715349e+00   
     0.001185          1.990726        2.769980e+06      2.770795e+06     -8.245490e+02      9.460908e+00   
     0.001185          1.998238        2.769980e+06      2.770795e+06     -8.245490e+02      9.409143e+00   
     0.006239          0.001762        2.293630e+08      2.293699e+08     -7.317838e+03      3.444372e+02   
     0.006239          0.009274        2.162719e+08      2.162782e+08     -6.579821e+03      3.414244e+02   
     0.006239          0.022740        1.512403e+08      1.512455e+08     -5.596392e+03      3.365829e+02   
     0.006239          0.042083        1.028781e+08      1.028826e+08     -4.767537e+03      3.302048e+02   
     0.006239          0.067187        7.505348e+07      7.505730e+07     -4.141357e+03      3.224142e+02   
     0.006239          0.097901        5.775465e+07      5.775801e+07     -3.669334e+03      3.133019e+02   
     0.006239          0.134040        4.594771e+07      4.595070e+07     -3.291451e+03      3.029259e+02   
     0.006239          0.175388        3.773189e+07      3.773458e+07     -2.990373e+03      2.913615e+02   
     0.006239          0.221694        3.160281e+07      3.160528e+07     -2.749030e+03      2.785383e+02   
     0.006239          0.272682        2.712623e+07      2.712851e+07     -2.546079e+03      2.643034e+02   
     0.006239          0.328043        2.344296e+07      2.344510e+07     -2.389439e+03      2.491395e+02   
     0.006239          0.387446        2.059044e+07      2.059244e+07     -2.239360e+03      2.332350e+02   
     0.006239          0.450533        1.803321e+07      1.803509e+07     -2.095700e+03      2.168163e+02   
     0.006239          0.516924        1.624354e+07      1.624530e+07     -1.958320e+03      2.000045e+02   
     0.006239          0.586221        1.469685e+07      1.469856e+07     -1.891940e+03      1.827304e+02   
     0.006239          0.658006        1.321688e+07      1.321848e+07     -1.763715e+03      1.655676e+02   
     0.006239          0.731848        1.189154e+07      1.189310e+07     -1.701835e+03      1.488794e+02   
     0.006239          0.807302        1.106216e+07      1.106366e+07     -1.641419e+03      1.326491e+02   
     0.006239          0.883916        1.028154e+07      1.028301e+07     -1.582450e+03      1.169780e+02   
     0.006239          0.961228        9.313080e+06      9.314465e+06     -1.487488e+03      1.022859e+02   
     0.006239          1.038772        8.475901e+06      8.477226e+06     -1.414051e+03      8.866165e+01   
     0.006239          1.116084        7.770109e+06      7.771394e+06     -1.360694e+03      7.607950e+01   
     0.006239          1.192698        7.173778e+06      7.175022e+06     -1.308698e+03      6.475906e+01   
     0.006239          1.268152        6.670040e+06      6.671244e+06     -1.258043e+03      5.463937e+01   
     0.006239          1.341994        6.243123e+06      6.244286e+06     -1.208725e+03      4.571643e+01   
     0.006239          1.413779        5.883767e+06      5.884914e+06     -1.185652e+03      3.801906e+01   
     0.006239          1.483076        5.530984e+06      5.532113e+06     -1.160688e+03      3.141080e+01   
     0.006239          1.549467        5.094496e+06      5.095584e+06     -1.113953e+03      2.584657e+01   
     0.006239          1.612554        4.687097e+06      4.688144e+06     -1.068490e+03      2.120075e+01   
     0.006239          1.671957        4.307217e+06      4.308224e+06     -1.024281e+03      1.738123e+01   
     0.006239          1.727318        4.053888e+06      4.054855e+06     -9.813084e+02      1.428710e+01   
     0.006239          1.778306        3.953344e+06      3.954313e+06     -9.813084e+02      1.186093e+01   
     0.006239          1.824612        3.624040e+06      3.624970e+06     -9.395549e+02      9.993528e+00   
     0.006239          1.865960        3.384127e+06      3.385018e+06     -8.990029e+02      8.509353e+00   
     0.006239          1.902099        3.317917e+06      3.318808e+06     -8.990029e+02      7.393779e+00   
     0.006239          1.932813        3.059378e+06      3.060231e+06     -8.596348e+02      6.516891e+00   
     0.006239          1.957917        3.033652e+06      3.034506e+06     -8.596348e+02      5.889551e+00   
     0.006239          1.977260        2.957906e+06      2.958739e+06     -8.381711e+02      5.411589e+00   
     0.006239          1.990726        2.816325e+06      2.817142e+06     -8.214331e+02      5.104690e+00   
     0.006239          1.998238        2.769979e+06      2.770795e+06     -8.214331e+02      4.945325e+00   
     0.015318          0.001762        1.281751e+08      1.281803e+08     -5.525537e+03      3.353674e+02   
     0.015318          0.009274        1.272371e+08      1.272420e+08     -5.295476e+03      3.330150e+02   
     0.015318          0.022740        1.205948e+08      1.205993e+08     -4.877289e+03      3.289694e+02   
     0.015318          0.042083        9.758644e+07      9.759050e+07     -4.382938e+03      3.233544e+02   
     0.015318          0.067187        7.348525e+07      7.348886e+07     -3.922770e+03      3.162498e+02   
     0.015318          0.097901        5.711644e+07      5.711966e+07     -3.527511e+03      3.077094e+02   
     0.015318          0.134040        4.580323e+07      4.580614e+07     -3.204866e+03      2.978172e+02   
     0.015318          0.175388        3.766985e+07      3.767249e+07     -2.926591e+03      2.866509e+02   
     0.015318          0.221694        3.163627e+07      3.163869e+07     -2.700863e+03      2.741628e+02   
     0.015318          0.272682        2.702585e+07      2.702810e+07     -2.507082e+03      2.602204e+02   
     0.015318          0.328043        2.342598e+07      2.342808e+07     -2.343066e+03      2.452856e+02   
     0.015318          0.387446        2.055418e+07      2.055614e+07     -2.199551e+03      2.295905e+02   
     0.015318          0.450533        1.825425e+07      1.825611e+07     -2.078955e+03      2.133730e+02   
     0.015318          0.516924        1.625903e+07      1.626079e+07     -1.955561e+03      1.967386e+02   
     0.015318          0.586221        1.459157e+07      1.459325e+07     -1.867457e+03      1.796103e+02   
     0.015318          0.658006        1.321635e+07      1.321795e+07     -1.761231e+03      1.626043e+02   
     0.015318          0.731848        1.204049e+07      1.204205e+07     -1.699438e+03      1.460226e+02   
     0.015318          0.807302        1.098078e+07      1.098228e+07     -1.627049e+03      1.299200e+02   
     0.015318          0.883916        1.006247e+07      1.006390e+07     -1.546550e+03      1.143597e+02   
     0.015318          0.961228        9.239001e+06      9.240375e+06     -1.473577e+03      9.978853e+01   
     0.015318          1.038772        8.502499e+06      8.503824e+06     -1.412059e+03      8.628689e+01   
     0.015318          1.116084        7.843550e+06      7.844835e+06     -1.358778e+03      7.380204e+01   
     0.015318          1.192698        7.252208e+06      7.253452e+06     -1.306854e+03      6.258057e+01   
     0.015318          1.268152        6.720452e+06      6.721656e+06     -1.256271e+03      5.256296e+01   
     0.015318          1.341994        6.240752e+06      6.241915e+06     -1.207009e+03      4.373997e+01   
     0.015318          1.413779        5.808189e+06      5.809321e+06     -1.168773e+03      3.613283e+01   
     0.015318          1.483076        5.415305e+06      5.416410e+06     -1.134812e+03      2.961302e+01   
     0.015318          1.549467        5.056646e+06      5.057726e+06     -1.104120e+03      2.413277e+01   
     0.015318          1.612554        4.687097e+06      4.688144e+06     -1.066985e+03      1.958299e+01   
     0.015318          1.671957        4.356015e+06      4.357022e+06     -1.022838e+03      1.588078e+01   
     0.015318          1.727318        4.095650e+06      4.096617e+06     -9.799261e+02      1.288147e+01   
     0.015318          1.778306        3.859664e+06      3.860610e+06     -9.567054e+02      1.049637e+01   
     0.015318          1.824612        3.624040e+06      3.624970e+06     -9.382314e+02      8.597008e+00   
     0.015318          1.865960        3.432589e+06      3.433479e+06     -8.977365e+02      7.113272e+00   
     0.015318          1.902099        3.269482e+06      3.270361e+06     -8.846313e+02      5.993437e+00   
     0.015318          1.932813        3.125578e+06      3.126431e+06     -8.584238e+02      5.138162e+00   
     0.015318          1.957917        3.007794e+06      3.008641e+06     -8.511069e+02      4.525742e+00   
     0.015318          1.977260        2.922026e+06      2.922848e+06     -8.268373e+02      4.086133e+00   
     0.015318          1.990726        2.864403e+06      2.865219e+06     -8.202759e+02      3.810126e+00   
     0.015318          1.998238        2.832997e+06      2.833814e+06     -8.202759e+02      3.664544e+00   
     0.028399          0.001762        8.452913e+07      8.453329e+07     -4.490959e+03      3.314026e+02   
     0.028399          0.009274        8.444801e+07      8.445208e+07     -4.399636e+03      3.291923e+02   
     0.028399          0.022740        8.305814e+07      8.306201e+07     -4.199567e+03      3.253620e+02   
     0.028399          0.042083        7.922240e+07      7.922601e+07     -3.930597e+03      3.199841e+02   
     0.028399          0.067187        6.897927e+07      6.898258e+07     -3.630134e+03      3.131027e+02   
     0.028399          0.097901        5.543593e+07      5.543896e+07     -3.338212e+03      3.047750e+02   
     0.028399          0.134040        4.504247e+07      4.504525e+07     -3.071710e+03      2.950664e+02   
     0.028399          0.175388        3.729580e+07      3.729835e+07     -2.836733e+03      2.840634e+02   
     0.028399          0.221694        3.141825e+07      3.142061e+07     -2.629087e+03      2.717238e+02   
     0.028399          0.272682        2.692161e+07      2.692380e+07     -2.454849e+03      2.579119e+02   
     0.028399          0.328043        2.335262e+07      2.335468e+07     -2.300024e+03      2.431008e+02   
     0.028399          0.387446        2.053253e+07      2.053447e+07     -2.167085e+03      2.275256e+02   
     0.028399          0.450533        1.818612e+07      1.818795e+07     -2.047141e+03      2.114077e+02   
     0.028399          0.516924        1.623582e+07      1.623756e+07     -1.934742e+03      1.948780e+02   
     0.028399          0.586221        1.460296e+07      1.460463e+07     -1.842644e+03      1.778337e+02   
     0.028399          0.658006        1.322837e+07      1.322996e+07     -1.755417e+03      1.609254e+02   
     0.028399          0.731848        1.200785e+07      1.200938e+07     -1.676020e+03      1.444267e+02   
     0.028399          0.807302        1.095352e+07      1.095499e+07     -1.601574e+03      1.284027e+02   
     0.028399          0.883916        1.001168e+07      1.001309e+07     -1.531954e+03      1.129295e+02   
     0.028399          0.961228        9.211822e+06      9.213190e+06     -1.467010e+03      9.844456e+01   
     0.028399          1.038772        8.507796e+06      8.509121e+06     -1.409914e+03      8.501454e+01   
     0.028399          1.116084        7.864072e+06      7.865356e+06     -1.356714e+03      7.260291e+01   
     0.028399          1.192698        7.274643e+06      7.275887e+06     -1.304869e+03      6.145482e+01   
     0.028399          1.268152        6.734304e+06      6.735507e+06     -1.254362e+03      5.150868e+01   
     0.028399          1.341994        6.238141e+06      6.239304e+06     -1.205176e+03      4.275775e+01   
     0.028399          1.413779        5.782545e+06      5.783672e+06     -1.161846e+03      3.520551e+01   
     0.028399          1.483076        5.362986e+06      5.364079e+06     -1.122141e+03      2.874658e+01   
     0.028399          1.549467        4.994322e+06      4.995383e+06     -1.084775e+03      2.333028e+01   
     0.028399          1.612554        4.678972e+06      4.680003e+06     -1.049502e+03      1.882371e+01   
     0.028399          1.671957        4.394232e+06      4.395233e+06     -1.016121e+03      1.513155e+01   
     0.028399          1.727318        4.107846e+06      4.108813e+06     -9.784377e+02      1.214997e+01   
     0.028399          1.778306        3.825169e+06      3.826106e+06     -9.462844e+02      9.786044e+00   
     0.028399          1.824612        3.625223e+06      3.626135e+06     -9.204750e+02      7.937656e+00   
     0.028399          1.865960        3.446835e+06      3.447725e+06     -8.963017e+02      6.505307e+00   
     0.028399          1.902099        3.257021e+06      3.257886e+06     -8.708190e+02      5.415697e+00   
     0.028399          1.932813        3.128321e+06      3.129169e+06     -8.523980e+02      4.598726e+00   
     0.028399          1.957917        3.005397e+06      3.006228e+06     -8.352429e+02      4.008587e+00   
     0.028399          1.977260        2.914963e+06      2.915782e+06     -8.221759e+02      3.591641e+00   
     0.028399          1.990726        2.859245e+06      2.860055e+06     -8.134595e+02      3.323241e+00   
     0.028399          1.998238        2.824633e+06      2.825438e+06     -8.084649e+02      3.180322e+00   
     0.045447          0.001762        6.048515e+07      6.048864e+07     -3.817949e+03      3.282509e+02   
     0.045447          0.009274        6.075180e+07      6.075524e+07     -3.761595e+03      3.260873e+02   
     0.045447          0.022740        6.047454e+07      6.047788e+07     -3.655326e+03      3.223368e+02   
     0.045447          0.042083        5.933325e+07      5.933643e+07     -3.503196e+03      3.170596e+02   
     0.045447          0.067187        5.690465e+07      5.690765e+07     -3.313786e+03      3.102900e+02   
     0.045447          0.097901        5.170994e+07      5.171275e+07     -3.110408e+03      3.020735e+02   
     0.045447          0.134040        4.346932e+07      4.347193e+07     -2.908062e+03      2.924760e+02   
     0.045447          0.175388        3.653802e+07      3.654045e+07     -2.717493e+03      2.815823e+02   
     0.045447          0.221694        3.103327e+07      3.103555e+07     -2.543078e+03      2.693469e+02   
     0.045447          0.272682        2.668020e+07      2.668232e+07     -2.383498e+03      2.556382e+02   
     0.045447          0.328043        2.321011e+07      2.321211e+07     -2.241545e+03      2.409305e+02   
     0.045447          0.387446        2.043454e+07      2.043643e+07     -2.120128e+03      2.254538e+02   
     0.045447          0.450533        1.810013e+07      1.810193e+07     -2.005904e+03      2.094358e+02   
     0.045447          0.516924        1.621898e+07      1.622070e+07     -1.907936e+03      1.930078e+02   
     0.045447          0.586221        1.456130e+07      1.456294e+07     -1.812215e+03      1.760663e+02   
     0.045447          0.658006        1.316688e+07      1.316845e+07     -1.726854e+03      1.592615e+02   
     0.045447          0.731848        1.199938e+07      1.200089e+07     -1.655127e+03      1.428585e+02   
     0.045447          0.807302        1.095963e+07      1.096109e+07     -1.586157e+03      1.269355e+02   
     0.045447          0.883916        1.004518e+07      1.004659e+07     -1.516010e+03      1.115608e+02   
