#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002182        1.018614e+07      1.018627e+07     -2.604558e+02      1.310836e+02   
     0.001185          0.011482        1.018614e+07      1.018627e+07     -2.604558e+02      1.284998e+02   
     0.001185          0.028155        1.018612e+07      1.018627e+07     -2.604558e+02      1.098045e+02   
     0.001185          0.052104        5.773813e+06      5.773904e+06     -1.904590e+02      9.907412e+01   
     0.001185          0.083185        3.786570e+06      3.786659e+06     -1.588015e+02      7.033279e+01   
     0.001185          0.121213        2.193732e+06      2.193794e+06     -1.208716e+02      5.868085e+01   
     0.001185          0.165957        1.636967e+06      1.637022e+06     -1.044128e+02      4.949244e+01   
     0.001185          0.217150        1.082052e+06      1.082097e+06     -8.489059e+01      4.017289e+01   
     0.001185          0.274482        7.015932e+05      7.016266e+05     -6.796729e+01      3.451047e+01   
     0.001185          0.337610        5.481714e+05      5.482017e+05     -6.042222e+01      3.007904e+01   
     0.001185          0.406154        4.290742e+05      4.291018e+05     -5.345726e+01      2.583938e+01   
     0.001185          0.479701        3.323684e+05      3.323928e+05     -4.704920e+01      2.266770e+01   
     0.001185          0.557810        2.380297e+05      2.380488e+05     -3.850233e+01      1.941118e+01   
     0.001185          0.640010        1.925480e+05      1.925661e+05     -3.581100e+01      1.771254e+01   
     0.001185          0.725807        1.436766e+05      1.436916e+05     -3.093444e+01      1.587461e+01   
     0.001185          0.814685        1.056098e+05      1.056230e+05     -2.652196e+01      1.337414e+01   
     0.001185          0.906109        8.999103e+04      9.000340e+04     -2.448251e+01      1.211136e+01   
     0.001185          0.999530        7.634730e+04      7.635802e+04     -2.255038e+01      1.183556e+01   
     0.001185          1.094386        5.417776e+04      5.418672e+04     -1.899647e+01      1.003848e+01   
     0.001185          1.190107        4.529077e+04      4.529929e+04     -1.736890e+01      8.843498e+00   
     0.001185          1.286116        3.765314e+04      3.766127e+04     -1.583704e+01      7.707315e+00   
     0.001185          1.381836        3.112074e+04      3.112801e+04     -1.439800e+01      7.130749e+00   
     0.001185          1.476692        2.556123e+04      2.556780e+04     -1.304888e+01      6.470489e+00   
     0.001185          1.570114        2.085520e+04      2.086109e+04     -1.178677e+01      5.902064e+00   
     0.001185          1.661538        1.689446e+04      1.689968e+04     -1.060879e+01      5.395896e+00   
     0.001185          1.750416        1.358120e+04      1.358601e+04     -9.512013e+00      4.705329e+00   
     0.001185          1.836213        1.082818e+04      1.083243e+04     -8.493555e+00      4.237459e+00   
     0.001185          1.918413        7.516242e+03      7.519352e+03     -6.679982e+00      3.570244e+00   
     0.001185          1.996521        5.186968e+03      5.189956e+03     -5.879066e+00      2.891674e+00   
     0.001185          2.070068        3.971954e+03      3.974610e+03     -5.144862e+00      2.489007e+00   
     0.001185          2.138612        2.999878e+03      3.001904e+03     -4.471208e+00      2.445149e+00   
     0.001185          2.201740        2.445751e+03      2.447721e+03     -3.861728e+00      1.891206e+00   
     0.001185          2.259073        1.788636e+03      1.790359e+03     -3.310260e+00      1.586381e+00   
     0.001185          2.310265        1.140577e+03      1.141922e+03     -2.757666e+00      1.413204e+00   
     0.001185          2.355010        7.720625e+02      7.732851e+02     -2.269323e+00      1.046743e+00   
     0.001185          2.393037        4.639385e+02      4.647240e+02     -1.731632e+00      9.461540e-01   
     0.001185          2.424119        2.865001e+02      2.872889e+02     -1.383203e+00      5.944136e-01   
     0.001185          2.448068        1.417530e+02      1.423044e+02     -9.734993e-01      4.221075e-01   
     0.001185          2.464741        3.483779e+01      3.505557e+01     -3.516925e-01      1.339141e-01   
     0.001185          2.474041        1.680374e+01      1.709997e+01     -3.238063e-01      2.757217e-02   
     0.006239          0.002182        1.018614e+07      1.018627e+07     -1.643365e+02      3.540651e+01   
     0.006239          0.011482        1.018614e+07      1.018627e+07     -1.643365e+02      3.363792e+01   
     0.006239          0.028155        8.705895e+06      8.706005e+06     -1.405610e+02      3.055031e+01   
     0.006239          0.052104        5.744329e+06      5.744423e+06     -1.189182e+02      2.406334e+01   
     0.006239          0.083185        3.568557e+06      3.568627e+06     -9.364485e+01      2.352285e+01   
     0.006239          0.121213        2.254475e+06      2.254533e+06     -7.587533e+01      1.805477e+01   
     0.006239          0.165957        1.567897e+06      1.567944e+06     -6.310007e+01      1.555519e+01   
     0.006239          0.217150        1.069438e+06      1.069476e+06     -5.140298e+01      1.329746e+01   
     0.006239          0.274482        7.272965e+05      7.273282e+05     -4.288445e+01      1.115200e+01   
     0.006239          0.337610        5.579169e+05      5.579453e+05     -3.809456e+01      9.682501e+00   
     0.006239          0.406154        4.081788e+05      4.082025e+05     -3.208646e+01      8.316094e+00   
     0.006239          0.479701        3.189996e+05      3.190206e+05     -2.849176e+01      7.475967e+00   
     0.006239          0.557810        2.374952e+05      2.375130e+05     -2.424804e+01      6.448786e+00   
     0.006239          0.640010        1.893364e+05      1.893529e+05     -2.221817e+01      5.704816e+00   
     0.006239          0.725807        1.436771e+05      1.436916e+05     -1.951830e+01      5.044344e+00   
     0.006239          0.814685        1.115092e+05      1.115215e+05     -1.673422e+01      4.492433e+00   
     0.006239          0.906109        8.999217e+04      9.000340e+04     -1.544742e+01      4.212033e+00   
     0.006239          0.999530        7.634734e+04      7.635802e+04     -1.422832e+01      3.553317e+00   
     0.006239          1.094386        5.506153e+04      5.507045e+04     -1.198596e+01      3.067932e+00   
     0.006239          1.190107        4.529125e+04      4.529929e+04     -1.095903e+01      2.915690e+00   
     0.006239          1.286116        3.765405e+04      3.766127e+04     -9.992493e+00      2.771450e+00   
     0.006239          1.381836        3.112138e+04      3.112801e+04     -9.084521e+00      2.451531e+00   
     0.006239          1.476692        2.556178e+04      2.556780e+04     -8.233284e+00      2.212053e+00   
     0.006239          1.570114        2.085557e+04      2.086109e+04     -7.436950e+00      1.914659e+00   
     0.006239          1.661538        1.689463e+04      1.689968e+04     -6.693689e+00      1.644711e+00   
     0.006239          1.750416        1.319474e+04      1.319911e+04     -5.830759e+00      1.460442e+00   
     0.006239          1.836213        1.043885e+04      1.044274e+04     -5.166280e+00      1.268531e+00   
     0.006239          1.918413        7.557353e+03      7.560509e+03     -4.214782e+00      1.059336e+00   
     0.006239          1.996521        5.669879e+03      5.672574e+03     -3.709439e+00      1.014684e+00   
     0.006239          2.070068        4.328768e+03      4.331118e+03     -3.246188e+00      8.964595e-01   
     0.006239          2.138612        2.999764e+03      3.001904e+03     -2.821141e+00      6.808849e-01   
     0.006239          2.201740        2.562435e+03      2.564210e+03     -2.436585e+00      6.618281e-01   
     0.006239          2.259073        1.885318e+03      1.886835e+03     -2.080557e+00      5.635797e-01   
     0.006239          2.310265        1.161907e+03      1.163212e+03     -1.739803e+00      4.342704e-01   
     0.006239          2.355010        8.319672e+02      8.330168e+02     -1.426525e+00      3.769344e-01   
     0.006239          2.393037        5.200352e+02      5.209011e+02     -1.092586e+00      2.266708e-01   
     0.006239          2.424119        3.167997e+02      3.174659e+02     -8.727418e-01      2.065749e-01   
     0.006239          2.448068        1.677379e+02      1.682304e+02     -5.716477e-01      7.914577e-02   
     0.006239          2.464741        3.936213e+01      3.954885e+01     -2.040965e-01      1.737164e-02   
     0.006239          2.474041        3.167887e+00      3.202105e+00     -3.825827e-02      4.040238e-03   
     0.015318          0.002182        9.273296e+06      9.273410e+06     -1.270281e+02      1.286763e+01   
     0.015318          0.011482        8.365838e+06      8.365942e+06     -1.162827e+02      1.251680e+01   
     0.015318          0.028155        7.172288e+06      7.172382e+06     -1.055020e+02      1.143488e+01   
