#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002146        1.016616e+07      1.018627e+07     -2.033952e+04      2.250445e+02   
     0.001185          0.011291        9.835636e+06      9.855093e+06     -1.967823e+04      2.209812e+02   
     0.001185          0.027685        7.851282e+06      7.866790e+06     -1.570807e+04      2.008495e+02   
     0.001185          0.051235        4.334588e+06      4.345767e+06     -1.135369e+04      1.748588e+02   
     0.001185          0.081798        2.607916e+06      2.616327e+06     -8.568345e+03      1.577352e+02   
     0.001185          0.119192        1.704581e+06      1.711801e+06     -7.365264e+03      1.457466e+02   
     0.001185          0.163191        1.187557e+06      1.193369e+06     -5.944026e+03      1.314631e+02   
     0.001185          0.213530        8.683569e+05      8.735429e+05     -5.307702e+03      1.217052e+02   
     0.001185          0.269907        6.101941e+05      6.145245e+05     -4.440988e+03      1.106218e+02   
     0.001185          0.331982        4.426033e+05      4.463440e+05     -3.841781e+03      1.010502e+02   
     0.001185          0.399383        3.502163e+05      3.535637e+05     -3.439700e+03      9.223518e+01   
     0.001185          0.471705        2.685857e+05      2.715039e+05     -3.001119e+03      8.295961e+01   
     0.001185          0.548511        2.034390e+05      2.059663e+05     -2.601499e+03      7.416600e+01   
     0.001185          0.629341        1.639938e+05      1.663434e+05     -2.415732e+03      6.608434e+01   
     0.001185          0.713707        1.211826e+05      1.231955e+05     -2.071153e+03      5.818315e+01   
     0.001185          0.801104        1.035424e+05      1.054036e+05     -1.911888e+03      5.066860e+01   
     0.001185          0.891004        8.118345e+04      8.290043e+04     -1.761004e+03      4.402202e+01   
     0.001185          0.982868        6.287806e+04      6.432410e+04     -1.483472e+03      3.742767e+01   
     0.001185          1.076143        5.272160e+04      5.404616e+04     -1.356372e+03      3.181748e+01   
     0.001185          1.170267        4.009406e+04      4.130410e+04     -1.236746e+03      2.669957e+01   
     0.001185          1.264676        3.313715e+04      3.423917e+04     -1.124369e+03      2.235233e+01   
     0.001185          1.358801        2.721070e+04      2.821126e+04     -1.019013e+03      1.845377e+01   
     0.001185          1.452075        2.218952e+04      2.309485e+04     -9.204527e+02      1.512037e+01   
     0.001185          1.543939        1.784210e+04      1.865294e+04     -8.230229e+02      1.218295e+01   
     0.001185          1.633840        1.287651e+04      1.353014e+04     -6.632787e+02      9.648602e+00   
     0.001185          1.721236        1.020258e+04      1.078440e+04     -5.896345e+02      7.816533e+00   
     0.001185          1.805603        8.004054e+03      8.519455e+03     -5.216531e+02      6.252358e+00   
     0.001185          1.886432        6.211433e+03      6.665484e+03     -4.591080e+02      5.057031e+00   
     0.001185          1.963239        4.762816e+03      5.160551e+03     -4.017726e+02      4.037869e+00   
     0.001185          2.035560        3.603598e+03      3.950000e+03     -3.494204e+02      3.018555e+00   
     0.001185          2.102961        2.686427e+03      2.985859e+03     -3.018249e+02      2.392844e+00   
     0.001185          2.165037        1.877804e+03      2.122670e+03     -2.468978e+02      2.031965e+00   
     0.001185          2.221414        1.190598e+03      1.374144e+03     -1.850589e+02      1.513387e+00   
     0.001185          2.271753        8.247092e+02      9.763843e+02     -1.528378e+02      1.162649e+00   
     0.001185          2.315751        5.283964e+02      6.501554e+02     -1.225987e+02      8.396970e-01   
     0.001185          2.353145        2.263625e+02      2.928825e+02     -6.709883e+01      5.788410e-01   
     0.001185          2.383708        1.275112e+02      1.665590e+02     -3.923006e+01      1.822570e-01   
     0.001185          2.407258        1.410228e-02      0.000000e+00      0.000000e+00      1.410228e-02   
     0.001185          2.423653        1.194554e-03      0.000000e+00      0.000000e+00      1.194554e-03   
     0.001185          2.432798        6.414236e-04      0.000000e+00      0.000000e+00      6.414236e-04   
     0.006239          0.002146        9.702814e+06      9.722002e+06     -1.931483e+04      1.270756e+02   
     0.006239          0.011291        9.097659e+06      9.115643e+06     -1.811016e+04      1.268484e+02   
     0.006239          0.027685        7.045926e+06      7.060927e+06     -1.512476e+04      1.231022e+02   
     0.006239          0.051235        4.314090e+06      4.325382e+06     -1.141016e+04      1.175463e+02   
     0.006239          0.081798        2.568389e+06      2.576870e+06     -8.594497e+03      1.135085e+02   
     0.006239          0.119192        1.734763e+06      1.741937e+06     -7.282612e+03      1.083133e+02   
     0.006239          0.163191        1.170267e+06      1.176080e+06     -5.915061e+03      1.016739e+02   
     0.006239          0.213530        8.488248e+05      8.538852e+05     -5.156028e+03      9.559671e+01   
     0.006239          0.269907        5.872490e+05      5.915126e+05     -4.352327e+03      8.878278e+01   
     0.006239          0.331982        4.478888e+05      4.515906e+05     -3.783838e+03      8.204946e+01   
     0.006239          0.399383        3.431726e+05      3.464768e+05     -3.379462e+03      7.520221e+01   
     0.006239          0.471705        2.685859e+05      2.715039e+05     -2.986022e+03      6.808841e+01   
     0.006239          0.548511        2.016929e+05      2.042201e+05     -2.588411e+03      6.117523e+01   
     0.006239          0.629341        1.620948e+05      1.644162e+05     -2.375732e+03      5.426563e+01   
     0.006239          0.713707        1.211825e+05      1.231955e+05     -2.060734e+03      4.774162e+01   
     0.006239          0.801104        1.026785e+05      1.045395e+05     -1.902270e+03      4.131232e+01   
     0.006239          0.891004        8.083465e+04      8.254384e+04     -1.744608e+03      3.542650e+01   
     0.006239          0.982868        6.287808e+04      6.432410e+04     -1.476010e+03      2.998897e+01   
     0.006239          1.076143        5.191122e+04      5.323575e+04     -1.349548e+03      2.502478e+01   
     0.006239          1.170267        4.151594e+04      4.272591e+04     -1.230524e+03      2.056025e+01   
     0.006239          1.264676        3.313716e+04      3.423917e+04     -1.118712e+03      1.670653e+01   
     0.006239          1.358801        2.721072e+04      2.821126e+04     -1.013887e+03      1.335152e+01   
     0.006239          1.452075        2.172086e+04      2.260680e+04     -8.964688e+02      1.052907e+01   
     0.006239          1.543939        1.718232e+04      1.796275e+04     -7.885823e+02      8.155646e+00   
     0.006239          1.633840        1.336541e+04      1.404422e+04     -6.850169e+02      6.208142e+00   
     0.006239          1.721236        1.038928e+04      1.098196e+04     -5.974158e+02      4.732179e+00   
     0.006239          1.805603        8.003970e+03      8.519455e+03     -5.190289e+02      3.544088e+00   
     0.006239          1.886432        6.211336e+03      6.665484e+03     -4.567984e+02      2.650373e+00   
     0.006239          1.963239        4.762755e+03      5.160551e+03     -3.997514e+02      1.955877e+00   
     0.006239          2.035560        3.603696e+03      3.950000e+03     -3.476626e+02      1.359123e+00   
     0.006239          2.102961        2.686533e+03      2.985859e+03     -3.003066e+02      9.803038e-01   
     0.006239          2.165037        1.829943e+03      2.068501e+03     -2.393363e+02      7.784021e-01   
     0.006239          2.221414        1.261934e+03      1.456558e+03     -1.951710e+02      5.463239e-01   
     0.006239          2.271753        8.452043e+02      1.000674e+03     -1.558655e+02      3.958483e-01   
