#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002362        1.588842e+08      1.588848e+08     -9.147859e+02      2.731356e+02   
     0.001185          0.012430        5.553415e+07      5.553450e+07     -5.867165e+02      2.334890e+02   
     0.001185          0.030479        2.722587e+07      2.722610e+07     -4.193361e+02      1.868724e+02   
     0.001185          0.056405        1.602836e+07      1.602853e+07     -3.238471e+02      1.517812e+02   
     0.001185          0.090052        1.030878e+07      1.030892e+07     -2.616897e+02      1.263981e+02   
     0.001185          0.131218        7.186196e+06      7.186305e+06     -2.164192e+02      1.073102e+02   
     0.001185          0.179656        5.270190e+06      5.270282e+06     -1.842143e+02      9.245228e+01   
     0.001185          0.235074        3.954232e+06      3.954313e+06     -1.622789e+02      8.118713e+01   
     0.001185          0.297140        3.034436e+06      3.034506e+06     -1.421577e+02      7.237855e+01   
     0.001185          0.365479        2.526399e+06      2.526465e+06     -1.297129e+02      6.404870e+01   
     0.001185          0.439680        2.091314e+06      2.091374e+06     -1.180164e+02      5.757248e+01   
     0.001185          0.519299        1.720546e+06      1.720601e+06     -1.070450e+02      5.192028e+01   
     0.001185          0.603855        1.406255e+06      1.406303e+06     -9.677562e+01      4.907480e+01   
     0.001185          0.692840        1.141336e+06      1.141379e+06     -8.718493e+01      4.440122e+01   
     0.001185          0.785719        9.734775e+05      9.735159e+05     -7.845529e+01      4.005633e+01   
     0.001185          0.881933        8.226866e+05      8.227238e+05     -7.402075e+01      3.688295e+01   
     0.001185          0.980904        7.346220e+05      7.346564e+05     -6.994692e+01      3.561885e+01   
     0.001185          1.082037        5.818992e+05      5.819294e+05     -6.225319e+01      3.202195e+01   
     0.001185          1.184723        5.160891e+05      5.161189e+05     -5.862750e+01      2.884053e+01   
     0.001185          1.288345        4.566037e+05      4.566309e+05     -5.514538e+01      2.795600e+01   
     0.001185          1.392279        3.785247e+05      3.785480e+05     -4.866437e+01      2.534381e+01   
     0.001185          1.495901        3.112720e+05      3.112940e+05     -4.553149e+01      2.354842e+01   
     0.001185          1.598587        2.724102e+05      2.724317e+05     -4.259467e+01      2.108815e+01   
     0.001185          1.699720        2.376800e+05      2.376993e+05     -3.978693e+01      2.041412e+01   
     0.001185          1.798691        1.910827e+05      1.910991e+05     -3.454708e+01      1.818332e+01   
     0.001185          1.894905        1.547961e+05      1.548121e+05     -3.210916e+01      1.613160e+01   
     0.001185          1.987784        1.332306e+05      1.332449e+05     -2.978872e+01      1.548468e+01   
     0.001185          2.076770        9.778047e+04      9.779325e+04     -2.548864e+01      1.270508e+01   
     0.001185          2.161326        8.293517e+04      8.294714e+04     -2.350321e+01      1.154104e+01   
     0.001185          2.240944        6.075898e+04      6.076868e+04     -1.984706e+01      1.015198e+01   
     0.001185          2.315146        4.956821e+04      4.957726e+04     -1.817054e+01      9.120343e+00   
     0.001185          2.383485        3.425741e+04      3.426507e+04     -1.510610e+01      7.447405e+00   
     0.001185          2.445550        2.310841e+04      2.311478e+04     -1.240713e+01      6.034945e+00   
     0.001185          2.500968        1.363152e+04      1.363606e+04     -9.035606e+00      4.491891e+00   
     0.001185          2.549406        5.901466e+03      5.905016e+03     -6.271003e+00      2.721139e+00   
     0.001185          2.590572        1.036444e+03      1.038044e+03     -2.588747e+00      9.892370e-01   
     0.001185          2.624220        8.506071e+01      8.552506e+01     -7.338408e-01      2.694856e-01   
     0.001185          2.650145        8.278680e+00      8.406626e+00     -2.030390e-01      7.509284e-02   
     0.001185          2.668195        4.353056e-01      4.693150e-01     -4.350835e-02      9.498908e-03   
     0.001185          2.678262        8.042150e-04      3.625368e-03     -3.061693e-03      2.405400e-04   
     0.006239          0.002362        5.538032e+07      5.538063e+07     -3.697703e+02      6.678927e+01   
     0.006239          0.012430        4.817675e+07      4.817700e+07     -3.112566e+02      6.090187e+01   
     0.006239          0.030479        2.656840e+07      2.656860e+07     -2.447392e+02      5.381337e+01   
     0.006239          0.056405        1.588005e+07      1.588020e+07     -1.956773e+02      4.614106e+01   
     0.006239          0.090052        1.041416e+07      1.041429e+07     -1.611314e+02      3.944952e+01   
     0.006239          0.131218        7.238136e+06      7.238237e+06     -1.352845e+02      3.403461e+01   
     0.006239          0.179656        5.294699e+06      5.294786e+06     -1.162314e+02      2.972668e+01   
     0.006239          0.235074        4.033874e+06      4.033950e+06     -1.023910e+02      2.634402e+01   
     0.006239          0.297140        3.116721e+06      3.116787e+06     -8.969544e+01      2.322782e+01   
     0.006239          0.365479        2.493915e+06      2.493975e+06     -8.079077e+01      2.121951e+01   
     0.006239          0.439680        2.011514e+06      2.011567e+06     -7.162176e+01      1.895104e+01   
     0.006239          0.519299        1.655053e+06      1.655101e+06     -6.496969e+01      1.732346e+01   
     0.006239          0.603855        1.404523e+06      1.404568e+06     -6.098593e+01      1.559249e+01   
     0.006239          0.692840        1.141338e+06      1.141379e+06     -5.500996e+01      1.451446e+01   
     0.006239          0.785719        9.709970e+05      9.710333e+05     -4.937569e+01      1.308970e+01   
     0.006239          0.881933        8.226897e+05      8.227238e+05     -4.670392e+01      1.261973e+01   
     0.006239          0.980904        7.275571e+05      7.275897e+05     -4.370899e+01      1.105314e+01   
     0.006239          1.082037        5.819005e+05      5.819294e+05     -3.927910e+01      1.032643e+01   
     0.006239          1.184723        5.160921e+05      5.161189e+05     -3.699144e+01      1.013226e+01   
     0.006239          1.288345        4.566052e+05      4.566309e+05     -3.479437e+01      9.041963e+00   
     0.006239          1.392279        3.780146e+05      3.780372e+05     -3.066469e+01      7.992326e+00   
     0.006239          1.495901        3.112728e+05      3.112940e+05     -2.872842e+01      7.559188e+00   
     0.006239          1.598587        2.724122e+05      2.724317e+05     -2.687541e+01      7.380547e+00   
     0.006239          1.699720        2.376807e+05      2.376993e+05     -2.510385e+01      6.491396e+00   
     0.006239          1.798691        1.921607e+05      1.921768e+05     -2.179773e+01      5.671884e+00   
     0.006239          1.894905        1.547974e+05      1.548121e+05     -2.025951e+01      5.502115e+00   
     0.006239          1.987784        1.332309e+05      1.332449e+05     -1.879540e+01      4.766890e+00   
     0.006239          2.076770        1.040567e+05      1.040685e+05     -1.608224e+01      4.363303e+00   
     0.006239          2.161326        8.293628e+04      8.294714e+04     -1.482952e+01      3.970711e+00   
     0.006239          2.240944        6.372135e+04      6.373061e+04     -1.252264e+01      3.257958e+00   
     0.006239          2.315146        4.956861e+04      4.957726e+04     -1.146483e+01      2.813557e+00   
     0.006239          2.383485        3.425795e+04      3.426507e+04     -9.531301e+00      2.407429e+00   
     0.006239          2.445550        2.301602e+04      2.302192e+04     -7.796920e+00      1.896320e+00   
     0.006239          2.500968        1.357600e+04      1.358035e+04     -5.677788e+00      1.324274e+00   
     0.006239          2.549406        6.013916e+03      6.016833e+03     -3.712070e+00      7.947462e-01   
     0.006239          2.590572        1.018082e+03      1.019197e+03     -1.354318e+00      2.396194e-01   
     0.006239          2.624220        8.989387e+01      9.021618e+01     -3.888619e-01      6.655088e-02   
     0.006239          2.650145        8.018539e+00      8.110389e+00     -1.037389e-01      1.188897e-02   
     0.006239          2.668195        2.850163e-01      2.977097e-01     -1.414808e-02      1.454641e-03   
     0.006239          2.678262        3.415117e-04      6.579547e-04     -3.565706e-04      4.012754e-05   
     0.015318          0.002362        2.711211e+07      2.711231e+07     -2.237112e+02      2.408411e+01   
     0.015318          0.012430        2.647169e+07      2.647187e+07     -2.071385e+02      2.230620e+01   
     0.015318          0.030479        2.318618e+07      2.318634e+07     -1.804453e+02      1.990611e+01   
     0.015318          0.056405        1.527062e+07      1.527076e+07     -1.526239e+02      1.753194e+01   
     0.015318          0.090052        1.022470e+07      1.022481e+07     -1.291747e+02      1.536821e+01   
     0.015318          0.131218        7.183474e+06      7.183571e+06     -1.106049e+02      1.349528e+01   
