#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.558119e+08      8.559857e+08     -1.775112e+05      3.711694e+03   
     0.001185          0.009274        5.478719e+08      5.480128e+08     -1.444634e+05      3.582293e+03   
     0.001185          0.022740        3.504639e+08      3.505761e+08     -1.155407e+05      3.287332e+03   
     0.001185          0.042083        1.404253e+08      1.404841e+08     -6.170324e+04      2.910703e+03   
     0.001185          0.067187        9.746961e+07      9.752273e+07     -5.595197e+04      2.827821e+03   
     0.001185          0.097901        7.729985e+07      7.734667e+07     -4.956441e+04      2.741943e+03   
     0.001185          0.134040        6.089305e+07      6.093354e+07     -4.313553e+04      2.652082e+03   
     0.001185          0.175388        4.881115e+07      4.884691e+07     -3.831987e+04      2.568435e+03   
     0.001185          0.221694        3.883121e+07      3.886275e+07     -3.402089e+04      2.482584e+03   
     0.001185          0.272682        3.280284e+07      3.283231e+07     -3.185810e+04      2.390735e+03   
     0.001185          0.328043        2.689802e+07      2.692514e+07     -2.940553e+04      2.290619e+03   
     0.001185          0.387446        2.334696e+07      2.337276e+07     -2.798138e+04      2.186496e+03   
     0.001185          0.450533        2.050201e+07      2.052610e+07     -2.616692e+04      2.075099e+03   
     0.001185          0.516924        1.795189e+07      1.797436e+07     -2.443264e+04      1.957538e+03   
     0.001185          0.586221        1.623460e+07      1.625636e+07     -2.359501e+04      1.841206e+03   
     0.001185          0.658006        1.420355e+07      1.422391e+07     -2.207661e+04      1.719210e+03   
     0.001185          0.731848        1.285628e+07      1.287588e+07     -2.119740e+04      1.597061e+03   
     0.001185          0.807302        1.185368e+07      1.187264e+07     -2.043587e+04      1.479715e+03   
     0.001185          0.883916        1.102584e+07      1.104417e+07     -1.969280e+04      1.362674e+03   
     0.001185          0.961228        9.882328e+06      9.900048e+06     -1.896797e+04      1.247838e+03   
     0.001185          1.038772        8.847993e+06      8.864472e+06     -1.761675e+04      1.136801e+03   
     0.001185          1.116084        8.179035e+06      8.194904e+06     -1.690061e+04      1.031966e+03   
     0.001185          1.192698        7.572441e+06      7.587754e+06     -1.624645e+04      9.335275e+02   
     0.001185          1.268152        7.003789e+06      7.018557e+06     -1.560939e+04      8.416754e+02   
     0.001185          1.341994        6.471160e+06      6.485391e+06     -1.498920e+04      7.577949e+02   
     0.001185          1.413779        5.972704e+06      5.986408e+06     -1.438567e+04      6.812223e+02   
     0.001185          1.483076        5.740922e+06      5.754696e+06     -1.438567e+04      6.121139e+02   
     0.001185          1.549467        5.290139e+06      5.303387e+06     -1.379855e+04      5.497817e+02   
     0.001185          1.612554        5.071224e+06      5.083958e+06     -1.322763e+04      4.933964e+02   
     0.001185          1.671957        4.664917e+06      4.677148e+06     -1.267268e+04      4.424574e+02   
     0.001185          1.727318        4.286093e+06      4.297829e+06     -1.213347e+04      3.976610e+02   
     0.001185          1.778306        4.197283e+06      4.209054e+06     -1.213347e+04      3.624271e+02   
     0.001185          1.824612        3.933217e+06      3.944497e+06     -1.160978e+04      3.298116e+02   
     0.001185          1.865960        3.604905e+06      3.615706e+06     -1.110138e+04      3.006328e+02   
     0.001185          1.902099        3.604885e+06      3.615706e+06     -1.110138e+04      2.805509e+02   
     0.001185          1.932813        3.385864e+06      3.396212e+06     -1.060804e+04      2.599844e+02   
     0.001185          1.957917        3.299713e+06      3.310074e+06     -1.060804e+04      2.471854e+02   
     0.001185          1.977260        3.299704e+06      3.310074e+06     -1.060804e+04      2.374322e+02   
     0.001185          1.990726        3.150864e+06      3.160765e+06     -1.012954e+04      2.283405e+02   
     0.001185          1.998238        3.150859e+06      3.160765e+06     -1.012954e+04      2.238069e+02   
     0.006239          0.001762        4.832462e+08      4.833795e+08     -1.356392e+05      2.333628e+03   
     0.006239          0.009274        4.562890e+08      4.564123e+08     -1.256048e+05      2.320579e+03   
     0.006239          0.022740        3.172650e+08      3.173644e+08     -1.016495e+05      2.295333e+03   
     0.006239          0.042083        1.462507e+08      1.463100e+08     -6.157758e+04      2.262378e+03   
     0.006239          0.067187        9.700027e+07      9.705355e+07     -5.552319e+04      2.245897e+03   
     0.006239          0.097901        7.745218e+07      7.749936e+07     -4.940964e+04      2.228152e+03   
     0.006239          0.134040        6.114750e+07      6.118841e+07     -4.312843e+04      2.209252e+03   
     0.006239          0.175388        4.844813e+07      4.848386e+07     -3.791032e+04      2.181671e+03   
     0.006239          0.221694        3.913771e+07      3.916977e+07     -3.418671e+04      2.134928e+03   
     0.006239          0.272682        3.211984e+07      3.214915e+07     -3.137889e+04      2.070245e+03   
     0.006239          0.328043        2.711969e+07      2.714694e+07     -2.924323e+04      1.991749e+03   
     0.006239          0.387446        2.325446e+07      2.328004e+07     -2.748473e+04      1.904292e+03   
     0.006239          0.450533        2.038365e+07      2.040788e+07     -2.603528e+04      1.807247e+03   
     0.006239          0.516924        1.784966e+07      1.787239e+07     -2.443033e+04      1.703141e+03   
     0.006239          0.586221        1.616782e+07      1.618970e+07     -2.347631e+04      1.595333e+03   
     0.006239          0.658006        1.435771e+07      1.437843e+07     -2.220418e+04      1.483973e+03   
