#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002630        2.738577e+07      2.738772e+07     -2.123737e+03      1.757900e+02   
     0.001185          0.013838        8.178830e+06      8.180013e+06     -1.320470e+03      1.374950e+02   
     0.001185          0.033931        2.831931e+06      2.832618e+06     -7.856141e+02      9.842359e+01   
     0.001185          0.062793        1.331839e+06      1.332314e+06     -5.475985e+02      7.327299e+01   
     0.001185          0.100252        6.933237e+05      6.936605e+05     -3.956258e+02      5.885057e+01   
     0.001185          0.146081        4.288376e+05      4.291018e+05     -3.111654e+02      4.690239e+01   
     0.001185          0.200005        2.664475e+05      2.666486e+05     -2.396717e+02      3.861848e+01   
     0.001185          0.261700        1.923906e+05      1.925661e+05     -2.084496e+02      3.290913e+01   
     0.001185          0.330795        1.233002e+05      1.234389e+05     -1.668926e+02      2.816599e+01   
     0.001185          0.406875        8.988505e+04      9.000340e+04     -1.425084e+02      2.415859e+01   
     0.001185          0.489481        6.438209e+04      6.448196e+04     -1.206230e+02      2.075850e+01   
     0.001185          0.578117        4.521579e+04      4.529929e+04     -1.011013e+02      1.759511e+01   
     0.001185          0.672250        3.105843e+04      3.112801e+04     -8.380826e+01      1.422891e+01   
     0.001185          0.771314        2.550511e+04      2.556780e+04     -7.595526e+01      1.325727e+01   
     0.001185          0.874714        1.684859e+04      1.689968e+04     -6.175190e+01      1.066698e+01   
     0.001185          0.981826        1.353983e+04      1.358601e+04     -5.536777e+01      9.189280e+00   
     0.001185          1.092007        9.069277e+03      9.105456e+03     -4.395021e+01      7.771549e+00   
     0.001185          1.204594        6.668255e+03      6.700352e+03     -3.888301e+01      6.786663e+00   
     0.001185          1.318911        5.161202e+03      5.189956e+03     -3.422102e+01      5.467607e+00   
     0.001185          1.434270        3.949408e+03      3.974610e+03     -2.994735e+01      4.744779e+00   
     0.001185          1.549976        2.983970e+03      3.006287e+03     -2.604512e+01      3.728329e+00   
     0.001185          1.665335        1.632404e+03      1.648645e+03     -1.928744e+01      3.047016e+00   
     0.001185          1.779651        1.177973e+03      1.191713e+03     -1.639823e+01      2.658436e+00   
     0.001185          1.892239        8.339535e+02      8.455690e+02     -1.381292e+01      2.197489e+00   
     0.001185          2.002420        5.778904e+02      5.875955e+02     -1.151464e+01      1.809578e+00   
     0.001185          2.109532        3.906844e+02      3.988312e+02     -9.486493e+00      1.339639e+00   
     0.001185          2.212931        2.568701e+02      2.635523e+02     -7.711601e+00      1.029395e+00   
     0.001185          2.311996        1.635553e+02      1.688813e+02     -6.173079e+00      8.471000e-01   
     0.001185          2.406129        1.002140e+02      1.044204e+02     -4.854045e+00      6.476048e-01   
     0.001185          2.494765        5.868700e+01      6.191086e+01     -3.737615e+00      5.137535e-01   
     0.001185          2.577371        3.248615e+01      3.491669e+01     -2.806904e+00      3.763729e-01   
     0.001185          2.653451        1.679300e+01      1.853435e+01     -2.045030e+00      3.036842e-01   
     0.001185          2.722546        7.644292e+00      8.886662e+00     -1.397256e+00      1.548859e-01   
     0.001185          2.784241        3.229587e+00      4.086510e+00     -9.602568e-01      1.033341e-01   
     0.001185          2.838165        1.089296e+00      1.614588e+00     -6.035900e-01      7.829729e-02   
     0.001185          2.883994        2.280392e-01      5.374000e-01     -3.482250e-01      3.886422e-02   
     0.001185          2.921453       -1.688132e-02      1.392799e-01     -1.772782e-01      2.111700e-02   
     0.001185          2.950315       -1.688141e-03      1.858215e-04     -2.110454e-03      2.364915e-04   
     0.001185          2.970408       -1.836596e-03      1.973921e-05     -2.110454e-03      2.541190e-04   
     0.001185          2.981616       -2.036442e-03      1.973921e-05     -2.110454e-03      5.427348e-05   
     0.006239          0.002630        8.733622e+06      8.734805e+06     -1.224904e+03      4.196267e+01   
     0.006239          0.013838        6.760789e+06      6.761683e+06     -9.320023e+02      3.805093e+01   
     0.006239          0.033931        2.801274e+06      2.801887e+06     -6.453430e+02      3.223124e+01   
     0.006239          0.062793        1.295130e+06      1.295559e+06     -4.552806e+02      2.628196e+01   
     0.006239          0.100252        6.967194e+05      6.970435e+05     -3.456463e+02      2.151535e+01   
     0.006239          0.146081        4.237748e+05      4.240255e+05     -2.691081e+02      1.849028e+01   
     0.006239          0.200005        2.705168e+05      2.707160e+05     -2.150292e+02      1.588708e+01   
     0.006239          0.261700        1.866427e+05      1.868104e+05     -1.814274e+02      1.380791e+01   
     0.006239          0.330795        1.276144e+05      1.277523e+05     -1.497331e+02      1.184576e+01   
     0.006239          0.406875        8.988583e+04      9.000340e+04     -1.278560e+02      1.028563e+01   
     0.006239          0.489481        6.438269e+04      6.448196e+04     -1.082208e+02      8.954043e+00   
     0.006239          0.578117        4.521636e+04      4.529929e+04     -9.070631e+01      7.769096e+00   
     0.006239          0.672250        3.254109e+04      3.260947e+04     -7.519128e+01      6.817843e+00   
     0.006239          0.771314        2.550525e+04      2.556780e+04     -6.814571e+01      5.595072e+00   
     0.006239          0.874714        1.684918e+04      1.689968e+04     -5.540271e+01      4.907550e+00   
     0.006239          0.981826        1.354061e+04      1.358601e+04     -4.967498e+01      4.273567e+00   
     0.006239          1.092007        9.488156e+03      9.524261e+03     -3.943135e+01      3.326417e+00   
     0.006239          1.204594        6.668263e+03      6.700352e+03     -3.488515e+01      2.797075e+00   
     0.006239          1.318911        5.161715e+03      5.189956e+03     -3.070249e+01      2.461691e+00   
     0.006239          1.434270        3.949733e+03      3.974610e+03     -2.686823e+01      1.990847e+00   
     0.006239          1.549976        2.811013e+03      2.831420e+03     -2.200801e+01      1.601647e+00   
     0.006239          1.665335        1.769101e+03      1.785174e+03     -1.730435e+01      1.231446e+00   
     0.006239          1.779651        1.177952e+03      1.191713e+03     -1.471220e+01      9.509249e-01   
     0.006239          1.892239        8.339359e+02      8.455690e+02     -1.239271e+01      7.596308e-01   
     0.006239          2.002420        5.778660e+02      5.875955e+02     -1.033073e+01      6.011866e-01   
     0.006239          2.109532        3.908367e+02      3.988312e+02     -8.511113e+00      5.165907e-01   
     0.006239          2.212931        2.570545e+02      2.635523e+02     -6.918711e+00      4.209503e-01   
     0.006239          2.311996        1.636405e+02      1.688813e+02     -5.538377e+00      2.976324e-01   
     0.006239          2.406129        9.703671e+01      1.010515e+02     -4.214458e+00      1.997015e-01   
     0.006239          2.494765        5.871615e+01      6.191086e+01     -3.353322e+00      1.586053e-01   
     0.006239          2.577371        3.251212e+01      3.491669e+01     -2.518305e+00      1.137379e-01   
     0.006239          2.653451        1.677891e+01      1.853435e+01     -1.834765e+00      7.932852e-02   
     0.006239          2.722546        5.735612e+00      6.628433e+00     -9.350372e-01      4.221535e-02   
     0.006239          2.784241        2.325052e+00      2.913073e+00     -6.141393e-01      2.611803e-02   
     0.006239          2.838165        1.096150e+00      1.614588e+00     -5.415302e-01      2.309155e-02   
     0.006239          2.883994        2.020965e-01      4.597771e-01     -2.672947e-01      9.614065e-03   
     0.006239          2.921453       -1.384949e-02      1.279148e-01     -1.460725e-01      4.308203e-03   
     0.006239          2.950315       -9.638336e-04      8.328539e-04     -1.893462e-03      9.677475e-05   
     0.006239          2.970408       -1.841029e-03      1.973921e-05     -1.893462e-03      3.269403e-05   
     0.006239          2.981616       -3.824303e-04      4.120133e-06     -3.952193e-04      8.668876e-06   
     0.015318          0.002630        3.134393e+06      3.135091e+06     -7.171962e+02      1.889704e+01   
     0.015318          0.013838        3.140805e+06      3.141434e+06     -6.466115e+02      1.724052e+01   
     0.015318          0.033931        2.390465e+06      2.390963e+06     -5.126164e+02      1.519762e+01   
     0.015318          0.062793        1.231618e+06      1.231998e+06     -3.939214e+02      1.337772e+01   
     0.015318          0.100252        6.808310e+05      6.811283e+05     -3.092377e+02      1.188302e+01   
     0.015318          0.146081        4.183296e+05      4.185688e+05     -2.496998e+02      1.052441e+01   
     0.015318          0.200005        2.709680e+05      2.711629e+05     -2.043182e+02      9.398247e+00   
     0.015318          0.261700        1.874502e+05      1.876127e+05     -1.708187e+02      8.369625e+00   
     0.015318          0.330795        1.281720e+05      1.283071e+05     -1.425285e+02      7.448983e+00   
     0.015318          0.406875        8.946842e+04      8.958113e+04     -1.192963e+02      6.586593e+00   
     0.015318          0.489481        6.370802e+04      6.380418e+04     -1.019579e+02      5.797666e+00   
     0.015318          0.578117        4.634334e+04      4.642611e+04     -8.782806e+01      5.055683e+00   
     0.015318          0.672250        3.344777e+04      3.351625e+04     -7.282356e+01      4.349405e+00   
     0.015318          0.771314        2.407853e+04      2.413708e+04     -6.230663e+01      3.751595e+00   
     0.015318          0.874714        1.763663e+04      1.768712e+04     -5.365811e+01      3.174494e+00   
     0.015318          0.981826        1.345960e+04      1.350476e+04     -4.782305e+01      2.657070e+00   
     0.015318          1.092007        9.538249e+03      9.574246e+03     -3.818969e+01      2.192739e+00   
     0.015318          1.204594        6.778929e+03      6.810903e+03     -3.378664e+01      1.812553e+00   
     0.015318          1.318911        5.161669e+03      5.189956e+03     -2.973569e+01      1.449139e+00   
     0.015318          1.434270        3.841304e+03      3.865457e+03     -2.530753e+01      1.155230e+00   
     0.015318          1.549976        2.669637e+03      2.688983e+03     -2.024272e+01      8.966806e-01   
     0.015318          1.665335        1.848711e+03      1.864774e+03     -1.675945e+01      6.972243e-01   
     0.015318          1.779651        1.249492e+03      1.263197e+03     -1.424892e+01      5.445433e-01   
     0.015318          1.892239        8.339834e+02      8.455690e+02     -1.200247e+01      4.169369e-01   
