#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002514        1.610799e+09      1.610801e+09     -3.075594e+03      9.686420e+02   
     0.001185          0.013229        6.619183e+08      6.619195e+08     -2.031537e+03      8.249273e+02   
     0.001185          0.032438        3.292802e+08      3.292810e+08     -1.458827e+03      6.602427e+02   
     0.001185          0.060031        1.951157e+08      1.951163e+08     -1.129741e+03      5.382133e+02   
     0.001185          0.095841        1.291248e+08      1.291253e+08     -9.217925e+02      4.506148e+02   
     0.001185          0.139654        9.179778e+07      9.179817e+07     -7.795629e+02      3.855049e+02   
     0.001185          0.191206        6.742746e+07      6.742779e+07     -6.701098e+02      3.367612e+02   
     0.001185          0.250187        5.120157e+07      5.120186e+07     -5.839415e+02      2.971385e+02   
     0.001185          0.316243        4.069369e+07      4.069394e+07     -5.205846e+02      2.665198e+02   
     0.001185          0.388975        3.405029e+07      3.405052e+07     -4.761989e+02      2.407516e+02   
     0.001185          0.467947        2.833639e+07      2.833660e+07     -4.344106e+02      2.195711e+02   
     0.001185          0.552684        2.344491e+07      2.344510e+07     -3.951414e+02      2.034939e+02   
     0.001185          0.642676        2.059226e+07      2.059244e+07     -3.703228e+02      1.858143e+02   
     0.001185          0.737382        1.685912e+07      1.685928e+07     -3.350781e+02      1.716240e+02   
     0.001185          0.836232        1.469841e+07      1.469856e+07     -3.128700e+02      1.596563e+02   
     0.001185          0.938632        1.370786e+07      1.370800e+07     -3.021437e+02      1.539939e+02   
     0.001185          1.043966        1.189296e+07      1.189310e+07     -2.814323e+02      1.447431e+02   
     0.001185          1.151601        1.028288e+07      1.028301e+07     -2.616897e+02      1.331904e+02   
     0.001185          1.260889        9.548681e+06      9.548804e+06     -2.521744e+02      1.286575e+02   
     0.001185          1.371172        8.210770e+06      8.210884e+06     -2.338414e+02      1.201246e+02   
     0.001185          1.481788        7.602822e+06      7.602935e+06     -2.250179e+02      1.119587e+02   
     0.001185          1.592072        7.032861e+06      7.032969e+06     -2.164192e+02      1.085764e+02   
     0.001185          1.701360        5.999272e+06      5.999371e+06     -1.998846e+02      1.012256e+02   
     0.001185          1.808994        5.532018e+06      5.532113e+06     -1.919429e+02      9.724325e+01   
     0.001185          1.914328        4.823017e+06      4.823101e+06     -1.766961e+02      9.238016e+01   
     0.001185          2.016728        4.308139e+06      4.308224e+06     -1.693853e+02      8.532198e+01   
     0.001185          2.115578        3.954235e+06      3.954313e+06     -1.622789e+02      8.423314e+01   
     0.001185          2.210284        3.318737e+06      3.318808e+06     -1.486680e+02      7.679974e+01   
     0.001185          2.300276        3.034436e+06      3.034506e+06     -1.421577e+02      7.202510e+01   
     0.001185          2.385013        2.526398e+06      2.526465e+06     -1.297129e+02      6.266567e+01   
