#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002344        5.572645e+08      5.572734e+08     -1.014500e+04      1.234130e+03   
     0.001185          0.012333        2.304312e+08      2.304371e+08     -7.000994e+03      1.124604e+03   
     0.001185          0.030242        1.297032e+08      1.297076e+08     -5.339397e+03      9.914686e+02   
     0.001185          0.055967        8.551647e+07      8.551992e+07     -4.337156e+03      8.850868e+02   
     0.001185          0.089352        6.146871e+07      6.147160e+07     -3.694435e+03      8.023146e+02   
     0.001185          0.130199        4.711518e+07      4.711766e+07     -3.217686e+03      7.337865e+02   
     0.001185          0.178261        3.759369e+07      3.759590e+07     -2.883105e+03      6.761577e+02   
     0.001185          0.233249        3.014280e+07      3.014478e+07     -2.608057e+03      6.268811e+02   
     0.001185          0.294832        2.498864e+07      2.499043e+07     -2.374641e+03      5.824461e+02   
     0.001185          0.362640        2.197854e+07      2.198023e+07     -2.227036e+03      5.378549e+02   
     0.001185          0.436266        1.910651e+07      1.910808e+07     -2.067246e+03      4.961336e+02   
     0.001185          0.515266        1.645632e+07      1.645777e+07     -1.903981e+03      4.570292e+02   
     0.001185          0.599165        1.469716e+07      1.469856e+07     -1.821162e+03      4.237361e+02   
     0.001185          0.687459        1.277241e+07      1.277371e+07     -1.697734e+03      3.940825e+02   
     0.001185          0.779617        1.106244e+07      1.106366e+07     -1.580013e+03      3.527616e+02   
     0.001185          0.875084        1.028182e+07      1.028301e+07     -1.523250e+03      3.303212e+02   
     0.001185          0.973286        8.857697e+06      8.858815e+06     -1.413836e+03      2.960486e+02   
     0.001185          1.073634        8.209791e+06      8.210884e+06     -1.361150e+03      2.676941e+02   
     0.001185          1.175522        7.601874e+06      7.602935e+06     -1.309790e+03      2.485930e+02   
     0.001185          1.278339        6.498076e+06      6.499064e+06     -1.210979e+03      2.224977e+02   
     0.001185          1.381466        5.998409e+06      5.999371e+06     -1.163494e+03      2.015089e+02   
     0.001185          1.484283        5.531185e+06      5.532113e+06     -1.117266e+03      1.894799e+02   
     0.001185          1.586172        4.687282e+06      4.688144e+06     -1.028517e+03      1.661920e+02   
     0.001185          1.686519        4.307394e+06      4.308224e+06     -9.859621e+02      1.563585e+02   
     0.001185          1.784722        3.953515e+06      3.954313e+06     -9.445972e+02      1.459222e+02   
     0.001185          1.880189        3.318072e+06      3.318808e+06     -8.653708e+02      1.291074e+02   
     0.001185          1.972347        3.033791e+06      3.034506e+06     -8.274754e+02      1.125066e+02   
     0.001185          2.060641        2.525810e+06      2.526465e+06     -7.550362e+02      1.002561e+02   
     0.001185          2.144540        2.090797e+06      2.091374e+06     -6.869529e+02      1.095164e+02   
     0.001185          2.223540        1.897882e+06      1.898456e+06     -6.545026e+02      8.104662e+01   
     0.001185          2.297165        1.494230e+06      1.494715e+06     -5.690438e+02      8.406634e+01   
     0.001185          2.364974        1.140945e+06      1.141379e+06     -5.074883e+02      7.333062e+01   
     0.001185          2.426557        7.016674e+05      7.020109e+05     -3.933887e+02      4.993352e+01   
     0.001185          2.481545        4.647622e+02      4.690242e+02     -4.785727e+00      5.237358e-01   
     0.001185          2.529607        2.150860e+01      2.346556e+01     -2.200758e+00      2.438003e-01   
     0.001185          2.570453        5.128792e+00      6.190216e+00     -1.181855e+00      1.204311e-01   
     0.001185          2.603839        5.418466e-01      9.553777e-01     -4.643000e-01      5.076887e-02   
     0.001185          2.629564        3.841117e-02      2.022626e-01     -1.802107e-01      1.635928e-02   
     0.001185          2.647472       -3.136540e-02      7.895684e-03     -4.220909e-02      2.948006e-03   
     0.001185          2.657462       -7.839017e-03      3.123649e-04     -8.349269e-03      1.978875e-04   
     0.006239          0.002344        2.289055e+08      2.289112e+08     -6.264520e+03      5.600493e+02   
     0.006239          0.012333        2.050486e+08      2.050535e+08     -5.451334e+03      5.413111e+02   
     0.006239          0.030242        1.271909e+08      1.271949e+08     -4.505608e+03      5.166685e+02   
     0.006239          0.055967        8.504633e+07      8.504963e+07     -3.784812e+03      4.879537e+02   
     0.006239          0.089352        6.155646e+07      6.155927e+07     -3.264043e+03      4.596500e+02   
     0.006239          0.130199        4.706291e+07      4.706535e+07     -2.869432e+03      4.329018e+02   
     0.006239          0.178261        3.727258e+07      3.727474e+07     -2.564574e+03      4.070622e+02   
     0.006239          0.233249        3.065260e+07      3.065456e+07     -2.339903e+03      3.820081e+02   
     0.006239          0.294832        2.551092e+07      2.551269e+07     -2.130486e+03      3.561621e+02   
     0.006239          0.362640        2.177813e+07      2.177978e+07     -1.979836e+03      3.322655e+02   
     0.006239          0.436266        1.872386e+07      1.872537e+07     -1.817549e+03      3.064995e+02   
     0.006239          0.515266        1.631726e+07      1.631867e+07     -1.693780e+03      2.812672e+02   
     0.006239          0.599165        1.450531e+07      1.450666e+07     -1.612582e+03      2.562189e+02   
     0.006239          0.687459        1.277242e+07      1.277371e+07     -1.523177e+03      2.304862e+02   
     0.006239          0.779617        1.116095e+07      1.116216e+07     -1.417559e+03      2.078944e+02   
     0.006239          0.875084        1.028182e+07      1.028301e+07     -1.366633e+03      1.835125e+02   
     0.006239          0.973286        8.982532e+06      8.983639e+06     -1.268468e+03      1.617951e+02   
     0.006239          1.073634        8.209807e+06      8.210884e+06     -1.221200e+03      1.438101e+02   
     0.006239          1.175522        7.569243e+06      7.570290e+06     -1.170075e+03      1.232501e+02   
     0.006239          1.278339        6.498085e+06      6.499064e+06     -1.086469e+03      1.071368e+02   
     0.006239          1.381466        5.998421e+06      5.999371e+06     -1.043866e+03      9.411605e+01   
     0.006239          1.484283        5.531190e+06      5.532113e+06     -1.002391e+03      7.943871e+01   
     0.006239          1.586172        4.702071e+06      4.702924e+06     -9.227675e+02      7.002234e+01   
     0.006239          1.686519        4.307399e+06      4.308224e+06     -8.845877e+02      6.044684e+01   
     0.006239          1.784722        3.884253e+06      3.885034e+06     -8.326281e+02      5.122336e+01   
     0.006239          1.880189        3.318079e+06      3.318808e+06     -7.763953e+02      4.652228e+01   
     0.006239          1.972347        3.011356e+06      3.012050e+06     -7.369023e+02      4.333850e+01   
     0.006239          2.060641        2.525827e+06      2.526465e+06     -6.774051e+02      3.966198e+01   
     0.006239          2.144540        2.160644e+06      2.161231e+06     -6.163220e+02      2.871443e+01   
     0.006239          2.223540        1.829891e+06      1.830425e+06     -5.661657e+02      3.219571e+01   
     0.006239          2.297165        1.481838e+06      1.482321e+06     -5.063026e+02      2.413005e+01   
     0.006239          2.364974        1.142729e+06      1.143162e+06     -4.535823e+02      2.054666e+01   
     0.006239          2.426557        7.137430e+05      7.140734e+05     -3.429042e+02      1.249699e+01   
     0.006239          2.481545        8.033420e+02      8.067274e+02     -3.534926e+00      1.495359e-01   
     0.006239          2.529607        1.775942e+01      1.931399e+01     -1.625152e+00      7.058242e-02   
     0.006239          2.570453        4.019788e+00      4.810633e+00     -8.240265e-01      3.318053e-02   
     0.006239          2.603839        6.794346e-01      1.052563e+00     -3.865638e-01      1.343584e-02   
     0.006239          2.629564        3.193375e-02      1.455205e-01     -1.163242e-01      2.737383e-03   
     0.006239          2.647472       -1.306084e-02      9.217248e-03     -2.272607e-02      4.479812e-04   
     0.006239          2.657462       -1.318034e-03      5.860277e-05     -1.405352e-03      2.871529e-05   
     0.015318          0.002344        1.286705e+08      1.286747e+08     -4.620745e+03      4.098295e+02   
     0.015318          0.012333        1.262160e+08      1.262200e+08     -4.351798e+03      4.023203e+02   
     0.015318          0.030242        1.141211e+08      1.141246e+08     -3.914190e+03      3.909459e+02   
     0.015318          0.055967        8.253349e+07      8.253656e+07     -3.442110e+03      3.774741e+02   
     0.015318          0.089352        6.084385e+07      6.084652e+07     -3.037362e+03      3.624952e+02   
     0.015318          0.130199        4.672931e+07      4.673167e+07     -2.705918e+03      3.462985e+02   
     0.015318          0.178261        3.726872e+07      3.727083e+07     -2.441439e+03      3.290601e+02   
     0.015318          0.233249        3.048711e+07      3.048902e+07     -2.224677e+03      3.108036e+02   
