#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.164070e+08      2.164076e+08     -1.081005e+03      4.442451e+02   
     0.001185          0.009274        8.616236e+07      8.616268e+07     -7.220817e+02      4.042648e+02   
     0.001185          0.022740        4.193700e+07      4.193717e+07     -5.159247e+02      3.459168e+02   
     0.001185          0.042083        2.430797e+07      2.430807e+07     -3.968169e+02      2.900454e+02   
     0.001185          0.067187        1.571431e+07      1.571439e+07     -3.231546e+02      2.445169e+02   
     0.001185          0.097901        1.087465e+07      1.087471e+07     -2.668054e+02      2.084849e+02   
     0.001185          0.134040        7.696968e+06      7.697013e+06     -2.250179e+02      1.800493e+02   
     0.001185          0.175388        5.977149e+06      5.977191e+06     -1.991456e+02      1.574140e+02   
     0.001185          0.221694        4.502153e+06      4.502183e+06     -1.696872e+02      1.392833e+02   
     0.001185          0.272682        3.624939e+06      3.624970e+06     -1.553741e+02      1.247565e+02   
     0.001185          0.328043        2.770772e+06      2.770795e+06     -1.358403e+02      1.123375e+02   
     0.001185          0.387446        2.300338e+06      2.300359e+06     -1.237725e+02      1.023230e+02   
     0.001185          0.450533        1.898437e+06      1.898456e+06     -1.124415e+02      9.373707e+01   
     0.001185          0.516924        1.556837e+06      1.556853e+06     -1.018240e+02      8.520968e+01   
     0.001185          0.586221        1.406286e+06      1.406303e+06     -9.677562e+01      7.914814e+01   
     0.001185          0.658006        1.141365e+06      1.141379e+06     -8.718493e+01      7.324998e+01   
     0.001185          0.731848        1.025390e+06      1.025403e+06     -8.263686e+01      6.913067e+01   
     0.001185          0.807302        9.130222e+05      9.130366e+05     -7.770664e+01      6.323962e+01   
     0.001185          0.883916        7.346461e+05      7.346564e+05     -6.994692e+01      5.969707e+01   
     0.001185          0.961228        6.545794e+05      6.545890e+05     -6.602537e+01      5.645902e+01   
     0.001185          1.038772        5.819209e+05      5.819294e+05     -6.225319e+01      5.370520e+01   
     0.001185          1.116084        5.161112e+05      5.161189e+05     -5.862750e+01      5.095114e+01   
     0.001185          1.192698        4.566238e+05      4.566309e+05     -5.514538e+01      4.798213e+01   
     0.001185          1.268152        4.029632e+05      4.029699e+05     -5.180394e+01      4.512943e+01   
     0.001185          1.341994        3.546638e+05      3.546700e+05     -4.860028e+01      4.234961e+01   
     0.001185          1.413779        3.112880e+05      3.112940e+05     -4.553149e+01      3.958664e+01   
     0.001185          1.483076        3.112862e+05      3.112940e+05     -4.553149e+01      3.778235e+01   
     0.001185          1.549467        2.724259e+05      2.724317e+05     -4.259467e+01      3.680060e+01   
     0.001185          1.612554        2.376938e+05      2.376993e+05     -3.978693e+01      3.422223e+01   
     0.001185          1.671957        2.067328e+05      2.067381e+05     -3.710537e+01      3.176240e+01   
     0.001185          1.727318        2.067318e+05      2.067381e+05     -3.710537e+01      3.082426e+01   
     0.001185          1.778306        1.792077e+05      1.792131e+05     -3.454708e+01      2.918988e+01   
     0.001185          1.824612        1.548070e+05      1.548121e+05     -3.210916e+01      2.698373e+01   
     0.001185          1.865960        1.548066e+05      1.548121e+05     -3.210916e+01      2.661694e+01   
     0.001185          1.902099        1.332398e+05      1.332449e+05     -2.978872e+01      2.469621e+01   
     0.001185          1.932813        1.332397e+05      1.332449e+05     -2.978872e+01      2.454378e+01   
     0.001185          1.957917        1.332390e+05      1.332449e+05     -2.978872e+01      2.390191e+01   
     0.001185          1.977260        1.142368e+05      1.142418e+05     -2.758284e+01      2.257679e+01   
     0.001185          1.990726        1.142366e+05      1.142418e+05     -2.758284e+01      2.239503e+01   
     0.001185          1.998238        1.142367e+05      1.142418e+05     -2.758284e+01      2.250556e+01   
     0.006239          0.001762        6.873568e+07      6.873599e+07     -4.154541e+02      1.048304e+02   
     0.006239          0.009274        6.356306e+07      6.356333e+07     -3.623788e+02      9.545609e+01   
     0.006239          0.022740        4.009792e+07      4.009813e+07     -2.931750e+02      8.395384e+01   
     0.006239          0.042083        2.403274e+07      2.403291e+07     -2.364241e+02      7.284080e+01   
     0.006239          0.067187        1.562998e+07      1.563011e+07     -1.948149e+02      6.306196e+01   
     0.006239          0.097901        1.075509e+07      1.075520e+07     -1.633166e+02      5.482082e+01   
     0.006239          0.134040        7.776743e+06      7.776835e+06     -1.400678e+02      4.796633e+01   
     0.006239          0.175388        5.829404e+06      5.829483e+06     -1.217989e+02      4.239374e+01   
     0.006239          0.221694        4.490516e+06      4.490585e+06     -1.068748e+02      3.768679e+01   
     0.006239          0.272682        3.529485e+06      3.529546e+06     -9.545376e+01      3.389875e+01   
     0.006239          0.328043        2.847411e+06      2.847466e+06     -8.570942e+01      3.064945e+01   
     0.006239          0.387446        2.312533e+06      2.312583e+06     -7.809518e+01      2.793196e+01   
     0.006239          0.450533        1.903325e+06      1.903370e+06     -7.094579e+01      2.559642e+01   
     0.006239          0.516924        1.602210e+06      1.602250e+06     -6.424661e+01      2.352231e+01   
     0.006239          0.586221        1.395201e+06      1.395240e+06     -6.058092e+01      2.181458e+01   
     0.006239          0.658006        1.141344e+06      1.141379e+06     -5.500996e+01      2.027145e+01   
     0.006239          0.731848        1.025370e+06      1.025403e+06     -5.214032e+01      1.896363e+01   
     0.006239          0.807302        8.775527e+05      8.775823e+05     -4.712568e+01      1.756470e+01   
     0.006239          0.883916        7.366928e+05      7.367203e+05     -4.413351e+01      1.657066e+01   
     0.006239          0.961228        6.545630e+05      6.545890e+05     -4.165918e+01      1.564768e+01   
     0.006239          1.038772        5.819049e+05      5.819294e+05     -3.927910e+01      1.474553e+01   
     0.006239          1.116084        5.160959e+05      5.161189e+05     -3.699144e+01      1.394162e+01   
     0.006239          1.192698        4.566093e+05      4.566309e+05     -3.479437e+01      1.318732e+01   
     0.006239          1.268152        4.029496e+05      4.029699e+05     -3.268607e+01      1.240652e+01   
     0.006239          1.341994        3.546510e+05      3.546700e+05     -3.066469e+01      1.160645e+01   
     0.006239          1.413779        3.161555e+05      3.161733e+05     -2.872842e+01      1.093264e+01   
     0.006239          1.483076        2.996107e+05      2.996280e+05     -2.765180e+01      1.037631e+01   
     0.006239          1.549467        2.724147e+05      2.724317e+05     -2.687541e+01      9.928139e+00   
     0.006239          1.612554        2.376836e+05      2.376993e+05     -2.510385e+01      9.341735e+00   
     0.006239          1.671957        2.067235e+05      2.067381e+05     -2.341190e+01      8.799564e+00   
     0.006239          1.727318        2.051018e+05      2.051167e+05     -2.322828e+01      8.380804e+00   
     0.006239          1.778306        1.791993e+05      1.792131e+05     -2.179773e+01      7.974173e+00   
     0.006239          1.824612        1.609286e+05      1.609414e+05     -2.025951e+01      7.501191e+00   
     0.006239          1.865960        1.547992e+05      1.548121e+05     -2.025951e+01      7.307853e+00   
     0.006239          1.902099        1.388695e+05      1.388814e+05     -1.879540e+01      6.898142e+00   
     0.006239          1.932813        1.332329e+05      1.332449e+05     -1.879540e+01      6.762266e+00   
     0.006239          1.957917        1.332327e+05      1.332449e+05     -1.879540e+01      6.586853e+00   
     0.006239          1.977260        1.188812e+05      1.188923e+05     -1.740359e+01      6.345417e+00   
     0.006239          1.990726        1.142307e+05      1.142418e+05     -1.740359e+01      6.338038e+00   
     0.006239          1.998238        1.142307e+05      1.142418e+05     -1.740359e+01      6.272206e+00   
     0.015318          0.001762        3.253698e+07      3.253720e+07     -2.459922e+02      3.205791e+01   
     0.015318          0.009274        3.198808e+07      3.198828e+07     -2.313324e+02      3.025139e+01   
     0.015318          0.022740        2.970582e+07      2.970600e+07     -2.070978e+02      2.752359e+01   
     0.015318          0.042083        2.233619e+07      2.233634e+07     -1.788567e+02      2.458086e+01   
     0.015318          0.067187        1.513659e+07      1.513672e+07     -1.530930e+02      2.178169e+01   
     0.015318          0.097901        1.060553e+07      1.060564e+07     -1.316165e+02      1.928166e+01   
     0.015318          0.134040        7.735189e+06      7.735287e+06     -1.144983e+02      1.712155e+01   
     0.015318          0.175388        5.814587e+06      5.814672e+06     -1.003264e+02      1.525011e+01   
     0.015318          0.221694        4.471072e+06      4.471147e+06     -8.872792e+01      1.369177e+01   
     0.015318          0.272682        3.536528e+06      3.536595e+06     -7.941494e+01      1.237542e+01   
     0.015318          0.328043        2.835779e+06      2.835839e+06     -7.147715e+01      1.122076e+01   
     0.015318          0.387446        2.321312e+06      2.321366e+06     -6.491545e+01      1.026889e+01   
     0.015318          0.450533        1.929052e+06      1.929102e+06     -5.937550e+01      9.418269e+00   
     0.015318          0.516924        1.620638e+06      1.620684e+06     -5.443748e+01      8.650910e+00   
     0.015318          0.586221        1.358191e+06      1.358233e+06     -4.996994e+01      8.006361e+00   
     0.015318          0.658006        1.174481e+06      1.174521e+06     -4.661107e+01      7.432470e+00   
     0.015318          0.731848        1.003485e+06      1.003522e+06     -4.323680e+01      6.961423e+00   
     0.015318          0.807302        8.721076e+05      8.721408e+05     -3.968298e+01      6.448877e+00   
     0.015318          0.883916        7.602071e+05      7.602385e+05     -3.739524e+01      6.081301e+00   
     0.015318          0.961228        6.644129e+05      6.644425e+05     -3.529869e+01      5.716775e+00   
     0.015318          1.038772        5.826795e+05      5.827074e+05     -3.328199e+01      5.381661e+00   
