#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        3.963368e+07      3.963432e+07     -8.914801e+02      2.549430e+02   
     0.001185          0.009274        1.342282e+07      1.342315e+07     -5.523645e+02      2.269096e+02   
     0.001185          0.022740        5.623138e+06      5.623321e+06     -3.689056e+02      1.867132e+02   
     0.001185          0.042083        2.878332e+06      2.878448e+06     -2.659800e+02      1.494563e+02   
     0.001185          0.067187        1.639096e+06      1.639175e+06     -1.996788e+02      1.200499e+02   
     0.001185          0.097901        1.025339e+06      1.025403e+06     -1.618058e+02      9.741596e+01   
     0.001185          0.134040        6.545400e+05      6.545890e+05     -1.292799e+02      8.026881e+01   
     0.001185          0.175388        4.565900e+05      4.566309e+05     -1.079765e+02      6.700940e+01   
     0.001185          0.221694        3.112614e+05      3.112940e+05     -8.915220e+01      5.659254e+01   
     0.001185          0.272682        2.153606e+05      2.153852e+05     -7.265358e+01      4.804576e+01   
     0.001185          0.328043        1.547910e+05      1.548121e+05     -6.287083e+01      4.175069e+01   
     0.001185          0.387446        1.142239e+05      1.142418e+05     -5.400815e+01      3.609419e+01   
     0.001185          0.450533        9.739645e+04      9.741518e+04     -4.983715e+01      3.110977e+01   
     0.001185          0.516924        7.019656e+04      7.021098e+04     -4.233984e+01      2.792282e+01   
     0.001185          0.586221        5.317863e+04      5.319022e+04     -3.557853e+01      2.398862e+01   
     0.001185          0.658006        4.132272e+04      4.133346e+04     -3.248610e+01      2.174147e+01   
     0.001185          0.731848        3.425519e+04      3.426507e+04     -2.957826e+01      1.969811e+01   
     0.001185          0.807302        2.822469e+04      2.823402e+04     -2.684931e+01      1.751269e+01   
     0.001185          0.883916        2.310603e+04      2.311478e+04     -2.429359e+01      1.554784e+01   
     0.001185          0.961228        1.878542e+04      1.879356e+04     -2.190540e+01      1.376517e+01   
     0.001185          1.038772        1.516015e+04      1.516758e+04     -1.967908e+01      1.225565e+01   
     0.001185          1.116084        1.213802e+04      1.214432e+04     -1.760894e+01      1.130922e+01   
     0.001185          1.192698        9.635557e+03      9.640827e+03     -1.568931e+01      1.041939e+01   
     0.001185          1.268152        7.578429e+03      7.583014e+03     -1.391450e+01      9.329486e+00   
     0.001185          1.341994        5.900914e+03      5.905016e+03     -1.227884e+01      8.176228e+00   
     0.001185          1.413779        4.544896e+03      4.548553e+03     -1.077664e+01      7.119705e+00   
     0.001185          1.483076        4.462316e+03      4.466531e+03     -1.058231e+01      6.367470e+00   
     0.001185          1.549467        3.459086e+03      3.462327e+03     -9.402228e+00      6.160935e+00   
     0.001185          1.612554        2.598665e+03      2.601438e+03     -8.149923e+00      5.376312e+00   
     0.001185          1.671957        1.924471e+03      1.926831e+03     -7.014045e+00      4.654348e+00   
     0.001185          1.727318        1.924348e+03      1.926831e+03     -7.014045e+00      4.531450e+00   
     0.001185          1.778306        1.402653e+03      1.404762e+03     -5.988915e+00      3.879565e+00   
     0.001185          1.824612        1.402515e+03      1.404762e+03     -5.988915e+00      3.741637e+00   
     0.001185          1.865960        1.004490e+03      1.006297e+03     -5.068854e+00      3.261930e+00   
