#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002422        2.574452e+08      2.575202e+08     -7.558361e+04      6.206340e+02   
     0.001185          0.012743        8.345277e+07      8.349680e+07     -4.460745e+04      5.771985e+02   
     0.001185          0.031247        3.889660e+07      3.892721e+07     -3.117277e+04      5.666868e+02   
     0.001185          0.057827        2.197477e+07      2.199808e+07     -2.385970e+04      5.530398e+02   
     0.001185          0.092322        1.396643e+07      1.398524e+07     -1.935299e+04      5.375921e+02   
     0.001185          0.134526        9.442646e+06      9.458129e+06     -1.600506e+04      5.221898e+02   
     0.001185          0.184185        6.705572e+06      6.718693e+06     -1.362338e+04      5.026624e+02   
     0.001185          0.241001        5.057931e+06      5.069451e+06     -1.200117e+04      4.813382e+02   
     0.001185          0.304631        3.761707e+06      3.771764e+06     -1.051313e+04      4.567724e+02   
     0.001185          0.374693        2.943758e+06      2.952690e+06     -9.359523e+03      4.272963e+02   
     0.001185          0.450765        2.392265e+06      2.400182e+06     -8.315498e+03      3.982586e+02   
     0.001185          0.532391        1.885275e+06      1.892438e+06     -7.530293e+03      3.671204e+02   
     0.001185          0.619078        1.545120e+06      1.551581e+06     -6.796140e+03      3.348425e+02   
     0.001185          0.710307        1.326876e+06      1.333026e+06     -6.447673e+03      2.974722e+02   
     0.001185          0.805527        1.074252e+06      1.079769e+06     -5.786882e+03      2.698717e+02   
     0.001185          0.904168        9.637985e+05      9.690406e+05     -5.474129e+03      2.321067e+02   
     0.001185          1.005634        7.711048e+05      7.757842e+05     -4.882839e+03      2.034556e+02   
     0.001185          1.109316        6.874991e+05      6.919300e+05     -4.603872e+03      1.729772e+02   
     0.001185          1.214591        5.839248e+05      5.881154e+05     -4.335737e+03      1.450602e+02   
     0.001185          1.320825        4.805398e+05      4.842521e+05     -3.831108e+03      1.188630e+02   
     0.001185          1.427380        4.243500e+05      4.278457e+05     -3.594184e+03      9.847927e+01   
     0.001185          1.533614        3.737343e+05      3.770231e+05     -3.367235e+03      7.840048e+01   
     0.001185          1.638889        3.188002e+05      3.218802e+05     -3.141364e+03      6.134237e+01   
     0.001185          1.742571        2.509887e+05      2.536855e+05     -2.744090e+03      4.731495e+01   
     0.001185          1.844037        2.184412e+05      2.209600e+05     -2.554894e+03      3.609585e+01   
     0.001185          1.942678        1.861149e+05      1.884197e+05     -2.332386e+03      2.752740e+01   
     0.001185          2.037898        1.516618e+05      1.536819e+05     -2.039861e+03      1.976333e+01   
     0.001185          2.129127        1.303517e+05      1.322224e+05     -1.884986e+03      1.431924e+01   
     0.001185          2.215814        9.513600e+04      9.672257e+04     -1.599155e+03      1.259362e+01   
     0.001185          2.297440        7.392249e+04      7.525820e+04     -1.343784e+03      8.078626e+00   
     0.001185          2.373512        5.670137e+04      5.781573e+04     -1.117156e+03      2.790215e+00   
     0.001185          2.443574        4.287405e+04      4.378704e+04     -9.175567e+02      4.566936e+00   
     0.001185          2.507204        2.613872e+04      2.680132e+04     -6.650811e+02      2.474145e+00   
     0.001185          2.564020        1.376172e+04      1.414468e+04     -3.833892e+02      4.332078e-01   
     0.001185          2.613679        2.857046e+03      2.942766e+03     -8.735602e+01      1.636323e+00   
     0.001185          2.655883        3.402913e+02      3.533536e+02     -1.269145e+01     -3.708580e-01   
     0.001185          2.690378       -7.832146e-02      0.000000e+00      0.000000e+00     -7.832146e-02   
     0.001185          2.716958       -4.130798e-02      0.000000e+00      0.000000e+00     -4.130798e-02   
     0.001185          2.735462       -5.886955e-03      0.000000e+00      0.000000e+00     -5.886955e-03   
     0.001185          2.745783       -1.062761e-04      0.000000e+00      0.000000e+00     -1.062761e-04   
     0.006239          0.002422        8.479853e+07      8.484288e+07     -4.484776e+04      4.888516e+02   
     0.006239          0.012743        7.239572e+07      7.243605e+07     -4.081223e+04      4.885773e+02   
     0.006239          0.031247        3.793060e+07      3.796101e+07     -3.088775e+04      4.869872e+02   
     0.006239          0.057827        2.180799e+07      2.183129e+07     -2.378430e+04      4.849563e+02   
     0.006239          0.092322        1.382774e+07      1.384646e+07     -1.919637e+04      4.822971e+02   
     0.006239          0.134526        9.386843e+06      9.402369e+06     -1.600476e+04      4.785839e+02   
     0.006239          0.184185        6.717918e+06      6.731154e+06     -1.370375e+04      4.686231e+02   
     0.006239          0.241001        4.951630e+06      4.963040e+06     -1.186159e+04      4.519935e+02   
     0.006239          0.304631        3.813304e+06      3.823367e+06     -1.049365e+04      4.306919e+02   
     0.006239          0.374693        2.978213e+06      2.987155e+06     -9.347703e+03      4.056208e+02   
     0.006239          0.450765        2.369789e+06      2.377773e+06     -8.362136e+03      3.778340e+02   
     0.006239          0.532391        1.903528e+06      1.910729e+06     -7.549026e+03      3.479794e+02   
     0.006239          0.619078        1.575729e+06      1.582328e+06     -6.916524e+03      3.167312e+02   
     0.006239          0.710307        1.326877e+06      1.333026e+06     -6.434377e+03      2.846450e+02   
     0.006239          0.805527        1.092273e+06      1.097796e+06     -5.774948e+03      2.526924e+02   
