#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.385590e+08      2.385640e+08     -5.241635e+03      2.148911e+02   
     0.001185          0.009274        1.473984e+08      1.474024e+08     -4.207089e+03      1.987978e+02   
     0.001185          0.022740        8.806806e+07      8.807118e+07     -3.282052e+03      1.548958e+02   
     0.001185          0.042083        1.726035e+07      1.726169e+07     -1.463813e+03      1.291249e+02   
     0.001185          0.067187        1.247042e+07      1.247154e+07     -1.244021e+03      1.207523e+02   
     0.001185          0.097901        9.547815e+06      9.548804e+06     -1.101642e+03      1.129255e+02   
     0.001185          0.134040        7.220553e+06      7.221393e+06     -9.454429e+02      1.053985e+02   
     0.001185          0.175388        5.531373e+06      5.532113e+06     -8.385163e+02      9.816981e+01   
     0.001185          0.221694        4.307575e+06      4.308224e+06     -7.399716e+02      9.123319e+01   
     0.001185          0.272682        3.318244e+06      3.318808e+06     -6.494670e+02      8.494622e+01   
     0.001185          0.328043        2.770280e+06      2.770795e+06     -5.934282e+02      7.883820e+01   
     0.001185          0.387446        2.299892e+06      2.300359e+06     -5.407093e+02      7.336642e+01   
     0.001185          0.450533        1.898033e+06      1.898456e+06     -4.912089e+02      6.820036e+01   
     0.001185          0.516924        1.556471e+06      1.556853e+06     -4.448256e+02      6.272579e+01   
     0.001185          0.586221        1.405938e+06      1.406303e+06     -4.227712e+02      5.805151e+01   
     0.001185          0.658006        1.267737e+06      1.268086e+06     -4.014581e+02      5.288163e+01   
     0.001185          0.731848        1.025090e+06      1.025403e+06     -3.610050e+02      4.827261e+01   
     0.001185          0.807302        9.191204e+05      9.194182e+05     -3.418397e+02      4.402156e+01   
     0.001185          0.883916        8.224403e+05      8.227238e+05     -3.233650e+02      3.989854e+01   
     0.001185          0.961228        7.343867e+05      7.346564e+05     -3.055682e+02      3.593688e+01   
     0.001185          1.038772        6.543328e+05      6.545890e+05     -2.884366e+02      3.218051e+01   
     0.001185          1.116084        5.816864e+05      5.819294e+05     -2.719576e+02      2.889979e+01   
     0.001185          1.192698        5.158887e+05      5.161189e+05     -2.561184e+02      2.585753e+01   
     0.001185          1.268152        4.564130e+05      4.566309e+05     -2.409066e+02      2.299892e+01   
     0.001185          1.341994        4.027640e+05      4.029699e+05     -2.263092e+02      2.043028e+01   
     0.001185          1.413779        3.544758e+05      3.546700e+05     -2.123138e+02      1.807831e+01   
     0.001185          1.483076        3.111110e+05      3.112940e+05     -1.989076e+02      1.599368e+01   
     0.001185          1.549467        2.722598e+05      2.724317e+05     -1.860779e+02      1.416638e+01   
     0.001185          1.612554        2.722586e+05      2.724317e+05     -1.860779e+02      1.297321e+01   
     0.001185          1.671957        2.375371e+05      2.376993e+05     -1.738121e+02      1.158258e+01   
     0.001185          1.727318        2.065863e+05      2.067381e+05     -1.620975e+02      1.032514e+01   
     0.001185          1.778306        2.065855e+05      2.067381e+05     -1.620975e+02      9.508560e+00   
     0.001185          1.824612        1.790709e+05      1.792131e+05     -1.509214e+02      8.746269e+00   
     0.001185          1.865960        1.594296e+05      1.595620e+05     -1.402712e+02      7.893517e+00   
     0.001185          1.902099        1.546794e+05      1.548121e+05     -1.402712e+02      7.569359e+00   
     0.001185          1.932813        1.546789e+05      1.548121e+05     -1.402712e+02      7.045255e+00   
     0.001185          1.957917        1.331215e+05      1.332449e+05     -1.301341e+02      6.732412e+00   
     0.001185          1.977260        1.331213e+05      1.332449e+05     -1.301341e+02      6.579124e+00   
     0.001185          1.990726        1.331213e+05      1.332449e+05     -1.301341e+02      6.490556e+00   
     0.001185          1.998238        1.331211e+05      1.332449e+05     -1.301341e+02      6.329205e+00   
     0.006239          0.001762        1.281161e+08      1.281198e+08     -3.875578e+03      9.828136e+01   
     0.006239          0.009274        1.195535e+08      1.195569e+08     -3.514140e+03      9.462819e+01   
     0.006239          0.022740        7.455393e+07      7.455646e+07     -2.624997e+03      8.988800e+01   
     0.006239          0.042083        2.025898e+07      2.026027e+07     -1.369519e+03      8.432044e+01   
     0.006239          0.067187        1.235025e+07      1.235135e+07     -1.187458e+03      8.128458e+01   
     0.006239          0.097901        9.462479e+06      9.463450e+06     -1.049300e+03      7.807887e+01   
     0.006239          0.134040        7.254642e+06      7.255488e+06     -9.207069e+02      7.463292e+01   
     0.006239          0.175388        5.558187e+06      5.558924e+06     -8.080946e+02      7.102655e+01   
     0.006239          0.221694        4.279787e+06      4.280432e+06     -7.119477e+02      6.725126e+01   
     0.006239          0.272682        3.390038e+06      3.390611e+06     -6.360495e+02      6.343624e+01   
     0.006239          0.328043        2.735150e+06      2.735665e+06     -5.737999e+02      5.958555e+01   
     0.006239          0.387446        2.278370e+06      2.278839e+06     -5.245848e+02      5.568108e+01   
     0.006239          0.450533        1.898026e+06      1.898456e+06     -4.810609e+02      5.173861e+01   
     0.006239          0.516924        1.610400e+06      1.610788e+06     -4.356359e+02      4.770196e+01   
     0.006239          0.586221        1.405933e+06      1.406303e+06     -4.140371e+02      4.374849e+01   
     0.006239          0.658006        1.226199e+06      1.226540e+06     -3.802832e+02      3.980094e+01   
     0.006239          0.731848        1.029366e+06      1.029683e+06     -3.535470e+02      3.599178e+01   
     0.006239          0.807302        9.191158e+05      9.194182e+05     -3.347776e+02      3.231124e+01   
     0.006239          0.883916        8.224359e+05      8.227238e+05     -3.166845e+02      2.879499e+01   
