#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.795477e+08      2.795531e+08     -5.684221e+03      2.743627e+02   
     0.001185          0.009274        1.759503e+08      1.759546e+08     -4.604502e+03      2.619191e+02   
     0.001185          0.022740        1.110719e+08      1.110754e+08     -3.692132e+03      2.384796e+02   
     0.001185          0.042083        6.404777e+07      6.405037e+07     -2.804029e+03      2.040636e+02   
     0.001185          0.067187        2.774830e+07      2.774998e+07     -1.854788e+03      1.783790e+02   
     0.001185          0.097901        1.803374e+07      1.803509e+07     -1.513997e+03      1.644334e+02   
     0.001185          0.134040        1.300232e+07      1.300344e+07     -1.274162e+03      1.535719e+02   
     0.001185          0.175388        1.027279e+07      1.027379e+07     -1.142185e+03      1.437991e+02   
     0.001185          0.221694        7.623895e+06      7.624743e+06     -9.830070e+02      1.348447e+02   
     0.001185          0.272682        5.998624e+06      5.999371e+06     -8.732103e+02      1.261880e+02   
     0.001185          0.328043        4.801938e+06      4.802592e+06     -7.719096e+02      1.177211e+02   
     0.001185          0.387446        3.953715e+06      3.954313e+06     -7.089270e+02      1.100852e+02   
     0.001185          0.450533        3.318261e+06      3.318808e+06     -6.494670e+02      1.023301e+02   
     0.001185          0.516924        2.770297e+06      2.770795e+06     -5.934282e+02      9.519552e+01   
     0.001185          0.586221        2.299907e+06      2.300359e+06     -5.407093e+02      8.832463e+01   
     0.001185          0.658006        1.898046e+06      1.898456e+06     -4.912089e+02      8.124658e+01   
     0.001185          0.731848        1.720208e+06      1.720601e+06     -4.676339e+02      7.500624e+01   
     0.001185          0.807302        1.556477e+06      1.556853e+06     -4.448256e+02      6.852014e+01   
     0.001185          0.883916        1.267747e+06      1.268086e+06     -4.014581e+02      6.233872e+01   
     0.001185          0.961228        1.141055e+06      1.141379e+06     -3.808736e+02      5.676909e+01   
     0.001185          1.038772        1.025094e+06      1.025403e+06     -3.610050e+02      5.157757e+01   
     0.001185          1.116084        9.191230e+05      9.194182e+05     -3.418397e+02      4.663680e+01   
     0.001185          1.192698        8.224424e+05      8.227238e+05     -3.233650e+02      4.198578e+01   
     0.001185          1.268152        7.343885e+05      7.346564e+05     -3.055682e+02      3.766572e+01   
     0.001185          1.341994        6.543343e+05      6.545890e+05     -2.884366e+02      3.371564e+01   
     0.001185          1.413779        5.816876e+05      5.819294e+05     -2.719576e+02      3.011397e+01   
     0.001185          1.483076        5.816845e+05      5.819294e+05     -2.719576e+02      2.701441e+01   
     0.001185          1.549467        5.158875e+05      5.161189e+05     -2.561184e+02      2.466648e+01   
     0.001185          1.612554        4.564121e+05      4.566309e+05     -2.409066e+02      2.207712e+01   
     0.001185          1.671957        4.027633e+05      4.029699e+05     -2.263092e+02      1.974375e+01   
     0.001185          1.727318        4.027617e+05      4.029699e+05     -2.263092e+02      1.814265e+01   
     0.001185          1.778306        3.544743e+05      3.546700e+05     -2.123138e+02      1.654619e+01   
     0.001185          1.824612        3.111100e+05      3.112940e+05     -1.989076e+02      1.498500e+01   
     0.001185          1.865960        3.111092e+05      3.112940e+05     -1.989076e+02      1.410192e+01   
     0.001185          1.902099        3.011913e+05      3.013709e+05     -1.925670e+02      1.296323e+01   
     0.001185          1.932813        2.722579e+05      2.724317e+05     -1.860779e+02      1.232654e+01   
     0.001185          1.957917        2.722575e+05      2.724317e+05     -1.860779e+02      1.187357e+01   
     0.001185          1.977260        2.722569e+05      2.724317e+05     -1.860779e+02      1.130144e+01   
     0.001185          1.990726        2.375365e+05      2.376993e+05     -1.738121e+02      1.093685e+01   
     0.001185          1.998238        2.375363e+05      2.376993e+05     -1.738121e+02      1.079285e+01   
     0.006239          0.001762        1.544344e+08      1.544385e+08     -4.260216e+03      1.459006e+02   
     0.006239          0.009274        1.454552e+08      1.454590e+08     -3.904573e+03      1.423354e+02   
     0.006239          0.022740        1.051348e+08      1.051380e+08     -3.295096e+03      1.362810e+02   
     0.006239          0.042083        6.038787e+07      6.039019e+07     -2.452690e+03      1.289376e+02   
     0.006239          0.067187        2.800738e+07      2.800898e+07     -1.729476e+03      1.225831e+02   
     0.006239          0.097901        1.788446e+07      1.788577e+07     -1.428657e+03      1.177029e+02   
     0.006239          0.134040        1.309098e+07      1.309210e+07     -1.234101e+03      1.130314e+02   
     0.006239          0.175388        1.003110e+07      1.003208e+07     -1.085027e+03      1.082616e+02   
     0.006239          0.221694        7.839644e+06      7.840504e+06     -9.626989e+02      1.032851e+02   
     0.006239          0.272682        6.159159e+06      6.159916e+06     -8.551704e+02      9.812588e+01   
     0.006239          0.328043        4.867153e+06      4.867817e+06     -7.559626e+02      9.288116e+01   
     0.006239          0.387446        3.938691e+06      3.939295e+06     -6.916442e+02      8.750413e+01   
     0.006239          0.450533        3.248737e+06      3.249277e+06     -6.227239e+02      8.198870e+01   
     0.006239          0.516924        2.738545e+06      2.739043e+06     -5.745086e+02      7.644643e+01   
     0.006239          0.586221        2.299901e+06      2.300359e+06     -5.295387e+02      7.087573e+01   
     0.006239          0.658006        1.965728e+06      1.966144e+06     -4.810609e+02      6.522908e+01   
     0.006239          0.731848        1.720203e+06      1.720601e+06     -4.579730e+02      5.975991e+01   
     0.006239          0.807302        1.536362e+06      1.536737e+06     -4.300071e+02      5.436531e+01   
     0.006239          0.883916        1.304459e+06      1.304803e+06     -3.931643e+02      4.910280e+01   
     0.006239          0.961228        1.141050e+06      1.141379e+06     -3.730051e+02      4.412653e+01   
     0.006239          1.038772        1.025089e+06      1.025403e+06     -3.535470e+02      3.941698e+01   
     0.006239          1.116084        9.191185e+05      9.194182e+05     -3.347776e+02      3.498824e+01   
     0.006239          1.192698        8.224380e+05      8.227238e+05     -3.166845e+02      3.090679e+01   
     0.006239          1.268152        7.343843e+05      7.346564e+05     -2.992554e+02      2.715289e+01   
     0.006239          1.341994        6.543303e+05      6.545890e+05     -2.824777e+02      2.373945e+01   
     0.006239          1.413779        5.837463e+05      5.839919e+05     -2.663391e+02      2.069363e+01   
     0.006239          1.483076        5.546752e+05      5.549111e+05     -2.539733e+02      1.801414e+01   
     0.006239          1.549467        5.158838e+05      5.161189e+05     -2.508272e+02      1.571659e+01   
     0.006239          1.612554        4.564087e+05      4.566309e+05     -2.359296e+02      1.367227e+01   
     0.006239          1.671957        4.027602e+05      4.029699e+05     -2.216339e+02      1.192599e+01   
     0.006239          1.727318        4.005021e+05      4.007121e+05     -2.203921e+02      1.044987e+01   
     0.006239          1.778306        3.544713e+05      3.546700e+05     -2.079276e+02      9.217724e+00   
     0.006239          1.824612        3.272629e+05      3.274496e+05     -1.947983e+02      8.143084e+00   
     0.006239          1.865960        3.111065e+05      3.112940e+05     -1.947983e+02      7.339479e+00   
     0.006239          1.902099        2.929035e+05      2.930803e+05     -1.834008e+02      6.617472e+00   
     0.006239          1.932813        2.722556e+05      2.724317e+05     -1.822337e+02      6.123533e+00   
     0.006239          1.957917        2.722552e+05      2.724317e+05     -1.822337e+02      5.700748e+00   
     0.006239          1.977260        2.620211e+05      2.621911e+05     -1.753836e+02      5.379431e+00   
     0.006239          1.990726        2.434276e+05      2.435926e+05     -1.702213e+02      5.172544e+00   
     0.006239          1.998238        2.375342e+05      2.376993e+05     -1.702213e+02      5.078379e+00   
     0.015318          0.001762        8.945191e+07      8.945503e+07     -3.243019e+03      1.189439e+02   
     0.015318          0.009274        8.705047e+07      8.705340e+07     -3.041512e+03      1.177144e+02   
     0.015318          0.022740        7.501744e+07      7.501991e+07     -2.587851e+03      1.155984e+02   
     0.015318          0.042083        4.884632e+07      4.884816e+07     -1.948343e+03      1.127016e+02   
     0.015318          0.067187        2.826207e+07      2.826353e+07     -1.575286e+03      1.096571e+02   
     0.015318          0.097901        1.775353e+07      1.775478e+07     -1.350170e+03      1.066267e+02   
     0.015318          0.134040        1.302572e+07      1.302681e+07     -1.186248e+03      1.033132e+02   
     0.015318          0.175388        9.983846e+06      9.984794e+06     -1.048019e+03      9.961560e+01   
     0.015318          0.221694        7.777586e+06      7.778423e+06     -9.325124e+02      9.559224e+01   
     0.015318          0.272682        6.120448e+06      6.121187e+06     -8.301052e+02      9.128272e+01   
     0.015318          0.328043        4.856447e+06      4.857101e+06     -7.407307e+02      8.672187e+01   
     0.015318          0.387446        3.925227e+06      3.925815e+06     -6.703753e+02      8.193301e+01   
     0.015318          0.450533        3.229949e+06      3.230481e+06     -6.093704e+02      7.688820e+01   
     0.015318          0.516924        2.695232e+06      2.695719e+06     -5.586462e+02      7.172999e+01   
     0.015318          0.586221        2.301478e+06      2.301930e+06     -5.189619e+02      6.652557e+01   
     0.015318          0.658006        1.979569e+06      1.979985e+06     -4.779602e+02      6.121192e+01   
     0.015318          0.731848        1.718505e+06      1.718901e+06     -4.521704e+02      5.594377e+01   
     0.015318          0.807302        1.501323e+06      1.501689e+06     -4.174916e+02      5.078514e+01   
