#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        7.874789e+07      7.879657e+07     -4.909693e+04      4.164796e+02   
     0.001185          0.009274        3.781332e+07      3.784597e+07     -3.299267e+04      3.374009e+02   
     0.001185          0.022740        1.370225e+07      1.372323e+07     -2.128846e+04      3.113078e+02   
     0.001185          0.042083        1.004744e+07      1.006536e+07     -1.820430e+04      2.884444e+02   
     0.001185          0.067187        6.679778e+06      6.694256e+06     -1.474021e+04      2.622465e+02   
     0.001185          0.097901        4.099116e+06      4.110438e+06     -1.155846e+04      2.366845e+02   
     0.001185          0.134040        2.656403e+06      2.665509e+06     -9.323658e+03      2.179648e+02   
     0.001185          0.175388        1.984715e+06      1.992582e+06     -8.069486e+03      2.026997e+02   
     0.001185          0.221694        1.472908e+06      1.479665e+06     -6.945205e+03      1.888852e+02   
     0.001185          0.272682        1.135298e+06      1.141379e+06     -6.256919e+03      1.763989e+02   
     0.001185          0.328043        8.645797e+05      8.697283e+05     -5.312178e+03      1.635803e+02   
     0.001185          0.387446        6.888814e+05      6.934681e+05     -4.738381e+03      1.516967e+02   
     0.001185          0.450533        5.439697e+05      5.480372e+05     -4.207465e+03      1.399677e+02   
     0.001185          0.516924        4.528029e+05      4.566309e+05     -3.957567e+03      1.295040e+02   
     0.001185          0.586221        3.513006e+05      3.546700e+05     -3.487850e+03      1.184284e+02   
     0.001185          0.658006        3.050625e+05      3.081893e+05     -3.235026e+03      1.081830e+02   
     0.001185          0.731848        2.349418e+05      2.376993e+05     -2.855352e+03      9.777730e+01   
     0.001185          0.807302        2.041639e+05      2.067381e+05     -2.662906e+03      8.865091e+01   
     0.001185          0.883916        1.768136e+05      1.792131e+05     -2.479308e+03      7.986829e+01   
     0.001185          0.961228        1.525792e+05      1.548121e+05     -2.304348e+03      7.143149e+01   
     0.001185          1.038772        1.311708e+05      1.332449e+05     -2.137819e+03      6.371091e+01   
     0.001185          1.116084        1.123189e+05      1.142418e+05     -1.979512e+03      5.657232e+01   
     0.001185          1.192698        9.577372e+04      9.755295e+04     -1.829219e+03      4.999095e+01   
     0.001185          1.268152        8.130426e+04      8.294714e+04     -1.686733e+03      4.386017e+01   
     0.001185          1.341994        6.869729e+04      7.021098e+04     -1.551844e+03      3.816210e+01   
