#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.709964e+09      1.709981e+09     -1.731176e+04      4.964220e+02   
     0.001185          0.009274        8.519859e+08      8.519977e+08     -1.231511e+04      4.939227e+02   
     0.001185          0.022740        4.378353e+08      4.378438e+08     -9.033621e+03      4.897285e+02   
     0.001185          0.042083        2.656357e+08      2.656423e+08     -7.097337e+03      4.839073e+02   
     0.001185          0.067187        1.772442e+08      1.772495e+08     -5.802918e+03      4.764810e+02   
     0.001185          0.097901        1.264284e+08      1.264328e+08     -4.918301e+03      4.674798e+02   
     0.001185          0.134040        9.463485e+07      9.463863e+07     -4.235718e+03      4.565839e+02   
     0.001185          0.175388        7.382242e+07      7.382573e+07     -3.757013e+03      4.436687e+02   
     0.001185          0.221694        5.816759e+07      5.817049e+07     -3.335042e+03      4.290821e+02   
     0.001185          0.272682        4.838142e+07      4.838408e+07     -3.065977e+03      4.130206e+02   
     0.001185          0.328043        4.069152e+07      4.069394e+07     -2.811788e+03      3.956690e+02   
     0.001185          0.387446        3.404833e+07      3.405052e+07     -2.572051e+03      3.765325e+02   
     0.001185          0.450533        2.833461e+07      2.833660e+07     -2.346343e+03      3.560480e+02   
     0.001185          0.516924        2.498856e+07      2.499043e+07     -2.203457e+03      3.347206e+02   
     0.001185          0.586221        2.197848e+07      2.198023e+07     -2.066492e+03      3.127754e+02   
     0.001185          0.658006        1.927681e+07      1.927845e+07     -1.935324e+03      2.899113e+02   
     0.001185          0.731848        1.803349e+07      1.803509e+07     -1.871875e+03      2.669182e+02   
     0.001185          0.807302        1.574656e+07      1.574806e+07     -1.749167e+03      2.442010e+02   
     0.001185          0.883916        1.469709e+07      1.469856e+07     -1.689877e+03      2.214754e+02   
     0.001185          0.961228        1.277233e+07      1.277371e+07     -1.575347e+03      1.995352e+02   
     0.001185          1.038772        1.189175e+07      1.189310e+07     -1.520076e+03      1.785401e+02   
     0.001185          1.116084        1.106236e+07      1.106366e+07     -1.466112e+03      1.584817e+02   
     0.001185          1.192698        1.028173e+07      1.028301e+07     -1.413441e+03      1.398740e+02   
     0.001185          1.268152        9.547565e+06      9.548804e+06     -1.362047e+03      1.225343e+02   
     0.001185          1.341994        8.857610e+06      8.858815e+06     -1.311914e+03      1.067808e+02   
     0.001185          1.413779        8.209713e+06      8.210884e+06     -1.263027e+03      9.252802e+01   
     0.001185          1.483076        7.601799e+06      7.602935e+06     -1.215370e+03      7.984564e+01   
     0.001185          1.549467        7.031869e+06      7.032969e+06     -1.168926e+03      6.865125e+01   
     0.001185          1.612554        6.497999e+06      6.499064e+06     -1.123681e+03      5.891887e+01   
     0.001185          1.671957        6.497991e+06      6.499064e+06     -1.123681e+03      5.051747e+01   
     0.001185          1.727318        5.998335e+06      5.999371e+06     -1.079619e+03      4.338254e+01   
     0.001185          1.778306        5.531114e+06      5.532113e+06     -1.036724e+03      3.737079e+01   
     0.001185          1.824612        5.531109e+06      5.532113e+06     -1.036724e+03      3.237672e+01   
     0.001185          1.865960        5.094617e+06      5.095584e+06     -9.949807e+02      2.828857e+01   
     0.001185          1.902099        5.094614e+06      5.095584e+06     -9.949807e+02      2.498837e+01   
     0.001185          1.932813        4.687212e+06      4.688144e+06     -9.543731e+02      2.237974e+01   
     0.001185          1.957917        4.687210e+06      4.688144e+06     -9.543731e+02      2.038264e+01   
     0.001185          1.977260        4.687209e+06      4.688144e+06     -9.543731e+02      1.892488e+01   
     0.001185          1.990726        4.307327e+06      4.308224e+06     -9.148856e+02      1.794995e+01   
     0.001185          1.998238        4.307326e+06      4.308224e+06     -9.148856e+02      1.742083e+01   
     0.006239          0.001762        6.921494e+08      6.921602e+08     -1.130062e+04      4.962443e+02   
     0.006239          0.009274        6.418658e+08      6.418753e+08     -9.960285e+03      4.937640e+02   
     0.006239          0.022740        4.198898e+08      4.198975e+08     -8.185589e+03      4.895988e+02   
     0.006239          0.042083        2.618738e+08      2.618800e+08     -6.717198e+03      4.838051e+02   
     0.006239          0.067187        1.762747e+08      1.762799e+08     -5.622805e+03      4.764004e+02   
     0.006239          0.097901        1.261904e+08      1.261948e+08     -4.810500e+03      4.674155e+02   
     0.006239          0.134040        9.449137e+07      9.449510e+07     -4.189138e+03      4.565318e+02   
     0.006239          0.175388        7.346035e+07      7.346362e+07     -3.709637e+03      4.436260e+02   
     0.006239          0.221694        5.859490e+07      5.859780e+07     -3.330655e+03      4.290466e+02   
     0.006239          0.272682        4.770775e+07      4.771035e+07     -3.011651e+03      4.129909e+02   
     0.006239          0.328043        3.974832e+07      3.975067e+07     -2.746591e+03      3.956438e+02   
     0.006239          0.387446        3.367535e+07      3.367752e+07     -2.543857e+03      3.765111e+02   
     0.006239          0.450533        2.891301e+07      2.891500e+07     -2.346326e+03      3.560297e+02   
     0.006239          0.516924        2.498993e+07      2.499180e+07     -2.203440e+03      3.347042e+02   
     0.006239          0.586221        2.197848e+07      2.198023e+07     -2.066477e+03      3.127613e+02   
     0.006239          0.658006        1.936130e+07      1.936295e+07     -1.935310e+03      2.898989e+02   
     0.006239          0.731848        1.754540e+07      1.754695e+07     -1.821197e+03      2.669075e+02   
     0.006239          0.807302        1.574656e+07      1.574806e+07     -1.749154e+03      2.441907e+02   
     0.006239          0.883916        1.434806e+07      1.434949e+07     -1.649732e+03      2.214663e+02   
     0.006239          0.961228        1.277233e+07      1.277371e+07     -1.575335e+03      1.995263e+02   
     0.006239          1.038772        1.189175e+07      1.189310e+07     -1.520064e+03      1.785311e+02   
     0.006239          1.116084        1.106236e+07      1.106366e+07     -1.466101e+03      1.584729e+02   
     0.006239          1.192698        1.028173e+07      1.028301e+07     -1.413431e+03      1.398650e+02   
     0.006239          1.268152        9.547565e+06      9.548804e+06     -1.362037e+03      1.225252e+02   
     0.006239          1.341994        8.857610e+06      8.858815e+06     -1.311905e+03      1.067715e+02   
     0.006239          1.413779        8.209713e+06      8.210884e+06     -1.263018e+03      9.251853e+01   
     0.006239          1.483076        7.601799e+06      7.602935e+06     -1.215360e+03      7.983614e+01   
     0.006239          1.549467        7.031869e+06      7.032969e+06     -1.168917e+03      6.864193e+01   
     0.006239          1.612554        6.497999e+06      6.499064e+06     -1.123673e+03      5.890977e+01   
     0.006239          1.671957        6.365280e+06      6.366330e+06     -1.100723e+03      5.050809e+01   
     0.006239          1.727318        5.998335e+06      5.999371e+06     -1.079611e+03      4.337286e+01   
     0.006239          1.778306        5.531114e+06      5.532113e+06     -1.036716e+03      3.736157e+01   
     0.006239          1.824612        5.522471e+06      5.523474e+06     -1.035097e+03      3.236705e+01   
     0.006239          1.865960        5.094617e+06      5.095584e+06     -9.949732e+02      2.827921e+01   
     0.006239          1.902099        5.077606e+06      5.078573e+06     -9.916517e+02      2.497887e+01   
     0.006239          1.932813        4.687212e+06      4.688144e+06     -9.543659e+02      2.237075e+01   
     0.006239          1.957917        4.687210e+06      4.688144e+06     -9.543659e+02      2.037335e+01   
     0.006239          1.977260        4.662705e+06      4.663636e+06     -9.493767e+02      1.891566e+01   
     0.006239          1.990726        4.454639e+06      4.455535e+06     -9.148788e+02      1.794123e+01   
     0.006239          1.998238        4.343061e+06      4.343959e+06     -9.148788e+02      1.741209e+01   
     0.015318          0.001762        3.451233e+08      3.451309e+08     -8.093023e+03      4.962867e+02   
     0.015318          0.009274        3.405666e+08      3.405738e+08     -7.664087e+03      4.938069e+02   
     0.015318          0.022740        3.181393e+08      3.181457e+08     -6.917180e+03      4.896395e+02   
     0.015318          0.042083        2.448214e+08      2.448269e+08     -6.052907e+03      4.838402e+02   
     0.015318          0.067187        1.716189e+08      1.716237e+08     -5.257966e+03      4.764279e+02   
     0.015318          0.097901        1.245208e+08      1.245250e+08     -4.590425e+03      4.674351e+02   
     0.015318          0.134040        9.385405e+07      9.385765e+07     -4.053355e+03      4.565440e+02   
     0.015318          0.175388        7.306712e+07      7.307029e+07     -3.614862e+03      4.436319e+02   
     0.015318          0.221694        5.839237e+07      5.839520e+07     -3.257021e+03      4.290476e+02   
     0.015318          0.272682        4.772948e+07      4.773203e+07     -2.960549e+03      4.129879e+02   
     0.015318          0.328043        3.974895e+07      3.975127e+07     -2.711595e+03      3.956381e+02   
     0.015318          0.387446        3.374434e+07      3.374647e+07     -2.512249e+03      3.765037e+02   
     0.015318          0.450533        2.886612e+07      2.886809e+07     -2.329191e+03      3.560217e+02   
     0.015318          0.516924        2.514114e+07      2.514298e+07     -2.177284e+03      3.346965e+02   
     0.015318          0.586221        2.210307e+07      2.210480e+07     -2.045835e+03      3.127545e+02   
     0.015318          0.658006        1.968165e+07      1.968330e+07     -1.935100e+03      2.898939e+02   
     0.015318          0.731848        1.746997e+07      1.747151e+07     -1.813171e+03      2.669047e+02   
     0.015318          0.807302        1.575763e+07      1.575912e+07     -1.739862e+03      2.441906e+02   
     0.015318          0.883916        1.424901e+07      1.425043e+07     -1.638166e+03      2.214692e+02   
     0.015318          0.961228        1.299204e+07      1.299341e+07     -1.575164e+03      1.995327e+02   
     0.015318          1.038772        1.189175e+07      1.189310e+07     -1.519899e+03      1.785408e+02   
