#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        6.578325e+07      6.582832e+07     -4.587083e+04      7.996255e+02   
     0.001185          0.009274        3.470939e+07      3.474231e+07     -3.357666e+04      6.582692e+02   
     0.001185          0.022740        1.083981e+07      1.085858e+07     -1.935071e+04      5.805547e+02   
     0.001185          0.042083        7.811015e+06      7.826933e+06     -1.643434e+04      5.168362e+02   
     0.001185          0.067187        5.118057e+06      5.130852e+06     -1.323819e+04      4.426910e+02   
     0.001185          0.097901        3.101231e+06      3.111125e+06     -1.026861e+04      3.749035e+02   
     0.001185          0.134040        1.984662e+06      1.992582e+06     -8.246997e+03      3.274673e+02   
     0.001185          0.175388        1.431939e+06      1.438744e+06     -7.097985e+03      2.932285e+02   
     0.001185          0.221694        1.058144e+06      1.063940e+06     -6.060981e+03      2.649658e+02   
     0.001185          0.272682        7.831103e+05      7.880711e+05     -5.200367e+03      2.395106e+02   
     0.001185          0.328043        6.091663e+05      6.135154e+05     -4.565946e+03      2.169057e+02   
     0.001185          0.387446        4.527839e+05      4.566309e+05     -4.044625e+03      1.975695e+02   
     0.001185          0.450533        3.512848e+05      3.546700e+05     -3.564576e+03      1.792904e+02   
     0.001185          0.516924        2.882532e+05      2.912153e+05     -3.124096e+03      1.619970e+02   
     0.001185          0.586221        2.349298e+05      2.376993e+05     -2.918163e+03      1.486299e+02   
     0.001185          0.658006        1.768127e+05      1.792131e+05     -2.533847e+03      1.334610e+02   
     0.001185          0.731848        1.525793e+05      1.548121e+05     -2.355039e+03      1.222074e+02   
     0.001185          0.807302        1.311707e+05      1.332449e+05     -2.184846e+03      1.106894e+02   
     0.001185          0.883916        1.037971e+05      1.055681e+05     -1.869458e+03      9.847693e+01   
     0.001185          0.961228        8.411067e+04      8.574557e+04     -1.723837e+03      8.893760e+01   
     0.001185          1.038772        6.870512e+04      7.021098e+04     -1.585981e+03      8.012425e+01   
     0.001185          1.116084        5.776406e+04      5.914790e+04     -1.455678e+03      7.184289e+01   
     0.001185          1.192698        5.087068e+04      5.213910e+04     -1.332714e+03      6.429049e+01   
     0.001185          1.268152        4.592554e+04      4.713409e+04     -1.267037e+03      5.848903e+01   
     0.001185          1.341994        4.017009e+04      4.133346e+04     -1.216876e+03      5.351030e+01   
     0.001185          1.413779        3.320487e+04      3.426507e+04     -1.107953e+03      4.774802e+01   
     0.001185          1.483076        2.727065e+04      2.823402e+04     -1.005731e+03      4.236043e+01   
     0.001185          1.549467        2.224235e+04      2.311478e+04     -9.099981e+02      3.756994e+01   
     0.001185          1.612554        2.223965e+04      2.311478e+04     -9.099981e+02      3.486488e+01   
     0.001185          1.671957        1.800412e+04      1.879356e+04     -8.205406e+02      3.110779e+01   
     0.001185          1.727318        1.445818e+04      1.516758e+04     -7.371463e+02      2.774943e+01   
     0.001185          1.778306        1.445653e+04      1.516758e+04     -7.371463e+02      2.610095e+01   
     0.001185          1.824612        1.150803e+04      1.214432e+04     -6.596023e+02      2.331038e+01   
     0.001185          1.865960        1.150688e+04      1.214432e+04     -6.596023e+02      2.216318e+01   
     0.001185          1.902099        9.073090e+03      9.640827e+03     -5.876960e+02      1.995944e+01   
     0.001185          1.932813        9.072307e+03      9.640827e+03     -5.876960e+02      1.917625e+01   
     0.001185          1.957917        9.071539e+03      9.640827e+03     -5.876960e+02      1.840832e+01   
     0.001185          1.977260        7.078724e+03      7.583014e+03     -5.212146e+02      1.692424e+01   
     0.001185          1.990726        7.078504e+03      7.583014e+03     -5.212146e+02      1.670445e+01   
     0.001185          1.998238        7.078327e+03      7.583014e+03     -5.212146e+02      1.652686e+01   
     0.006239          0.001762        2.122952e+07      2.125333e+07     -2.402943e+04      2.213122e+02   
     0.006239          0.009274        1.792778e+07      1.794783e+07     -2.026138e+04      2.110026e+02   
     0.006239          0.022740        1.101985e+07      1.103787e+07     -1.821991e+04      2.018855e+02   
     0.006239          0.042083        7.653885e+06      7.669310e+06     -1.561604e+04      1.913831e+02   
     0.006239          0.067187        5.048921e+06      5.061372e+06     -1.263018e+04      1.789653e+02   
     0.006239          0.097901        3.072208e+06      3.081964e+06     -9.923400e+03      1.670678e+02   
     0.006239          0.134040        1.992767e+06      2.000702e+06     -8.091782e+03      1.568971e+02   
     0.006239          0.175388        1.415150e+06      1.421916e+06     -6.913640e+03      1.477415e+02   
     0.006239          0.221694        1.046319e+06      1.052139e+06     -5.958903e+03      1.388027e+02   
     0.006239          0.272682        7.887255e+05      7.937784e+05     -5.182850e+03      1.299031e+02   
     0.006239          0.328043        6.014485e+05      6.058537e+05     -4.526428e+03      1.212266e+02   
     0.006239          0.387446        4.632585e+05      4.671554e+05     -4.009619e+03      1.126697e+02   
     0.006239          0.450533        3.594718e+05      3.629014e+05     -3.533724e+03      1.041394e+02   
     0.006239          0.516924        2.837168e+05      2.867181e+05     -3.097057e+03      9.573145e+01   
     0.006239          0.586221        2.318131e+05      2.345803e+05     -2.854947e+03      8.766950e+01   
     0.006239          0.658006        1.816778e+05      1.841100e+05     -2.511917e+03      7.972768e+01   
     0.006239          0.731848        1.525497e+05      1.548121e+05     -2.334656e+03      7.219518e+01   
     0.006239          0.807302        1.287867e+05      1.308488e+05     -2.126987e+03      6.486310e+01   
     0.006239          0.883916        1.046763e+05      1.064878e+05     -1.869424e+03      5.787632e+01   
     0.006239          0.961228        8.490706e+04      8.656450e+04     -1.708918e+03      5.147337e+01   
     0.006239          1.038772        7.068536e+04      7.221208e+04     -1.572255e+03      4.553558e+01   
     0.006239          1.116084        5.953061e+04      6.093365e+04     -1.443079e+03      4.003779e+01   
     0.006239          1.192698        5.120584e+04      5.249202e+04     -1.321179e+03      3.499311e+01   
     0.006239          1.268152        4.546927e+04      4.668279e+04     -1.244045e+03      3.052622e+01   
     0.006239          1.341994        4.015376e+04      4.133346e+04     -1.206344e+03      2.663997e+01   
     0.006239          1.413779        3.318982e+04      3.426507e+04     -1.098364e+03      2.311470e+01   
     0.006239          1.483076        2.725694e+04      2.823402e+04     -9.970268e+02      1.994090e+01   
     0.006239          1.549467        2.245840e+04      2.334330e+04     -9.021221e+02      1.722400e+01   
     0.006239          1.612554        2.200714e+04      2.288537e+04     -8.931687e+02      1.493931e+01   
     0.006239          1.671957        1.799313e+04      1.879356e+04     -8.134389e+02      1.301077e+01   
     0.006239          1.727318        1.460229e+04      1.532178e+04     -7.307663e+02      1.127565e+01   
     0.006239          1.778306        1.444675e+04      1.516758e+04     -7.307663e+02      9.940982e+00   
     0.006239          1.824612        1.149922e+04      1.214432e+04     -6.538935e+02      8.792058e+00   
     0.006239          1.865960        1.149828e+04      1.214432e+04     -6.538935e+02      7.852628e+00   
     0.006239          1.902099        9.107094e+03      9.682641e+03     -5.826095e+02      7.062158e+00   
     0.006239          1.932813        9.064749e+03      9.640827e+03     -5.826095e+02      6.531531e+00   
     0.006239          1.957917        9.064241e+03      9.640827e+03     -5.826095e+02      6.023315e+00   
     0.006239          1.977260        7.710035e+03      8.221095e+03     -5.167035e+02      5.642979e+00   
     0.006239          1.990726        7.071776e+03      7.583014e+03     -5.167035e+02      5.464552e+00   
     0.006239          1.998238        7.071686e+03      7.583014e+03     -5.167035e+02      5.375363e+00   
     0.015318          0.001762        9.410896e+06      9.428591e+06     -1.785752e+04      1.623289e+02   
     0.015318          0.009274        9.306292e+06      9.323496e+06     -1.736416e+04      1.606993e+02   
     0.015318          0.022740        9.039672e+06      9.055546e+06     -1.603218e+04      1.576065e+02   
     0.015318          0.042083        6.967573e+06      6.981342e+06     -1.392233e+04      1.529928e+02   
     0.015318          0.067187        4.737194e+06      4.748456e+06     -1.140986e+04      1.473211e+02   
     0.015318          0.097901        3.016543e+06      3.025653e+06     -9.250681e+03      1.413236e+02   
     0.015318          0.134040        1.988344e+06      1.995975e+06     -7.765804e+03      1.352852e+02   
     0.015318          0.175388        1.411306e+06      1.417850e+06     -6.673596e+03      1.290740e+02   
     0.015318          0.221694        1.043013e+06      1.048686e+06     -5.795384e+03      1.225728e+02   
     0.015318          0.272682        7.869586e+05      7.918968e+05     -5.054008e+03      1.157970e+02   
     0.015318          0.328043        6.004911e+05      6.048221e+05     -4.439839e+03      1.087693e+02   
     0.015318          0.387446        4.623090e+05      4.661279e+05     -3.920454e+03      1.016068e+02   
     0.015318          0.450533        3.620337e+05      3.654224e+05     -3.483098e+03      9.432741e+01   
     0.015318          0.516924        2.859158e+05      2.889193e+05     -3.090497e+03      8.698662e+01   
     0.015318          0.586221        2.273470e+05      2.300437e+05     -2.776443e+03      7.975418e+01   
     0.015318          0.658006        1.857566e+05      1.881906e+05     -2.506596e+03      7.260953e+01   
     0.015318          0.731848        1.517400e+05      1.539753e+05     -2.300952e+03      6.567102e+01   
     0.015318          0.807302        1.252005e+05      1.272048e+05     -2.063374e+03      5.898710e+01   
     0.015318          0.883916        1.040162e+05      1.058173e+05     -1.853719e+03      5.256061e+01   
     0.015318          0.961228        8.682162e+04      8.848034e+04     -1.705298e+03      4.658159e+01   
     0.015318          1.038772        7.280988e+04      7.433779e+04     -1.568925e+03      4.101527e+01   
     0.015318          1.116084        6.141086e+04      6.281501e+04     -1.440022e+03      3.587151e+01   
     0.015318          1.192698        5.213941e+04      5.342661e+04     -1.318381e+03      3.117800e+01   
     0.015318          1.268152        4.460992e+04      4.580089e+04     -1.217958e+03      2.698061e+01   
     0.015318          1.341994        3.849254e+04      3.962326e+04     -1.153982e+03      2.325986e+01   
     0.015318          1.413779        3.312033e+04      3.419413e+04     -1.093768e+03      1.996694e+01   
     0.015318          1.483076        2.725620e+04      2.823402e+04     -9.949150e+02      1.708649e+01   
     0.015318          1.549467        2.357154e+04      2.445717e+04     -9.002113e+02      1.458451e+01   
     0.015318          1.612554        2.094753e+04      2.178341e+04     -8.483609e+02      1.247291e+01   
     0.015318          1.671957        1.799253e+04      1.879356e+04     -8.117159e+02      1.068610e+01   
     0.015318          1.727318        1.543879e+04      1.615884e+04     -7.292185e+02      9.173606e+00   
     0.015318          1.778306        1.413072e+04      1.483606e+04     -7.132799e+02      7.938193e+00   
     0.015318          1.824612        1.189819e+04      1.254380e+04     -6.525085e+02      6.905029e+00   
     0.015318          1.865960        1.118387e+04      1.181246e+04     -6.346779e+02      6.081469e+00   
     0.015318          1.902099        9.733305e+03      1.030927e+04     -5.813755e+02      5.405853e+00   
     0.015318          1.932813        9.064344e+03      9.640827e+03     -5.813755e+02      4.892290e+00   
     0.015318          1.957917        8.539230e+03      9.082442e+03     -5.477029e+02      4.490792e+00   
     0.015318          1.977260        7.898498e+03      8.409924e+03     -5.156090e+02      4.183318e+00   
     0.015318          1.990726        7.475562e+03      7.987166e+03     -5.156090e+02      4.004671e+00   
     0.015318          1.998238        7.240874e+03      7.752583e+03     -5.156090e+02      3.899603e+00   
     0.028399          0.001762        6.165775e+06      6.180008e+06     -1.437790e+04      1.456713e+02   
     0.028399          0.009274        6.061161e+06      6.075000e+06     -1.398330e+04      1.450739e+02   
     0.028399          0.022740        5.793962e+06      5.806795e+06     -1.297657e+04      1.432378e+02   
     0.028399          0.042083        5.135020e+06      5.146368e+06     -1.148763e+04      1.402866e+02   
     0.028399          0.067187        4.042116e+06      4.051797e+06     -9.818103e+03      1.365272e+02   
     0.028399          0.097901        2.835262e+06      2.843508e+06     -8.378276e+03      1.322039e+02   
     0.028399          0.134040        1.947607e+06      1.954713e+06     -7.233373e+03      1.274348e+02   
     0.028399          0.175388        1.388313e+06      1.394499e+06     -6.307604e+03      1.222304e+02   
     0.028399          0.221694        1.029627e+06      1.035049e+06     -5.539195e+03      1.165486e+02   
     0.028399          0.272682        7.800208e+05      7.847751e+05     -4.864825e+03      1.104620e+02   
     0.028399          0.328043        5.963326e+05      6.005268e+05     -4.298191e+03      1.040652e+02   
     0.028399          0.387446        4.605644e+05      4.642729e+05     -3.805879e+03      9.742275e+01   
     0.028399          0.450533        3.603500e+05      3.636468e+05     -3.387379e+03      9.059212e+01   
     0.028399          0.516924        2.841858e+05      2.871160e+05     -3.013885e+03      8.366125e+01   
     0.028399          0.586221        2.287515e+05      2.314008e+05     -2.726056e+03      7.673160e+01   
     0.028399          0.658006        1.844601e+05      1.868483e+05     -2.458076e+03      6.987328e+01   
     0.028399          0.731848        1.511062e+05      1.532746e+05     -2.231509e+03      6.316845e+01   
     0.028399          0.807302        1.244701e+05      1.264411e+05     -2.027725e+03      5.668431e+01   
     0.028399          0.883916        1.037137e+05      1.055097e+05     -1.846563e+03      5.050604e+01   
     0.028399          0.961228        8.735433e+04      8.901238e+04     -1.702725e+03      4.468072e+01   
     0.028399          1.038772        7.360238e+04      7.512967e+04     -1.566558e+03      3.926539e+01   
     0.028399          1.116084        6.206553e+04      6.346911e+04     -1.437850e+03      3.426454e+01   
     0.028399          1.192698        5.239662e+04      5.368330e+04     -1.316392e+03      2.971523e+01   
     0.028399          1.268152        4.430489e+04      4.548705e+04     -1.207787e+03      2.562385e+01   
     0.028399          1.341994        3.754934e+04      3.865132e+04     -1.123977e+03      2.199515e+01   
     0.028399          1.413779        3.202091e+04      3.305295e+04     -1.050832e+03      1.879521e+01   
     0.028399          1.483076        2.805921e+04      2.902991e+04     -9.867036e+02      1.600623e+01   
     0.028399          1.549467        2.404207e+04      2.492732e+04     -8.988531e+02      1.360062e+01   
     0.028399          1.612554        2.050406e+04      2.132163e+04     -8.291239e+02      1.155170e+01   
