#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002109        1.018539e+07      1.018627e+07     -9.939768e+02      1.166043e+02   
     0.001185          0.011099        9.556084e+06      9.556939e+06     -9.598707e+02      1.052759e+02   
     0.001185          0.027216        6.161261e+06      6.161927e+06     -7.515476e+02      8.461062e+01   
     0.001185          0.050366        3.173529e+06      3.174005e+06     -5.548460e+02      7.858243e+01   
     0.001185          0.080412        1.807348e+06      1.807706e+06     -4.187285e+02      6.015041e+01   
     0.001185          0.117171        1.335395e+06      1.335705e+06     -3.599349e+02      4.985063e+01   
     0.001185          0.160424        8.781718e+05      8.784200e+05     -2.904800e+02      4.228245e+01   
     0.001185          0.209910        6.934379e+05      6.936605e+05     -2.593834e+02      3.681584e+01   
     0.001185          0.265331        4.854303e+05      4.856163e+05     -2.170277e+02      3.105273e+01   
     0.001185          0.326354        3.780135e+05      3.781778e+05     -1.915211e+02      2.716406e+01   
     0.001185          0.392613        2.911799e+05      2.913232e+05     -1.680955e+02      2.478478e+01   
     0.001185          0.463708        2.216442e+05      2.217688e+05     -1.466624e+02      2.208211e+01   
     0.001185          0.539212        1.665322e+05      1.666407e+05     -1.271333e+02      1.858250e+01   
     0.001185          0.618671        1.435913e+05      1.436916e+05     -1.180550e+02      1.777088e+01   
     0.001185          0.701608        1.055365e+05      1.056230e+05     -1.012157e+02      1.469691e+01   
     0.001185          0.787523        8.992339e+04      9.000340e+04     -9.343253e+01      1.342082e+01   
     0.001185          0.875899        7.628505e+04      7.635802e+04     -8.605893e+01      1.309253e+01   
     0.001185          0.966205        5.412542e+04      5.418672e+04     -7.249617e+01      1.119651e+01   
     0.001185          1.057899        4.524300e+04      4.529929e+04     -6.628486e+01      9.994767e+00   
     0.001185          1.150428        3.760958e+04      3.766127e+04     -6.043884e+01      8.745533e+00   
     0.001185          1.243236        3.108095e+04      3.112801e+04     -5.494704e+01      7.882584e+00   
     0.001185          1.335765        2.552504e+04      2.556780e+04     -4.979840e+01      7.031212e+00   
     0.001185          1.427459        2.082247e+04      2.086109e+04     -4.498183e+01      6.359962e+00   
     0.001185          1.517765        1.686505e+04      1.689968e+04     -4.048628e+01      5.860374e+00   
     0.001185          1.606141        1.355500e+04      1.358601e+04     -3.630066e+01      5.291527e+00   
     0.001185          1.692056        1.080482e+04      1.083243e+04     -3.241393e+01      4.797480e+00   
     0.001185          1.774993        8.535938e+03      8.560512e+03     -2.881499e+01      4.240823e+00   
     0.001185          1.854452        6.678279e+03      6.700352e+03     -2.549279e+01      3.420453e+00   
     0.001185          1.929956        4.824187e+03      4.842338e+03     -2.093350e+01      2.782633e+00   
     0.001185          2.001051        2.991834e+03      3.006287e+03     -1.707591e+01      2.622642e+00   
