#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002182        1.018562e+07      1.018627e+07     -7.137812e+02      6.050391e+01   
     0.001185          0.011482        1.018562e+07      1.018627e+07     -7.137812e+02      5.930994e+01   
     0.001185          0.028155        1.018561e+07      1.018627e+07     -7.137812e+02      5.071300e+01   
     0.001185          0.052104        5.773428e+06      5.773904e+06     -5.219543e+02      4.576767e+01   
     0.001185          0.083185        3.786256e+06      3.786659e+06     -4.351966e+02      3.255325e+01   
     0.001185          0.121213        2.193490e+06      2.193794e+06     -3.312496e+02      2.718224e+01   
     0.001185          0.165957        1.636758e+06      1.637022e+06     -2.861440e+02      2.294586e+01   
     0.001185          0.217150        1.081883e+06      1.082097e+06     -2.326433e+02      1.864892e+01   
     0.001185          0.274482        7.014564e+05      7.016266e+05     -1.862649e+02      1.603239e+01   
     0.001185          0.337610        5.480501e+05      5.482017e+05     -1.655875e+02      1.398136e+01   
     0.001185          0.406154        4.289674e+05      4.291018e+05     -1.465000e+02      1.201921e+01   
     0.001185          0.479701        3.322744e+05      3.323928e+05     -1.289387e+02      1.054852e+01   
     0.001185          0.557810        2.379523e+05      2.380488e+05     -1.055159e+02      9.038882e+00   
     0.001185          0.640010        1.924762e+05      1.925661e+05     -9.814030e+01      8.245662e+00   
     0.001185          0.725807        1.436142e+05      1.436916e+05     -8.477605e+01      7.389289e+00   
     0.001185          0.814685        1.055565e+05      1.056230e+05     -7.268364e+01      6.229259e+00   
     0.001185          0.906109        8.994195e+04      9.000340e+04     -6.709450e+01      5.638925e+00   
     0.001185          0.999530        7.630172e+04      7.635802e+04     -6.179947e+01      5.501937e+00   
     0.001185          1.094386        5.413933e+04      5.418672e+04     -5.205997e+01      4.667293e+00   
     0.001185          1.190107        4.525580e+04      4.529929e+04     -4.759959e+01      4.110454e+00   
     0.001185          1.286116        3.762145e+04      3.766127e+04     -4.340152e+01      3.581384e+00   
     0.001185          1.381836        3.109186e+04      3.112801e+04     -3.945783e+01      3.309942e+00   
     0.001185          1.476692        2.553504e+04      2.556780e+04     -3.576055e+01      3.000975e+00   
     0.001185          1.570114        2.083152e+04      2.086109e+04     -3.230174e+01      2.734756e+00   
     0.001185          1.661538        1.687310e+04      1.689968e+04     -2.907346e+01      2.497914e+00   
     0.001185          1.750416        1.356212e+04      1.358601e+04     -2.606774e+01      2.177087e+00   
     0.001185          1.836213        1.081112e+04      1.083243e+04     -2.327665e+01      1.959101e+00   
     0.001185          1.918413        7.502695e+03      7.519352e+03     -1.830654e+01      1.650048e+00   
     0.001185          1.996521        5.175180e+03      5.189956e+03     -1.611162e+01      1.336361e+00   
     0.001185          2.070068        3.961660e+03      3.974610e+03     -1.409953e+01      1.149673e+00   
     0.001185          2.138612        2.990778e+03      3.001904e+03     -1.225338e+01      1.128046e+00   
     0.001185          2.201740        2.438011e+03      2.447721e+03     -1.058310e+01      8.725183e-01   
     0.001185          2.259073        1.782019e+03      1.790359e+03     -9.071792e+00      7.315209e-01   
     0.001185          2.310265        1.135016e+03      1.141922e+03     -7.557404e+00      6.511772e-01   
     0.001185          2.355010        7.675482e+02      7.732851e+02     -6.219096e+00      4.822405e-01   
     0.001185          2.393037        4.604139e+02      4.647240e+02     -4.745551e+00      4.354581e-01   
     0.001185          2.424119        2.837718e+02      2.872889e+02     -3.790678e+00      2.735473e-01   
     0.001185          2.448068        1.398306e+02      1.423044e+02     -2.667882e+00      1.940437e-01   
     0.001185          2.464741        3.415329e+01      3.505557e+01     -9.638158e-01      6.153255e-02   
     0.001185          2.474041        1.622524e+01      1.709997e+01     -8.873935e-01      1.266559e-02   
