#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002500        8.382446e+07      8.382812e+07     -3.876872e+03      2.170973e+02   
     0.001185          0.013157        2.444447e+07      2.444659e+07     -2.293364e+03      1.799621e+02   
     0.001185          0.032263        1.037889e+07      1.038028e+07     -1.528036e+03      1.384827e+02   
     0.001185          0.059706        5.374008e+06      5.375003e+06     -1.103781e+03      1.084811e+02   
     0.001185          0.095323        3.100943e+06      3.101697e+06     -8.413829e+02      8.759816e+01   
     0.001185          0.138898        1.912120e+06      1.912713e+06     -6.655029e+02      7.227577e+01   
     0.001185          0.190171        1.267603e+06      1.268086e+06     -5.439062e+02      6.071513e+01   
     0.001185          0.248833        9.190069e+05      9.194182e+05     -4.631336e+02      5.182975e+01   
     0.001185          0.314531        6.542427e+05      6.545890e+05     -3.907816e+02      4.444877e+01   
     0.001185          0.386870        4.563437e+05      4.566309e+05     -3.263866e+02      3.919761e+01   
     0.001185          0.465415        3.544162e+05      3.546700e+05     -2.876484e+02      3.379482e+01   
     0.001185          0.549693        2.722089e+05      2.724317e+05     -2.521033e+02      2.936089e+01   
     0.001185          0.639198        2.065452e+05      2.067381e+05     -2.196140e+02      2.672334e+01   
     0.001185          0.733392        1.546453e+05      1.548121e+05     -1.900431e+02      2.325058e+01   
     0.001185          0.831707        1.140985e+05      1.142418e+05     -1.632534e+02      1.990882e+01   
     0.001185          0.933553        9.741992e+04      9.755295e+04     -1.508585e+02      1.783073e+01   
     0.001185          1.038317        7.644456e+04      7.655719e+04     -1.283911e+02      1.575569e+01   
     0.001185          1.145369        5.904399e+04      5.914790e+04     -1.174679e+02      1.355540e+01   
     0.001185          1.254065        4.948168e+04      4.957726e+04     -1.075452e+02      1.196402e+01   
     0.001185          1.363752        4.124586e+04      4.133346e+04     -9.819754e+01      1.059902e+01   
     0.001185          1.473769        2.816219e+04      2.823402e+04     -8.115889e+01      9.327907e+00   
     0.001185          1.583456        2.304925e+04      2.311478e+04     -7.343356e+01      7.905215e+00   
     0.001185          1.692152        1.873414e+04      1.879356e+04     -6.621467e+01      6.798084e+00   
     0.001185          1.799204        1.511422e+04      1.516758e+04     -5.948505e+01      6.127791e+00   
     0.001185          1.903968        9.598550e+03      9.640827e+03     -4.742495e+01      5.148015e+00   
     0.001185          2.005814        7.545077e+03      7.583014e+03     -4.206013e+01      4.122264e+00   
     0.001185          2.104129        5.871638e+03      5.905016e+03     -3.711592e+01      3.737454e+00   
     0.001185          2.198323        4.519021e+03      4.548553e+03     -3.257514e+01      3.042481e+00   
     0.001185          2.287828        2.579118e+03      2.601438e+03     -2.463522e+01      2.314739e+00   
     0.001185          2.372106        1.907748e+03      1.926831e+03     -2.120174e+01      2.118395e+00   
     0.001185          2.450651        9.924097e+02      1.006297e+03     -1.532191e+01      1.434683e+00   
     0.001185          2.522990        6.952689e+02      7.068266e+02     -1.284122e+01      1.283513e+00   
     0.001185          2.588688        3.174855e+02      3.253732e+02     -8.712456e+00      8.247098e-01   
     0.001185          2.647350        2.054317e+02      2.118447e+02     -7.030051e+00      6.171242e-01   
     0.001185          2.698623        7.691189e+01      8.086317e+01     -4.343353e+00      3.920717e-01   
     0.001185          2.742199        2.343702e+01      2.565308e+01     -2.446355e+00      2.302988e-01   
     0.001185          2.777815        7.532590e+00      8.634234e+00     -1.201718e+00      1.000738e-01   
     0.001185          2.805258        1.225171e+00      1.690156e+00     -5.047894e-01      3.980468e-02   
     0.001185          2.824364        1.483610e-02      1.288596e-01     -1.201718e-01      6.148348e-03   
     0.001185          2.835021       -6.911502e-03      1.524334e-03     -8.583701e-03      1.478647e-04   
     0.006239          0.002500        2.558193e+07      2.558404e+07     -2.171434e+03      5.888806e+01   
     0.006239          0.013157        2.108042e+07      2.108212e+07     -1.751827e+03      5.337436e+01   
     0.006239          0.032263        1.010769e+07      1.010895e+07     -1.299331e+03      4.685255e+01   
     0.006239          0.059706        5.330343e+06      5.331280e+06     -9.772001e+02      3.999640e+01   
     0.006239          0.095323        3.115373e+06      3.116100e+06     -7.619535e+02      3.411278e+01   
     0.006239          0.138898        1.945604e+06      1.946183e+06     -6.085983e+02      2.940978e+01   
     0.006239          0.190171        1.294428e+06      1.294902e+06     -5.000653e+02      2.564501e+01   
     0.006239          0.248833        8.829744e+05      8.833654e+05     -4.133065e+02      2.239630e+01   
     0.006239          0.314531        6.302621e+05      6.305920e+05     -3.496653e+02      1.983193e+01   
     0.006239          0.386870        4.563452e+05      4.566309e+05     -3.031594e+02      1.745085e+01   
     0.006239          0.465415        3.476379e+05      3.478844e+05     -2.620663e+02      1.556618e+01   
     0.006239          0.549693        2.634745e+05      2.636873e+05     -2.266464e+02      1.379797e+01   
     0.006239          0.639198        2.065461e+05      2.067381e+05     -2.039852e+02      1.197287e+01   
     0.006239          0.733392        1.546462e+05      1.548121e+05     -1.765188e+02      1.063273e+01   
     0.006239          0.831707        1.192899e+05      1.194323e+05     -1.516355e+02      9.234105e+00   
     0.006239          0.933553        9.742104e+04      9.755295e+04     -1.401227e+02      8.213216e+00   
