#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002489        9.256949e+07      9.257648e+07     -7.187133e+03      1.909921e+02   
     0.001185          0.013096        2.654968e+07      2.655376e+07     -4.209991e+03      1.322410e+02   
     0.001185          0.032112        1.113505e+07      1.113772e+07     -2.772387e+03      1.072935e+02   
     0.001185          0.059428        5.728346e+06      5.730257e+06     -1.994830e+03      8.391998e+01   
     0.001185          0.094878        3.288539e+06      3.289992e+06     -1.517970e+03      6.531116e+01   
     0.001185          0.138251        2.012255e+06      2.013397e+06     -1.194895e+03      5.224215e+01   
     0.001185          0.189285        1.334484e+06      1.335407e+06     -9.664747e+02      4.296312e+01   
     0.001185          0.247673        9.186315e+05      9.194182e+05     -8.229487e+02      3.620313e+01   
     0.001185          0.313065        6.539254e+05      6.545890e+05     -6.943853e+02      3.072671e+01   
     0.001185          0.385067        4.765108e+05      4.770667e+05     -5.799611e+02      2.405956e+01   
     0.001185          0.463245        3.541805e+05      3.546700e+05     -5.111265e+02      2.155753e+01   
     0.001185          0.547131        2.720022e+05      2.724317e+05     -4.479659e+02      1.852970e+01   
     0.001185          0.636218        2.063619e+05      2.067381e+05     -3.902352e+02      1.402637e+01   
     0.001185          0.729973        1.544910e+05      1.548121e+05     -3.376904e+02      1.661442e+01   
     0.001185          0.827830        1.250345e+05      1.253191e+05     -2.946511e+02      1.006584e+01   
     0.001185          0.929201        9.730051e+04      9.755295e+04     -2.680627e+02      1.562706e+01   
     0.001185          1.033476        8.270807e+04      8.294714e+04     -2.471820e+02      8.121341e+00   
     0.001185          1.140029        5.894639e+04      5.914790e+04     -2.087305e+02      7.222212e+00   
     0.001185          1.248219        4.939726e+04      4.957726e+04     -1.910986e+02      1.109511e+01   
     0.001185          1.357394        4.116678e+04      4.133346e+04     -1.744886e+02      7.808633e+00   
     0.001185          1.466899        2.946149e+04      2.960149e+04     -1.442124e+02      4.207643e+00   
     0.001185          1.576074        2.298859e+04      2.311478e+04     -1.304851e+02      4.291985e+00   
     0.001185          1.684264        1.868304e+04      1.879356e+04     -1.176578e+02      7.137282e+00   
     0.001185          1.790817        1.506680e+04      1.516758e+04     -1.056998e+02      4.925958e+00   
     0.001185          1.895092        1.190302e+04      1.199370e+04     -9.340772e+01      2.731266e+00   
     0.001185          1.996463        7.511701e+03      7.583014e+03     -7.473725e+01      3.424050e+00   
     0.001185          2.094320        5.843098e+03      5.905016e+03     -6.595181e+01      4.033982e+00   
     0.001185          2.188074        4.492221e+03      4.548553e+03     -5.788324e+01      1.550974e+00   
     0.001185          2.277162        2.560342e+03      2.601438e+03     -4.377468e+01      2.678884e+00   
     0.001185          2.361048        1.890535e+03      1.926831e+03     -3.767368e+01      1.377294e+00   
     0.001185          2.439226        1.163221e+03      1.188953e+03     -2.722571e+01      1.494484e+00   
     0.001185          2.511228        6.846813e+02      7.068266e+02     -2.281774e+01      6.723702e-01   
     0.001185          2.576620        3.828376e+02      3.975003e+02     -1.548129e+01      8.186093e-01   
     0.001185          2.635008        1.998495e+02      2.118447e+02     -1.249180e+01      4.966468e-01   
     0.001185          2.686042        9.239664e+01      9.973512e+01     -7.717765e+00      3.792826e-01   
     0.001185          2.729415        3.048735e+01      3.465415e+01     -4.346963e+00      1.801579e-01   
     0.001185          2.764865        6.997374e+00      9.020029e+00     -2.135350e+00      1.126951e-01   
     0.001185          2.792180        7.718287e-01      1.266173e+00     -5.190931e-01      2.474905e-02   
     0.001185          2.811197       -3.243500e-03      8.196405e-03     -7.197009e-03     -4.242897e-03   
     0.001185          2.821804       -2.536363e-04      0.000000e+00      0.000000e+00     -2.536363e-04   
     0.006239          0.002489        2.769422e+07      2.769838e+07     -4.165613e+03      1.213706e+01   
     0.006239          0.013096        2.281884e+07      2.282221e+07     -3.374512e+03      1.098389e+01   
     0.006239          0.032112        1.083339e+07      1.083587e+07     -2.493177e+03      9.487535e+00   
     0.006239          0.059428        5.669149e+06      5.671012e+06     -1.871281e+03      7.916793e+00   
     0.006239          0.094878        3.282883e+06      3.284327e+06     -1.450708e+03      6.587877e+00   
     0.006239          0.138251        2.042547e+06      2.043697e+06     -1.155970e+03      5.542760e+00   
     0.006239          0.189285        1.349229e+06      1.350166e+06     -9.416951e+02      4.723241e+00   
     0.006239          0.247673        9.212368e+05      9.220199e+05     -7.872032e+02      4.077316e+00   
     0.006239          0.313065        6.532144e+05      6.538766e+05     -6.656678e+02      3.544719e+00   
     0.006239          0.385067        4.726509e+05      4.732122e+05     -5.643950e+02      3.078607e+00   
     0.006239          0.463245        3.527726e+05      3.532653e+05     -4.954380e+02      2.718360e+00   
     0.006239          0.547131        2.694998e+05      2.699294e+05     -4.319384e+02      2.395857e+00   
     0.006239          0.636218        2.063605e+05      2.067381e+05     -3.797614e+02      2.102676e+00   
     0.006239          0.729973        1.550365e+05      1.553632e+05     -3.286268e+02      1.906093e+00   
     0.006239          0.827830        1.266722e+05      1.269611e+05     -2.904999e+02      1.621805e+00   
     0.006239          0.929201        9.729360e+04      9.755295e+04     -2.608679e+02      1.524781e+00   
     0.006239          1.033476        8.069057e+04      8.092398e+04     -2.346805e+02      1.272147e+00   
     0.006239          1.140029        5.894589e+04      5.914790e+04     -2.031282e+02      1.123035e+00   
     0.006239          1.248219        4.939234e+04      4.957726e+04     -1.859695e+02      1.047674e+00   
     0.006239          1.357394        4.116454e+04      4.133346e+04     -1.698054e+02      8.887547e-01   
     0.006239          1.466899        3.007605e+04      3.021565e+04     -1.403418e+02      7.325490e-01   
     0.006239          1.576074        2.298845e+04      2.311478e+04     -1.269829e+02      6.496862e-01   
     0.006239          1.684264        1.867966e+04      1.879356e+04     -1.144999e+02      6.021642e-01   
     0.006239          1.790817        1.506522e+04      1.516758e+04     -1.028629e+02      5.017317e-01   
     0.006239          1.895092        1.103057e+04      1.111441e+04     -8.423647e+01      3.971056e-01   
     0.006239          1.996463        7.510634e+03      7.583014e+03     -7.273131e+01      3.505982e-01   
     0.006239          2.094320        5.841144e+03      5.905016e+03     -6.418167e+01      3.095523e-01   
     0.006239          2.188074        4.464956e+03      4.520710e+03     -5.598485e+01      2.310557e-01   
     0.006239          2.277162        2.647895e+03      2.690294e+03     -4.259977e+01      2.007374e-01   
     0.006239          2.361048        1.890324e+03      1.926831e+03     -3.666252e+01      1.551836e-01   
     0.006239          2.439226        1.193797e+03      1.220883e+03     -2.720653e+01      1.204982e-01   
     0.006239          2.511228        6.847095e+02      7.068266e+02     -2.220532e+01      8.820188e-02   
     0.006239          2.576620        3.855526e+02      4.006740e+02     -1.518606e+01      6.473036e-02   
     0.006239          2.635008        1.860375e+02      1.973119e+02     -1.131849e+01      4.409989e-02   
     0.006239          2.686042        8.247789e+01      8.966597e+01     -7.215882e+00      2.780399e-02   
     0.006239          2.729415        2.769425e+01      3.167527e+01     -3.995366e+00      1.434378e-02   
     0.006239          2.764865        6.971015e+00      8.850371e+00     -1.885706e+00      6.350198e-03   
     0.006239          2.792180        7.110528e-01      1.275929e+00     -5.665196e-01      1.643213e-03   
     0.006239          2.811197       -1.787004e-02      4.311078e-02     -6.111583e-02      1.350067e-04   
     0.006239          2.821804       -9.189465e-04      1.095662e-04     -1.029870e-03      1.356958e-06   
     0.015318          0.002489        1.171392e+07      1.171667e+07     -2.757952e+03      5.120950e+00   
     0.015318          0.013096        1.130786e+07      1.131038e+07     -2.520526e+03      4.761235e+00   
     0.015318          0.032112        9.333919e+06      9.336021e+06     -2.106235e+03      4.230985e+00   
     0.015318          0.059428        5.408054e+06      5.409743e+06     -1.692298e+03      3.707521e+00   
     0.015318          0.094878        3.222452e+06      3.223808e+06     -1.359171e+03      3.235124e+00   
     0.015318          0.138251        2.028975e+06      2.030076e+06     -1.103686e+03      2.828150e+00   
     0.015318          0.189285        1.337025e+06      1.337933e+06     -9.099363e+02      2.484004e+00   
     0.015318          0.247673        9.183875e+05      9.191496e+05     -7.642980e+02      2.195143e+00   
     0.015318          0.313065        6.519128e+05      6.525602e+05     -6.493638e+02      1.947814e+00   
     0.015318          0.385067        4.745510e+05      4.751056e+05     -5.563878e+02      1.733631e+00   
     0.015318          0.463245        3.518643e+05      3.523447e+05     -4.819114e+02      1.545790e+00   
     0.015318          0.547131        2.654300e+05      2.658487e+05     -4.201139e+02      1.376970e+00   
     0.015318          0.636218        2.044674e+05      2.048377e+05     -3.715654e+02      1.227243e+00   
     0.015318          0.729973        1.593553e+05      1.596821e+05     -3.278347e+02      1.083632e+00   
     0.015318          0.827830        1.244015e+05      1.246852e+05     -2.846046e+02      9.601453e-01   
     0.015318          0.929201        9.806228e+04      9.832168e+04     -2.602392e+02      8.435532e-01   
     0.015318          1.033476        7.824996e+04      7.847625e+04     -2.270335e+02      7.434825e-01   
     0.015318          1.140029        6.111083e+04      6.131282e+04     -2.026386e+02      6.502254e-01   
     0.015318          1.248219        4.939230e+04      4.957726e+04     -1.855213e+02      5.615639e-01   
     0.015318          1.357394        3.957025e+04      3.973260e+04     -1.628353e+02      4.846708e-01   
     0.015318          1.466899        3.057742e+04      3.071700e+04     -1.400035e+02      4.149129e-01   
     0.015318          1.576074        2.348535e+04      2.361167e+04     -1.266769e+02      3.568906e-01   
     0.015318          1.684264        1.867963e+04      1.879356e+04     -1.142239e+02      2.995354e-01   
     0.015318          1.790817        1.467937e+04      1.477911e+04     -9.998677e+01      2.516235e-01   
     0.015318          1.895092        1.084879e+04      1.093123e+04     -8.264849e+01      2.083968e-01   
     0.015318          1.996463        7.918742e+03      7.991126e+03     -7.255601e+01      1.725754e-01   
     0.015318          2.094320        5.841130e+03      5.905016e+03     -6.402698e+01      1.404040e-01   
     0.015318          2.188074        4.161580e+03      4.213520e+03     -5.205481e+01      1.147355e-01   
     0.015318          2.277162        2.829897e+03      2.872306e+03     -4.249709e+01      8.878504e-02   
     0.015318          2.361048        1.862757e+03      1.898515e+03     -3.582855e+01      7.055921e-02   
     0.015318          2.439226        1.174185e+03      1.200828e+03     -2.669511e+01      5.198590e-02   
     0.015318          2.511228        6.993433e+02      7.206666e+02     -2.136273e+01      3.943403e-02   
     0.015318          2.576620        3.821626e+02      3.971523e+02     -1.501630e+01      2.662022e-02   
     0.015318          2.635008        1.889761e+02      1.996358e+02     -1.067774e+01      1.800501e-02   
     0.015318          2.686042        8.160095e+01      8.837146e+01     -6.781086e+00      1.057157e-02   
     0.015318          2.729415        2.772753e+01      3.138530e+01     -3.663054e+00      5.286226e-03   
     0.015318          2.764865        6.159550e+00      7.740627e+00     -1.583047e+00      1.969965e-03   
     0.015318          2.792180        5.452121e-01      9.828838e-01     -4.381595e-01      4.877208e-04   
     0.015318          2.811197       -1.538661e-02      3.778242e-02     -5.322600e-02      5.696182e-05   
     0.015318          2.821804       -1.023060e-03      1.137237e-04     -1.137947e-03      1.163311e-06   
     0.028399          0.002489        6.012830e+06      6.014815e+06     -1.986998e+03      2.614784e+00   
     0.028399          0.013096        5.959276e+06      5.961175e+06     -1.901630e+03      2.523180e+00   
     0.028399          0.032112        5.635995e+06      5.637701e+06     -1.709175e+03      2.344684e+00   
     0.028399          0.059428        4.712739e+06      4.714205e+06     -1.467901e+03      2.140687e+00   
     0.028399          0.094878        3.038967e+06      3.040196e+06     -1.230987e+03      1.941195e+00   
     0.028399          0.138251        1.968826e+06      1.969854e+06     -1.029332e+03      1.756776e+00   
     0.028399          0.189285        1.317166e+06      1.318030e+06     -8.649612e+02      1.589449e+00   
     0.028399          0.247673        9.102065e+05      9.109371e+05     -7.320416e+02      1.439084e+00   
     0.028399          0.313065        6.471677e+05      6.477924e+05     -6.259969e+02      1.301587e+00   
     0.028399          0.385067        4.719937e+05      4.725330e+05     -5.404225e+02      1.175328e+00   
     0.028399          0.463245        3.511288e+05      3.515979e+05     -4.702228e+02      1.059137e+00   
     0.028399          0.547131        2.662693e+05      2.666801e+05     -4.117532e+02      9.506296e-01   
     0.028399          0.636218        2.039305e+05      2.042913e+05     -3.616249e+02      8.499648e-01   
     0.028399          0.729973        1.584984e+05      1.588178e+05     -3.201445e+02      7.561343e-01   
     0.028399          0.827830        1.239924e+05      1.242740e+05     -2.823420e+02      6.650250e-01   
     0.028399          0.929201        9.830263e+04      9.855570e+04     -2.536622e+02      5.872483e-01   
     0.028399          1.033476        7.712796e+04      7.735096e+04     -2.235085e+02      5.090241e-01   
     0.028399          1.140029        6.245890e+04      6.266085e+04     -2.023945e+02      4.400246e-01   
     0.028399          1.248219        4.896254e+04      4.914255e+04     -1.803903e+02      3.793523e-01   
     0.028399          1.357394        3.855279e+04      3.871093e+04     -1.584571e+02      3.216183e-01   
     0.028399          1.466899        3.071617e+04      3.085573e+04     -1.398349e+02      2.688406e-01   
     0.028399          1.576074        2.434551e+04      2.447180e+04     -1.265243e+02      2.252364e-01   
     0.028399          1.684264        1.863819e+04      1.874936e+04     -1.113517e+02      1.874555e-01   
     0.028399          1.790817        1.410933e+04      1.420517e+04     -9.598809e+01      1.533754e-01   
     0.028399          1.895092        1.078418e+04      1.086612e+04     -8.205723e+01      1.223794e-01   
     0.028399          1.996463        8.166534e+03      8.238903e+03     -7.246862e+01      9.878942e-02   
     0.028399          2.094320        5.808328e+03      5.869348e+03     -6.109812e+01      7.906416e-02   
     0.028399          2.188074        4.048030e+03      4.098503e+03     -5.053333e+01      6.099739e-02   
     0.028399          2.277162        2.853173e+03      2.895105e+03     -4.197886e+01      4.695049e-02   
