#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002422        2.668941e+08      2.669028e+08     -9.226361e+03      4.870030e+02   
     0.001185          0.012744        8.566823e+07      8.567352e+07     -5.711636e+03      4.267702e+02   
     0.001185          0.031250        4.031052e+07      4.031416e+07     -4.001822e+03      3.575322e+02   
     0.001185          0.057832        2.301470e+07      2.301744e+07     -3.046479e+03      3.055682e+02   
     0.001185          0.092330        1.469637e+07      1.469856e+07     -2.456997e+03      2.675347e+02   
     0.001185          0.134538        1.028119e+07      1.028301e+07     -2.055073e+03      2.381050e+02   
     0.001185          0.184202        7.460015e+06      7.461535e+06     -1.734222e+03      2.137125e+02   
     0.001185          0.241022        5.530800e+06      5.532113e+06     -1.507345e+03      1.942982e+02   
     0.001185          0.304658        4.307070e+06      4.308224e+06     -1.330198e+03      1.765001e+02   
     0.001185          0.374726        3.317802e+06      3.318808e+06     -1.167504e+03      1.614413e+02   
     0.001185          0.450806        2.769876e+06      2.770795e+06     -1.066767e+03      1.477815e+02   
     0.001185          0.532438        2.299522e+06      2.300359e+06     -9.719973e+02      1.341487e+02   
     0.001185          0.619134        1.897695e+06      1.898456e+06     -8.830137e+02      1.224473e+02   
     0.001185          0.710371        1.556163e+06      1.556853e+06     -7.996336e+02      1.089890e+02   
     0.001185          0.805600        1.315121e+06      1.315746e+06     -7.216747e+02      9.725126e+01   
     0.001185          0.904249        1.140782e+06      1.141379e+06     -6.846713e+02      8.775529e+01   
     0.001185          1.005724        1.015179e+06      1.015744e+06     -6.428417e+02      7.854195e+01   
     0.001185          1.109416        8.222109e+05      8.227238e+05     -5.812918e+02      6.843213e+01   
     0.001185          1.214700        7.341685e+05      7.346564e+05     -5.492997e+02      6.144239e+01   
     0.001185          1.320944        6.541245e+05      6.545890e+05     -5.185033e+02      5.403209e+01   
     0.001185          1.427508        5.157063e+05      5.161189e+05     -4.604072e+02      4.780316e+01   
     0.001185          1.533752        4.562388e+05      4.566309e+05     -4.330618e+02      4.092885e+01   
     0.001185          1.639036        4.026004e+05      4.029699e+05     -4.068211e+02      3.729140e+01   
     0.001185          1.742728        3.468366e+05      3.471779e+05     -3.736001e+02      3.230274e+01   
     0.001185          1.844203        2.721252e+05      2.724317e+05     -3.344999e+02      2.798564e+01   
     0.001185          1.942852        2.374123e+05      2.376993e+05     -3.124505e+02      2.536630e+01   
     0.001185          2.038081        2.064695e+05      2.067381e+05     -2.913919e+02      2.275228e+01   
     0.001185          2.129318        1.545789e+05      1.548121e+05     -2.521562e+02      1.892337e+01   
     0.001185          2.216013        1.330267e+05      1.332449e+05     -2.339335e+02      1.570031e+01   
     0.001185          2.297646        9.736939e+04      9.755295e+04     -2.001647e+02      1.661191e+01   
     0.001185          2.373726        8.277480e+04      8.294714e+04     -1.845729e+02      1.223586e+01   
     0.001185          2.443794        5.900411e+04      5.914790e+04     -1.558608e+02      1.206914e+01   
     0.001185          2.507429        4.121225e+04      4.133346e+04     -1.302921e+02      9.078961e+00   
     0.001185          2.564250        2.813241e+04      2.823402e+04     -1.076846e+02      6.072180e+00   
     0.001185          2.613913        3.998139e+02      4.070464e+02     -7.641001e+00      4.085231e-01   
     0.001185          2.656121        2.030005e+01      2.305244e+01     -2.916852e+00      1.644627e-01   
     0.001185          2.690620        1.647668e+00      2.621706e+00     -1.036414e+00      6.237664e-02   
     0.001185          2.717202        9.258186e-02      4.137634e-01     -3.416751e-01      2.049359e-02   
     0.001185          2.735708       -7.027612e-02      4.666238e-02     -1.201935e-01      3.255050e-03   
     0.001185          2.746030       -1.066503e-02      5.823469e-04     -1.138917e-02      1.417908e-04   
     0.006239          0.002422        8.709658e+07      8.710182e+07     -5.448291e+03      1.988759e+02   
