#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.419561e+08      2.420430e+08     -8.787884e+04      9.254975e+02   
     0.001185          0.009274        1.515412e+08      1.516112e+08     -7.095104e+04      8.930847e+02   
     0.001185          0.022740        9.426020e+07      9.431505e+07     -5.565485e+04      8.044437e+02   
     0.001185          0.042083        3.310082e+07      3.312476e+07     -2.463444e+04      6.942639e+02   
     0.001185          0.067187        1.973023e+07      1.975051e+07     -2.093929e+04      6.582344e+02   
     0.001185          0.097901        1.262135e+07      1.263904e+07     -1.832084e+04      6.372297e+02   
     0.001185          0.134040        9.252895e+06      9.268211e+06     -1.593380e+04      6.178916e+02   
     0.001185          0.175388        7.047687e+06      7.061037e+06     -1.394493e+04      5.954995e+02   
     0.001185          0.221694        5.492771e+06      5.504508e+06     -1.230609e+04      5.698233e+02   
     0.001185          0.272682        4.274602e+06      4.284860e+06     -1.080095e+04      5.426509e+02   
     0.001185          0.328043        3.445672e+06      3.455026e+06     -9.868997e+03      5.145814e+02   
     0.001185          0.387446        2.879180e+06      2.887686e+06     -8.992256e+03      4.858645e+02   
     0.001185          0.450533        2.285807e+06      2.293520e+06     -8.169041e+03      4.566303e+02   
     0.001185          0.516924        1.885467e+06      1.892438e+06     -7.397665e+03      4.267406e+02   
     0.001185          0.586221        1.708331e+06      1.714965e+06     -7.030890e+03      3.968312e+02   
     0.001185          0.658006        1.470805e+06      1.477115e+06     -6.676443e+03      3.667265e+02   
     0.001185          0.731848        1.228926e+06      1.234593e+06     -6.003688e+03      3.364625e+02   
     0.001185          0.807302        1.074391e+06      1.079769e+06     -5.684960e+03      3.074170e+02   
     0.001185          0.883916        9.639424e+05      9.690406e+05     -5.377716e+03      2.795285e+02   
     0.001185          0.961228        8.631103e+05      8.679395e+05     -5.081746e+03      2.526406e+02   
     0.001185          1.038772        7.712145e+05      7.757842e+05     -4.796839e+03      2.272084e+02   
     0.001185          1.116084        6.876103e+05      6.919300e+05     -4.522785e+03      2.030587e+02   
     0.001185          1.192698        6.116890e+05      6.157679e+05     -4.259373e+03      1.805171e+02   
     0.001185          1.268152        5.428761e+05      5.467226e+05     -4.006392e+03      1.598634e+02   
     0.001185          1.341994        4.806295e+05      4.842521e+05     -3.763632e+03      1.410998e+02   
     0.001185          1.413779        4.244389e+05      4.278457e+05     -3.530881e+03      1.240802e+02   
     0.001185          1.483076        3.738241e+05      3.770231e+05     -3.307929e+03      1.089019e+02   
     0.001185          1.549467        3.283347e+05      3.313333e+05     -3.094565e+03      9.594590e+01   
     0.001185          1.612554        3.283234e+05      3.313333e+05     -3.094565e+03      8.460698e+01   
     0.001185          1.671957        2.875367e+05      2.903530e+05     -2.890579e+03      7.433230e+01   
     0.001185          1.727318        2.510551e+05      2.536855e+05     -2.695759e+03      6.538034e+01   
     0.001185          1.778306        2.510481e+05      2.536855e+05     -2.695759e+03      5.841552e+01   
     0.001185          1.824612        2.185022e+05      2.209600e+05     -2.509896e+03      5.210307e+01   
     0.001185          1.865960        2.061961e+05      2.085178e+05     -2.368564e+03      4.688870e+01   
     0.001185          1.902099        1.895400e+05      1.918300e+05     -2.332777e+03      4.283377e+01   
     0.001185          1.932813        1.895368e+05      1.918300e+05     -2.332777e+03      3.956348e+01   
     0.001185          1.957917        1.758394e+05      1.779669e+05     -2.164194e+03      3.663714e+01   
     0.001185          1.977260        1.638432e+05      1.659723e+05     -2.164194e+03      3.506176e+01   
     0.001185          1.990726        1.638420e+05      1.659723e+05     -2.164194e+03      3.392227e+01   
     0.001185          1.998238        1.638413e+05      1.659723e+05     -2.164194e+03      3.316238e+01   
     0.006239          0.001762        1.326151e+08      1.326811e+08     -6.657072e+04      5.738427e+02   
     0.006239          0.009274        1.246725e+08      1.247330e+08     -6.098063e+04      5.698068e+02   
     0.006239          0.022740        8.498101e+07      8.502927e+07     -4.881682e+04      5.609708e+02   
     0.006239          0.042083        3.528619e+07      3.531183e+07     -2.618407e+04      5.450114e+02   
     0.006239          0.067187        1.953783e+07      1.955808e+07     -2.078145e+04      5.385886e+02   
     0.006239          0.097901        1.253441e+07      1.255206e+07     -1.818439e+04      5.329590e+02   
     0.006239          0.134040        9.277049e+06      9.292443e+06     -1.592086e+04      5.266838e+02   
     0.006239          0.175388        7.113443e+06      7.126864e+06     -1.393655e+04      5.157750e+02   
     0.006239          0.221694        5.512869e+06      5.524598e+06     -1.222835e+04      4.998820e+02   
     0.006239          0.272682        4.349804e+06      4.360205e+06     -1.088127e+04      4.805722e+02   
     0.006239          0.328043        3.469088e+06      3.478403e+06     -9.773632e+03      4.587929e+02   
     0.006239          0.387446        2.829045e+06      2.837530e+06     -8.920257e+03      4.350412e+02   
     0.006239          0.450533        2.327586e+06      2.335318e+06     -8.141716e+03      4.097666e+02   
     0.006239          0.516924        1.948663e+06      1.955781e+06     -7.500631e+03      3.833935e+02   
     0.006239          0.586221        1.679452e+06      1.686103e+06     -7.007372e+03      3.562035e+02   
     0.006239          0.658006        1.446702e+06      1.452918e+06     -6.545107e+03      3.286503e+02   
     0.006239          0.731848        1.229181e+06      1.234876e+06     -5.996095e+03      3.011292e+02   
     0.006239          0.807302        1.074377e+06      1.079769e+06     -5.665944e+03      2.740679e+02   
     0.006239          0.883916        9.639285e+05      9.690406e+05     -5.359728e+03      2.476632e+02   
     0.006239          0.961228        8.630970e+05      8.679395e+05     -5.064748e+03      2.222623e+02   
     0.006239          1.038772        7.646155e+05      7.691981e+05     -4.780794e+03      1.982018e+02   
     0.006239          1.116084        6.770212e+05      6.813533e+05     -4.507657e+03      1.755932e+02   
     0.006239          1.192698        6.033755e+05      6.074660e+05     -4.245126e+03      1.545988e+02   
     0.006239          1.268152        5.415834e+05      5.454410e+05     -3.992991e+03      1.353665e+02   
     0.006239          1.341994        4.806189e+05      4.842521e+05     -3.751043e+03      1.178812e+02   
     0.006239          1.413779        4.244289e+05      4.278457e+05     -3.519070e+03      1.022920e+02   
     0.006239          1.483076        3.738147e+05      3.770231e+05     -3.296864e+03      8.842441e+01   
     0.006239          1.549467        3.370991e+05      3.401895e+05     -3.166651e+03      7.626998e+01   
     0.006239          1.612554        3.246932e+05      3.277117e+05     -3.084214e+03      6.576999e+01   
     0.006239          1.671957        2.875288e+05      2.903530e+05     -2.880910e+03      5.673377e+01   
     0.006239          1.727318        2.510477e+05      2.536855e+05     -2.686742e+03      4.899017e+01   
     0.006239          1.778306        2.490853e+05      2.517085e+05     -2.665804e+03      4.262582e+01   
     0.006239          1.824612        2.184957e+05      2.209600e+05     -2.501500e+03      3.723536e+01   
     0.006239          1.865960        2.098862e+05      2.122563e+05     -2.402965e+03      3.286302e+01   
     0.006239          1.902099        1.895343e+05      1.918300e+05     -2.324974e+03      2.932117e+01   
     0.006239          1.932813        1.856814e+05      1.879325e+05     -2.277738e+03      2.658051e+01   
     0.006239          1.957917        1.738041e+05      1.759367e+05     -2.156955e+03      2.440058e+01   
     0.006239          1.977260        1.645127e+05      1.666468e+05     -2.156955e+03      2.285115e+01   
     0.006239          1.990726        1.638372e+05      1.659723e+05     -2.156955e+03      2.183142e+01   
     0.006239          1.998238        1.628906e+05      1.650138e+05     -2.144498e+03      2.127457e+01   
     0.015318          0.001762        7.205037e+07      7.209661e+07     -4.675812e+04      5.207889e+02   
     0.015318          0.009274        6.094346e+07      6.098232e+07     -3.937910e+04      5.199809e+02   
     0.015318          0.022740        5.019011e+07      5.022132e+07     -3.172761e+04      5.175974e+02   
     0.015318          0.042083        3.316947e+07      3.319314e+07     -2.418379e+04      5.140729e+02   
     0.015318          0.067187        1.885716e+07      1.887722e+07     -2.056937e+04      5.117717e+02   
     0.015318          0.097901        1.249381e+07      1.251134e+07     -1.804284e+04      5.093623e+02   
     0.015318          0.134040        9.208547e+06      9.223883e+06     -1.584262e+04      5.058840e+02   
     0.015318          0.175388        7.056555e+06      7.069934e+06     -1.387653e+04      4.974705e+02   
     0.015318          0.221694        5.486937e+06      5.498665e+06     -1.221148e+04      4.837790e+02   
     0.015318          0.272682        4.324356e+06      4.334728e+06     -1.083864e+04      4.661990e+02   
     0.015318          0.328043        3.455448e+06      3.464758e+06     -9.755045e+03      4.457913e+02   
     0.015318          0.387446        2.817032e+06      2.825473e+06     -8.863662e+03      4.231710e+02   
     0.015318          0.450533        2.330646e+06      2.338388e+06     -8.141511e+03      3.988470e+02   
     0.015318          0.516924        1.964437e+06      1.971588e+06     -7.523898e+03      3.732659e+02   
     0.015318          0.586221        1.664292e+06      1.670916e+06     -6.970243e+03      3.467638e+02   
     0.015318          0.658006        1.435186e+06      1.441364e+06     -6.498036e+03      3.197977e+02   
     0.015318          0.731848        1.245948e+06      1.251732e+06     -6.076626e+03      2.928207e+02   
     0.015318          0.807302        1.088857e+06      1.094276e+06     -5.685697e+03      2.662617e+02   
     0.015318          0.883916        9.596334e+05      9.647468e+05     -5.353750e+03      2.402976e+02   
     0.015318          0.961228        8.479465e+05      8.527706e+05     -5.039336e+03      2.152786e+02   
     0.015318          1.038772        7.507279e+05      7.552802e+05     -4.743831e+03      1.916003e+02   
     0.015318          1.116084        6.671120e+05      6.714147e+05     -4.472019e+03      1.693155e+02   
