#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002371        2.502674e+07      2.505425e+07     -2.763061e+04      1.171223e+02   
     0.001185          0.012475        1.015279e+07      1.017071e+07     -1.801628e+04      9.866995e+01   
     0.001185          0.030590        2.908111e+06      2.917910e+06     -9.882305e+03      8.334974e+01   
     0.001185          0.056610        1.558148e+06      1.565460e+06     -7.384444e+03      7.342618e+01   
     0.001185          0.090380        8.963052e+05      9.018163e+05     -5.576123e+03      6.505903e+01   
     0.001185          0.131696        5.166000e+05      5.208010e+05     -4.259373e+03      5.829944e+01   
     0.001185          0.180311        3.495466e+05      3.530083e+05     -3.514338e+03      5.260884e+01   
     0.001185          0.235931        2.348564e+05      2.376993e+05     -2.890579e+03      4.767563e+01   
     0.001185          0.298222        1.525224e+05      1.548121e+05     -2.332777e+03      4.308370e+01   
     0.001185          0.366810        1.122766e+05      1.142418e+05     -2.003934e+03      3.876066e+01   
     0.001185          0.441282        8.127422e+04      8.294714e+04     -1.707542e+03      3.463104e+01   
     0.001185          0.521191        5.773668e+04      5.914790e+04     -1.441918e+03      3.070130e+01   
     0.001185          0.606055        4.015471e+04      4.133346e+04     -1.205374e+03      2.662533e+01   
     0.001185          0.695364        3.319113e+04      3.426507e+04     -1.097480e+03      2.353185e+01   
     0.001185          0.788581        2.223332e+04      2.311478e+04     -9.013961e+02      1.993866e+01   
     0.001185          0.885146        1.799770e+04      1.879356e+04     -8.127843e+02      1.692289e+01   
     0.001185          0.984478        1.445175e+04      1.516758e+04     -7.301783e+02      1.434824e+01   
     0.001185          1.085979        1.139464e+04      1.203010e+04     -6.472221e+02      1.176259e+01   
     0.001185          1.189039        7.076347e+03      7.583014e+03     -5.162877e+02      9.620053e+00   
     0.001185          1.293039        5.457203e+03      5.905016e+03     -4.555975e+02      7.784204e+00   
     0.001185          1.397352        4.154879e+03      4.548553e+03     -3.998595e+02      6.185344e+00   
     0.001185          1.501351        3.118300e+03      3.462327e+03     -3.488630e+02      4.835743e+00   
     0.001185          1.604411        2.302760e+03      2.601438e+03     -3.023971e+02      3.718865e+00   
     0.001185          1.705912        1.669403e+03      1.926831e+03     -2.602511e+02      2.822657e+00   
     0.001185          1.805244        1.184665e+03      1.404762e+03     -2.222144e+02      2.117476e+00   
     0.001185          1.901809        8.197992e+02      1.006297e+03     -1.880762e+02      1.578438e+00   
     0.001185          1.995026        5.503763e+02      7.068266e+02     -1.576258e+02      1.175491e+00   
     0.001185          2.084336        3.558457e+02      4.856161e+02     -1.306524e+02      8.820019e-01   
     0.001185          2.169200        2.190955e+02      3.253732e+02     -1.069453e+02      6.675827e-01   
     0.001185          2.249108        1.260444e+02      2.118447e+02     -8.629380e+01      4.935145e-01   
     0.001185          2.323580        6.529153e+01      1.334371e+02     -6.848714e+01      3.416187e-01   
     0.001185          2.392168        2.193040e+01      6.375080e+01     -4.203210e+01      2.117013e-01   
     0.001185          2.454459       -4.231240e+00      2.565308e+01     -3.002898e+01      1.446614e-01   
     0.001185          2.510079       -8.247338e+00      1.314347e+01     -2.149443e+01      1.036168e-01   
     0.001185          2.558694       -8.494612e+00      6.190216e+00     -1.475108e+01      6.624877e-02   
     0.001185          2.600010       -6.937623e+00      2.615366e+00     -9.588200e+00      3.521072e-02   
     0.001185          2.633780       -2.626579e+00      5.211151e-01     -3.160945e+00      1.325093e-02   
     0.001185          2.659800       -1.374033e+00      9.602681e-02     -1.475108e+00      5.047871e-03   
     0.001185          2.677915       -1.355922e-01      2.264618e-03     -1.386115e-01      7.546601e-04   
     0.001185          2.688019        5.773304e-06      0.000000e+00      0.000000e+00      5.773304e-06   
     0.006239          0.002371        1.014947e+07      1.016736e+07     -1.795225e+04      5.969077e+01   
     0.006239          0.012475        7.136494e+06      7.149157e+06     -1.272124e+04      5.800450e+01   
     0.006239          0.030590        2.887380e+06      2.896355e+06     -9.030094e+03      5.507870e+01   
     0.006239          0.056610        1.536496e+06      1.543370e+06     -6.925674e+03      5.188226e+01   
     0.006239          0.090380        8.798239e+05      8.850813e+05     -5.305852e+03      4.851525e+01   
     0.006239          0.131696        5.252948e+05      5.294152e+05     -4.165704e+03      4.526397e+01   
