#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002319        7.614582e+07      7.615084e+07     -5.236968e+03      2.130331e+02   
     0.001185          0.012201        2.156736e+07      2.156976e+07     -2.588854e+03      1.902235e+02   
     0.001185          0.029917        1.172876e+07      1.173078e+07     -2.179950e+03      1.690782e+02   
     0.001185          0.055366        7.758183e+06      7.759806e+06     -1.767087e+03      1.444600e+02   
     0.001185          0.088393        4.434110e+06      4.435321e+06     -1.330198e+03      1.185976e+02   
     0.001185          0.128801        2.769828e+06      2.770795e+06     -1.066767e+03      1.001990e+02   
     0.001185          0.176347        1.897661e+06      1.898456e+06     -8.830137e+02      8.787385e+01   
     0.001185          0.230744        1.405621e+06      1.406303e+06     -7.599879e+02      7.768539e+01   
     0.001185          0.291667        1.024823e+06      1.025403e+06     -6.489549e+02      6.875459e+01   
     0.001185          0.358747        7.341685e+05      7.346564e+05     -5.492997e+02      6.148054e+01   
     0.001185          0.431582        5.814954e+05      5.819294e+05     -4.888801e+02      5.483981e+01   
     0.001185          0.509734        4.562466e+05      4.566309e+05     -4.330618e+02      4.872900e+01   
     0.001185          0.592732        3.543323e+05      3.546700e+05     -3.816625e+02      4.395655e+01   
     0.001185          0.680078        2.721357e+05      2.724317e+05     -3.344999e+02      3.853096e+01   
     0.001185          0.771247        2.307983e+05      2.310681e+05     -3.037339e+02      3.389474e+01   
     0.001185          0.865689        1.789717e+05      1.792131e+05     -2.713014e+02      2.992230e+01   
     0.001185          0.962837        1.545874e+05      1.548121e+05     -2.521562e+02      2.742700e+01   
     0.001185          1.062107        1.140489e+05      1.142418e+05     -2.166106e+02      2.367405e+01   
     0.001185          1.162902        9.737305e+04      9.755295e+04     -2.001647e+02      2.026386e+01   
     0.001185          1.264615        8.278046e+04      8.294714e+04     -1.845729e+02      1.789481e+01   
     0.001185          1.366635        7.005712e+04      7.021098e+04     -1.698125e+02      1.596105e+01   
     0.001185          1.468348        5.900579e+04      5.914790e+04     -1.558608e+02      1.375183e+01   
     0.001185          1.569142        4.121526e+04      4.133346e+04     -1.302921e+02      1.209279e+01   
     0.001185          1.668412        3.415703e+04      3.426507e+04     -1.186296e+02      1.059000e+01   
     0.001185          1.765561        2.813539e+04      2.823402e+04     -1.076846e+02      9.045311e+00   
     0.001185          1.860003        2.302498e+04      2.311478e+04     -9.743435e+01      7.633409e+00   
     0.001185          1.951171        1.871241e+04      1.879356e+04     -8.785606e+01      6.707762e+00   
     0.001185          2.038517        1.509469e+04      1.516758e+04     -7.892695e+01      6.040630e+00   
     0.001185          2.121516        1.207914e+04      1.214432e+04     -7.062424e+01      5.445323e+00   
     0.001185          2.199668        9.582225e+03      9.640827e+03     -6.292516e+01      4.322901e+00   
     0.001185          2.272503        6.913681e+03      6.961163e+03     -5.123043e+01      3.748949e+00   
     0.001185          2.339583        4.508543e+03      4.548553e+03     -4.322190e+01      3.211181e+00   
     0.001185          2.400505        3.427209e+03      3.462327e+03     -3.770954e+01      2.591945e+00   
