#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.928693e+08      8.929301e+08     -6.300136e+04      2.210242e+03   
     0.001185          0.009274        5.705318e+08      5.705810e+08     -5.125766e+04      2.008578e+03   
     0.001185          0.022740        3.610674e+08      3.611064e+08     -4.069518e+04      1.633816e+03   
     0.001185          0.042083        1.494963e+08      1.495172e+08     -2.198609e+04      1.112312e+03   
     0.001185          0.067187        1.076382e+08      1.076571e+08     -1.990500e+04      1.015033e+03   
     0.001185          0.097901        8.490256e+07      8.491934e+07     -1.769842e+04      9.117080e+02   
     0.001185          0.134040        6.682912e+07      6.684371e+07     -1.540296e+04      8.048205e+02   
     0.001185          0.175388        5.260734e+07      5.262007e+07     -1.345308e+04      7.203560e+02   
     0.001185          0.221694        4.268999e+07      4.270148e+07     -1.215791e+04      6.629696e+02   
     0.001185          0.272682        3.548160e+07      3.549228e+07     -1.129888e+04      6.209523e+02   
     0.001185          0.328043        2.917853e+07      2.918833e+07     -1.038171e+04      5.837312e+02   
     0.001185          0.387446        2.513080e+07      2.514008e+07     -9.833736e+03      5.537359e+02   
     0.001185          0.450533        2.259761e+07      2.260649e+07     -9.403988e+03      5.284406e+02   
     0.001185          0.516924        1.920668e+07      1.921497e+07     -8.787523e+03      5.009958e+02   
     0.001185          0.586221        1.738967e+07      1.739768e+07     -8.489660e+03      4.825966e+02   
     0.001185          0.658006        1.568513e+07      1.569259e+07     -7.914280e+03      4.577813e+02   
     0.001185          0.731848        1.415293e+07      1.416012e+07     -7.636606e+03      4.402562e+02   
     0.001185          0.807302        1.314665e+07      1.315359e+07     -7.365503e+03      4.251979e+02   
     0.001185          0.883916        1.186595e+07      1.187264e+07     -7.100893e+03      4.090397e+02   
     0.001185          0.961228        1.067290e+07      1.067913e+07     -6.616530e+03      3.908205e+02   
     0.001185          1.038772        9.875974e+06      9.881945e+06     -6.345237e+03      3.745179e+02   
     0.001185          1.116084        8.972707e+06      8.978452e+06     -6.105814e+03      3.604935e+02   
     0.001185          1.192698        8.189378e+06      8.194904e+06     -5.872490e+03      3.471605e+02   
     0.001185          1.268152        7.582442e+06      7.587754e+06     -5.645187e+03      3.337061e+02   
     0.001185          1.341994        7.013453e+06      7.018557e+06     -5.423826e+03      3.202170e+02   
     0.001185          1.413779        6.480489e+06      6.485391e+06     -5.208329e+03      3.063795e+02   
     0.001185          1.483076        6.204647e+06      6.209353e+06     -4.998617e+03      2.929778e+02   
     0.001185          1.549467        5.822874e+06      5.827458e+06     -4.865895e+03      2.819428e+02   
     0.001185          1.612554        5.515310e+06      5.519833e+06     -4.794611e+03      2.715093e+02   
     0.001185          1.671957        5.079620e+06      5.083958e+06     -4.596233e+03      2.577758e+02   
     0.001185          1.727318        4.672988e+06      4.677148e+06     -4.403403e+03      2.435685e+02   
     0.001185          1.778306        4.474154e+06      4.478140e+06     -4.216044e+03      2.300045e+02   
     0.001185          1.824612        4.293836e+06      4.297829e+06     -4.216044e+03      2.233268e+02   
     0.001185          1.865960        4.108507e+06      4.112331e+06     -4.034075e+03      2.104876e+02   
     0.001185          1.902099        3.940666e+06      3.944497e+06     -4.034075e+03      2.030210e+02   
     0.001185          1.932813        3.768100e+06      3.771764e+06     -3.857420e+03      1.938424e+02   
     0.001185          1.957917        3.612039e+06      3.615706e+06     -3.857420e+03      1.899973e+02   
     0.001185          1.977260        3.451521e+06      3.455026e+06     -3.685998e+03      1.813195e+02   
     0.001185          1.990726        3.451518e+06      3.455026e+06     -3.685998e+03      1.785061e+02   
     0.001185          1.998238        3.451517e+06      3.455026e+06     -3.685998e+03      1.773658e+02   
     0.006239          0.001762        5.027121e+08      5.027595e+08     -4.776797e+04      3.192606e+02   
     0.006239          0.009274        4.739741e+08      4.740179e+08     -4.412314e+04      3.114293e+02   
     0.006239          0.022740        3.204396e+08      3.204741e+08     -3.480067e+04      2.953439e+02   
     0.006239          0.042083        1.545696e+08      1.545912e+08     -2.186652e+04      2.738859e+02   
     0.006239          0.067187        1.073738e+08      1.073931e+08     -1.962676e+04      2.643076e+02   
     0.006239          0.097901        8.452065e+07      8.453777e+07     -1.737419e+04      2.532227e+02   
     0.006239          0.134040        6.628677e+07      6.630165e+07     -1.511865e+04      2.416016e+02   
     0.006239          0.175388        5.264610e+07      5.265920e+07     -1.332417e+04      2.314154e+02   
     0.006239          0.221694        4.281154e+07      4.282339e+07     -1.207337e+04      2.221367e+02   
     0.006239          0.272682        3.532434e+07      3.533524e+07     -1.111338e+04      2.131669e+02   
     0.006239          0.328043        2.972508e+07      2.973524e+07     -1.036683e+04      2.036914e+02   
     0.006239          0.387446        2.548058e+07      2.549014e+07     -9.750577e+03      1.940837e+02   
     0.006239          0.450533        2.232937e+07      2.233845e+07     -9.271423e+03      1.843000e+02   
