#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.002317        3.477013e+07      3.477248e+07     -2.480175e+03      1.293429e+02   
     0.001185          0.012194        9.886659e+06      9.888004e+06     -1.451666e+03      1.068099e+02   
     0.001185          0.029900        4.018584e+06      4.019452e+06     -9.486312e+02      8.082431e+01   
     0.001185          0.055334        1.996301e+06      1.996906e+06     -6.669462e+02      6.181488e+01   
     0.001185          0.088343        1.133940e+06      1.134405e+06     -5.128639e+02      4.852279e+01   
     0.001185          0.128728        6.542374e+05      6.545890e+05     -3.907810e+02      3.915380e+01   
     0.001185          0.176247        4.211255e+05      4.214003e+05     -3.066093e+02      3.181252e+01   
     0.001185          0.230614        2.722061e+05      2.724317e+05     -2.521029e+02      2.652382e+01   
     0.001185          0.291502        1.944012e+05      1.945858e+05     -2.067045e+02      2.215240e+01   
     0.001185          0.358544        1.330879e+05      1.332449e+05     -1.763089e+02      1.930451e+01   
     0.001185          0.431338        9.741858e+04      9.755295e+04     -1.508583e+02      1.649606e+01   
     0.001185          0.509446        7.009720e+04      7.021098e+04     -1.279828e+02      1.420740e+01   
     0.001185          0.592397        4.948136e+04      4.957726e+04     -1.075450e+02      1.164321e+01   
     0.001185          0.679694        4.124607e+04      4.133346e+04     -9.819739e+01      1.080431e+01   
     0.001185          0.770811        2.816142e+04      2.823402e+04     -8.115877e+01      8.557183e+00   
     0.001185          0.865200        2.304944e+04      2.311478e+04     -7.343345e+01      8.090025e+00   
     0.001185          0.962293        1.785471e+04      1.791099e+04     -6.310504e+01      6.830217e+00   
     0.001185          1.061507        1.209703e+04      1.214432e+04     -5.322745e+01      5.940781e+00   
     0.001185          1.162245        9.598353e+03      9.640827e+03     -4.742488e+01      4.950451e+00   
     0.001185          1.263901        7.545190e+03      7.583014e+03     -4.206007e+01      4.236097e+00   
     0.001185          1.365863        5.871647e+03      5.905016e+03     -3.711587e+01      3.746584e+00   
     0.001185          1.467519        4.519233e+03      4.548553e+03     -3.257510e+01      3.254911e+00   
     0.001185          1.568256        3.436603e+03      3.462327e+03     -2.842059e+01      2.696891e+00   
     0.001185          1.667470        1.919356e+03      1.938314e+03     -2.120171e+01      2.244179e+00   
     0.001185          1.764563        1.388602e+03      1.404762e+03     -1.810300e+01      1.942780e+00   
     0.001185          1.858952        9.925546e+02      1.006297e+03     -1.532188e+01      1.579479e+00   
     0.001185          1.950069        6.951871e+02      7.068266e+02     -1.284120e+01      1.201626e+00   
     0.001185          2.037366        4.759355e+02      4.856161e+02     -1.064377e+01      9.631660e-01   
     0.001185          2.120318        3.175184e+02      3.253732e+02     -8.712443e+00      8.576259e-01   
     0.001185          2.198425        2.055206e+02      2.118447e+02     -7.030040e+00      7.059467e-01   
     0.001185          2.271219        1.283311e+02      1.334371e+02     -5.579397e+00      4.734755e-01   
     0.001185          2.338262        4.380684e+01      4.681351e+01     -3.304720e+00      2.980489e-01   
     0.001185          2.399149        2.344105e+01      2.565308e+01     -2.446351e+00      2.343301e-01   
     0.001185          2.453516        1.156511e+01      1.314347e+01     -1.751072e+00      1.727117e-01   
     0.001185          2.501035        5.085953e+00      6.190216e+00     -1.201716e+00      9.745321e-02   
     0.001185          2.541420        1.783258e+00      2.472640e+00     -7.384885e-01      4.910666e-02   
     0.001185          2.574429        4.892116e-02      2.842446e-01     -2.575106e-01      2.218719e-02   
     0.001185          2.599863       -4.897862e-02      6.190216e-02     -1.201716e-01      9.290854e-03   
     0.001185          2.617570       -3.330529e-02      7.895684e-03     -4.291844e-02      1.717466e-03   
     0.001185          2.627446       -7.946621e-03      3.088336e-04     -8.393608e-03      1.381535e-04   
     0.006239          0.002317        9.674245e+06      9.675550e+06     -1.336511e+03      3.186870e+01   
     0.006239          0.012194        8.195156e+06      8.196208e+06     -1.081104e+03      2.851841e+01   
     0.006239          0.029900        3.881728e+06      3.882499e+06     -7.949721e+02      2.463349e+01   
