#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.003052        4.157218e+06      4.158930e+06     -1.750273e+03      3.790713e+01   
     0.001185          0.016060        3.450867e+06      3.452324e+06     -1.488952e+03      3.196662e+01   
     0.001185          0.039380        1.269110e+06      1.270006e+06     -9.432160e+02      4.721042e+01   
     0.001185          0.072877        6.096495e+05      6.102763e+05     -6.469515e+02      2.019054e+01   
     0.001185          0.116351        3.319201e+05      3.323928e+05     -4.948127e+02      2.208862e+01   
     0.001185          0.169540        1.692017e+05      1.695350e+05     -3.503529e+02      1.697826e+01   
     0.001185          0.232124        1.053551e+05      1.056230e+05     -2.789294e+02      1.102138e+01   
     0.001185          0.303727        6.427197e+04      6.448196e+04     -2.179386e+02      7.950340e+00   
     0.001185          0.383918        4.512611e+04      4.529929e+04     -1.826673e+02      9.481892e+00   
     0.001185          0.472215        3.098451e+04      3.112801e+04     -1.514226e+02      7.923006e+00   
     0.001185          0.568087        2.074101e+04      2.086109e+04     -1.239606e+02      3.877882e+00   
     0.001185          0.670957        1.349099e+04      1.358601e+04     -1.000371e+02      5.014324e+00   
     0.001185          0.780207        8.482956e+03      8.560512e+03     -7.940813e+01      1.851496e+00   
     0.001185          0.895180        6.633702e+03      6.700352e+03     -7.025284e+01      3.603445e+00   
     0.001185          1.015184        5.130835e+03      5.189956e+03     -6.182967e+01      2.708797e+00   
     0.001185          1.139497        3.922599e+03      3.974610e+03     -5.410811e+01      2.097377e+00   
     0.001185          1.267373        2.941795e+03      2.985712e+03     -4.673560e+01      2.818221e+00   
     0.001185          1.398041        1.627169e+03      1.661492e+03     -3.484806e+01      5.249658e-01   
     0.001185          1.530716        1.615528e+03      1.648645e+03     -3.484806e+01      1.730809e+00   
     0.001185          1.664599        1.162978e+03      1.191713e+03     -2.962791e+01      8.921786e-01   
     0.001185          1.798887        8.214909e+02      8.455690e+02     -2.495684e+01      8.787533e-01   
     0.001185          1.932771        5.680024e+02      5.875955e+02     -2.080436e+01      1.211296e+00   
     0.001185          2.065446        3.817919e+02      3.988312e+02     -1.713995e+01      1.006771e-01   
     0.001185          2.196114        3.826002e+02      3.988312e+02     -1.713995e+01      9.089649e-01   
     0.001185          2.323989        2.497521e+02      2.635523e+02     -1.393312e+01      1.329029e-01   
     0.001185          2.448303        1.582749e+02      1.688813e+02     -1.115336e+01      5.470060e-01   
     0.001185          2.568307        1.585282e+02      1.688813e+02     -1.115336e+01      8.002734e-01   
     0.001185          2.683279        9.618936e+01      1.044204e+02     -8.770165e+00      5.391158e-01   
     0.001185          2.792529        9.616966e+01      1.044204e+02     -8.770165e+00      5.194129e-01   
     0.001185          2.895400        5.514360e+01      6.191086e+01     -6.753027e+00     -1.424046e-02   
     0.001185          2.991272        2.999469e+01      3.491669e+01     -5.071443e+00      1.494447e-01   
     0.001185          3.079569        3.014696e+01      3.491669e+01     -5.071443e+00      3.017218e-01   
     0.001185          3.159760        1.524266e+01      1.853435e+01     -3.694909e+00      4.032208e-01   
     0.001185          3.231363        1.493078e+01      1.853435e+01     -3.694909e+00      9.133766e-02   
     0.001185          3.293947        6.550627e+00      9.127410e+00     -2.592918e+00      1.613541e-02   
     0.001185          3.347136        6.697613e+00      9.127410e+00     -2.592918e+00      1.631213e-01   
     0.001185          3.390609        2.435785e+00      4.086510e+00     -1.734968e+00      8.424251e-02   
     0.001185          3.424107        2.319505e+00      3.926444e+00     -1.700649e+00      9.371002e-02   
     0.001185          3.447427        3.667001e-02      8.134331e-01     -7.740624e-01     -2.700620e-03   
     0.001185          3.460435       -4.187821e-02      4.089223e-01     -4.613870e-01      1.058643e-02   
     0.006239          0.003052        4.139988e+06      4.141680e+06     -1.696230e+03      4.262085e+00   
     0.006239          0.016060        2.777237e+06      2.778453e+06     -1.219646e+03      3.784467e+00   
     0.006239          0.039380        1.250729e+06      1.251574e+06     -8.478111e+02      3.312730e+00   
     0.006239          0.072877        5.868622e+05      5.874548e+05     -5.950422e+02      2.477531e+00   
     0.006239          0.116351        3.147796e+05      3.152342e+05     -4.566744e+02      2.049872e+00   
     0.006239          0.169540        1.765295e+05      1.768688e+05     -3.409492e+02      1.668808e+00   
     0.006239          0.232124        1.017170e+05      1.019778e+05     -2.620749e+02      1.325648e+00   
     0.006239          0.303727        6.712800e+04      6.733898e+04     -2.120890e+02      1.106030e+00   
     0.006239          0.383918        4.363268e+04      4.380362e+04     -1.718950e+02      9.553802e-01   
     0.006239          0.472215        2.865322e+04      2.878869e+04     -1.362841e+02      8.073789e-01   
     0.006239          0.568087        2.074113e+04      2.086109e+04     -1.206334e+02      6.709954e-01   
     0.006239          0.670957        1.348925e+04      1.358601e+04     -9.735203e+01      5.943713e-01   
     0.006239          0.780207        9.310311e+03      9.387111e+03     -7.727677e+01      4.761768e-01   
     0.006239          0.895180        6.632425e+03      6.700352e+03     -6.836721e+01      4.405650e-01   
     0.006239          1.015184        5.130161e+03      5.189956e+03     -6.017012e+01      3.754877e-01   
     0.006239          1.139497        3.640972e+03      3.689540e+03     -4.887919e+01      3.109397e-01   
     0.006239          1.267373        2.628330e+03      2.668705e+03     -4.065223e+01      2.771272e-01   
     0.006239          1.398041        1.838486e+03      1.872182e+03     -3.391272e+01      2.166132e-01   
     0.006239          1.530716        1.566329e+03      1.599019e+03     -3.289192e+01      2.016548e-01   
     0.006239          1.664599        1.163052e+03      1.191713e+03     -2.883268e+01      1.715777e-01   
     0.006239          1.798887        8.214300e+02      8.455690e+02     -2.428698e+01      1.479935e-01   
     0.006239          1.932771        5.674773e+02      5.875955e+02     -2.024596e+01      1.277023e-01   
     0.006239          2.065446        3.822465e+02      3.988312e+02     -1.667991e+01      9.522323e-02   
     0.006239          2.196114        3.822440e+02      3.988312e+02     -1.667991e+01      9.273765e-02   
     0.006239          2.323989        2.500645e+02      2.635523e+02     -1.355915e+01      7.129102e-02   
     0.006239          2.448303        1.580883e+02      1.688813e+02     -1.085400e+01      6.106109e-02   
     0.006239          2.568307        1.580863e+02      1.688813e+02     -1.085400e+01      5.899256e-02   
     0.006239          2.683279        9.593133e+01      1.044204e+02     -8.534769e+00      4.568614e-02   
     0.006239          2.792529        8.212765e+01      8.939805e+01     -7.306921e+00      3.651833e-02   
     0.006239          2.895400        5.536752e+01      6.191086e+01     -6.571772e+00      2.843295e-02   
     0.006239          2.991272        3.504643e+01      3.995907e+01     -4.935323e+00      2.268244e-02   
     0.006239          3.079569        3.000444e+01      3.491669e+01     -4.935323e+00      2.307938e-02   
     0.006239          3.159760        1.495747e+01      1.853435e+01     -3.595735e+00      1.885956e-02   
     0.006239          3.231363        1.495328e+01      1.853435e+01     -3.595735e+00      1.466662e-02   
     0.006239          3.293947        6.613984e+00      9.127410e+00     -2.523323e+00      9.897138e-03   
     0.006239          3.347136        6.614677e+00      9.127410e+00     -2.523323e+00      1.058975e-02   
     0.006239          3.390609        2.404931e+00      4.086510e+00     -1.688400e+00      6.820913e-03   
     0.006239          3.424107        2.276216e+00      3.926444e+00     -1.655003e+00      4.774373e-03   
     0.006239          3.447427        3.394864e-01      1.082170e+00     -7.437789e-01      1.095105e-03   
     0.006239          3.460435       -5.835601e-03      1.029986e-01     -1.090510e-01      2.168165e-04   
     0.015318          0.003052        1.736268e+06      1.737343e+06     -1.076626e+03      1.848044e+00   
     0.015318          0.016060        1.641718e+06      1.642654e+06     -9.377900e+02      1.670319e+00   
     0.015318          0.039380        1.114680e+06      1.115401e+06     -7.221494e+02      1.405895e+00   
     0.015318          0.072877        5.595733e+05      5.601182e+05     -5.461001e+02      1.193700e+00   
     0.015318          0.116351        3.026898e+05      3.031067e+05     -4.179294e+02      9.974824e-01   
     0.015318          0.169540        1.753415e+05      1.756692e+05     -3.285756e+02      8.434174e-01   
     0.015318          0.232124        1.030654e+05      1.033181e+05     -2.534900e+02      7.188591e-01   
     0.015318          0.303727        6.637031e+04      6.657462e+04     -2.049330e+02      6.224127e-01   
     0.015318          0.383918        4.282980e+04      4.299442e+04     -1.651578e+02      5.335498e-01   
     0.015318          0.472215        2.823403e+04      2.836753e+04     -1.339644e+02      4.620715e-01   
     0.015318          0.568087        1.965797e+04      1.977162e+04     -1.140557e+02      4.095816e-01   
     0.015318          0.670957        1.339454e+04      1.349062e+04     -9.643384e+01      3.527133e-01   
     0.015318          0.780207        9.436603e+03      9.513384e+03     -7.708916e+01      3.085799e-01   
     0.015318          0.895180        6.632419e+03      6.700352e+03     -6.820123e+01      2.691275e-01   
     0.015318          1.015184        4.991275e+03      5.049442e+03     -5.839894e+01      2.321274e-01   
     0.015318          1.139497        3.499073e+03      3.545734e+03     -4.686001e+01      1.986807e-01   
     0.015318          1.267373        2.582281e+03      2.621955e+03     -3.984312e+01      1.691108e-01   
